flu,flu,sick,cold,bird,stomach,swine,feel,fever,bad,getting,x,don,hate,time,ve,lol,day,throat,type,therapy,virus,cough,gene,dose,home,london,severe,double,sore,im
,21790,1272,1064,1025,843,810,779,651,626,600,595,591,590,583,578,566,565,532,525,521,518,515,513,485,462,459,449,435,433,426
therapy,flu,therapy,gene,protect,pandemics,strains,protection,broad,pandemic,including,deadly,mice,cells,nose,study,found,coaxing,super,animals,scientists,kills,antibodies,researchers,health,public,shields,collaboration,global,animal,develop
,587,521,489,250,176,138,110,107,104,85,79,74,66,63,63,62,61,56,49,48,47,45,40,37,32,30,29,28,27,27
patients,london,flu,patients,benefits,giving,reuters,severe,dose,double,edt,pm,roch,thu,infected,resistant,h,identified,tamiflu,roche,ag,gene,holding,mutation,n,rog,viruses,bird,resistance,antiviral,control
,315,202,198,159,159,159,159,158,158,156,156,156,156,22,20,19,19,19,18,17,17,17,17,17,17,17,6,6,5,5
h7n9,h,flu,n,bird,drug,resistance,virus,news,tamiflu,concern,china,influenza,via,resistant,avian,researchers,health,main,shanghai,xinhua,bbc,acc,horses,infect,infections,observed,pandemic,poultry,strains,study
,256,253,252,146,81,75,49,32,32,28,22,22,22,21,20,18,16,15,15,15,14,13,13,13,13,13,13,13,13,13
medicine,flu,medicine,cold,sleep,severe,cough,don,dose,double,damn,lt,london,tamiflu,diseases,proves,reut,drowsy,fast,fever,makes,vaccine,feel,geenyagah,health,soon,taking,beat,feeling,gone,haha
,170,160,19,15,13,12,12,12,11,10,10,9,9,8,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5
influenza,flu,influenza,h,n,virus,tamiflu,drug,avian,bird,resistance,acc,dose,infections,main,observed,shanghai,xinhua,severe,therapy,gene,double,news,pandemic,vaccine,fever,strains,benefit,protect,protection,body
,128,103,29,29,27,23,18,14,14,14,13,13,13,13,13,13,13,12,12,11,10,10,10,9,7,7,5,5,5,4
medical,flu,medical,shots,home,californians,preventive,treatment,experts,news,bird,call,drug,increased,monitoring,resistant,n,h,pandemic,strains,xpress,agree,health,protect,therapy,verdict,current,explain,explains,impact,infection
,98,90,39,35,34,32,29,20,20,18,18,15,15,15,15,11,8,7,6,6,5,5,5,5,5,4,4,4,4,4
doctor,flu,doctor,shot,week,cold,n,sick,symptoms,time,fever,haven,home,im,oh,cure,day,dwa,finally,fucking,gonna,hope,idrip,infection,k,lt,ng,nose,sounds,tha,thanks
,90,88,8,6,5,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
disease,flu,disease,bird,shot,death,swine,vaccine,cold,influenza,h,illness,l,n,spread,c,cow,deathtoll,don,e,fever,gh,hr,kd,kfrpaefq,life,mad,population,ridden,rises,sars
,55,49,10,9,6,6,6,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
hospital,flu,hospital,lol,stomach,days,don,news,swine,aids,bad,bird,diseases,hello,home,howdy,lead,mrw,personified,sometimes,spanish,stay,town,ae,dailyrx,ese,fever,focused,gongwe,hela,howe
,50,48,8,6,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3
vaccines,flu,vaccines,vaccine,forget,giving,save,shots,cause,current,nasal,protect,spray,strains,actually,adapting,autism,behavior,biology,don,enables,fast,forced,getting,health,hpv,human,kroger,limited,modify,pay
,44,43,8,7,7,7,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
nurse,nurse,flu,bed,lover,wanna,askies,day,fole,meleng,nhe,sick,friend,getting,hate,hospital,im,iv,lol,needle,nhlanhlamsi,night,raining,shot,swine,tell,thanks,time,tough,ve,a
,35,34,7,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1
vaccination,flu,vaccination,na,protect,f,adults,ages,annual,coverage,date,g,gonna,haha,la,nation,nc,ranks,sa,sleep,th,tonight,toxic,type,uber,x,a,abirdyy,activity,advert,agency
,32,29,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1
doctors,flu,doctors,bird,china,tells,cdc,cold,don,h,mppw,n,office,ongsi,time,verge,via,watch,appointment,chinese,dreading,hate,killed,positive,post,resistance,season,shot,sick,strain,strep
,32,31,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
asthma,asthma,flu,pneumonia,tuberculosis,cough,fever,sick,anaemic,composis,due,immune,level,stress,sys,umara,weakened,week,allergies,bit,bronchitis,chro,complete,gettin,illnesses,little,marijuana,medical,natural,petertosh,qepa
,31,31,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
asthma,asthma,flu,pneumonia,tuberculosis,cough,fever,sick,anaemic,composis,due,immune,level,stress,sys,umara,weakened,week,allergies,bit,bronchitis,chro,complete,gettin,illnesses,little,marijuana,medical,natural,petertosh,qepa
,31,31,6,5,4,4,4,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2
nursing,flu,nursing,universal,vaccine,lead,lol,nurses,research,strains,via,bed,bongz,cold,day,enjoy,infusionnurse,ivchat,nasal,st,times,a,absolutely,action,afford,ait,allowed,animals,apart,apologies,beer
,25,22,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
rn,flu,rn,killing,actually,bad,don,dont,feel,feeling,fever,meds,oh,school,sick,tonight,aamaraaa,able,aircond,arghh,attacking,awesome,babies,baking,blanket,blood,body,cant,clinics,cold,combination
,24,23,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bronchitis,bronchitis,flu,pneumonia,asthma,feel,ve,actually,acute,aintgottimeforthis,andrea,asecondglance,bam,blog,bt,coming,contract,cough,crap,die,dnt,doesn,double,drink,ear,eauy,else,emphysema,escalated,fighting,fml
,17,17,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
seniors,flu,seniors,swine,alert,atzmlwdoju,hate,love,news,online,pjer,wvfi,affected,alertline,arrogant,awqqi,ax,beyond,bnx,c,cartoon,chronic,connection,daily,epidemics,except,f,factsaboutme,fair,fake,fever
,15,14,10,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hospitals,flu,hospitals,assessing,control,h,infection,isolate,methods,n,patients,recap,e,helium,kjx,via,wrhpgxheel,announces,audio,bad,baycqvv,begins,bird,bleeding,bmfzz,china,contingency,divorce,experts,gearing,health
,7,7,4,4,4,4,4,4,4,4,4,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1
flushot,flu,flushot,shot,eahanks,fail,governmentconspiracy,hospitalpolicy,mandatory,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,3,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
respiratory,flu,respiratory,virus,influenza,shot,deadly,disease,fever,headache,idkd,illness,infection,medicine,severe,swelling,upper,vaccine,vacyl,ab,alert,atleast,ax,bird,breathes,causes,challenges,chenoite,clicking,colds,didn
,12,11,5,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
cantbreathe,cantbreathe,flu,ve,awake,cold,dying,earliest,feellikedeath,freshens,left,uni,weeks,winner,wish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,3,3,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
chemo,chemo,flu,forced,pay,age,believe,benefit,christ,dealing,don,execs,getting,kid,lyleshelton,nomess,pro,science,shots,stillnotworthit,stomach,vaccines,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
leukemia,children,degrees,dpea,flu,garden,leukemia,party,s,trying,yx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
copd,bcuz,bernson,copd,corbin,disease,flu,joliepayson,learned,lung,michael,yr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetics,content,diabetics,die,flu,jbioe,l,pneumonia,prone,pubzme,qv,repurposed,via,vzqtfhfjhu,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
diabetes,diabetes,flu,deaths,symptoms,type,add,adi,adult,aids,cancer,cold,damage,day,doesn,eatthemoon,fuks,google,hahaha,homicide,ii,infectious,legit,looks,management,mentally,mononucleosis,nerve,onset,sick,sounds
,5,5,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
diabetic,diabetic,flu,aids,cancerous,food,hours,stomach,symptoms,finals,math,nightmare,sats,school,science,shouldn,student,week,worst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,3,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bioethics,gene,bioethics,deadly,developed,flu,hyomad,researchers,shields,ther,therapy,vxl,wednesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
bioethics,gene,bioethics,deadly,developed,flu,hyomad,researchers,shields,ther,therapy,vxl,wednesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
biotech,biotech,flu,pharma,crosstalks,detector,innovation,virus,wouter,biopharma,bird,cdc,china,confirmed,countermeasures,deaths,diagnostics,fda,found,h,including,influenza,lab,medical,n,p,qrzbl,resistant,rise,roche,ru
,5,5,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
breastfeeding,breastfeeding,flu,cold,safe,antibiotics,coz,horrible,sigh,tabs,yourbabymag,yourpregnancyza,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,3,3,2,2,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
caregiver,arroz,caldo,caregiver,fail,fed,flu,force,rice,week,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cochrane,access,bmj,c,challenges,cochrane,continue,data,drugs,ehj,flu,r,researchers,xi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
concussion,concussion,flu,ankle,broken,contained,freshman,infections,sinus,strep,throat,time,virus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,2,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
cohealth,cohealth,colorado,flu,season,children,cp,cy,daily,dose,elderly,gtba,hard,hit,ilbfyqx,kids,m,mboothdp,tally,toll,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dentist,dentist,flu,stomach,ache,ahhhhh,arm,bed,believe,dont,due,feel,happened,hate,hilarylewin,homeless,im,laid,light,list,looks,morning,phoned,poisoned,recover,shots,sleep,symptoms,tetanus,time,tooth
,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ems,ahh,breathe,cant,ems,flu,okay,phat,recovered,sleep,speak,worst,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fda,fda,flu,approves,containing,gmo,insect,medical,reprogrammed,vaccine,virus,according,advisor,bbjivimzcx,biotech,charles,consequences,countermeasures,diagnostics,dr,exposure,health,khzad,lee,mercury,pharma,senior,serious,session,shot,symposium
,4,4,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
flushot,flu,flushot,shot,eahanks,fail,governmentconspiracy,hospitalpolicy,mandatory,time,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,3,2,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
