tweets,tweets,
 zeagra #Pills #pharmacy #health http://t.co/luh4hvMJ5H,"zeagra,#pills,#pharmacy,#health",can'tsay
 Yup quees is gonna be a daddy!! My #LilNugget #Ultrasound http://t.co/oPy2cdZTdf,"yup,quees,gonna,daddy,#lilnugget,#ultrasound",can'tsay
" Youth Offending Officer - Berkshire - Berkshire - Sanctuary Social Care #occupationaltherapy, #physicaltherapy http://t.co/SpgqbnYxHr","youth,offending,officer,berkshire,berkshire,sanctuary,social,care,#occupationaltherapy,#physicaltherapy",can'tsay
 Your baby week by week http://t.co/L6pnXFyvQh #Pregnancy #Maternity #Birth #PhysicalTherapy,"baby,week,week,#pregnancy,#maternity,#birth,#physicaltherapy",can'tsay
" You should sit in a bed for a week &amp; press a button everytime you need to get up , then tell me how it feels #nurse #medical #care","sit,bed,week,press,button,everytime,tell,feels,#nurse,#medical,#care",can'tsay
" Yesterday ate tub of ice cream, today ran dead fast* I think that's pretty conclusive #science #nutrition *comparative to normal snail pace","yesterday,ate,tub,ice,cream,ran,dead,fast,pretty,conclusive,#science,#nutrition,comparative,normal,snail,pace",can'tsay
 Working out is the best way to be stress free #therapy #gohard #stressreliever,"stress,free,#therapy,#gohard,#stressreliever",can'tsay
" Work off your anger - Get physically active, dig in the garden, start a project, get your spring cleaning done #MentalHealth","anger,physically,active,dig,garden,start,project,spring,cleaning,#mentalhealth",can'tsay
 With this heating pad on my back . &gt;&gt; #PhysicalTherapy,"heating,pad,gt,gt,#physicaltherapy",can'tsay
 Why You Should Eat Almonds | Holistic Health &amp; Living http://t.co/8kngZahdhL #nutrition #health #video,"eat,almonds,holistic,health,living,#nutrition,#health,#video",can'tsay
 Why are you kind to complete strangers and harsh to you the people you supposedly care about? What psychosis do you have? #therapy,"complete,strangers,harsh,people,supposedly,care,psychosis,#therapy",can'tsay
 Whose Phenotype? The patient or the health care system?  @gfry @rzeiger @SusannahFox @nickdawson http://t.co/XOv5CtVy4u #s4pm,"phenotype,patient,health,care,system,#s4pm",can'tsay
 Whose Phenotype? The patient or the health care system?  @gfry @rzeiger @SusannahFox @nickdawson http://t.co/OS3AAeXTNi #s4pm,"phenotype,patient,health,care,system,#s4pm",can'tsay
 Whoever is taking financial advice from Kerry Katona needs to seek professional medical help #mentalhealth #cashlady,"whoever,taking,financial,advice,kerry,katona,seek,professional,medical,help,#mentalhealth,#cashlady",can'tsay
 When I go to school tomorrow... People think that why I am not dressing up tomorrow. Well I don't give a crap. #Seniors,"school,tomorrow,people,dressing,tomorrow,crap,#seniors",can'tsay
 What is #Asthma #Respiratory condition #Health #Air #pollutants #Allergens #Pollen respiratory system http://t.co/HcmVB2oC0S,"#asthma,#respiratory,condition,#health,#air,#pollutants,#allergens,#pollen,respiratory,system",can'tsay
 What is #Asthma #Respiratory condition #Health #Air #pollutants #Allergens #Pollen respiratory system http://t.co/HcmVB2oC0S,"#asthma,#respiratory,condition,#health,#air,#pollutants,#allergens,#pollen,respiratory,system",can'tsay
 What do you think of the new #DSM-V changes? #OTpeeps #mentalhealth http://t.co/Tw8VBq6Vdo,"#dsm,changes,#otpeeps,#mentalhealth",can'tsay
 What do you do to improve your mental health? #mentalhealth #positive http://t.co/DWJ0UV5Wfc,"improve,mental,health,#mentalhealth,#positive",can'tsay
 What can you do to make your staff happy? http://t.co/d5UJ3DggLw #PhysicalTherapy #RespiratoryTherapy #OTpeeps,"staff,happy,#physicaltherapy,#respiratorytherapy,#otpeeps",can'tsay
 What a great game #GreatFinish #UAF #Seniors #Powderpuff2013,"game,#greatfinish,#uaf,#seniors,#powderpuff2013",can'tsay
 We've found new articles on #Osteoarthritis at http://t.co/9oiL3aBp6i #pharma #health #news http://t.co/9oczun52va,"found,articles,#osteoarthritis,#pharma,#health,#news",can'tsay
 We're now the HBIC! #seniors #bittersweet,"hbic,#seniors,#bittersweet",can'tsay
" We're happy, free, confused, and lonely at the same time. It's miserable and magical. #seniors","happy,free,confused,lonely,time,miserable,magical,#seniors",can'tsay
 We're excited to have Rebecca McNeil talk about Employee Accountabilty in #LTC at #VANHA13!  Here's a sneak peak: http://t.co/j1Be2InNBf,"excited,rebecca,mcneil,talk,employee,accountabilty,#ltc,#vanha13,sneak,peak",can'tsay
 Well today is the day... #excited but #nervous ???? #classof2013 #senior,"day,#excited,#nervous,#classof2013,#senior",can'tsay
 Well that was a success #seniors #yabish,"success,#seniors,#yabish",can'tsay
 Well I have had a drink every day for the past 3 weeks #whystopnow #drunktil2014,"drink,day,past,weeks,#whystopnow,#drunktil2014",can'tsay
 We still in this bitch @prisssscilla_ #yearbook #seniors http://t.co/aWVcH92EC6,"bitch,#yearbook,#seniors",can'tsay
 We received a 5-out-of-5 overall rating from the Department of #Health and Human Services—come visit us today! http://t.co/pGzaPEUn9v #Rehab,"received,overall,rating,department,#health,human,services—,visit,#rehab",can'tsay
" We must recognize nutrition as a cornerstone of our health care system, not a footnote http://t.co/TOC8Pd2fbr #health #wellness #nutrition","recognize,nutrition,cornerstone,health,care,system,footnote,#health,#wellness,#nutrition",can'tsay
" We hear how our mental health system is broken, imagine how our mental health professionals feel? #mhsm #mentalillness #socialwork","hear,mental,health,system,broken,imagine,mental,health,professionals,feel,#mhsm,#mentalillness,#socialwork",can'tsay
 Watching Lost Angels: Skid Row Is My Home DOC #MindBlown #LAPD&amp;NYPDVerySimilar #Poor&amp;LowIncomeHumans #MentalHealth #Housing #Humanity,"watching,lost,angels,skid,row,home,doc,#mindblown,#lapd,nypdverysimilar,#poor,lowincomehumans,#mentalhealth,#housing,#humanity",can'tsay
 Watching #psych,"watching,#psych",can'tsay
 Want to study smarter? Here are 5 effective habits for therapy students: http://t.co/8GrPspGZGu #SLPeeps #PhysicalTherapy #OTpeeps,"study,smarter,effective,habits,therapy,students,#slpeeps,#physicaltherapy,#otpeeps",can'tsay
 Waking up at 5am and then realizing in three months you'll be getting up at this time &lt;&lt;&lt;&lt;&lt;&lt;&lt; #clinicals #nursing,"waking,realizing,months,getting,time,lt,lt,lt,lt,lt,lt,lt,#clinicals,#nursing",can'tsay
 Vomiting/Diarrhea - Abrupt Responses to Rejection of Foods by the Digestive System http://t.co/aU3Gg5Xjdc #nutrition,"vomiting,diarrhea,abrupt,responses,rejection,foods,digestive,system,#nutrition",can'tsay
 Vomiting/Diarrhea - Abrupt Responses to Rejection of Foods by the Digestive System http://t.co/6Qkb0ynm3C #nutrition,"vomiting,diarrhea,abrupt,responses,rejection,foods,digestive,system,#nutrition",can'tsay
" Visited our sick baby belay... Get well soon ???? #sick #patient #goddaughter #baby #girl #hospital… http://t.co/OjN0ZCPGyd coordinates {u'type': u'Point', u'coordinates': [121.04342043, 14.41350927]}","visited,sick,baby,belay,soon,#sick,#patient,#goddaughter,#baby,#girl,#hospital…,type",can'tsay
 Valeant Pharmaceuticals receives Complete Response Letter from FDA for efinaconazole NDA http://t.co/RYIPnMZXcb #footcare #podiatry,"valeant,pharmaceuticals,receives,complete,response,letter,fda,efinaconazole,nda,#footcare,#podiatry",can'tsay
 Valeant Pharmaceuticals receives Complete Response Letter from FDA for efinaconazole NDA http://t.co/KtnZwLNfhi #footcare #podiatry,"valeant,pharmaceuticals,receives,complete,response,letter,fda,efinaconazole,nda,#footcare,#podiatry",can'tsay
 Vaccines are threatening the health and genetic integrity of the human race. http://t.co/HC1yksJuIb #health #holistichealth #vaccines,"vaccines,threatening,health,genetic,integrity,human,race,#health,#holistichealth,#vaccines",can'tsay
 Using avatars to improve physical therapy adherence | MedCity News - http://t.co/T1uLUU8q4l #physicaltherapy,"using,avatars,improve,physical,therapy,adherence,medcity,news,#physicaltherapy",can'tsay
 Using a foam roller is that it is a relatively inexpensive way to treat injury on your own: http://t.co/kR9HrQh9Dy #PhysicalTherapy,"using,foam,roller,relatively,inexpensive,treat,injury,#physicaltherapy",can'tsay
 US student builds questionnaire app frm Kibera survey #Pharmacy #Kenya http://t.co/mxgKA9Xh0l http://t.co/eZdLAyJrOG,"student,builds,questionnaire,app,frm,kibera,survey,#pharmacy,#kenya",can'tsay
 ULTRASOUND Powerpoint Presentations - http://t.co/gItdeRKmll  #ULTRASOUND,"ultrasound,powerpoint,presentations,#ultrasound",can'tsay
 U step out on occasion &amp; always smh the few decent women always choose 2 b wit a lame or a monsterous lookin kat#rn$,"step,occasion,smh,decent,women,choose,wit,lame,monsterous,lookin,kat#rn",can'tsay
