ApplNo	ProductNo	Form	Dosage	ProductMktStatus	TECode	ReferenceDrug	drugname	activeingred
000004	004	SOLUTION/DROPS; OPHTHALMIC	1%	3		0	PAREDRINE	HYDROXYAMPHETAMINE HYDROBROMIDE
000159	001	TABLET; ORAL	500MG	3		0	SULFAPYRIDINE	SULFAPYRIDINE
000552	001	INJECTABLE; INJECTION	20,000 UNITS/ML	3		0	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	002	INJECTABLE; INJECTION	40,000 UNITS/ML	3		0	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	003	INJECTABLE; INJECTION	5,000 UNITS/ML	3		0	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	004	INJECTABLE; INJECTION	1,000 UNITS/ML	3		0	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	005	INJECTABLE; INJECTION	10,000 UNITS/ML	3		0	LIQUAEMIN SODIUM	HEPARIN SODIUM
000552	007	INJECTABLE; INJECTION	100 UNITS/ML	3		0	LIQUAEMIN LOCK FLUSH	HEPARIN SODIUM
000552	008	INJECTABLE; INJECTION	1,000 UNITS/ML	3		0	HEPARIN SODIUM	HEPARIN SODIUM
000552	009	INJECTABLE; INJECTION	5,000 UNITS/ML	3		0	HEPARIN SODIUM	HEPARIN SODIUM
000552	010	INJECTABLE; INJECTION	10,000 UNITS/ML	3		0	HEPARIN SODIUM	HEPARIN SODIUM
000552	011	INJECTABLE; INJECTION	1,000 UNITS/ML	3		0	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
000552	012	INJECTABLE; INJECTION	5,000 UNITS/ML	3		0	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
000552	013	INJECTABLE; INJECTION	10,000 UNITS/ML	3		0	LIQUAEMIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
000734	001	INJECTABLE; INJECTION	EQ 1MG BASE/ML	3		0	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE
000734	002	INJECTABLE; INJECTION	EQ 0.2MG BASE/ML	3		0	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE
000734	003	INJECTABLE; INJECTION	EQ 0.1MG BASE/ML	3		0	HISTAMINE PHOSPHATE	HISTAMINE PHOSPHATE
000793	002	TABLET; ORAL	15MG	3		0	BUTISOL SODIUM	BUTABARBITAL SODIUM
000793	003	TABLET; ORAL	50MG	1		1	BUTISOL SODIUM	BUTABARBITAL SODIUM
000793	004	TABLET; ORAL	30MG	1		1	BUTISOL SODIUM	BUTABARBITAL SODIUM
000793	005	TABLET; ORAL	100MG	3		0	BUTISOL SODIUM	BUTABARBITAL SODIUM
001104	001	INJECTABLE; INJECTION	5MG/ML	3		0	DOCA	DESOXYCORTICOSTERONE ACETATE
