"Areacode","State","City"
"201","NJ","Hackensack, Jersey City"
"202","DC","Washington DC"
"203","CT","Bridgeport, New Haven"
"204","MB","Winnipeg"
"205","AL","Birmingham"
"206","WA","Seattle, Bainbridge Island"
"207","ME","Augusta, Portland"
"208","ID","Boise, Pocatello"
"209","CA","Stockton, Modesto, Merced"
"210","TX","San Antonio"
"212","NY","New York"
"213","CA","Los Angeles Downtown"
"214","TX","Dallas, Tyler"
"215","PA","Philadelphia"
"216","OH","Cleveland"
"217","IL","Champaign, Springfield"
"218","MN","Duluth, Moorhead"
"219","IN","Gary"
"224","IL","Chicago (overlays 847)"
"225","LA","Baton Rouge"
"226","ON","Overlays 519"
"227","MD","Rockville (overlays 301/240)"
"228","MS","Biloxi, Gulfport, Pascagoula"
"229","GA","Albany, Valdosta"
"231","MI","Muskegon, Traverse City"
"234","OH","Akron (overlays 330)"
"236","BC","Vancouver, Victoria (overlays 604)"
"239","FL","Fort Myers, Naples"
"240","MD","Rockville (overlays 301)"
"242",,"Bahamas"
"246",,"Barbados"
"248","MI","Pontiac, Royal Oak"
"249","ON","Sault Ste Marie (overlays 705)"
"250","BC","Vancouver Island"
"251","AL","Mobile"
"252","NC","Greenville, Rocky Mount"
"253","WA","Tacoma, Auburn"
"254","TX","Waco"
"256","AL","Huntsville, Decatur, Gadsden"
"260","IN","Fort Wayne"
"262","WI","Racine, Kenosha"
"264",,"Anguilla"
"267","PA","Philadelphia (overlays 215)"
"268",,"Antigua, Barbuda"
"269","MI","Kalamazoo, Battle Creek"
"270","KY","Bowling Green"
"272","PA","Scranton (overlays 570)"
"276","VA","Bristol, Martinsville"
"281","TX","Houston Suburban"
"284",,"British Virgin Islands"
"289","ON","Toronto (overlays 905)"
"301","MD","Rockville, Silver Spring"
"302","DE","Dover, Wilmington"
"303","CO","Denver, Boulder"
"304","WV","Charleston, Huntington"
"305","FL","Miami, Key West"
"306","SK","Saskatoon"
"307","WY","Casper, Cheyenne"
"308","NE","Grand Island, Scotts Bluff"
"309","IL","Bloomington, Peoria"
"310","CA","Beverly  Hills, Santa Monica"
"312","IL","Chicago (The Loop)"
"313","MI","Detroit, Dearborn"
"314","MO","St Louis"
"315","NY","Syracuse, Utica"
"316","KS","Wichita"
"317","IN","Indianapolis"
"318","LA","Shreveport"
"319","IA","Cedar Rapids, Waterloo"
"320","MN","Alexandria, St Cloud"
"321","FL","Orlando, Melbourne"
"323","CA","Central Los Angeles"
"325","TX","Abilene, San Angelo"
"330","OH","Akron, Youngstown"
"331","IL","Aurora, Naperville (Overlays 630)"
"334","AL","Montgomery"
"336","NC","Winston-Salem, Greensboro"
"337","LA","Lake Charles, Lafayette"
"339","MA","Waltham (overlays 781)"
"340","VI","US Virgin Islands"
"343","ON","Ottawa (Overlays 613)"
"345",,"Cayman Islands"
"346","TX","Houston (overlays 281/713/832)"
"347","NY","Brooklyn (overlays 718)"
"351","MA","Lowell (overlays 978)"
"352","FL","Gainesville, Ocala"
"360","WA","Olympia, Vancouver"
"361","TX","Corpus Christi, Victoria"
"364","KY","Bowling Green (overlays 270)"
"365","ON","Hamilton (overlays 905)"
"385","UT","Salt Lake City (overlays 801)"
"386","FL","Daytona Beach, Lake City"
"401","RI","Providence"
"402","NE","Lincoln, Omaha"
"403","AB","Calgary, Edmonton"
"404","GA","Atlanta, Decatur"
"405","OK","Oklahoma City, Stillwater"
"406","MT","Billings, Great Falls"
"407","FL","Melbourne, Orlando"
"408","CA","San Jose, Santa Clara"
"409","TX","Beaumont, Galveston"
"410","MD","Anapolis, Baltimore"
"411",,"Local Directory Assistance"
"412","PA","Pittsburgh"
"413","MA","Pittsfield, Springfield"
"414","WI","Milwaukee"
"415","CA","San Francisco, Marin County"
"416","ON","Toronto"
"417","MO","Joplin, Springfield"
"418","QC","Quebec"
"419","OH","Lima, Toledo"
"423","TN","Chattanooga, Knoxville"
"424","CA","West LA (overlays 310)"
"425","WA","Everett, Kent, Redmond"
"430","TX","Longview, Tyler (overlays 903)"
"431","MB","Winnipeg (overlays 204)"
"432","TX","Midland, Odessa"
"434","VA","Charlottesville"
"435","UT","St George, Logan, Moab"
"437","ON","Toronto (overlays 647)"
"438","QC","Overlays 514"
"440","OH","Ashtabula, Elyria, Lorain"
"441",,"Bermuda"
"442","CA","Palm Springs, Oceanside (overlays 760)"
"443","MD","Baltimore (overlays 410)"
"450","QC","Laval, Granby"
"456",,"International Incoming"
"458","OR","Corvalis, Eugene, Medford (overlays 541)"
"469","TX","Dallas (overlays 214/972)"
"470","GA","Atlanta (overlays 404/770/678)"
"473",,"Grenada, Carriacou"
"475","CT","Bridgeport, New Haven (overlays 203)"
"478","GA","Macon"
"479","AR","Fayetteville"
"480","AZ","Scottsdale, Tempe, Chandler"
"484","PA","Philadelphia (overlays 610)"
"500",,"Personal Communications"
"501","AR","Little Rock, Conway"
"502","KY","Frankfort, Louisville"
"503","OR","Portland, Salem"
"504","LA","New Orleans, Metairie"
