city,state,zipcode,areacode,FIPS,County,Type
Holtsville,NY,00501,631,36103,Suffolk,U
Holtsville,NY,00544,631,36103,Suffolk,U
Adjuntas,PR,00601,787,72001,Adjuntas,
Aguada,PR,00602,787,72003,Aguada,
Aguadilla,PR,00603,787,72005,Aguadilla,
Aguadilla,PR,00604,787,72005,Aguadilla,P
Aguadilla,PR,00605,787,72005,Aguadilla,P
Maricao,PR,00606,787,72093,Maricao,
Anasco,PR,00610,787,72011,Anasco,
Angeles,PR,00611,787,72141,Utuado,P
Arecibo,PR,00612,787,72013,Arecibo,
Arecibo,PR,00613,787,72013,Arecibo,P
Arecibo,PR,00614,787,72013,Arecibo,P
Bajadero,PR,00616,787,72013,Arecibo,
Barceloneta,PR,00617,787,72017,Barceloneta,
Boqueron,PR,00622,787,72023,Cabo Rojo,
Cabo Rojo,PR,00623,787,72023,Cabo Rojo,
Penuelas,PR,00624,787,72111,Penuelas,
Camuy,PR,00627,787,72027,Camuy,
Castaner,PR,00631,787,72081,Lares,P
Rosario,PR,00636,787,72125,San German,P
Sabana Grande,PR,00637,787,72121,Sabana Grande,
Ciales,PR,00638,787,72039,Ciales,
Utuado,PR,00641,787,72141,Utuado,
Dorado,PR,00646,787,72051,Dorado,
Ensenada,PR,00647,787,72055,Guanica,
Florida,PR,00650,787,72054,Florida,
Garrochales,PR,00652,787,72013,Arecibo,
Guanica,PR,00653,787,72055,Guanica,
Guayanilla,PR,00656,787,72059,Guayanilla,
Hatillo,PR,00659,787,72065,Hatillo,
Hormigueros,PR,00660,787,72067,Hormigueros,
Isabela,PR,00662,787,72071,Isabela,
Jayuya,PR,00664,787,72073,Jayuya,
Lajas,PR,00667,787,72079,Lajas,
Lares,PR,00669,787,72081,Lares,
Las Marias,PR,00670,787,72083,Las Marias,
Manati,PR,00674,787,72091,Manati,
Moca,PR,00676,787,72099,Moca,
Rincon,PR,00677,787,72117,Rincon,
Quebradillas,PR,00678,787,72115,Quebradillas,
Mayaguez,PR,00680,787,72097,Mayaguez,
Mayaguez,PR,00681,787,72097,Mayaguez,P
Mayaguez,PR,00682,787,72097,Mayaguez,
San German,PR,00683,787,72125,San German,
San Sebastian,PR,00685,787,72131,San Sebastian,
Morovis,PR,00687,787,72101,Morovis,
Sabana Hoyos,PR,00688,787,72013,Arecibo,
San Antonio,PR,00690,787,72005,Aguadilla,
Vega Alta,PR,00692,787,72143,Vega Alta,
Vega Baja,PR,00693,787,72145,Vega Baja,
Vega Baja,PR,00694,787,72143,Vega Alta,P
Yauco,PR,00698,787,72153,Yauco,
Aguas Buenas,PR,00703,787,72007,Aguas Buenas,
Aguirre,PR,00704,787,72123,Salinas,
Aibonito,PR,00705,787,72009,Aibonito,
Maunabo,PR,00707,787,72095,Maunabo,
Arroyo,PR,00714,787,72015,Arroyo,
Mercedita,PR,00715,787,72113,Ponce,
Ponce,PR,00716,787,72113,Ponce,
Ponce,PR,00717,787,72113,Ponce,
Naguabo,PR,00718,787,72103,Naguabo,
Naranjito,PR,00719,787,72105,Naranjito,
Orocovis,PR,00720,787,72107,Orocovis,
Palmer,PR,00721,787,72119,Rio Grande,P
Patillas,PR,00723,787,72109,Patillas,
Caguas,PR,00725,787,72025,Caguas,
Caguas,PR,00726,787,72025,Caguas,P
Caguas,PR,00727,787,72025,Caguas,
Ponce,PR,00728,787,72113,Ponce,
Canovanas,PR,00729,787,72029,Canovanas,
Ponce,PR,00730,787,72113,Ponce,
Ponce,PR,00731,787,72113,Ponce,
Ponce,PR,00732,787,72113,Ponce,P
Ponce,PR,00733,787,72113,Ponce,P
Ponce,PR,00734,787,72113,Ponce,P
Ceiba,PR,00735,787,72037,Ceiba,
Cayey,PR,00736,787,72035,Cayey,
Cayey,PR,00737,787,72035,Cayey,P
Fajardo,PR,00738,787,72053,Fajardo,
Cidra,PR,00739,787,72041,Cidra,
Puerto Real,PR,00740,787,72053,Fajardo,
Punta Santiago,PR,00741,787,72069,Humacao,
Roosevelt Roads,PR,00742,787,72037,Ceiba,
Rio Blanco,PR,00744,787,72103,Naguabo,P
Rio Grande,PR,00745,787,72069,Humacao,
Salinas,PR,00751,787,72123,Salinas,
San Lorenzo,PR,00754,787,72129,San Lorenzo,
Santa Isabel,PR,00757,787,72133,Santa Isabel,
Vieques,PR,00765,787,72147,Vieques,
Villalba,PR,00766,787,72149,Villalba,
Yabucoa,PR,00767,787,72151,Yabucoa,
Coamo,PR,00769,787,72043,Coamo,
Las Piedras,PR,00771,787,72085,Las Piedras,
Loiza,PR,00772,787,72087,Loiza,
Luquillo,PR,00773,787,72089,Luquillo,
Culebra,PR,00775,787,72049,Culebra,P
Juncos,PR,00777,787,72077,Juncos,
Gurabo,PR,00778,787,72063,Gurabo,
Coto Laurel,PR,00780,787,72113,Ponce,
Comerio,PR,00782,787,72045,Comerio,
Corozal,PR,00783,787,72047,Corozal,
Guayama,PR,00784,787,72057,Guayama,
Guayama,PR,00785,787,72059,Guayanilla,P
La Plata,PR,00786,787,72009,Aibonito,P
Humacao,PR,00791,787,72069,Humacao,
Humacao,PR,00792,787,72069,Humacao,P
Barranquitas,PR,00794,787,72019,Barranquitas,
Juana Diaz,PR,00795,787,72075,Juana Diaz,
St Thomas,VI,00801,340,78030,Saint Thomas,P
St Thomas,VI,00802,340,78030,Saint Thomas,
St Thomas,VI,00803,340,78030,Saint Thomas,P
St Thomas,VI,00804,340,78030,Saint Thomas,P
St Thomas,VI,00805,340,78030,Saint Thomas,P
Christiansted,VI,00820,340,78010,Saint Croix,
Christiansted,VI,00821,340,78010,Saint Croix,P
Christiansted,VI,00822,340,78010,Saint Croix,P
Christiansted,VI,00823,340,78010,Saint Croix,P
Christiansted,VI,00824,340,78010,Saint Croix,P
St John,VI,00830,340,78020,Saint John,
St John,VI,00831,340,78020,Saint John,P
Frederiksted,VI,00840,340,78010,Saint Croix,
Frederiksted,VI,00841,340,78010,Saint Croix,P
Kingshill,VI,00850,340,78010,Saint Croix,
Kingshill,VI,00851,340,78010,Saint Croix,P
San Juan,PR,00901,787,72127,San Juan,
San Juan,PR,00902,787,72127,San Juan,P
San Juan,PR,00906,787,72127,San Juan,P
San Juan,PR,00907,787,72127,San Juan,
San Juan,PR,00908,787,72127,San Juan,P
San Juan,PR,00909,787,72127,San Juan,
San Juan,PR,00910,787,72127,San Juan,P
San Juan,PR,00911,787,72127,San Juan,
San Juan,PR,00912,787,72127,San Juan,
San Juan,PR,00913,787,72127,San Juan,
San Juan,PR,00914,787,72127,San Juan,P
San Juan,PR,00915,787,72127,San Juan,
San Juan,PR,00916,787,72127,San Juan,P
San Juan,PR,00917,787,72127,San Juan,
San Juan,PR,00918,787,72127,San Juan,
San Juan,PR,00919,787,72127,San Juan,P
San Juan,PR,00920,787,72127,San Juan,
San Juan,PR,00921,787,72127,San Juan,
San Juan,PR,00922,787,72127,San Juan,P
San Juan,PR,00923,787,72127,San Juan,
San Juan,PR,00924,787,72127,San Juan,
San Juan,PR,00925,787,72127,San Juan,
San Juan,PR,00926,787,72127,San Juan,
San Juan,PR,00927,787,72127,San Juan,
San Juan,PR,00928,787,72127,San Juan,P
San Juan,PR,00929,787,72127,San Juan,P
San Juan,PR,00930,787,72127,San Juan,P
San Juan,PR,00931,787,72127,San Juan,P
San Juan,PR,00933,787,72127,San Juan,P
Fort Buchanan,PR,00934,787,72021,Bayamon,
San Juan,PR,00935,787,72127,San Juan,U
San Juan,PR,00936,787,72127,San Juan,P
San Juan,PR,00937,787,72127,San Juan,P
San Juan,PR,00939,787,72127,San Juan,U
San Juan,PR,00940,787,72127,San Juan,P
Toa Baja,PR,00949,787,72137,Toa Baja,
Toa Baja,PR,00950,787,72137,Toa Baja,P
Toa Baja,PR,00951,787,72137,Toa Baja,P
Sabana Seca,PR,00952,787,72137,Toa Baja,
Toa Alta,PR,00953,787,72135,Toa Alta,
Toa Alta,PR,00954,787,72135,Toa Alta,P
San Juan,PR,00955,787,72127,San Juan,P
Bayamon,PR,00956,787,72021,Bayamon,
Bayamon,PR,00957,787,72021,Bayamon,
Bayamon,PR,00958,787,72021,Bayamon,P
Bayamon,PR,00959,787,72021,Bayamon,
Bayamon,PR,00960,787,72021,Bayamon,P
Bayamon,PR,00961,787,72021,Bayamon,
Catano,PR,00962,787,72033,Catano,
Catano,PR,00963,787,72033,Catano,P
Guaynabo,PR,00965,787,72061,Guaynabo,
Guaynabo,PR,00966,787,72061,Guaynabo,
Guaynabo,PR,00968,787,72061,Guaynabo,
Guaynabo,PR,00969,787,72061,Guaynabo,
Guaynabo,PR,00970,787,72061,Guaynabo,P
Guaynabo,PR,00971,787,72061,Guaynabo,
San Juan,PR,00975,787,72127,San Juan,U
Trujillo Alto,PR,00976,787,72139,Trujillo Alto,
Trujillo Alto,PR,00977,787,72139,Trujillo Alto,P
