"city","state","zipcode","areacode","FIPS","County","PrefApprovedNot","Type"
"100 Palms","CA","92274","760","06065","Riverside","N",
"1000 Palms","CA","92276","760","06065","Riverside","N",
"12 Mile","IN","46988","574","18017","Cass","N",
"29 Palms","CA","92277","760","06071","San Bernardino","A",
"29 Palms","CA","92278","760","06071","San Bernardino","A",
"65th Infantry","PR","00923","787","72127","San Juan","N",
"65th Infantry","PR","00924","787","72127","San Juan","N",
"65th Infantry","PR","00929","787","72127","San Juan","N","P"
"65th Infantry","PR","00936","787","72127","San Juan","N","P"
"7 Corners","VA","22044","703","51059","Fairfax","N",
"88","KY","42130","270","21009","Barren","N",
"APO","AA","34038","000","00000",,"P","M"
"APO","AA","34042","000","00000",,"P","M"
"APO","AA","34044","000","00000",,"P","M"
"APO","AA","34078","000","00000",,"P","M"
"APO","AE","09002","000","00000",,"P","M"
"APO","AE","09003","000","00000",,"P","M"
"APO","AE","09004","000","00000",,"P","M"
"APO","AE","09005","000","00000",,"P","M"
"APO","AE","09006","000","00000",,"P","M"
"APO","AE","09009","000","00000",,"P","M"
"APO","AE","09010","000","00000",,"P","M"
"APO","AE","09011","000","00000",,"P","M"
"APO","AE","09012","000","00000",,"P","M"
"APO","AE","09013","000","00000",,"P","M"
"APO","AE","09014","000","00000",,"P","M"
"APO","AE","09016","000","00000",,"P","M"
"APO","AE","09020","000","00000",,"P","M"
"APO","AE","09021","000","00000",,"P","M"
"APO","AE","09028","000","00000",,"P","M"
"APO","AE","09033","000","00000",,"P","M"
"APO","AE","09034","000","00000",,"P","M"
"APO","AE","09038","000","00000",,"P","M"
"APO","AE","09046","000","00000",,"P","M"
"APO","AE","09049","000","00000",,"P","M"
"APO","AE","09053","000","00000",,"P","M"
"APO","AE","09054","000","00000",,"P","M"
"APO","AE","09055","000","00000",,"P","M"
"APO","AE","09059","000","00000",,"P","M"
"APO","AE","09060","000","00000",,"P","M"
"APO","AE","09067","000","00000",,"P","M"
"APO","AE","09068","000","00000",,"P","M"
"APO","AE","09069","000","00000",,"P","M"
"APO","AE","09075","000","00000",,"P","M"
"APO","AE","09079","000","00000",,"P","M"
"APO","AE","09090","000","00000",,"P","M"
"APO","AE","09094","000","00000",,"P","M"
"APO","AE","09095","000","00000",,"P","M"
"APO","AE","09096","000","00000",,"P","M"
"APO","AE","09103","000","00000",,"P","M"
"APO","AE","09104","000","00000",,"P","M"
"APO","AE","09107","000","00000",,"P","M"
"APO","AE","09112","000","00000",,"P","M"
"APO","AE","09114","000","00000",,"P","M"
"APO","AE","09123","000","00000",,"P","M"
"APO","AE","09126","000","00000",,"P","M"
"APO","AE","09128","000","00000",,"P","M"
"APO","AE","09131","000","00000",,"P","M"
"APO","AE","09136","000","00000",,"P","M"
"APO","AE","09138","000","00000",,"P","M"
"APO","AE","09139","000","00000",,"P","M"
"APO","AE","09140","000","00000",,"P","M"
"APO","AE","09142","000","00000",,"P","M"
"APO","AE","09143","000","00000",,"P","M"
"APO","AE","09154","000","00000",,"P","M"
"APO","AE","09172","000","00000",,"P","M"
"APO","AE","09173","000","00000",,"P","M"
"APO","AE","09177","000","00000",,"P","M"
"APO","AE","09180","000","00000",,"P","M"
"APO","AE","09186","000","00000",,"P","M"
