hashtag,1-gram,count
rettsyndrome,help,724
influenza,flu,5826
caudaequina,syndrome,20
schizofrenie,van,7
bedwetting,child,95
epilepsy,help,3913
dysautonomia,sharing,915
ppd,postpartum,1089
eds,awareness,1402
sarcoidosis,via,406
trichotillomania,hair,362
afib,atrial,1036
gallbladder,pain,599
testicularcancer,awareness,861
hernia,surgery,123
incontinence,via,1633
bcans,cancer,122
cleftlip,cleft,52
mnd,awareness,6711
als,awareness,5099
longqt,heart,48
stockportflufighting,flu,23
multipleendocrineneoplasia,patients,12
lymphoma,help,1115
asthma,may,2884
marfan,syndrome,5514
acne,skin,7322
ocd,like,3388
thycsm,call,181
ptsd,please,21040
add,adult,12363
infertility,via,2581
fragilex,syndrome,162
hearthealth,heart,17228
dupuytrens,contracture,7
thyroidcancer,cancer,471
lcsm,cancer,18557
foodallergy,food,3429
inflammation,reduce,1703
multiplesclerosis,>>,10324
childhoodobesity,obesity,938
hemoam,month,6
multscler,ms,491
hiv,new,27440
crcsm,cancer,2091
cholera,outbreak,2144
lymphoedema,research,189
coronaryarterydisease,trial,36
resfriado,mal,12
breastcancer,cancer,26489
tbi,brain,15562
livercancer,b,752
cleftpalate,surgery,75
halitosis,breath,344
lynchsyndrome,@,2062
pcos,women,1002
tuberculosis,tb,2459
grippe,flu,32
esocsm,symposium,341
peyroniesdisease,dr,11
cowdenssyndrome,mt,105
pcsm,cancer,1794
renalfailure,today,20
heatstroke,hot,2382
moebiussyndrome,moebius,80
cholesteatoma,ear,17
blcsm,cancer,295
bpd,life,2577
arachnoiditis,via,137
huntersyndrome,arian,3350
sids,small,395
gestationaldiabetes,women,116
kidneydisease,kidney,665
teamspondy,late,6
dengue,fever,1610
memoryloss,memory,528
cholesterol,levels,3219
hypothyroidism,thyroid,524
obesity,weight,9420
synesthesia,colors,201
aspergers,news,7958
tscsm,follow,293
gout,affects,344
uti,today,2217
trigeminalneuralgia,pain,720
hearingloss,hearing,5133
hepatitis,c,17799
ibd,disease,4273
heartburn,reflux,631
ulcers,stomach,304
menieres,disease,61
peanutallergy,peanut,443
ataxia,awareness,1079
schizophrenia,mental,1477
celiaquia,thank,2
angioedema,session,15
thmcsm,patient,7
colonirritable,help,4
eatingdisorder,eating,2148
aids,yahoo,26873
rheumatoidarthritis,pain,366
skincancer,skin,8512
bcsm,cancer,16445
baldness,hair,883
lymsm,lymphoma,173
bdd,via,307
malaria,nets,6449
btsm,brain,3472
brustkrebs,breast,16
cerebral,palsy,232
parkinsons,disease,2527
mbcsm,cancer,175
carpaltunnelsyndrome,carpal,45
cryogroup,interferon,2
cancerfreeme,story,49
hairloss,hair,8231
bipolar,disorder,9311
bepndaware,perinatal,104
cancersurvivors,cancer,858
h7n9,cases,6962
ppdchat,get,312
bloodcancer,help,445
sepsis,thanks,581
hiv_chat,outbreaks,8
seizures,15-25%,3368
candidiasis,weight,57
