firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/03/14,http://twitter.com/mvennitti/status/418935599534333952,mvennitti,Got caught in snow storm tonight. Frightening for #cryoglobulinemia pt.Medical alert. No contact w/COLD. http://t.co/13VBlaGKif #fear,8.875833,http://twitter.com/mvennitti/status/418935599534333952,http://twitter.com/mvennitti
01/24/14,http://twitter.com/mvennitti/status/426809246059991040,mvennitti,@vasculitisfound Liver stiffness in pts w/HCV and Mixed #Cryoglobulinemia re: Rituximab http://t.co/necJ61q2dv via @7thSpaceCom #raredisease,7.3657217,http://twitter.com/mvennitti/status/426809246059991040,http://twitter.com/mvennitti
01/24/14,http://twitter.com/mvennitti/status/426841598064730112,mvennitti,"@ChiariTracy Hi Tracy, nice to meet you and thanks for your work for #raredisease. #cryoglobulinemia @allianceforcyo",7.667326,http://twitter.com/mvennitti/status/426841598064730112,http://twitter.com/mvennitti
01/24/14,http://twitter.com/mvennitti/status/426842924777603072,mvennitti,@Primary_Immune Thanks for Retweet. #cryoglobulinemia #raredisease,8.240177,http://twitter.com/mvennitti/status/426842924777603072,http://twitter.com/mvennitti
01/28/14,http://twitter.com/drbader3/status/428087781613502464,drbader3,"Very low C4: #cryoglobulinemia, #SLE, congental C4 deficiency, or C1 esterase inhibitor deficiency+heredit angioedema
#Medicine #medicine",7.1072745,http://twitter.com/Drbader3/status/428087781613502464,http://twitter.com/drbader3
01/29/14,http://twitter.com/mvennitti/status/428514490439573504,mvennitti,#Cure Hep-c=eliminate #cryoglobulinemia Mounting optimism 4 #hepatitis_C drug. http://t.co/fxflcG2uxh via @MarketWatch #pharma #raredisease,7.2876654,http://twitter.com/mvennitti/status/428514490439573504,http://twitter.com/mvennitti
01/29/14,http://twitter.com/drbader3/status/428597952840749058,drbader3,"#Rituximab in resistant #cryoglobulinemia may help.
#medicine #Medicine",8.006608,http://twitter.com/Drbader3/status/428597952840749058,http://twitter.com/drbader3
01/30/14,http://twitter.com/mvennitti/status/428955789701554176,mvennitti,"#Cryoglobulinemia,the Community - @RareConnect http://t.co/54HrmV9eaI via @sharethis #raredisease helping people around the world find help.",7.658028,http://twitter.com/mvennitti/status/428955789701554176,http://twitter.com/mvennitti
02/03/14,http://twitter.com/mvennitti/status/430364473228918784,mvennitti,@HFIconnect 90% of #cryoglobulinemia #pts have #Hep-C. http://t.co/FMR4gBm0m7 Find us @allianceforcryo #rarediseease,7.2849755,http://twitter.com/mvennitti/status/430364473228918784,http://twitter.com/mvennitti
02/11/14,http://twitter.com/mvennitti/status/433242152865234944,mvennitti,"Should we consider possibility of ending #Hepatitis-C? Pros/Cons 

 http://t.co/Nxzq2WoySv via @sharethis #HCSM #Pharma #cryoglobulinemia",7.5322976,http://twitter.com/mvennitti/status/433242152865234944,http://twitter.com/mvennitti
02/11/14,http://twitter.com/hepcgi/status/433299404376637440,hepcgi,Sometimes with #hepatitis C there are other #conditions that may appear. One of those is #cryoglobulinemia ..- April,7.7116446,http://twitter.com/HepCGI/status/433299404376637440,http://twitter.com/hepcgi
02/12/14,http://twitter.com/hepcgi/status/433420202647093248,hepcgi,#Cryoglobulinemia can lead to problems #ranging from #skin rashes and #kidney failure..-April,7.7515144,http://twitter.com/HepCGI/status/433420202647093248,http://twitter.com/hepcgi
02/12/14,http://twitter.com/hepcgi/status/433450397814886401,hepcgi,#Cryoglobulinemia is part of a #group of diseases that cause #inflammation and #damage to the #blood vessels throughout the #body..-April,7.6136837,http://twitter.com/HepCGI/status/433450397814886401,http://twitter.com/hepcgi
02/12/14,http://twitter.com/hepcgi/status/433480595654443008,hepcgi,There are #three types of #cryoglobulinemia and they are #based on the #type of #antibody that it produces..-April,7.714037,http://twitter.com/HepCGI/status/433480595654443008,http://twitter.com/hepcgi
