firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/mtmdphd/status/418405822629441536,mtmdphd,"Great comments --&gt; ""@BCSM Chat: Come to dinner"" http://t.co/WsngYf47Wf #bcsm #mmsm",12.784469,http://twitter.com/mtmdphd/status/418405822629441536,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mtmdphd/status/418405887448207360,mtmdphd,ID of Signif Barriers to Accrual to @theNCI Sponsored Multiple #Myeloma Clinical Trials - @mcccshine #ASH12 http://t.co/H61fqrfRby #mmsm,9.95368,http://twitter.com/mtmdphd/status/418405887448207360,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mtmdphd/status/418405922902654976,mtmdphd,Strategies to overcome barriers to accrual 2 @theNCI #myeloma clinical trials (NCI-MYSC AWG) - @mcccshine et al http://t.co/TgdERu3TmT #mmsm,11.038692,http://twitter.com/mtmdphd/status/418405922902654976,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mtmdphd/status/418405957161734144,mtmdphd,Educate Pts &amp; providers about new #myeloma clinical trials using social media - @mcccshine et al. #ASCO13 http://t.co/N97NA1PUBf #hcsm #mmsm,9.95368,http://twitter.com/mtmdphd/status/418405957161734144,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mtmdphd/status/418406026237710336,mtmdphd,Why #mmsm twitter chat? to overcome barriers to accrual by Pt and MD education. See @mcccshine http://t.co/jK8Pgtmf96 http://t.co/e7z89yHCc2,10.416763,http://twitter.com/mtmdphd/status/418406026237710336,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mtmdphd/status/418406063965474816,mtmdphd,What is a Twitter chat? #mmsm http://t.co/0jqBTTnyGs,11.308808,http://twitter.com/mtmdphd/status/418406063965474816,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mtmdphd/status/418406675889287169,mtmdphd,Online Patient Communities for the E-Patient: “Betwixt and Between” a New Pt &amp; an Expert #ASCOConnection - http://t.co/LD5xWcIe0f #mmsm,10.157356,http://twitter.com/mtmdphd/status/418406675889287169,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mtmdphd/status/418407741380894720,mtmdphd,"#mmsm Twitter chat - 1/26/14 Sunday, 9-10pm CT ""Allogeneic SCT in Multiple Myeloma"" w/ @Phari @MyelomaTeacher et al. http://t.co/LNA22agXm0",10.846848,http://twitter.com/mtmdphd/status/418407741380894720,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/myeloma_doc/status/418423205930364928,myeloma_doc,"RT @mtmdphd: #mmsm Twitter chat - 1/26/14 Sunday, 9-10pm CT ""Allogeneic SCT in Multiple Myeloma"" w/ @Phari @MyelomaTeacher et al. http://t.…",9.930267,http://twitter.com/Myeloma_Doc/status/418423205930364928,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/myeloma_doc/status/418423216898441216,myeloma_doc,RT @mtmdphd: Strategies to overcome barriers to accrual 2 @theNCI #myeloma clinical trials (NCI-MYSC AWG) - @mcccshine et al http://t.co/Tg…,9.7070875,http://twitter.com/Myeloma_Doc/status/418423216898441216,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/mrtzsn/status/418433530981801984,mrtzsn,So Gut Wie Genug: As Good As Enough - English translation by Anna Galt #MMSM #Art #Berlin http://t.co/5iQNIkIxNJ,7.3257174,http://twitter.com/mrtzsn/status/418433530981801984,http://twitter.com/mrtzsn
01/02/14,http://twitter.com/asco/status/418598412595232769,asco,"RT @mtmdphd: Great comments --&gt; ""@BCSM Chat: Come to dinner"" http://t.co/WsngYf47Wf #bcsm #mmsm",10.854792,http://twitter.com/ASCO/status/418598412595232769,http://twitter.com/asco
01/02/14,http://twitter.com/cure_talk/status/418721436811808769,cure_talk,Catch the RECAP of our #Myeloma shows through 2013. A SHOUT OUT for our experts and panelists! #mmsm https://t.co/h22oP9YTdB,7.620549,http://twitter.com/cure_talk/status/418721436811808769,http://twitter.com/cure_talk
01/02/14,http://twitter.com/alh905/status/418723655552860160,alh905,"RT @mtmdphd: Great comments --&gt; ""@BCSM Chat: Come to dinner"" http://t.co/WsngYf47Wf #bcsm #mmsm",7.516124,http://twitter.com/ALH905/status/418723655552860160,http://twitter.com/alh905
01/02/14,http://twitter.com/mtmdphd/status/418736442945572864,mtmdphd,"#mmsm Twitter chat - 1/26/14 Sunday, 9-10pm CT ""Allogeneic SCT in Multiple Myeloma"" w/ @Phari @MyelomaTeacher et al. http://t.co/LNA22agXm0",9.925133,http://twitter.com/mtmdphd/status/418736442945572864,http://twitter.com/mtmdphd
01/02/14,http://twitter.com/terrihair/status/418739092747063296,terrihair,"RT @mtmdphd: Great comments --&gt; ""@BCSM Chat: Come to dinner"" http://t.co/WsngYf47Wf #bcsm #mmsm",7.516124,http://twitter.com/TerriHair/status/418739092747063296,http://twitter.com/terrihair
01/02/14,http://twitter.com/granitehead/status/418750737607585792,granitehead,"Building Data infrastructure for interpretation by multiple myeloma research community, one genome at a time. #mmsm http://t.co/3VzJvC7yGO",7.5285344,http://twitter.com/granitehead/status/418750737607585792,http://twitter.com/granitehead
01/02/14,http://twitter.com/mtmdphd/status/418768866152808449,mtmdphd,"#mmsm Twitter chat 1/26/14 Sun 8-9pm CT ""Allogeneic SCT in Myeloma"" w/ @Phari http://t.co/LNA22agXm0 &lt;- note time change @MaverickNY",11.119912,http://twitter.com/mtmdphd/status/418768866152808449,http://twitter.com/mtmdphd
01/02/14,http://twitter.com/mtmdphd/status/418780193755770880,mtmdphd,Why #mmsm twitter chat? to overcome barriers to accrual by Pt and MD education. See @mcccshine http://t.co/fvZPwr6qwA http://t.co/KMSGdKcaFy,10.311145,http://twitter.com/mtmdphd/status/418780193755770880,http://twitter.com/mtmdphd
01/02/14,http://twitter.com/fischmd/status/418816335838449664,fischmd,"RT @mtmdphd: Great comments --&gt; ""@BCSM Chat: Come to dinner"" http://t.co/WsngYf47Wf #bcsm #mmsm",10.759228,http://twitter.com/fischmd/status/418816335838449664,http://twitter.com/fischmd
01/02/14,http://twitter.com/cancermedmda/status/418858616720855040,cancermedmda,"RT @fischmd: MT @vincentrk: New drugs showing responses in #myeloma: anti CD38 moAbs, ARRY-520, CDK inhibitors, BT-062 &amp; GSK2110183 #biotec…",6.2016244,http://twitter.com/CancerMedMDA/status/418858616720855040,http://twitter.com/cancermedmda
01/02/14,http://twitter.com/vincentrk/status/418882890697818112,vincentrk,"RT @mtmdphd: #mmsm Twitter chat 1/26/14 Sun 8-9pm CT ""Allogeneic SCT in Myeloma"" w/ @Phari http://t.co/LNA22agXm0 &lt;- note time change @Mave…",6.6304593,http://twitter.com/VincentRK/status/418882890697818112,http://twitter.com/vincentrk
01/02/14,http://twitter.com/myelomateacher/status/418892051833315329,myelomateacher,#Myeloma on @CurePanel Talk Show Recap 0f 2013 (via http://t.co/oU0yNHtXYT ) https://t.co/SO7GysguuH … #mmsm,7.554521,http://twitter.com/MyelomaTeacher/status/418892051833315329,http://twitter.com/myelomateacher
01/02/14,http://twitter.com/myelomateacher/status/418893299190333440,myelomateacher,RT @mtmdphd: Strategies to overcome barriers to accrual 2 @theNCI #myeloma clinical trials (NCI-MYSC AWG) - @mcccshine et al http://t.co/Tg…,6.50001,http://twitter.com/MyelomaTeacher/status/418893299190333440,http://twitter.com/myelomateacher
01/03/14,http://twitter.com/cure_talk/status/419051888906993664,cure_talk,RT @MyelomaTeacher: #Myeloma - Is there a genetic connection? @PatientPower videos http://t.co/Wm41pjZdE9 #mmsm,6.936387,http://twitter.com/cure_talk/status/419051888906993664,http://twitter.com/cure_talk
01/03/14,http://twitter.com/mayomyeloma/status/419146032245526528,mayomyeloma,"RT @mtmdphd: #Myeloma Top 10 Discoveries in 2013 (via @VincentRK of @MayoClinic @MayoMyeloma) 
- LinkedIn [closed/moderated] http://t.co/P4…",10.000702,http://twitter.com/MayoMyeloma/status/419146032245526528,http://twitter.com/mayomyeloma
01/03/14,http://twitter.com/myelomateacher/status/419151786197680129,myelomateacher,"RT @mtmdphd: #mmsm Twitter chat 1/26/14 Sun 8-9pm CT ""Allogeneic SCT in Myeloma"" w/ @Phari http://t.co/LNA22agXm0 &lt;- note time change @Mave…",6.6304593,http://twitter.com/MyelomaTeacher/status/419151786197680129,http://twitter.com/myelomateacher
01/06/14,http://twitter.com/pat_kheswa/status/420128696952193024,pat_kheswa,"I need to register for my ""research report"" for 2014 #MMSM, when is registration? @witsbschool",7.438171,http://twitter.com/pat_kheswa/status/420128696952193024,http://twitter.com/pat_kheswa
01/06/14,http://twitter.com/mtmdphd/status/420298054810742784,mtmdphd,Why #mmsm twitter chat? to overcome barriers to accrual by Pt and MD education. See @mcccshine http://t.co/kPaxXbZl09 http://t.co/TKOwqnAyqs,11.072671,http://twitter.com/mtmdphd/status/420298054810742784,http://twitter.com/mtmdphd
01/06/14,http://twitter.com/mtmdphd/status/420298095759720448,mtmdphd,ECOG-ACRIN E3A06: Lenalidomide or Observ in Asymptomatic High-Risk Smoldering #Myeloma http://t.co/eYJQA1KqMn #mmsm #EAOnc,9.690496,http://twitter.com/mtmdphd/status/420298095759720448,http://twitter.com/mtmdphd
01/06/14,http://twitter.com/myelomateacher/status/420298212931813376,myelomateacher,RT @mtmdphd: Why #mmsm twitter chat? to overcome barriers to accrual by Pt and MD education. See @mcccshine http://t.co/kPaxXbZl09 http://t…,7.0680747,http://twitter.com/MyelomaTeacher/status/420298212931813376,http://twitter.com/myelomateacher
01/06/14,http://twitter.com/myelomateacher/status/420305021578653696,myelomateacher,Best of #ASH13 Teleconference- What #Myeloma Patients need to know! sponsored by @IMFmyeloma 1/16 at 7 EST http://t.co/PjdWBGkDrV #MMSM,11.352714,http://twitter.com/MyelomaTeacher/status/420305021578653696,http://twitter.com/myelomateacher
01/07/14,http://twitter.com/myelomateacher/status/420353080459137025,myelomateacher,When Doctors 'Google' Their Patients http://t.co/Fln19Wmn65  #HCSM #MMSM,7.9781513,http://twitter.com/MyelomaTeacher/status/420353080459137025,http://twitter.com/myelomateacher
01/07/14,http://twitter.com/a_jh43/status/420452011738669056,a_jh43,This was the last pic me and my son took before I left #MMSM #miss #my #son #monday #XanderLeeJames… http://t.co/rOzBILvXb8,7.4722843,http://twitter.com/a_jh43/status/420452011738669056,http://twitter.com/a_jh43
