firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/sepsissurvivors/status/418261506245947393,sepsissurvivors,"Patients-Take Responsibility ~ Doctors-Be Clear
 My 2 year Anniversary Blog post
A common sense gift to you
http://t.co/36fTrMHBmf 
#sepsis",9.574804,http://twitter.com/SepsisSurvivors/status/418261506245947393,http://twitter.com/sepsissurvivors
01/01/14,http://twitter.com/thearisestudy/status/418327439366823936,thearisestudy,"We are off for 2014 and on our way home, thanks to the team at RNSH.
89
#sepsis",7.7508707,http://twitter.com/TheARISEstudy/status/418327439366823936,http://twitter.com/thearisestudy
01/01/14,http://twitter.com/flatc41/status/418376779145834496,flatc41,"""Fatigued and sleep-deprived critical care nurses put their patients and themselves at serious risk,""  #sepsis
SCCM",8.576815,http://twitter.com/flatc41/status/418376779145834496,http://twitter.com/flatc41
01/01/14,http://twitter.com/debspvb/status/418410031181475840,debspvb,"RT @flatc41: ""Fatigued and sleep-deprived critical care nurses put their patients and themselves at serious risk,""  #sepsis
SCCM",7.0516343,http://twitter.com/debspvb/status/418410031181475840,http://twitter.com/debspvb
01/01/14,http://twitter.com/sepsissurvivors/status/418412957601525760,sepsissurvivors,@PatientStormDoc @jama Thank you very much. What wonderful feedback as the new year begins. #sepsis #humbled,7.3920484,http://twitter.com/SepsisSurvivors/status/418412957601525760,http://twitter.com/sepsissurvivors
01/01/14,http://twitter.com/hhask/status/418413169032581120,hhask,"RT @SepsisSurvivors: Patients-Take Responsibility ~ Doctors-Be Clear
 My 2 year Anniversary Blog post
A common sense gift to you
http://t.c…",7.0538926,http://twitter.com/hhask/status/418413169032581120,http://twitter.com/hhask
01/01/14,http://twitter.com/sepsissurvivors/status/418413266545541120,sepsissurvivors,@WhatsonWeymouth Brilliant! Thanks for sharing good news and congratulations! #sepsis,7.8609023,http://twitter.com/SepsisSurvivors/status/418413266545541120,http://twitter.com/sepsissurvivors
01/01/14,http://twitter.com/sepsissurvivors/status/418413515322306560,sepsissurvivors,"@matilda501 Angela, Ty for RT my blog post. #sepsis #grateful",7.7917733,http://twitter.com/SepsisSurvivors/status/418413515322306560,http://twitter.com/sepsissurvivors
01/01/14,http://twitter.com/sepsissurvivors/status/418414040155574272,sepsissurvivors,"@SepsisSurvivors Helen, Ty very much for the RT #sepsis",8.005407,http://twitter.com/SepsisSurvivors/status/418414040155574272,http://twitter.com/sepsissurvivors
01/01/14,http://twitter.com/nurturemybaby/status/418414470202130434,nurturemybaby,"RT @SepsisSurvivors: Patients-Take Responsibility ~ Doctors-Be Clear
 My 2 year Anniversary Blog post
A common sense gift to you
http://t.c…",7.0538926,http://twitter.com/NurtureMyBaby/status/418414470202130434,http://twitter.com/nurturemybaby
01/01/14,http://twitter.com/sepsissurvivors/status/418416967435812864,sepsissurvivors,"@NotAlone365 @SDepressed Good things lay ahead, they must, because they've certainly not been behind! ;) ...#hope #sarcasm #sepsis",7.2759633,http://twitter.com/SepsisSurvivors/status/418416967435812864,http://twitter.com/sepsissurvivors
01/01/14,http://twitter.com/sepsissurvivors/status/418417828287361024,sepsissurvivors,"RT @flatc41: ""Fatigued and sleep-deprived critical care nurses put their patients and themselves at serious risk,""  #sepsis
SCCM",7.0516343,http://twitter.com/SepsisSurvivors/status/418417828287361024,http://twitter.com/sepsissurvivors
01/01/14,http://twitter.com/sepsissurvivors/status/418419388530688000,sepsissurvivors,@NotAlone365 @SDepressed Ooooh fine ;) #hope it shall be. *Although #sepsis is my focus ...it's the reason I'm #aloneatxmas/ny &lt;3,6.970082,http://twitter.com/SepsisSurvivors/status/418419388530688000,http://twitter.com/sepsissurvivors
01/01/14,http://twitter.com/sepsissurvivors/status/418419938336837633,sepsissurvivors,@NurtureMyBaby Thank you for RT'ng my Blog post. #sepsis  http://t.co/6o75cmZaWb #grateful,7.863913,http://twitter.com/SepsisSurvivors/status/418419938336837633,http://twitter.com/sepsissurvivors
01/01/14,http://twitter.com/dianavaniterson/status/418440592520380416,dianavaniterson,"RT @SepsisSurvivors: Patients-Take Responsibility ~ Doctors-Be Clear
 My 2 year Anniversary Blog post
A common sense gift to you
http://t.c…",7.0538926,http://twitter.com/dianavanIterson/status/418440592520380416,http://twitter.com/dianavaniterson
