firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/brcaumbrella/status/418365135242395649,brcaumbrella,Happy new from BRCA UMBRELLA! Looking forward to hearing from you all in 2014!  #brca #ovariancancer #breastcancer #genetics,7.31946,http://twitter.com/BRCAUmbrella/status/418365135242395649,http://twitter.com/brcaumbrella
01/01/14,http://twitter.com/abcdiagnosis/status/418380143833677824,abcdiagnosis,Families do not understand the implications of #genetic test results http://t.co/kaJnirfAIe #BRCA #breastcancer #ovariancancer,8.734696,http://twitter.com/abcdiagnosis/status/418380143833677824,http://twitter.com/abcdiagnosis
01/01/14,http://twitter.com/genesis072670/status/418381563017973760,genesis072670,RT @abcdiagnosis: Families do not understand the implications of #genetic test results http://t.co/kaJnirfAIe #BRCA #breastcancer #ovarianc…,7.222362,http://twitter.com/genesis072670/status/418381563017973760,http://twitter.com/genesis072670
01/01/14,http://twitter.com/lisajey/status/418391927776874496,lisajey,"If a relative has suffered Ovarian or Breast Cancer, get the genetic screening. It could save your life. #BRCA #BreastCancerAwareness #Boobs",7.3024898,http://twitter.com/LisaJey/status/418391927776874496,http://twitter.com/lisajey
01/01/14,http://twitter.com/lisajey/status/418405702697119745,lisajey,Glamour Mag's documentary Screw You Cancer - this trailer touches on #BRCA &amp; preventive surgeries.... http://t.co/7mg1ephMt5,7.029645,http://twitter.com/LisaJey/status/418405702697119745,http://twitter.com/lisajey
01/01/14,http://twitter.com/floridaforce/status/418426487193075713,brcaresponder,Women with #BRCA 1 mutation are at higher risk for triple negative #BreastCancer from: http://t.co/JeDntDA8tf @KomenSouthFla @NancyGBrinker,11.642785,http://twitter.com/FloridaForce/status/418426487193075713,http://twitter.com/brcaresponder
01/01/14,http://twitter.com/mycandlesofhope/status/418426747873292288,mycandlesofhope,RT @FloridaForce: Women with #BRCA 1 mutation are at higher risk for triple negative #BreastCancer from: http://t.co/JeDntDA8tf @KomenSouth…,10.131578,http://twitter.com/mycandlesofhope/status/418426747873292288,http://twitter.com/mycandlesofhope
01/01/14,http://twitter.com/paulmakesmovies/status/418428949983535104,paulmakesmovies,RT @FloridaForce: Women with #BRCA 1 mutation are at higher risk for triple negative #BreastCancer from: http://t.co/JeDntDA8tf @KomenSouth…,10.32329,http://twitter.com/PaulMakesMovies/status/418428949983535104,http://twitter.com/paulmakesmovies
01/01/14,http://twitter.com/floridaforce/status/418429218632904704,brcaresponder,Happy New Year #BRCA advocate peeps @Teri_Smieja @jdhermanmd @LisaJey @pinkandbluedoc @sswartz @firstprize1 @BraveBosom #knowledgeispower,8.675824,http://twitter.com/FloridaForce/status/418429218632904704,http://twitter.com/brcaresponder
01/01/14,http://twitter.com/floridaforce/status/418434357162811392,brcaresponder,#bcsm Women with #BRCA 1 mutation are at higher risk for triple negative #BreastCancer http://t.co/JeDntDA8tf,7.5478315,http://twitter.com/FloridaForce/status/418434357162811392,http://twitter.com/brcaresponder
01/01/14,http://twitter.com/lisajey/status/418467469553303552,lisajey,"If a relative has suffered Ovarian or Breast Cancer, get the genetic screening. It saves lives. #BRCA #BCA #LadyParts #Ovaries #Boobs",6.960381,http://twitter.com/LisaJey/status/418467469553303552,http://twitter.com/lisajey
01/01/14,http://twitter.com/checkyourgenes/status/418476505107562496,checkyourgenes,"RT @LisaJey: If a relative has suffered Ovarian or Breast Cancer, get the genetic screening. It saves lives. #BRCA #BCA #LadyParts...",7.909398,http://twitter.com/CheckYourGenes/status/418476505107562496,http://twitter.com/checkyourgenes
01/01/14,http://twitter.com/davehatter/status/418476950928121856,davehatter,"RT @CheckYourGenes: RT @LisaJey: If a relative has suffered Ovarian or Breast Cancer, get the genetic screening. It saves lives. #BRCA #BCA…",6.8661017,http://twitter.com/DaveHatter/status/418476950928121856,http://twitter.com/davehatter
01/01/14,http://twitter.com/bravebosom/status/418480480410165248,bravebosom,RT @FloridaForce: Happy New Year #BRCA advocate peeps @Teri_Smieja @jdhermanmd @LisaJey @pinkandbluedoc @sswartz @firstprize1 @BraveBosom #…,6.444329,http://twitter.com/BraveBosom/status/418480480410165248,http://twitter.com/bravebosom
01/01/14,http://twitter.com/floridaforce/status/418499543219466240,brcaresponder,The #BRCA Responder: Happy New Year New Blog! 1st Post! http://t.co/gcTgajVTPw @Teri_Smieja @jdhermanmd @LisaJey @firstprize1 @BraveBosom,9.016865,http://twitter.com/FloridaForce/status/418499543219466240,http://twitter.com/brcaresponder
01/01/14,http://twitter.com/kaltersitz/status/418517899629056000,kaltersitz,RT @FloridaForce: The #BRCA Responder: Happy New Year New Blog! 1st Post! http://t.co/gcTgajVTPw @Teri_Smieja @jdhermanmd @LisaJey @firstpr…,6.7156267,http://twitter.com/kaltersitz/status/418517899629056000,http://twitter.com/kaltersitz
01/01/14,http://twitter.com/brcainfo/status/418532004557512704,brcainfo,I'm feeling very blessed right now. Hope it rubs off on all of you. :) #brca #bcsm #ovarian #countingmyblessings,11.38932,http://twitter.com/BRCAinfo/status/418532004557512704,http://twitter.com/brcainfo
01/02/14,http://twitter.com/caroledelp/status/418532130931884032,caroledelp,RT @BRCAinfo: I'm feeling very blessed right now. Hope it rubs off on all of you. :) #brca #bcsm #ovarian #countingmyblessings,6.948151,http://twitter.com/caroledelp/status/418532130931884032,http://twitter.com/caroledelp
01/02/14,http://twitter.com/mycandlesofhope/status/418533121823604736,mycandlesofhope,RT @BRCAinfo: I'm feeling very blessed right now. Hope it rubs off on all of you. :) #brca #bcsm #ovarian #countingmyblessings,10.133706,http://twitter.com/mycandlesofhope/status/418533121823604736,http://twitter.com/mycandlesofhope
01/02/14,http://twitter.com/bravebosom/status/418533557595017216,bravebosom,RT @FloridaForce: The #BRCA Responder: Happy New Year New Blog! 1st Post! http://t.co/gcTgajVTPw @Teri_Smieja @jdhermanmd @LisaJey @firstpr…,6.7156267,http://twitter.com/BraveBosom/status/418533557595017216,http://twitter.com/bravebosom
01/02/14,http://twitter.com/bloggingbrca/status/418549238604521472,bloggingbrca,RT @FloridaForce: The #BRCA Responder: Happy New Year New Blog! 1st Post! http://t.co/gcTgajVTPw @Teri_Smieja @jdhermanmd @LisaJey @firstpr…,6.7156267,http://twitter.com/bloggingBRCA/status/418549238604521472,http://twitter.com/bloggingbrca
01/02/14,http://twitter.com/jdhermanmd/status/418550126957715456,jdhermanmd,48 year old Darlene #Zschech Faces Battle with #Breast Ca hope she gets #BRCA testing  http://t.co/B6L6Kw8Km0,7.270325,http://twitter.com/jdhermanmd/status/418550126957715456,http://twitter.com/jdhermanmd
01/02/14,http://twitter.com/floridaforce/status/418557431124217856,brcaresponder,@judyblume Yay extra night! Happy New Year Judy! Please check out my new blog. The #BRCA Responder: http://t.co/gcTgajVTPw,7.6915135,http://twitter.com/FloridaForce/status/418557431124217856,http://twitter.com/brcaresponder
