firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/mtmdphd/status/418399228411805697,mtmdphd,Clinical Biomarkers in Colorectal Cancer - Morris &amp; @SKopetz [login necessary] @clinadvances http://t.co/WLsgQckABT #crcsm,10.149055,http://twitter.com/mtmdphd/status/418399228411805697,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/drwilliamharb/status/418430401728638977,drwilliamharb,Happy New Year to @JonBruning. Glad no chemo. Make sure you get checked for #lynchsyndrome and thanks for helping us raise awareness! #crcsm,8.090501,http://twitter.com/drwilliamharb/status/418430401728638977,http://twitter.com/drwilliamharb
01/02/14,http://twitter.com/cancergeek/status/418766369576873984,cancergeek,MT: research article--&gt; @fischmd: Preop MRI helps predict rectal #cancer outcomes http://t.co/xzJ24ImmCr HT @CathyEngMD #SWOGOnc #crcsm,7.7966824,http://twitter.com/CancerGeek/status/418766369576873984,http://twitter.com/cancergeek
01/02/14,http://twitter.com/mtmdphd/status/418780225963851776,mtmdphd,Clinical Biomarkers in Colorectal Cancer - Morris &amp; @SKopetz [login necessary] @clinadvances http://t.co/keDkllkAH3 #crcsm,10.007026,http://twitter.com/mtmdphd/status/418780225963851776,http://twitter.com/mtmdphd
01/02/14,http://twitter.com/mtmdphd/status/418831804037349376,mtmdphd,Clinical Biomarkers in Colorectal Cancer - Morris &amp; @SKopetz in @clinadvances  http://t.co/M1cbidL31b #crcsm,10.033458,http://twitter.com/mtmdphd/status/418831804037349376,http://twitter.com/mtmdphd
01/02/14,http://twitter.com/asco/status/418865035126267904,asco,Understanding low rates of compliance w/ surveillance recs in African-American colorectal cancer survivors http://t.co/wKiqUUvDvf #crcsm,11.238418,http://twitter.com/ASCO/status/418865035126267904,http://twitter.com/asco
01/02/14,http://twitter.com/abumrap/status/418869210975326208,abumrap,“@drwilliamharb: @rareACTION Any #Peutz-Jeghers pts out there? We'd like to hear from you! #crcsm”,6.8838787,http://twitter.com/ABumRap/status/418869210975326208,http://twitter.com/abumrap
01/02/14,http://twitter.com/aspo1962/status/418869346115391488,aspo1962,RT @ASCO: Understanding low rates of compliance w/ surveillance recs in African-American colorectal cancer survivors http://t.co/wKiqUUvDvf…,7.082074,http://twitter.com/Aspo1962/status/418869346115391488,http://twitter.com/aspo1962
01/03/14,http://twitter.com/shewithlynch/status/419070914894893058,shewithlynch,RT @drwilliamharb: Happy New Year to @JonBruning. Glad no chemo. Make sure you get checked for #lynchsyndrome and thanks for helping us rai…,7.040646,http://twitter.com/ShewithLynch/status/419070914894893058,http://twitter.com/shewithlynch
01/03/14,http://twitter.com/mtmdphd/status/419074413594963968,mtmdphd,Surveillance Instructions and Knowledge Among African American Colorectal Cancer Survivors - Pisu et al. #JOP http://t.co/iD0wFc0m1F #crcsm,11.088814,http://twitter.com/mtmdphd/status/419074413594963968,http://twitter.com/mtmdphd
01/03/14,http://twitter.com/primary_immune/status/419075323037499392,primary_immune,RT @mtmdphd: Surveillance Instructions and Knowledge Among African American Colorectal Cancer Survivors - Pisu et al. #JOP http://t.co/iD0w…,7.020964,http://twitter.com/Primary_Immune/status/419075323037499392,http://twitter.com/primary_immune
01/03/14,http://twitter.com/kintalkucsf/status/419158462837170176,kintalkucsf,RT @GoGenesGo: Just do it---2013 Studies provide lots of Good evidence that Colonoscopy Works! #crcsm #lynchsyndrome #preventcancer http://…,6.9515805,http://twitter.com/KintalkUCSF/status/419158462837170176,http://twitter.com/kintalkucsf
01/03/14,http://twitter.com/abumrap/status/419169922988908544,abumrap,Have any colo-rectal-anal disease &amp; looking for help &amp; support? Check out http://t.co/UcobQI4HN4 @chris4cure @COLONTOWN #ancsm #crcsm,7.2284193,http://twitter.com/ABumRap/status/419169922988908544,http://twitter.com/abumrap
01/03/14,http://twitter.com/abumrap/status/419170048927096832,abumrap,RT @CancerGeek: MT: research article--&gt; @fischmd: Preop MRI helps predict rectal #cancer outcomes http://t.co/xzJ24ImmCr HT @CathyEngMD #SW…,6.758229,http://twitter.com/ABumRap/status/419170048927096832,http://twitter.com/abumrap
01/03/14,http://twitter.com/abumrap/status/419170548443525120,abumrap,"RT @CancerGeek: Cancer: Report On Decrease In Cancer Mortality, Lung Most Improved http://t.co/T9iE2l2pKy
#cancer #lcsm #bcsm #pancsm #crcsm",6.9543114,http://twitter.com/ABumRap/status/419170548443525120,http://twitter.com/abumrap
01/03/14,http://twitter.com/abumrap/status/419171444225228800,abumrap,RT @ASCO: Why attend the GI Symposium? @The_BMC's Dr Kachnic explains http://t.co/iCZZuSwC68  #crcsm #pancsm #esocsm #stcsm #GI14,6.662318,http://twitter.com/ABumRap/status/419171444225228800,http://twitter.com/abumrap
01/03/14,http://twitter.com/oncology23/status/419209853320835073,oncology23,RT @ASCOPost: Treating BRAF V600E Colorectal Cancer May Require Concomitant BRAF and PI3K/mTOR Inhibition http://t.co/f2LuwM3AIc #crcsm,6.813494,http://twitter.com/oncology23/status/419209853320835073,http://twitter.com/oncology23
01/03/14,http://twitter.com/talkabouthealth/status/419219158325551104,talkabouthealth,Would you describe the process of having a colostomy? Dr.Farma @FoxChaseCancer http://t.co/egSk9B9NuB #crcsm #colorectalcancer,12.26827,http://twitter.com/talkabouthealth/status/419219158325551104,http://twitter.com/talkabouthealth
01/03/14,http://twitter.com/aspo1962/status/419220943295090689,aspo1962,RT @talkabouthealth: Would you describe the process of having a colostomy? Dr.Farma @FoxChaseCancer http://t.co/egSk9B9NuB #crcsm #colorect…,7.1554837,http://twitter.com/Aspo1962/status/419220943295090689,http://twitter.com/aspo1962
01/03/14,http://twitter.com/kintalkucsf/status/419234687320879104,kintalkucsf,RT @talkabouthealth: Would you describe the process of having a colostomy? Dr.Farma @FoxChaseCancer http://t.co/egSk9B9NuB #crcsm #colorect…,7.1554837,http://twitter.com/KintalkUCSF/status/419234687320879104,http://twitter.com/kintalkucsf
