firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/letlifehappen/status/418364130450763776,letlifehappen,"Study: Coffee Might Lower Risk of Liver Cancer http://t.co/jlXFuaG4eK
 #coffee #livercancer",11.614028,http://twitter.com/letlifehappen/status/418364130450763776,http://twitter.com/letlifehappen
01/01/14,http://twitter.com/freemanortho/status/418365170143207424,freemanortho,"Hail to the bean! @letlifehappen: Study: Coffee Might Lower Risk of Liver Cancer http://t.co/dtACIsAwLP
 #coffee #livercancer",7.721782,http://twitter.com/FreemanOrtho/status/418365170143207424,http://twitter.com/freemanortho
01/01/14,http://twitter.com/laurirottmayer/status/418397483581313024,laurirottmayer,Awesome! #carpejava RT @letlifehappen: Study: Coffee Might Lower Risk of Liver Cancer http://t.co/uuB7xAraLv #coffee #livercancer,11.1379795,http://twitter.com/LauriRottmayer/status/418397483581313024,http://twitter.com/laurirottmayer
01/01/14,http://twitter.com/livercancerconn/status/418442905087643648,livercancerconn,"DYN the #Hepatitis B Vaccine, the world’s 1st anti-cancer vaccine, prevents #livercancer? B protected!  http://t.co/NI2eh67U0n",7.160433,http://twitter.com/LiverCancerConn/status/418442905087643648,http://twitter.com/livercancerconn
01/02/14,http://twitter.com/focpuae/status/418638219207794688,focpuae,Researchers Discover a Twist in #LiverCancer Development http://t.co/DySh1LIQ7q #Cancer,8.302939,http://twitter.com/focpuae/status/418638219207794688,http://twitter.com/focpuae
01/02/14,http://twitter.com/livercancerconn/status/418786330852986880,livercancerconn,Researchers identify #livercancer progenitor cells before tumors become visible http://t.co/4tACxeo0xy,11.73591,http://twitter.com/LiverCancerConn/status/418786330852986880,http://twitter.com/livercancerconn
01/02/14,http://twitter.com/livercancerconn/status/418786522260070400,livercancerconn,"Visit @LiverCancerConn on Facebook for info on #livercancer risk factors, prevention, screening, diagnosis &amp; TX http://t.co/ecdHqGzWF1",7.35521,http://twitter.com/LiverCancerConn/status/418786522260070400,http://twitter.com/livercancerconn
01/02/14,http://twitter.com/fochik/status/418786858407968768,fochik,RT @LiverCancerConn: Researchers identify #livercancer progenitor cells before tumors become visible http://t.co/4tACxeo0xy,10.817536,http://twitter.com/Fochik/status/418786858407968768,http://twitter.com/fochik
01/02/14,http://twitter.com/livercancerconn/status/418817895180025856,livercancerconn,"#Livercancer, the 5th most common cancer worldwide, accounts for more than 600,000 deaths each year - American Cancer Society",7.4930406,http://twitter.com/LiverCancerConn/status/418817895180025856,http://twitter.com/livercancerconn
01/02/14,http://twitter.com/hepbfoundation/status/418829222451634176,hepbfoundation,"RT @LiverCancerConn: #Livercancer, the 5th most common cancer worldwide, accounts for more than 600,000 deaths each year - American...",11.241609,http://twitter.com/HepBFoundation/status/418829222451634176,http://twitter.com/hepbfoundation
01/03/14,http://twitter.com/johnstrthr/status/418981139580088320,johnstrthr,"RT @HepBFoundation: RT @LiverCancerConn: #Livercancer, the 5th most common cancer worldwide, accounts for more than 600,000 deaths each yea…",7.2262774,http://twitter.com/johnstrthr/status/418981139580088320,http://twitter.com/johnstrthr
01/03/14,http://twitter.com/janebrown_am740/status/419094694425944066,janebrown_am740,"1960s singing sensation #JayTraynor dies at 70 after 2 year #livercancer fight.  #JayandtheAmericans

http://t.co/DhpmzGvp8h",7.527571,http://twitter.com/JaneBrown_AM740/status/419094694425944066,http://twitter.com/janebrown_am740
01/03/14,http://twitter.com/livercancerconn/status/419132611228090368,livercancerconn,Are you at risk for #livercancer? You may be at risk and not even know it. Learn more about hepatocellular carcinoma http://t.co/cboC1cAZA1,7.514176,http://twitter.com/LiverCancerConn/status/419132611228090368,http://twitter.com/livercancerconn
01/03/14,http://twitter.com/livercancerconn/status/419175263281639425,livercancerconn,DYN in chronic #hepatitis B #livercancer may appear w/ or w/out cirrhosis? Early detection saves lives http://t.co/pk9vViGfhY,8.084487,http://twitter.com/LiverCancerConn/status/419175263281639425,http://twitter.com/livercancerconn
01/03/14,http://twitter.com/hepbfoundation/status/419181587390291968,hepbfoundation,RT @LiverCancerConn: w/chronic #hepatitis B #livercancer may appear w/ or w/out cirrhosis? Early detection is key http://t.co/6zrO2DAlry,11.09392,http://twitter.com/HepBFoundation/status/419181587390291968,http://twitter.com/hepbfoundation
01/03/14,http://twitter.com/andrewlangford1/status/419188446864093184,andrewlangford1,RT @HepBFoundation: RT @LiverCancerConn: w/chronic #hepatitis B #livercancer may appear w/ or w/out cirrhosis? Early detection is key http:…,7.082742,http://twitter.com/AndrewLangford1/status/419188446864093184,http://twitter.com/andrewlangford1
01/03/14,http://twitter.com/ottawahealth/status/419209198673862656,ottawahealth,Sometimes resolved on its own. In some can cause #LiverCancer. Grade7 kids can be vaccinated against it. What is it? http://t.co/KKLwb9FMgZ,11.855151,http://twitter.com/ottawahealth/status/419209198673862656,http://twitter.com/ottawahealth
01/03/14,http://twitter.com/muddybike/status/419209515389554689,muddybike,RT @ottawahealth: Sometimes resolved on its own. In some can cause #LiverCancer. Grade7 kids can be vaccinated against it. What is it? http…,7.332682,http://twitter.com/muddybike/status/419209515389554689,http://twitter.com/muddybike
01/03/14,http://twitter.com/immunizeon/status/419212012745269248,immunizeon,RT @ottawahealth: Sometimes resolved on its own. In some can cause #LiverCancer. Grade7 kids can be vaccinated against it. What is it? http…,7.332682,http://twitter.com/ImmunizeON/status/419212012745269248,http://twitter.com/immunizeon
01/03/14,http://twitter.com/cdchep/status/419216834454634496,cdchep,Did you know chronic #hepatitis is a leading cause of #livercancer? Find out your #HepRisk http://t.co/ESl15DnzH4,12.667385,http://twitter.com/cdchep/status/419216834454634496,http://twitter.com/cdchep
01/03/14,http://twitter.com/moraviahealth/status/419216989421572096,moraviahealth,RT @cdchep: Did you know chronic #hepatitis is a leading cause of #livercancer? Find out your #HepRisk http://t.co/ESl15DnzH4,7.2887735,http://twitter.com/MoraviaHealth/status/419216989421572096,http://twitter.com/moraviahealth
01/03/14,http://twitter.com/foodsafetysis/status/419218087791976448,foodsafetysis,RT @cdchep: Did you know chronic #hepatitis is a leading cause of #livercancer? Find out your #HepRisk http://t.co/ESl15DnzH4,7.2887735,http://twitter.com/foodsafetysis/status/419218087791976448,http://twitter.com/foodsafetysis
01/03/14,http://twitter.com/nlm_sis/status/419218425802915840,nlm_sis,RT @cdchep: Did you know chronic #hepatitis is a leading cause of #livercancer? Find out your #HepRisk http://t.co/ESl15DnzH4,10.453813,http://twitter.com/NLM_SIS/status/419218425802915840,http://twitter.com/nlm_sis
01/03/14,http://twitter.com/hepbfoundation/status/419220968973041664,hepbfoundation,RT @cdchep: Did you know chronic #hepatitis is a leading cause of #livercancer? Find out your #HepRisk http://t.co/C2YkVgRNRa,10.50345,http://twitter.com/HepBFoundation/status/419220968973041664,http://twitter.com/hepbfoundation
01/03/14,http://twitter.com/asemelfert/status/419221213345751040,asemelfert,RT @cdchep: Did you know chronic #hepatitis is a leading cause of #livercancer? Find out your #HepRisk http://t.co/ESl15DnzH4,7.2887735,http://twitter.com/asemelfert/status/419221213345751040,http://twitter.com/asemelfert
