firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/09/14,http://twitter.com/evanwelcher/status/421085903235190784,evanwelcher,The latest on my Resplendent Bride @MrsWelcher http://t.co/8du9D78sw4 #Cancer #Leukemia #Lyphoma #TeamDanielle http://t.co/YBKTe4xIE2,9.853678,http://twitter.com/EvanWelcher/status/421085903235190784,http://twitter.com/evanwelcher
01/09/14,http://twitter.com/reneembates/status/421106305214865408,reneembates,RT @EvanWelcher: The latest on my Resplendent Bride @MrsWelcher http://t.co/8du9D78sw4 #Cancer #Leukemia #Lyphoma #TeamDanielle http://t.co…,7.5228972,http://twitter.com/ReneeMBates/status/421106305214865408,http://twitter.com/reneembates
01/09/14,http://twitter.com/doulos2christou/status/421114822848442371,doulos2christou,RT @EvanWelcher: The latest on my Resplendent Bride @MrsWelcher http://t.co/8du9D78sw4 #Cancer #Leukemia #Lyphoma #TeamDanielle http://t.co…,7.5228972,http://twitter.com/Doulos2Christou/status/421114822848442371,http://twitter.com/doulos2christou
01/29/14,http://twitter.com/citzsci/status/428478077803298817,citzsci,#Cancer Research UK launches trial of new #lyphoma treatment in Manchester  http://t.co/9BbA51MrhN,10.174072,http://twitter.com/CitzSci/status/428478077803298817,http://twitter.com/citzsci
01/29/14,http://twitter.com/finnigr/status/428478377583198208,finnigr,RT @CitzSci: #Cancer Research UK launches trial of new #lyphoma treatment in Manchester  http://t.co/9BbA51MrhN,7.8821406,http://twitter.com/finnigr/status/428478377583198208,http://twitter.com/finnigr
01/30/14,http://twitter.com/llsinri/status/429015106807013378,llsinri,fascinating video! Hodgkins #Lyphoma- Video Diary 1 http://t.co/5XTmEd3U9R,8.072028,http://twitter.com/LLSinRI/status/429015106807013378,http://twitter.com/llsinri
02/07/14,http://twitter.com/tambreleighn/status/431928223039909888,tambreleighn,Triumphant comeback for British tennis star @RoscoHutchins aft cancer battle http://t.co/rX2nbwa3CP #mycancer #CSCoaching #hodgkins #Lyphoma,11.697545,http://twitter.com/tambreleighn/status/431928223039909888,http://twitter.com/tambreleighn
02/12/14,http://twitter.com/rowdgowd/status/433418653179346944,rowdgowd,#radpath #lyphoma,8.492219,http://twitter.com/rowdgowd/status/433418653179346944,http://twitter.com/rowdgowd
03/18/14,http://twitter.com/tambreleighn/status/445875495079403521,tambreleighn,Annas Story http://t.co/IcHvLrqmku #CSCoaching #hodgkins #Lyphoma,11.19107,http://twitter.com/tambreleighn/status/445875495079403521,http://twitter.com/tambreleighn
05/22/14,http://twitter.com/curecancerucl/status/469382785866940416,curecancerucl,RT @tambreleighn: Triumphant comeback for British tennis star @RoscoHutchins aft cancer battle http://t.co/rX2nbwa3CP #mycancer #CSCoaching…,7.246789,http://twitter.com/CureCancerUCL/status/469382785866940416,http://twitter.com/curecancerucl
05/22/14,http://twitter.com/hjrostron/status/469383842282098688,hjrostron,RT @tambreleighn: Triumphant comeback for British tennis star @RoscoHutchins aft cancer battle http://t.co/rX2nbwa3CP #mycancer #CSCoaching…,7.246789,http://twitter.com/hjrostron/status/469383842282098688,http://twitter.com/hjrostron
05/23/14,http://twitter.com/curecancerucl/status/469727272032014336,curecancerucl,RT @CitzSci: #Cancer Research UK launches trial of new #lyphoma treatment in Manchester  http://t.co/9BbA51MrhN,7.870875,http://twitter.com/CureCancerUCL/status/469727272032014336,http://twitter.com/curecancerucl
05/26/14,http://twitter.com/curecancerucl/status/470855950002561024,curecancerucl,“@CitzSci: #Cancer Research UK launches trial of new #lyphoma treatment in Manchester  http://t.co/Lln6RNE4kc”,7.941446,http://twitter.com/CureCancerUCL/status/470855950002561024,http://twitter.com/curecancerucl
