firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/sheilasheilapot/status/418227818321825792,sheilasheilapot,"SLEEPY . PERO INTERNET MUNA :D
MEHEHE . HAPPY NEW YEAR ^_^

#Trip #Mcam http://t.co/1XRVpfqDnl http://t.co/VtUZxp8C58",7.7710276,http://twitter.com/SheilaSheilapot/status/418227818321825792,http://twitter.com/sheilasheilapot
01/03/14,http://twitter.com/mariacostafreda/status/419076274557300736,mariacostafreda,** encetem l'any! ** 2014 started! #art #mcam #artmanagement #newyear http://t.co/tBcujQgqXo,7.7517834,http://twitter.com/mariacostafreda/status/419076274557300736,http://twitter.com/mariacostafreda
01/03/14,http://twitter.com/atoma91/status/419165380050182144,atoma91,#MCAM #mudhouse @drinkmud http://t.co/m4stCWtCeH,8.039558,http://twitter.com/atoma91/status/419165380050182144,http://twitter.com/atoma91
01/08/14,http://twitter.com/mariacostafreda/status/420936378512584704,mariacostafreda,ART d'ânimula &gt; energia i ganes! #2014 #mcam #mariacostafreda #artmanagement #art #artist #ânimula |… http://t.co/DGKQm3qpzl,7.1376214,http://twitter.com/mariacostafreda/status/420936378512584704,http://twitter.com/mariacostafreda
01/09/14,http://twitter.com/dariocalderon19/status/421410711122608128,dariocalderon19,Young killers I'm in the front #MCAM http://t.co/MgymXGYR1Z,8.740065,http://twitter.com/DarioCalderon19/status/421410711122608128,http://twitter.com/dariocalderon19
01/12/14,http://twitter.com/dentalstudio22/status/422336858044252160,dentalstudio22,"RT @The_BDJ: The floor of the mouth and six other areas to inspect for #mouthcancer, via @mouthcancerorg: http://t.co/khPBm09YwI (free) #MC…",7.3187113,http://twitter.com/DentalStudio22/status/422336858044252160,http://twitter.com/dentalstudio22
01/12/14,http://twitter.com/dentalstudio22/status/422336878193700864,dentalstudio22,RT @mouthcancerorg: The following information gives you a glimpse of the most up-to-date mouth cancer stats: http://t.co/btGMlnj2MS #MCAM #…,7.326736,http://twitter.com/DentalStudio22/status/422336878193700864,http://twitter.com/dentalstudio22
01/13/14,http://twitter.com/amypands/status/422588565491810304,amypands,❤ #mcm or at least #mcam (man crush almost Monday) because the FOINNESS couldn't wait twenty minutes. @JakeFoushee http://t.co/CxOKrRy67v,7.556153,http://twitter.com/AmyPands/status/422588565491810304,http://twitter.com/amypands
11/20/13,http://twitter.com/mouthcancerorg/status/403164789657976832,sharonp134,"RT @mouthcancerorg: Fact Card: It is important to visit your dentist regularly, as often as they recommend. http://t.co/CCEAedCFLu #MCAM ht…",8.594985,http://twitter.com/sharonp134/status/422851514773016576,http://twitter.com/sharonp134
01/15/14,http://twitter.com/djwestgarth/status/423389108547768320,djwestgarth,"The Rt Hon sir Paul Beresford, Parliamentary host of #MCAM, discussing oral cancer in Commons debate http://t.co/3g7gwinX1n",7.69978,http://twitter.com/DJWestgarth/status/423389108547768320,http://twitter.com/djwestgarth
01/20/14,http://twitter.com/zaggdaily/status/425296951958310912,zaggdaily,Review: The mCAM LITE Adds A New Layer To iPhone Photography: http://t.co/CDzR8R3D57 #mCAM #iPhone #photography,13.059996,http://twitter.com/ZAGGdaily/status/425296951958310912,http://twitter.com/zaggdaily
01/26/14,http://twitter.com/sgdavila/status/427253996227952641,sgdavila,Worked today at PCC #fablab to feel like a #maker using #SWX and #MCAM. Even learned Linux #cnc. @ PCC… http://t.co/ywTpKH9KLf,7.393048,http://twitter.com/sgdavila/status/427253996227952641,http://twitter.com/sgdavila
01/26/14,http://twitter.com/eli_lynch14/status/427475259558608896,eli_lynch14,#MCAM,9.080628,http://twitter.com/Eli_Lynch14/status/427475259558608896,http://twitter.com/eli_lynch14
01/26/14,http://twitter.com/eli_lynch14/status/427475351992688640,eli_lynch14,#MCAM S2,9.045647,http://twitter.com/Eli_Lynch14/status/427475351992688640,http://twitter.com/eli_lynch14
01/27/14,http://twitter.com/mohdidh61708468/status/427824768285675521,mohdidh61708468,Happy new year..bsok bawa limau bagi dorang c otok hehehe #mau jugak dorang mkn limau #mcam mlas aq mau bawa esok hhaiii,7.3139353,http://twitter.com/mohdidh61708468/status/427824768285675521,http://twitter.com/mohdidh61708468
01/28/14,http://twitter.com/eli_lynch14/status/428037933879148545,eli_lynch14,ME CAUSA MUCHO #MCAM,8.801418,http://twitter.com/Eli_Lynch14/status/428037933879148545,http://twitter.com/eli_lynch14
01/29/14,http://twitter.com/mgpeezy/status/428318502965891073,mgpeezy,"Wow, love my--our team. Conditioning ✔️ #mcam",7.813641,http://twitter.com/Mgpeezy/status/428318502965891073,http://twitter.com/mgpeezy
01/30/14,http://twitter.com/arefatt/status/428911163242713088,arefatt,#pedro #selfie #mcam #baru #jer #famous #afatt http://t.co/7dAFYnCyPf,7.6143856,http://twitter.com/AreFatt/status/428911163242713088,http://twitter.com/arefatt
01/30/14,http://twitter.com/paktamutonium/status/428972540636438528,paktamutonium,#mcam birthday kita pulakkkk!!!,8.616923,http://twitter.com/Paktamutonium/status/428972540636438528,http://twitter.com/paktamutonium
02/04/14,http://twitter.com/pippasays_/status/430669632064991232,pippasays_,RT @mouthcancerorg: #MCAM: 1 in 3 people are unsure if they're at risk of mouth cancer! Know the risk factors: http://t.co/EJK1cfiaAh http:…,7.8103,http://twitter.com/PippaSays_/status/430669632064991232,http://twitter.com/pippasays_
