firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/liz_chronicles/status/418265909422477313,liz_chronicles,"Lunch at Gahyo , SCBD Lot 6 #Pancan #Appetizer #Jhabjae #Prawn #Wagyu #Beef #Tounge #Miyokuk #Seaweed… http://t.co/aKIoDYVr83",10.141903,http://twitter.com/Liz_Chronicles/status/418265909422477313,http://twitter.com/liz_chronicles
01/01/14,http://twitter.com/laurencstill/status/418267281748000768,cancergeek,RT @laurencstill: Hoping for a #cancerfree 2014 for my mom. She's the best. &lt;3 #pcsm #pancan,8.377793,http://twitter.com/CancerGeek/status/418268167740203008,http://twitter.com/cancergeek
01/01/14,http://twitter.com/cats4cancer/status/418517065125752833,cats4cancer,@SoManyPlaces Thanks for the RT &amp; all you do to support #PanCan awareness.,7.8890586,http://twitter.com/Cats4Cancer/status/418517065125752833,http://twitter.com/cats4cancer
01/01/14,http://twitter.com/accessorizefor/status/418520444967604225,accessorizefor,Here's to ending #PanCan in 2014 http://t.co/AdxSKo34bv,8.710979,http://twitter.com/accessorizefor/status/418520444967604225,http://twitter.com/accessorizefor
01/02/14,http://twitter.com/1989ups/status/418762820713734144,1989ups,@cmac3010 @BravesQueen   Is this supporting  #PANCAN,8.189787,http://twitter.com/1989Ups/status/418762820713734144,http://twitter.com/1989ups
01/04/14,http://twitter.com/trailrunner22/status/419269431798136832,trailrunner22,Check out @TributeRaceCda for your next event @mynextrace @PanCancerCanada #running #pancan,11.361458,http://twitter.com/Trailrunner22/status/419269431798136832,http://twitter.com/trailrunner22
01/04/14,http://twitter.com/pancanla/status/419336089371803649,pancanla,Join us for a free webinar Jan 8th  - Treatment Approaches for Pancreatic Cancer  http://t.co/zcfdr6xb3R #webinar #pancan #pancreaticcancer,7.387891,http://twitter.com/PanCANLA/status/419336089371803649,http://twitter.com/pancanla
01/05/14,http://twitter.com/dopplernc/status/419900105878413312,dopplernc,Gram &amp; Coach have arrived in Louisville safely. Round of tests and scans Mon / Tue. NanoKnife (Google it) early Wed Morning. #pancan,10.474541,http://twitter.com/DopplerNC/status/419900105878413312,http://twitter.com/dopplernc
01/06/14,http://twitter.com/pancancercanada/status/420238482485686272,pancancercanada,RT @Trailrunner22: Check out @TributeRaceCda for your next event @mynextrace @PanCancerCanada #running #pancan,10.516089,http://twitter.com/PanCancerCanada/status/420238482485686272,http://twitter.com/pancancercanada
01/07/14,http://twitter.com/hcphealthindex/status/420582090057338881,hcphealthindex,Pancreatic cancer patients forced to seek life-saving surgery in Germany http://t.co/cbmkGpiPo9 via @guardian #pancan,7.633565,http://twitter.com/HCPhealthindex/status/420582090057338881,http://twitter.com/hcphealthindex
01/07/14,http://twitter.com/caitlinyeah1/status/420642607900164097,caitlinyeah1,Woot woot :) registered for the @PanCAN purplestride today! Ready to run this! @katiemizen @BradyNimon @pancancleveland #pancan#purplestride,7.8959637,http://twitter.com/caitlinyeah1/status/420642607900164097,http://twitter.com/caitlinyeah1
01/07/14,http://twitter.com/pancancleveland/status/420698150286815232,pancancleveland,RT @caitlinyeah1: Woot woot :) registered for the @PanCAN purplestride today! Ready to run this! @katiemizen @BradyNimon @pancancleveland #…,6.9060116,http://twitter.com/pancancleveland/status/420698150286815232,http://twitter.com/pancancleveland
01/08/14,http://twitter.com/dear_aliah/status/420712180368281600,dear_aliah,First tattoo!  #Marcstattooing #dad #love #pancan http://t.co/cFhPQBoXqk,8.09902,http://twitter.com/Dear_Aliah/status/420712180368281600,http://twitter.com/dear_aliah
01/09/14,http://twitter.com/vitormoutinhomd/status/421104940338401280,vitormoutinhomd,RT @TJUHospital: Learn about the renowned #pancreatic #cancer treatment team at Jefferson - #PanCan: http://t.co/jHQkmLAsVP http://t.co/Qkg…,7.5820913,http://twitter.com/vitormoutinhomd/status/421104940338401280,http://twitter.com/vitormoutinhomd
01/09/14,http://twitter.com/dixiech1ck/status/421119342244528128,dixiech1ck,You know who is awesome? @MarathonGoddess is awesome! She gets the Wednesday shoutout of awesomeness. #WEGOTTHIS #PANCAN #RUNNING,8.412957,http://twitter.com/Dixiech1ck/status/421119342244528128,http://twitter.com/dixiech1ck
01/09/14,http://twitter.com/marathongoddess/status/421174134861602816,marathongoddess,RT @Dixiech1ck: You know who is awesome? @MarathonGoddess is awesome! She gets the Wednesday shoutout of awesomeness. #WEGOTTHIS #PANCAN #R…,7.3365545,http://twitter.com/MarathonGoddess/status/421174134861602816,http://twitter.com/marathongoddess
01/10/14,http://twitter.com/cats4cancer/status/421455223727484928,cats4cancer,"In memory of those lost to #PanCan &amp; others. 7 months ago today, Caleb M. Berg took his last breath. Not #PanCan but 44, too soon. ❤️humor",7.9956355,http://twitter.com/Cats4Cancer/status/421455223727484928,http://twitter.com/cats4cancer
01/10/14,http://twitter.com/pancanla/status/421781496488132608,pancanla,It's here!  CA - PurpleStride Los Angeles 2014 -  http://t.co/9ByHXta6yI #purplestride #pancan #pancreaticcancer,7.295544,http://twitter.com/PanCANLA/status/421781496488132608,http://twitter.com/pancanla
01/11/14,http://twitter.com/delendot/status/421824854245928961,delendot,My hero! MT @ABCWorldNews: .@mindykaling is quietly breaking barriers for women. Person of the Week:http://t.co/W9HDoU1oXJ” sis has #pancan,11.123001,http://twitter.com/delendot/status/421824854245928961,http://twitter.com/delendot
01/13/14,http://twitter.com/dear_aliah/status/422728252252516352,dear_aliah,"Happy birthday, dad! Miss you every single day. &lt;3 #pancan http://t.co/AL7YgceWgJ",8.721475,http://twitter.com/Dear_Aliah/status/422728252252516352,http://twitter.com/dear_aliah
01/14/14,http://twitter.com/marathongoddess/status/422935926336413696,marathongoddess,#forum #grand-opening #Eagles to #fight #pancreaticcancer #lustgarten #pancan #unitetofight #wegotthis… http://t.co/GKE2EatBBG,7.2953625,http://twitter.com/MarathonGoddess/status/422935926336413696,http://twitter.com/marathongoddess
01/14/14,http://twitter.com/meals2heal/status/423132477365157888,meals2heal,Timing vs Duration of Adjuvant Therapy for #PancreaticCancer #pancan http://t.co/oLbs6HdPr8,8.053764,http://twitter.com/meals2heal/status/423132477365157888,http://twitter.com/meals2heal
01/14/14,http://twitter.com/tjuhospital/status/423147066861555712,tjuhospital,"When Sal was diagnosed with #PancreaticCancer, he turned to Jefferson's #PanCan specialists: http://t.co/uvmRROycX3 http://t.co/u5oRZSe5p3",11.905864,http://twitter.com/TJUHospital/status/423147066861555712,http://twitter.com/tjuhospital
01/14/14,http://twitter.com/dailydoseatjeff/status/423171693088362496,dailydoseatjeff,"RT @TJUHospital: When Sal was diagnosed with #PancreaticCancer, he turned to Jefferson's #PanCan specialists: http://t.co/uvmRROycX3 http:/…",10.874125,http://twitter.com/DailyDoseAtJeff/status/423171693088362496,http://twitter.com/dailydoseatjeff
01/15/14,http://twitter.com/pancanla/status/423321528676012032,pancanla,Clinical Trials. More Options. More Hope.  http://t.co/GKwJYuObaR #pancreaticcancer #pancan,8.160494,http://twitter.com/PanCANLA/status/423321528676012032,http://twitter.com/pancanla
01/15/14,http://twitter.com/pancanla/status/423321689363980288,pancanla,For Today &amp; For the Future - Clinical Trials Lead to Answers http://t.co/Y5PmJrB7fw #pancan #pancreaticcancer,7.5686393,http://twitter.com/PanCANLA/status/423321689363980288,http://twitter.com/pancanla
01/16/14,http://twitter.com/rachelgroetken/status/423669844194496512,rachelgroetken,Just sat down with my dad and looked at the month of May and early June 😳😳 #18 #prom #graduationsongraduationsongraduations  #pancan,7.765287,http://twitter.com/RachelGroetken/status/423669844194496512,http://twitter.com/rachelgroetken
01/16/14,http://twitter.com/breasties/status/423725916188319744,breasties,#Repost of the #pancan #walk because I can't sleep. I've got #cancer on my mind. F you cancer! You shouldn't get... http://t.co/wiiiaV8hqn,8.055709,http://twitter.com/Breasties/status/423725916188319744,http://twitter.com/breasties
01/16/14,http://twitter.com/pentelofamerica/status/423844775348170752,pentelofamerica,Did you know? We've partnered with @PanCAN to raise funds &amp; awareness for #PanCan ALL year round! http://t.co/1p7vPRDKKa #goodcause,11.638109,http://twitter.com/PentelofAmerica/status/423844775348170752,http://twitter.com/pentelofamerica
01/16/14,http://twitter.com/bjw_draw/status/423845544835178496,bjw_draw,RT @PentelofAmerica: Did you know? We've partnered with @PanCAN to raise funds &amp; awareness for #PanCan ALL year round! http://t.co/1p7vPRDK…,7.1243305,http://twitter.com/bjw_draw/status/423845544835178496,http://twitter.com/bjw_draw
01/16/14,http://twitter.com/annempitches/status/423872197828956160,annempitches,RT @PentelofAmerica: Did you know? We've partnered with @PanCAN to raise funds &amp; awareness for #PanCan ALL year round! http://t.co/1p7vPRDK…,7.1243305,http://twitter.com/annempitches/status/423872197828956160,http://twitter.com/annempitches
