firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/03/14,http://twitter.com/kylejnorton/status/418997281459691521,kylejnorton,Rare Cancers In Childhood - #Retinoblastoma http://t.co/rmG8i5oSUT,11.995395,http://twitter.com/kylejnorton/status/418997281459691521,http://twitter.com/kylejnorton
01/04/14,http://twitter.com/ninawarner1/status/419284010448470016,ninawarner1,@KellyOlynyk it's too bright in here turn the lights down!!! #nofilter #retinoblastoma #naturalbeauty http://t.co/Unkz1dJhlO,7.9439626,http://twitter.com/NinaWarner1/status/419284010448470016,http://twitter.com/ninawarner1
01/04/14,http://twitter.com/eyestories/status/419467310508683264,eyestories,One-year-old's trip to the #optician diagnosed #retinoblastoma in both eyes http://t.co/W5Lsh7huOu,11.818471,http://twitter.com/eyestories/status/419467310508683264,http://twitter.com/eyestories
01/04/14,http://twitter.com/geoffstevensons/status/419472426742059009,geoffstevensons,RT @eyestories: One-year-old's trip to the #optician diagnosed #retinoblastoma in both eyes http://t.co/W5Lsh7huOu,7.295054,http://twitter.com/GeoffStevenSons/status/419472426742059009,http://twitter.com/geoffstevensons
01/04/14,http://twitter.com/theeyecentre6/status/419477655717941249,theeyecentre6,RT @eyestories: One-year-old's trip to the #optician diagnosed #retinoblastoma in both eyes http://t.co/W5Lsh7huOu,7.295054,http://twitter.com/theeyecentre6/status/419477655717941249,http://twitter.com/theeyecentre6
01/06/14,http://twitter.com/eyeexpertuk/status/420157945838833664,eyeexpertuk,How a trip to the #optician saved a little boy's life #retinoblastoma @MailOnline http://t.co/nXIfhCbIz0,9.8096895,http://twitter.com/EyeExpertUK/status/420157945838833664,http://twitter.com/eyeexpertuk
01/06/14,http://twitter.com/drannaoc/status/420166639158837248,drannaoc,RT @EyeExpertUK: How a trip to the #optician saved a little boy's life #retinoblastoma @MailOnline http://t.co/nXIfhCbIz0,7.688338,http://twitter.com/Drannaoc/status/420166639158837248,http://twitter.com/drannaoc
01/06/14,http://twitter.com/kylejnorton/status/420176219431116800,kylejnorton,Rare Cancers In Childhood - #Retinoblastoma http://t.co/rmG8i5oSUT,11.927057,http://twitter.com/kylejnorton/status/420176219431116800,http://twitter.com/kylejnorton
01/06/14,http://twitter.com/wills_eye/status/420177716131155969,wills_eye,A toddler's fight: 2-year old from Hagerstown MD treated for #retinoblastoma at Wills Eye @HeraldMailNews. http://t.co/n6eQtXlEhx,9.422451,http://twitter.com/Wills_Eye/status/420177716131155969,http://twitter.com/wills_eye
01/06/14,http://twitter.com/amylewis2811/status/420181754641915905,amylewis2811,RT @EyeExpertUK: How a trip to the #optician saved a little boy's life #retinoblastoma @MailOnline http://t.co/nXIfhCbIz0,7.688338,http://twitter.com/AmyLewis2811/status/420181754641915905,http://twitter.com/amylewis2811
01/06/14,http://twitter.com/eyesayinspanish/status/420183511186685952,eyesayinspanish,RT @Wills_Eye: A toddler's fight: 2-year old from Hagerstown MD treated for #retinoblastoma at Wills Eye @HeraldMailNews. http://t.co/n6eQt…,7.2154417,http://twitter.com/eyesayinspanish/status/420183511186685952,http://twitter.com/eyesayinspanish
01/06/14,http://twitter.com/malosamedical/status/420243735180361729,malosamedical,RT @Wills_Eye: A toddler's fight: 2-year old from Hagerstown MD treated for #retinoblastoma at Wills Eye @HeraldMailNews. http://t.co/n6eQt…,7.2154417,http://twitter.com/MalosaMedical/status/420243735180361729,http://twitter.com/malosamedical
01/07/14,http://twitter.com/followbios/status/420648281094774784,followbios,RT @EyeExpertUK: How a trip to the #optician saved a little boy's life #retinoblastoma @MailOnline http://t.co/nXIfhCbIz0,7.688338,http://twitter.com/FollowBIOS/status/420648281094774784,http://twitter.com/followbios
01/07/14,http://twitter.com/bpnhs/status/420648953835950080,bpnhs,RT @EyeExpertUK: How a trip to the #optician saved a little boy's life #retinoblastoma @MailOnline http://t.co/nXIfhCbIz0,7.688338,http://twitter.com/BPNHS/status/420648953835950080,http://twitter.com/bpnhs
01/10/14,http://twitter.com/2minmed/status/421589193991921664,2minmed,Intravitreal melphalan may control retinoblastoma seeds http://t.co/kHvxbOM9Y7 #retinoblastoma,7.6818385,http://twitter.com/2minmed/status/421589193991921664,http://twitter.com/2minmed
01/11/14,http://twitter.com/daisyfund/status/421940959983587328,daisyfund,Our #Retinoblastoma Resource includes practical tips to reduce side effects of #childcancer #chemo. #Overcome: http://t.co/1Csf4s7TDK,8.389408,http://twitter.com/daisyfund/status/421940959983587328,http://twitter.com/daisyfund
01/11/14,http://twitter.com/michelongaro/status/421956699524968448,michelongaro,RT @daisyfund: Our #Retinoblastoma Resource includes practical tips to reduce side effects of #childcancer #chemo. #Overcome: http://t.co/1…,7.3859363,http://twitter.com/michelongaro/status/421956699524968448,http://twitter.com/michelongaro
01/11/14,http://twitter.com/rbaz_/status/422148933196845056,rbaz_,9 yr old Skyelar Lower sold bracelets and donated her proceeds to @RBAZ_ #selfless #kidshelpingkids #retinoblastoma http://t.co/jVoPy7zKCc,7.2923,http://twitter.com/RBAZ_/status/422148933196845056,http://twitter.com/rbaz_
01/12/14,http://twitter.com/scibite/status/422409894952972288,scibite,We've found new articles on #Retinoblastoma at http://t.co/a5Gt6DaUBu #pharma #health #news http://t.co/RtkueVKWKZ,8.195956,http://twitter.com/SciBite/status/422409894952972288,http://twitter.com/scibite
01/12/14,http://twitter.com/kylejnorton/status/422508186919129088,kylejnorton,Rare Cancers In Childhood - #Retinoblastoma http://t.co/rmG8i5oSUT,11.994735,http://twitter.com/kylejnorton/status/422508186919129088,http://twitter.com/kylejnorton
01/16/14,http://twitter.com/vamp_69/status/423961039353307136,vamp_69,Meet the Late Great #JeffHealey @hughlaurie. Lost his eyesight to #retinoblastoma. #Blues #CanadianIcon #RIP http://t.co/rXz2k00Kp3,7.408994,http://twitter.com/Vamp_69/status/423961039353307136,http://twitter.com/vamp_69
01/17/14,http://twitter.com/rbaz_/status/424278476246360064,rbaz_,Almost ready for @RunRocknRoll to support @RBAZ_ . #26.2 #retinoblastoma #ChildhoodCancer http://t.co/o931gKDRbB,7.7738137,http://twitter.com/RBAZ_/status/424278476246360064,http://twitter.com/rbaz_
01/19/14,http://twitter.com/rbaz_/status/424896794258989057,rbaz_,"Big race day @RunRocknRoll. Raising awareness for retinoblastoma.  26.2
Retinoblastoma survivors you inspire us. #retinoblastoma #warriors",7.4414563,http://twitter.com/RBAZ_/status/424896794258989057,http://twitter.com/rbaz_
01/19/14,http://twitter.com/rbaz_/status/425023114548764673,rbaz_,26.2 @RunRocknRoll complete.  Raised $$ for @RBAZ_  We are proud of you John! Thank you!  #marathon #retinoblastoma http://t.co/zf3A6sLtb9,7.7738137,http://twitter.com/RBAZ_/status/425023114548764673,http://twitter.com/rbaz_
01/20/14,http://twitter.com/visionpluswa/status/425326954070290432,visionpluswa,Baby pictures might be the best way to detect #retinoblastoma- according to a new study! http://t.co/3O6ryxuJzj http://t.co/WwpnzMlzrZ,7.9606543,http://twitter.com/VisionPlusWA/status/425326954070290432,http://twitter.com/visionpluswa
01/22/14,http://twitter.com/davefreely/status/426028283365298176,davefreely,@lancearmstrong @RBAZ_ my son Taylor is 5yrs cancer free today! Thanks for the inspiration! #retinoblastoma http://t.co/qXzRbmiGuO,7.802952,http://twitter.com/DaveFreely/status/426028283365298176,http://twitter.com/davefreely
01/24/14,http://twitter.com/wills_eye/status/426708099551219712,wills_eye,Young boy treated at Wills Eye for #retinoblastoma pays it forward. @phillynews http://t.co/RAGd974wQT,8.536971,http://twitter.com/Wills_Eye/status/426708099551219712,http://twitter.com/wills_eye
01/24/14,http://twitter.com/tracyblanscet/status/426795551863361536,tracyblanscet,#Retinoblastoma. The most common #eye #cancer in children. See how this 11yo turned his experience positive. Pg 10 http://t.co/FyN8BFvxSY,7.6580677,http://twitter.com/TracyBlanscet/status/426795551863361536,http://twitter.com/tracyblanscet
01/24/14,http://twitter.com/matthewhelms/status/426820981718810624,matthewhelms,Like Team Garrett on FB: https://t.co/3PMMdJ4YrD #childhoodcancer @stjude #retinoblastoma #autism #garrettstrong #teamgarrett,8.212399,http://twitter.com/matthewhelms/status/426820981718810624,http://twitter.com/matthewhelms
01/24/14,http://twitter.com/beaglethief/status/426821822466625536,beaglethief,RT @matthewhelms: Like Team Garrett on FB: https://t.co/3PMMdJ4YrD #childhoodcancer @stjude #retinoblastoma #autism #garrettstrong #teamgar…,7.2075453,http://twitter.com/beaglethief/status/426821822466625536,http://twitter.com/beaglethief
01/25/14,http://twitter.com/akoresko/status/426981316828356608,akoresko,Please read and share to get this sweet girl and her family some help. #cancer #giveforward #retinoblastoma https://t.co/rHa1KIVvOq,7.8554125,http://twitter.com/akoresko/status/426981316828356608,http://twitter.com/akoresko
01/25/14,http://twitter.com/kylejnorton/status/427108011375480832,kylejnorton,Rare Cancers In Childhood - #Retinoblastoma http://t.co/rmG8i5oSUT,12.789182,http://twitter.com/kylejnorton/status/427108011375480832,http://twitter.com/kylejnorton
01/25/14,http://twitter.com/rodrird95/status/427108244654682112,rodrird95,RT @kylejnorton: Rare Cancers In Childhood - #Retinoblastoma http://t.co/rmG8i5oSUT,7.766081,http://twitter.com/Rodrird95/status/427108244654682112,http://twitter.com/rodrird95
01/25/14,http://twitter.com/9avon3/status/427108287277195264,9avon3,RT @kylejnorton: Rare Cancers In Childhood - #Retinoblastoma http://t.co/rmG8i5oSUT,7.766081,http://twitter.com/9AVON3/status/427108287277195264,http://twitter.com/9avon3
01/26/14,http://twitter.com/eyesayinspanish/status/427257480926597120,eyesayinspanish,Plaque brachytherapy guidelines for uveal #melanoma and #retinoblastoma-- http://t.co/28oYcABb31 #ophthalmology #oncology,7.7725773,http://twitter.com/eyesayinspanish/status/427257480926597120,http://twitter.com/eyesayinspanish
01/26/14,http://twitter.com/canopyvalley/status/427276058564775936,canopyvalley,RT @eyesayinspanish: Plaque brachytherapy guidelines for uveal #melanoma and #retinoblastoma-- http://t.co/28oYcABb31 #ophthalmology #oncol…,6.8995895,http://twitter.com/canopyvalley/status/427276058564775936,http://twitter.com/canopyvalley
01/27/14,http://twitter.com/gagaymedstudent/status/427759041578668032,gagaymedstudent,#Health #Medicine Talking to a Mother of 2-year old #Cancer Patient http://t.co/zZpN9EcoGo #retinoblastoma,7.6911206,http://twitter.com/GagayMeDStudent/status/427759041578668032,http://twitter.com/gagaymedstudent
01/27/14,http://twitter.com/samantha_keenan/status/427814722743050240,samantha_keenan,"fighting for a cure for eye cancer, one cookie at a time. #retinoblastoma #research #1dollar or #donation #findacure http://t.co/Dw0DcKDjXx",9.115451,http://twitter.com/samantha_keenan/status/427814722743050240,http://twitter.com/samantha_keenan
01/28/14,http://twitter.com/jay_herman7/status/427961284215066624,jay_herman7,RT @Wills_Eye: Young boy treated at Wills Eye for #retinoblastoma pays it forward. @phillynews http://t.co/RAGd974wQT,7.5293717,http://twitter.com/Jay_Herman7/status/427961284215066624,http://twitter.com/jay_herman7
01/28/14,http://twitter.com/cclgchairman/status/428147917925646336,cclgchairman,New methods of drug administration directly into the eyeball may improve outcomes in #retinoblastoma  #AimingForCure,7.5526986,http://twitter.com/cclgchairman/status/428147917925646336,http://twitter.com/cclgchairman
01/28/14,http://twitter.com/coreyrhoodadp/status/428151216611147776,coreyrhoodadp,"RT @samantha_keenan: fighting for a cure for eye cancer, one cookie at a time. #retinoblastoma #research #1dollar or #donation #findacure h…",7.327995,http://twitter.com/CoreyRhoodADP/status/428151216611147776,http://twitter.com/coreyrhoodadp
01/29/14,http://twitter.com/chectjulie/status/428636132499550208,chectjulie,#ThatAwkwardMoment when your daughter hands you her eye in public. #artificialeye #retinoblastoma support @chectuk,8.390964,http://twitter.com/chectjulie/status/428636132499550208,http://twitter.com/chectjulie
01/31/14,http://twitter.com/usmle_ckhints/status/429059519637770240,usmle_ckhints,#Retinoblastoma is the most common intraocular tumor of childhood.,9.169722,http://twitter.com/USMLE_CKHints/status/429059519637770240,http://twitter.com/usmle_ckhints
01/31/14,http://twitter.com/usmle_ckhints/status/429059639968137216,usmle_ckhints,"#Retinoblastoma is a highly malignant tumor, and failure to diagnose and treat  early may lead to death from liver and brain metastases.",8.737502,http://twitter.com/USMLE_CKHints/status/429059639968137216,http://twitter.com/usmle_ckhints
01/31/14,http://twitter.com/chrissykd13/status/429077689681870848,chrissykd13,"RT @USMLE_CKHints: #Retinoblastoma is a highly malignant tumor, and failure to diagnose and treat  early may lead to death from liver and b…",7.262609,http://twitter.com/ChrissyKD13/status/429077689681870848,http://twitter.com/chrissykd13
01/31/14,http://twitter.com/chrissykd13/status/429077702956838912,chrissykd13,RT @USMLE_CKHints: #Retinoblastoma is the most common intraocular tumor of childhood.,7.6580677,http://twitter.com/ChrissyKD13/status/429077702956838912,http://twitter.com/chrissykd13
01/31/14,http://twitter.com/dereck_kaale/status/429143376009912320,dereck_kaale,RT @USMLE_CKHints: #Retinoblastoma is the most common intraocular tumor of childhood.,7.6580677,http://twitter.com/dereck_kaale/status/429143376009912320,http://twitter.com/dereck_kaale
01/31/14,http://twitter.com/dereck_kaale/status/429143415260196864,dereck_kaale,"RT @USMLE_CKHints: #Retinoblastoma is a highly malignant tumor, and failure to diagnose and treat  early may lead to death from liver and b…",7.262609,http://twitter.com/dereck_kaale/status/429143415260196864,http://twitter.com/dereck_kaale
01/31/14,http://twitter.com/cliffordlaw/status/429399951743799298,cliffordlaw,"After his daughter recovers from #retinoblastoma, Michael S. Krzak of @CliffordLaw dedicates to help raise funds: http://t.co/J6g7SS3Bi8",11.232064,http://twitter.com/CliffordLaw/status/429399951743799298,http://twitter.com/cliffordlaw
01/31/14,http://twitter.com/cliffordlaw/status/429400044735705088,cliffordlaw,Michael S. Krzak of @CliffordLaw had his biggest case ever when he discovered his daughter had #retinoblastoma: http://t.co/J6g7SS3Bi8,7.5058374,http://twitter.com/CliffordLaw/status/429400044735705088,http://twitter.com/cliffordlaw
02/01/14,http://twitter.com/tatertwins/status/429504338814566400,tatertwins,The Fault in Our Stars http://t.co/Q0GO58BRAB #books #retinoblastoma #ryan,11.437638,http://twitter.com/TaterTwins/status/429504338814566400,http://twitter.com/tatertwins
02/01/14,http://twitter.com/tatertwins/status/429660383969050624,tatertwins,Still Processing. http://t.co/hFtMk580dq #1 #fears #retinoblastoma #ryan,11.308705,http://twitter.com/TaterTwins/status/429660383969050624,http://twitter.com/tatertwins
02/03/14,http://twitter.com/africaemed/status/430242812765167616,africaemed,RT @seriouslylori: Photo of your child could reveal rare form of childhood cancer http://t.co/mQDfmtbXsK #retinoblastoma #eyecancer,7.6008396,http://twitter.com/AfricaEmed/status/430242812765167616,http://twitter.com/africaemed
02/03/14,http://twitter.com/readjack/status/430468803722371072,readjack,"RT @CliffordLaw: After his daughter recovers from #retinoblastoma, Michael S. Krzak of @CliffordLaw dedicates to help raise funds: http://t…",10.368713,http://twitter.com/readjack/status/430468803722371072,http://twitter.com/readjack
02/04/14,http://twitter.com/sankarav2020/status/430595066722140160,sankarav2020,Watch this video from Sankara to understand cause of #eyecancer #Retinoblastoma in infants &amp; children http://t.co/1z65i0XEV0 #WorldCancerDay,7.2901697,http://twitter.com/SankaraV2020/status/430595066722140160,http://twitter.com/sankarav2020
02/04/14,http://twitter.com/sankarav2020/status/430626530415230976,sankarav2020,"On #WorldCancerDay, we request you to share this picture on your profile and spread awareness about #retinoblastoma http://t.co/j1eB1TmgOA",7.8059173,http://twitter.com/SankaraV2020/status/430626530415230976,http://twitter.com/sankarav2020
