firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/08/14,http://twitter.com/mtmdphd/status/420933082234245120,mtmdphd,ECOG-ACRIN Active Clinical Trials - Gastrointestinal Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/pwBy0qy9aL #EAOnc,10.538616,http://twitter.com/mtmdphd/status/420933082234245120,http://twitter.com/mtmdphd
01/08/14,http://twitter.com/eaonc/status/420933082968227840,eaonc,ECOG-ACRIN Active Clinical Trials - Gastrointestinal Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/cWgpr9Z0n9 #EAOnc,10.525496,http://twitter.com/eaonc/status/420933082968227840,http://twitter.com/eaonc
01/08/14,http://twitter.com/vincentrk/status/420936690769735680,vincentrk,RT @mtmdphd: ECOG-ACRIN Active Clinical Trials - Gastrointestinal Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/pwBy0qy9aL #EAO…,6.5709863,http://twitter.com/VincentRK/status/420936690769735680,http://twitter.com/vincentrk
01/09/14,http://twitter.com/mtmdphd/status/421296349754437632,mtmdphd,ECOG-ACRIN Active Clinical Trials - Gastrointestinal (GI) Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/Dhci7borft #EAOnc,9.922292,http://twitter.com/mtmdphd/status/421296349754437632,http://twitter.com/mtmdphd
01/09/14,http://twitter.com/eaonc/status/421296350677184512,eaonc,ECOG-ACRIN Active Clinical Trials - Gastrointestinal (GI) Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/x8M4jyTAIY #EAOnc,6.502838,http://twitter.com/eaonc/status/421296350677184512,http://twitter.com/eaonc
01/10/14,http://twitter.com/mtmdphd/status/421701883523117056,mtmdphd,RT @eaonc: ECOG-ACRIN Active Clinical Trials - Gastrointestinal Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/cWgpr9Z0n9 #EAOnc,9.730726,http://twitter.com/mtmdphd/status/421701883523117056,http://twitter.com/mtmdphd
01/16/14,http://twitter.com/mtmdphd/status/423801721169911809,mtmdphd,ECOG-ACRIN Active Clinical Trials - Gastrointestinal (GI) Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/4Jn3m47iIm #EAOnc,9.863701,http://twitter.com/mtmdphd/status/423801721169911809,http://twitter.com/mtmdphd
01/16/14,http://twitter.com/eaonc/status/423801721924902912,eaonc,ECOG-ACRIN Active Clinical Trials - Gastrointestinal (GI) Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/UrAtZcmUms #EAOnc,6.6767797,http://twitter.com/eaonc/status/423801721924902912,http://twitter.com/eaonc
01/21/14,http://twitter.com/oncolognews/status/425731086350434304,oncolognews,Medical Advances Improve Bile Duct Cancer Treatment http://t.co/rYpjsYnSkP #hpbcsm #cancersupport,7.8328395,http://twitter.com/OncoLogNews/status/425731086350434304,http://twitter.com/oncolognews
01/27/14,http://twitter.com/oncolognews/status/427913105780125696,oncolognews,Medical Advances Improve Bile Duct Cancer Treatment http://t.co/rYpjsYnSkP  #hpbcsm #endcancer,8.060882,http://twitter.com/OncoLogNews/status/427913105780125696,http://twitter.com/oncolognews
01/28/14,http://twitter.com/oncolognews/status/428305689207775232,oncolognews,Medical Advances Improve Bile Duct Cancer Treatment http://t.co/rYpjsYnSkP  #hpbcsm #cancersupport,8.809105,http://twitter.com/OncoLogNews/status/428305689207775232,http://twitter.com/oncolognews
01/29/14,http://twitter.com/healthorder/status/428379037887922176,healthorder,RT @OncoLogNews: Medical Advances Improve Bile Duct Cancer Treatment http://t.co/rYpjsYnSkP  #hpbcsm #cancersupport,7.7048697,http://twitter.com/healthorder/status/428379037887922176,http://twitter.com/healthorder
01/31/14,http://twitter.com/oncolognews/status/429331974629494785,oncolognews,Medical Advances Improve Bile Duct Cancer Treatment http://t.co/rYpjsYnSkP  #hpbcsm #endcancer,9.230209,http://twitter.com/OncoLogNews/status/429331974629494785,http://twitter.com/oncolognews
01/31/14,http://twitter.com/healthorder/status/429360307585421313,healthorder,RT @OncoLogNews: Medical Advances Improve Bile Duct Cancer Treatment http://t.co/rYpjsYnSkP  #hpbcsm #endcancer,7.7108407,http://twitter.com/healthorder/status/429360307585421313,http://twitter.com/healthorder
02/01/14,http://twitter.com/stopcancernow/status/429435320153567233,stopcancernow,RT @OncoLogNews: Medical Advances Improve Bile Duct Cancer Treatment http://t.co/rYpjsYnSkP  #hpbcsm #endcancer,7.7108407,http://twitter.com/stopcancernow/status/429435320153567233,http://twitter.com/stopcancernow
02/13/14,http://twitter.com/risping/status/434088334609383424,risping,"RT @talkabouthealth: For a #livercancer patient taking Nexavar (sorafenib), what result should be expected?Dr.Finn @UCLAJCCC http://t.co/Sw…",7.214205,http://twitter.com/Risping/status/434088334609383424,http://twitter.com/risping
02/19/14,http://twitter.com/eaonc/status/436261545467981825,eaonc,ECOG-ACRIN Active Clinical Trials - Gastrointestinal (GI) Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/RmVNfvBfo1 #EAOnc,10.511244,http://twitter.com/eaonc/status/436261545467981825,http://twitter.com/eaonc
02/21/14,http://twitter.com/fischmd/status/436731140058411008,fischmd,RT @eaonc: ECOG-ACRIN Active Clinical Trials - Gastrointestinal (GI) Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/RmVNfvBfo1 #…,9.730926,http://twitter.com/fischmd/status/436731140058411008,http://twitter.com/fischmd
02/28/14,http://twitter.com/eaonc/status/439492865274953728,eaonc,ECOG-ACRIN Active Clinical Trials - Gastrointestinal (GI) Cancer - #ancsm #crcsm #hpbcsm #pancsm #stcsm http://t.co/Kr8ykDOEN5 #EAOnc,6.664261,http://twitter.com/eaonc/status/439492865274953728,http://twitter.com/eaonc
03/05/14,http://twitter.com/ascopost/status/441232271996354560,ascopost,Biomarker-Defined Subgroup Benefits From Novel Approach to Advanced Hepatocellular Carcinoma http://t.co/MQ30HpGrBY #hpbcsm #GI14,11.290353,http://twitter.com/ASCOPost/status/441232271996354560,http://twitter.com/ascopost
03/05/14,http://twitter.com/subatomicdoc/status/441232704953393152,subatomicdoc,RT @ASCOPost: Biomarker-Defined Subgroup Benefits From Novel Approach to Advanced Hepatocellular Carcinoma http://t.co/MQ30HpGrBY #hpbcsm #…,10.376468,http://twitter.com/subatomicdoc/status/441232704953393152,http://twitter.com/subatomicdoc
03/05/14,http://twitter.com/livercancerconn/status/441233472569769984,livercancerconn,MT @ASCOPost: Biomarker-Defined Subgroup Benefits From Novel Approach to Advanced Hepatocellular Carcinoma http://t.co/mm6czR4LE0 #hpbcsm,7.3161216,http://twitter.com/LiverCancerConn/status/441233472569769984,http://twitter.com/livercancerconn
03/08/14,http://twitter.com/cancergeek/status/442315405403496448,cancergeek,"Cancer: Former British No1 Elena Baltacha diagnosed with cancer of the liver http://t.co/mymFAejv0h via @guardian
#cancer #hpbcsm #tennis",7.745517,http://twitter.com/CancerGeek/status/442315405403496448,http://twitter.com/cancergeek
03/12/14,http://twitter.com/subatomicdoc/status/443561718359523328,subatomicdoc,Food security debate needs to include focus on food safety http://t.co/KiOuH2I3IG via @guardian #aflatoxin #hpbcsm @CancerAfrica @marykge,11.769136,http://twitter.com/subatomicdoc/status/443561718359523328,http://twitter.com/subatomicdoc
03/12/14,http://twitter.com/timallenmdjd/status/443561932360937472,timallenmdjd,RT @subatomicdoc: Food security debate needs to include focus on food safety http://t.co/KiOuH2I3IG via @guardian #aflatoxin #hpbcsm @Cance…,10.361764,http://twitter.com/TimAllenMDJD/status/443561932360937472,http://twitter.com/timallenmdjd
03/12/14,http://twitter.com/cancerafrica/status/443744470438125570,cancerafrica,RT @subatomicdoc: Food security debate needs to include focus on food safety http://t.co/KiOuH2I3IG via @guardian #aflatoxin #hpbcsm @Cance…,7.1761036,http://twitter.com/CancerAfrica/status/443744470438125570,http://twitter.com/cancerafrica
03/20/14,http://twitter.com/cancergeek/status/446696014791970816,cancergeek,"Cancer: 101 liver cancer drug candidates pave the way to personalized medicine - Medical News Today: http://t.co/Z7YxB85uFA
#hpbcsm #cancer",9.567805,http://twitter.com/CancerGeek/status/446696014791970816,http://twitter.com/cancergeek
03/20/14,http://twitter.com/healthorder/status/446697482203189248,healthorder,RT @CancerGeek: Cancer: 101 liver cancer drug candidates pave the way to personalized medicine - Medical News Today: http://t.co/Z7YxB85uFA…,7.366487,http://twitter.com/healthorder/status/446697482203189248,http://twitter.com/healthorder
03/21/14,http://twitter.com/mardinoglu/status/446991762209640448,mardinoglu,RT @CancerGeek: Cancer: 101 liver cancer drug candidates pave the way to personalized medicine - Medical News Today: http://t.co/Z7YxB85uFA…,7.366487,http://twitter.com/Mardinoglu/status/446991762209640448,http://twitter.com/mardinoglu
03/26/14,http://twitter.com/mtmdphd/status/448814023895957504,mtmdphd,Approximately 1% of US Residents Have Chronic HCV Infection - Barclay @MedscapeOnc http://t.co/tFyIy0DjXE #hpbcsm,11.128434,http://twitter.com/mtmdphd/status/448814023895957504,http://twitter.com/mtmdphd
03/26/14,http://twitter.com/healthorder/status/448814541275938816,healthorder,RT @mtmdphd: Approximately 1% of US Residents Have Chronic HCV Infection - Barclay @MedscapeOnc http://t.co/tFyIy0DjXE #hpbcsm,7.1302133,http://twitter.com/healthorder/status/448814541275938816,http://twitter.com/healthorder
03/26/14,http://twitter.com/mtmdphd/status/448847038772674560,mtmdphd,New HCV Guidance: Rapid Updates for Clinicians - Stokowsk et al. @MedscapeOnc http://t.co/TBzJmEi8su #hpbcsm,11.178188,http://twitter.com/mtmdphd/status/448847038772674560,http://twitter.com/mtmdphd
03/26/14,http://twitter.com/healthorder/status/448849080345964544,healthorder,RT @mtmdphd: New HCV Guidance: Rapid Updates for Clinicians - Stokowsk et al. @MedscapeOnc http://t.co/TBzJmEi8su #hpbcsm,7.1775727,http://twitter.com/healthorder/status/448849080345964544,http://twitter.com/healthorder
04/01/14,http://twitter.com/ascopost/status/450984427582423040,ascopost,3D MRI Scans May Offer More Accurate Way to Predict Survival After Chemotherapy for Liver Tumors http://t.co/o4MkeM4SQA #hpbcsm,12.096662,http://twitter.com/ASCOPost/status/450984427582423040,http://twitter.com/ascopost
04/01/14,http://twitter.com/moonslider/status/450984521672835072,moonslider,RT @ASCOPost: 3D MRI Scans May Offer More Accurate Way to Predict Survival After Chemotherapy for Liver Tumors http://t.co/o4MkeM4SQA #hpbc…,10.415903,http://twitter.com/moonslider/status/450984521672835072,http://twitter.com/moonslider
