firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
05/20/14,http://twitter.com/healthhashtags/status/468886048396021764,healthhashtags,New Health Hashtag: #hsronc http://t.co/Lgi7irUQsE Thank you @yzafar #hcsm,8.8554125,http://twitter.com/healthhashtags/status/468886048396021764,http://twitter.com/healthhashtags
05/21/14,http://twitter.com/yzafar/status/468915223861411840,yzafar,RT @healthhashtags: New Health Hashtag: #hsronc http://t.co/Lgi7irUQsE Thank you @yzafar #hcsm,7.725552,http://twitter.com/yzafar/status/468915223861411840,http://twitter.com/yzafar
05/21/14,http://twitter.com/yzafar/status/468923792145022976,yzafar,Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subatomicdoc,13.2033825,http://twitter.com/yzafar/status/468923792145022976,http://twitter.com/yzafar
05/21/14,http://twitter.com/m_e_nielsen/status/468925385703710720,m_e_nielsen,RT @yzafar: Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subato…,7.2292585,http://twitter.com/m_e_nielsen/status/468925385703710720,http://twitter.com/m_e_nielsen
05/21/14,http://twitter.com/subatomicdoc/status/468932096665600000,subatomicdoc,RT @yzafar: Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subato…,10.50847,http://twitter.com/subatomicdoc/status/468932096665600000,http://twitter.com/subatomicdoc
05/21/14,http://twitter.com/angiesmith_uro/status/468946704746971137,angiesmith_uro,RT @yzafar: Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subato…,7.2292585,http://twitter.com/angiesmith_uro/status/468946704746971137,http://twitter.com/angiesmith_uro
05/21/14,http://twitter.com/dkarikios/status/468968787421986817,dkarikios,RT @yzafar: Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subato…,7.2292585,http://twitter.com/DKarikios/status/468968787421986817,http://twitter.com/dkarikios
05/21/14,http://twitter.com/mtmdphd/status/468970063547346944,mtmdphd,RT @yzafar: Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subato…,10.41618,http://twitter.com/mtmdphd/status/468970063547346944,http://twitter.com/mtmdphd
05/21/14,http://twitter.com/aliepea/status/468994163783266304,aliepea,RT @yzafar: Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subato…,7.2292585,http://twitter.com/aliepea/status/468994163783266304,http://twitter.com/aliepea
05/21/14,http://twitter.com/capricegreenber/status/469001414749196288,capricegreenber,RT @yzafar: Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subato…,7.2292585,http://twitter.com/CapriceGreenber/status/469001414749196288,http://twitter.com/capricegreenber
05/21/14,http://twitter.com/815wrldtrvlr/status/469126359298867200,815wrldtrvlr,RT @yzafar: Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subato…,10.395642,http://twitter.com/815wrldtrvlr/status/469126359298867200,http://twitter.com/815wrldtrvlr
05/23/14,http://twitter.com/tomleblancmd/status/469863723382112256,tomleblancmd,RT @yzafar: Tweeting about oncology health services research? Use the new hashtag: #hsronc http://t.co/EY0CLSxwha #ASCO14 Thanks to @subato…,7.2292585,http://twitter.com/tomleblancMD/status/469863723382112256,http://twitter.com/tomleblancmd
05/27/14,http://twitter.com/yzafar/status/471264590056013824,yzafar,Are we justified in excluding patients with prior #cancers from clinical trials? http://t.co/dNNR29g4dQ #ASCO14 #hsronc,7.446342,http://twitter.com/yzafar/status/471264590056013824,http://twitter.com/yzafar
05/27/14,http://twitter.com/yzafar/status/471362150045589504,yzafar,"Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/USEvAPS4xx #ASCO14 #hsronc",13.183673,http://twitter.com/yzafar/status/471362150045589504,http://twitter.com/yzafar
05/27/14,http://twitter.com/asco/status/471362730084302849,asco,"RT @yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/USEvAPS4xx #ASCO14 #hsro…",10.579888,http://twitter.com/ASCO/status/471362730084302849,http://twitter.com/asco
05/27/14,http://twitter.com/donaldhtaylorjr/status/471363180045012992,donaldhtaylorjr,"RT @yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/USEvAPS4xx #ASCO14 #hsro…",10.465142,http://twitter.com/donaldhtaylorjr/status/471363180045012992,http://twitter.com/donaldhtaylorjr
05/27/14,http://twitter.com/nathwales/status/471364372632457216,nathwales,"RT @yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/USEvAPS4xx #ASCO14 #hsro…",7.24122,http://twitter.com/NathWales/status/471364372632457216,http://twitter.com/nathwales
05/27/14,http://twitter.com/monicabeckrn/status/471371366789570560,monicabeckrn,"RT @yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/USEvAPS4xx #ASCO14 #hsro…",7.24122,http://twitter.com/MonicaBeckRN/status/471371366789570560,http://twitter.com/monicabeckrn
05/27/14,http://twitter.com/janeybusby/status/471376108718280704,janeybusby,"RT @yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/USEvAPS4xx #ASCO14 #hsro…",7.24122,http://twitter.com/JaneyBusby/status/471376108718280704,http://twitter.com/janeybusby
05/27/14,http://twitter.com/anitates/status/471376739357454336,anitates,"RT @yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/USEvAPS4xx #ASCO14 #hsro…",7.24122,http://twitter.com/anitates/status/471376739357454336,http://twitter.com/anitates
05/27/14,http://twitter.com/elruper79/status/471377449776062464,elruper79,"""@yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/ztwCaldNZX #ASCO14 #hsronc""",8.3023,http://twitter.com/elruper79/status/471377449776062464,http://twitter.com/elruper79
05/27/14,http://twitter.com/scri_uk/status/471378336745549824,scri_uk,"RT @elruper79: ""@yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/ztwCaldNZX …",7.237242,http://twitter.com/SCRI_UK/status/471378336745549824,http://twitter.com/scri_uk
05/27/14,http://twitter.com/j_jay_z/status/471407053509246977,j_jay_z,"RT @yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/USEvAPS4xx #ASCO14 #hsro…",7.24122,http://twitter.com/j_jay_z/status/471407053509246977,http://twitter.com/j_jay_z
05/28/14,http://twitter.com/bestpartytogo/status/471598477223284737,bestpartytogo,"#hospital #roptec 
 #digitalhealth 
 #hsronc 
 #PTpubNight 
#Multimorbidity  #esaludcyl 
 #hcsmeu… http://t.co/oaGDxcBgq3",7.418029,http://twitter.com/BestPartyToGo/status/471598477223284737,http://twitter.com/bestpartytogo
05/28/14,http://twitter.com/micheni1/status/471743580932149250,micheni1,"RT @yzafar: Are cancer clinical trial patients similar to cancer patients treated in the ""real world""? http://t.co/USEvAPS4xx #ASCO14 #hsro…",7.24122,http://twitter.com/micheni1/status/471743580932149250,http://twitter.com/micheni1
05/29/14,http://twitter.com/unc_corp/status/472033800512606208,corp_unc,"Excited to dip our toes in the pool / join the conversation.  

Looking forward to an awesome #ASCO14 #hsronc
#myfirstTweet",9.097207,http://twitter.com/UNC_corp/status/472033800512606208,http://twitter.com/corp_unc
