firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/luriecancer/status/418503364565946368,luriecancer,Watch @LurieCancer's @jaltmanmd on The Changing #CML Treatment Landscape http://t.co/71dZ8qjKMT via @PatientPower @NUFeinbergMed #LEUSM,11.16359,http://twitter.com/LurieCancer/status/418503364565946368,http://twitter.com/luriecancer
01/01/14,http://twitter.com/lmontheradio/status/418507634799435776,lmontheradio,RT @LurieCancer: Watch @LurieCancer's @jaltmanmd on The Changing #CML Treatment Landscape http://t.co/71dZ8qjKMT via @PatientPower @NUFeinb…,10.232422,http://twitter.com/lmontheradio/status/418507634799435776,http://twitter.com/lmontheradio
01/03/14,http://twitter.com/mdandersonnews/status/418900811906031616,mdandersonnews,An #MDS patient’s quest for #cancer treatment options: http://t.co/B6D1iU8OMn #leusm #endcancer,11.129679,http://twitter.com/MDAndersonNews/status/418900811906031616,http://twitter.com/mdandersonnews
01/08/14,http://twitter.com/eaonc/status/420939727421059072,eaonc,ECOG-ACRIN Active Clinical Trials - Leukemia - #leusm http://t.co/ihhbK0439b #EAOnc,11.249709,http://twitter.com/eaonc/status/420939727421059072,http://twitter.com/eaonc
01/08/14,http://twitter.com/mtmdphd/status/420939726754160640,mtmdphd,ECOG-ACRIN Active Clinical Trials - Leukemia - #leusm http://t.co/PbbGSj610d #EAOnc,10.194283,http://twitter.com/mtmdphd/status/420939726754160640,http://twitter.com/mtmdphd
01/08/14,http://twitter.com/drmiguelperales/status/420967811880456194,drmiguelperales,"Sad to hear recent passing of Professor John M. Goldman, pioneer in treatment for CML &amp; BMT http://t.co/s18K9sUq8o #bmtsm #leusm",8.946425,http://twitter.com/DrMiguelPerales/status/420967811880456194,http://twitter.com/drmiguelperales
01/08/14,http://twitter.com/timothyfarley16/status/421053264688607232,timothyfarley16,"RT @DrMiguelPerales: Sad to hear recent passing of Professor John M. Goldman, pioneer in treatment for CML &amp; BMT http://t.co/s18K9sUq8o #bm…",7.138876,http://twitter.com/Timothyfarley16/status/421053264688607232,http://twitter.com/timothyfarley16
01/09/14,http://twitter.com/mtmdphd/status/421296607179849728,mtmdphd,ECOG-ACRIN Active Clinical Trials - Leukemia - #leusm http://t.co/wAf2WpwFZd #EAOnc,10.145163,http://twitter.com/mtmdphd/status/421296607179849728,http://twitter.com/mtmdphd
01/09/14,http://twitter.com/eaonc/status/421296607813189632,eaonc,ECOG-ACRIN Active Clinical Trials - Leukemia - #leusm http://t.co/FAMrDHx138 #EAOnc,7.0649495,http://twitter.com/eaonc/status/421296607813189632,http://twitter.com/eaonc
01/10/14,http://twitter.com/talkabouthealth/status/421657771860176897,talkabouthealth,"Q&amp;A workshop on #leukemia blood tests with Susan Leclair,PhD. Prof. @UMass http://t.co/FmkCvsaDWg  #leusm Expand understanding! Ask Q's!",10.470126,http://twitter.com/talkabouthealth/status/421657771860176897,http://twitter.com/talkabouthealth
01/10/14,http://twitter.com/mtmdphd/status/421701938430750720,mtmdphd,RT @eaonc: ECOG-ACRIN Active Clinical Trials - Leukemia - #leusm http://t.co/ihhbK0439b #EAOnc,10.009669,http://twitter.com/mtmdphd/status/421701938430750720,http://twitter.com/mtmdphd
01/11/14,http://twitter.com/drmiguelperales/status/422087236360744960,drmiguelperales,Nice review in @LeukemiaJnl Clonal evolution in hematological malignancies and therapeutic implications http://t.co/t2Rky7ZO01 #leusm,8.212339,http://twitter.com/DrMiguelPerales/status/422087236360744960,http://twitter.com/drmiguelperales
01/11/14,http://twitter.com/drmiguelperales/status/422094424764473344,drmiguelperales,New FLT3 TKI TTT-3002 (TauTaTis) effective pre-clinical models of FLT3/ITD AML http://t.co/JvFk8SeQSe #leusm,7.8978696,http://twitter.com/DrMiguelPerales/status/422094424764473344,http://twitter.com/drmiguelperales
01/11/14,http://twitter.com/drzafergokgoz/status/422095236790489089,drzafergokgoz,RT @DrMiguelPerales: New FLT3 TKI TTT-3002 (TauTaTis) effective pre-clinical models of FLT3/ITD AML http://t.co/JvFk8SeQSe #leusm,6.856504,http://twitter.com/drzafergokgoz/status/422095236790489089,http://twitter.com/drzafergokgoz
01/12/14,http://twitter.com/talkabouthealth/status/422450508087844865,talkabouthealth,What types of doctors are typically on team to treat CLL (chronic lymphocytic #leukemia)? http://t.co/J3ZDAK69uR #leusm Learn more!,10.746056,http://twitter.com/talkabouthealth/status/422450508087844865,http://twitter.com/talkabouthealth
01/14/14,http://twitter.com/drmiguelperales/status/423081391971368960,drmiguelperales,"Interesting article ""Clonal diversity of recurrently mutated genes in MDS..."" (via #pubmedontap) #leusm http://t.co/wSIyvySqeP",7.3928695,http://twitter.com/DrMiguelPerales/status/423081391971368960,http://twitter.com/drmiguelperales
01/15/14,http://twitter.com/muslime1mystery/status/423513100873379840,muslime1mystery,RT @eaonc: ECOG-ACRIN Active Clinical Trials - Leukemia - #leusm http://t.co/ihhbK0439b #EAOnc,6.8227487,http://twitter.com/muslime1mystery/status/423513100873379840,http://twitter.com/muslime1mystery
01/16/14,http://twitter.com/mdandersonnews/status/423636190836064256,mdandersonnews,What recovery from a stem cell transplant was like for one patient: http://t.co/j7GOkjetxL #leusm #endcancer,12.567788,http://twitter.com/MDAndersonNews/status/423636190836064256,http://twitter.com/mdandersonnews
01/16/14,http://twitter.com/newsbeat1/status/423636976852807680,newsbeat1,RT @MDAndersonNews: What recovery from a stem cell transplant was like for one patient: http://t.co/j7GOkjetxL #leusm #endcancer,7.765489,http://twitter.com/Newsbeat1/status/423636976852807680,http://twitter.com/newsbeat1
