firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/04/14,http://twitter.com/careacross/status/419482172995960832,careacross,New discovery could stop #breastCancer metastasis http://t.co/TTY4l6qFbC #mBCSM,8.281174,http://twitter.com/CareAcross/status/419482172995960832,http://twitter.com/careacross
01/14/14,http://twitter.com/mbcnbuzz/status/422883430775259136,mbcnbuzz,Bill Keller's Misguided NYT OpEd Piece: MBCN Responds http://t.co/RFl4aw0vc8 @AdamsLisa #bcsm #mbcsm #metastatic #stageIV,8.787995,http://twitter.com/MBCNbuzz/status/422883430775259136,http://twitter.com/mbcnbuzz
01/14/14,http://twitter.com/sguzzone/status/422895329780834305,sguzzone,RT @MBCNbuzz: Bill Keller's Misguided NYT OpEd Piece: MBCN Responds http://t.co/RFl4aw0vc8 @AdamsLisa #bcsm #mbcsm #metastatic #stageIV,6.995379,http://twitter.com/SGuzzone/status/422895329780834305,http://twitter.com/sguzzone
01/14/14,http://twitter.com/jodyms/status/422901591419523072,jodyms,@BarbBristow thinking about you today:) Let me know how you're doing.  Same with you @Metsgrr  #mbcsm #bcsm,11.158177,http://twitter.com/jodyms/status/422901591419523072,http://twitter.com/jodyms
01/14/14,http://twitter.com/karunajaggar/status/422904102952005632,karunajaggar,RT @MBCNbuzz: Bill Keller's Misguided NYT OpEd Piece: MBCN Responds http://t.co/RFl4aw0vc8 @AdamsLisa #bcsm #mbcsm #metastatic #stageIV,6.995379,http://twitter.com/karunajaggar/status/422904102952005632,http://twitter.com/karunajaggar
01/14/14,http://twitter.com/jodyms/status/422910282487193600,jodyms,@regrounding I've starred your tweet and will address our many #breastcancer priorities this week. #ResearchSavesLives #bcsm #mbcsm,11.099529,http://twitter.com/jodyms/status/422910282487193600,http://twitter.com/jodyms
01/14/14,http://twitter.com/jodyms/status/422911061482688512,jodyms,Huge #bcsm shout to Barb @BarbBristow  @jodyms Hi Jody. Feeling pretty good. Thanks for asking. Side effects aren't bad. #mbcsm,11.055621,http://twitter.com/jodyms/status/422911061482688512,http://twitter.com/jodyms
01/14/14,http://twitter.com/jodyms/status/422925873298153472,jodyms,@regrounding and remember for metastatic breast cancer use #MBCSM:)  #bcsm,11.1496725,http://twitter.com/jodyms/status/422925873298153472,http://twitter.com/jodyms
01/14/14,http://twitter.com/shmget/status/422926990761410561,shmget,@jodyms @regrounding I've been using #mbc.  I'll switch to #mbcsm.,7.927709,http://twitter.com/shmget/status/422926990761410561,http://twitter.com/shmget
01/14/14,http://twitter.com/etre_julie/status/423116858108420096,etre_julie,RT @MBCNbuzz: Bill Keller's Misguided NYT OpEd Piece: MBCN Responds http://t.co/RFl4aw0vc8 @AdamsLisa #bcsm #mbcsm #metastatic #stageIV,6.995379,http://twitter.com/etre_julie/status/423116858108420096,http://twitter.com/etre_julie
01/15/14,http://twitter.com/anna89266443/status/423463676071657472,anna89266443,"Inspired by @adamsLisa I'm joining the #mbcsm twitter voice, here is a link to my blog about my journey http://t.co/YWMS1SBpEu #wehaveavoice",8.523038,http://twitter.com/anna89266443/status/423463676071657472,http://twitter.com/anna89266443
01/15/14,http://twitter.com/anna89266443/status/423470801023954944,anna89266443,"I feel it, so I'm going to own it! I'm angry about #advanced cancer.  I'm not going to positive think my way out of this one! #mbcsm",7.9819045,http://twitter.com/anna89266443/status/423470801023954944,http://twitter.com/anna89266443
01/15/14,http://twitter.com/iamnotcancer/status/423480995304968192,iamnotcancer,"RT @anna89266443: Inspired by @adamsLisa I'm joining the #mbcsm twitter voice, here is a link to my blog about my journey http://t.co/YWMS1…",7.4953847,http://twitter.com/iamnotcancer/status/423480995304968192,http://twitter.com/iamnotcancer
01/16/14,http://twitter.com/9dognight/status/423644751514968064,9dognight,"SpotOn! from w/in #bcsm #mbcsm community⎯@DrSusanLove http://t.co/xNTDRQ08Sx and @jodyms' ""Cue the Kellers""http://t.co/O2n6ws72nw @adamslisa",7.6302934,http://twitter.com/9dognight/status/423644751514968064,http://twitter.com/9dognight
01/16/14,http://twitter.com/floridaforce/status/423648668277686272,brcaresponder,The BRCA Responder: For Lisa @AdamsLisa http://t.co/eqz52JBb04 #mbcsm #bcsm,9.490961,http://twitter.com/FloridaForce/status/423648668277686272,http://twitter.com/brcaresponder
01/16/14,http://twitter.com/annhealthcare/status/423650131905613825,annhealthcare,RT @FloridaForce: The BRCA Responder: For Lisa @AdamsLisa http://t.co/eqz52JBb04 #mbcsm #bcsm,7.665812,http://twitter.com/AnnHealthCare/status/423650131905613825,http://twitter.com/annhealthcare
01/22/14,http://twitter.com/shmget/status/425983115580825600,shmget,I'm sure the most loving thing I can do for my wife at this point in our marriage is to be a tireless patient advocate for her #mbcsm #bcsm,8.666665,http://twitter.com/shmget/status/425983115580825600,http://twitter.com/shmget
01/22/14,http://twitter.com/annhealthcare/status/425995181700444160,annhealthcare,RT @shmget: I'm sure the most loving thing I can do for my wife at this point in our marriage is to be a tireless patient advocate for her …,7.611529,http://twitter.com/AnnHealthCare/status/425995181700444160,http://twitter.com/annhealthcare
01/23/14,http://twitter.com/anna89266443/status/426311745570107392,anna89266443,There is nothing more heart breaking then your sick child crying and reaching   for you &amp; you can't do anything b/c of blood counts #mbcsm,7.7151423,http://twitter.com/anna89266443/status/426311745570107392,http://twitter.com/anna89266443
01/25/14,http://twitter.com/anna89266443/status/427062198104784896,anna89266443,"My four year old son drew me a picture this morning he called ""the cancer inside of you that doesn't go away."" #mbcsm #kidquotes",8.006608,http://twitter.com/anna89266443/status/427062198104784896,http://twitter.com/anna89266443
01/25/14,http://twitter.com/jodyms/status/427219545204350976,jodyms,This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,13.72215,http://twitter.com/jodyms/status/427219545204350976,http://twitter.com/jodyms
01/25/14,http://twitter.com/cscct/status/427219846640590848,cscct,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,7.633929,http://twitter.com/CSCCT/status/427219846640590848,http://twitter.com/cscct
01/25/14,http://twitter.com/broken_boobie/status/427223716905242625,broken_boobie,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,7.633929,http://twitter.com/broken_boobie/status/427223716905242625,http://twitter.com/broken_boobie
01/25/14,http://twitter.com/seporahraizer/status/427225402739032064,seporahraizer,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,7.633929,http://twitter.com/SeporahRaizer/status/427225402739032064,http://twitter.com/seporahraizer
01/26/14,http://twitter.com/readeatwriterun/status/427230771804647424,readeatwriterun,This is an exceptional piece. RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/y725Tz4mMd #cancer #mbcsm #bcsm,11.730832,http://twitter.com/ReadEatWriteRun/status/427230771804647424,http://twitter.com/readeatwriterun
01/26/14,http://twitter.com/runlikeacoyote/status/427233672664600576,runlikeacoyote,RT @ReadEatWriteRun: This is an exceptional piece. RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/y725Tz4mMd #cancer …,10.475219,http://twitter.com/runlikeacoyote/status/427233672664600576,http://twitter.com/runlikeacoyote
01/26/14,http://twitter.com/lmazeroll/status/427236097265897472,lmazeroll,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,7.633929,http://twitter.com/LMazeroll/status/427236097265897472,http://twitter.com/lmazeroll
01/26/14,http://twitter.com/curliegirlie31/status/427236199363665920,curliegirlie31,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,7.633929,http://twitter.com/curliegirlie31/status/427236199363665920,http://twitter.com/curliegirlie31
01/26/14,http://twitter.com/annhealthcare/status/427236367752769536,annhealthcare,RT @ReadEatWriteRun: This is an exceptional piece. RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/y725Tz4mMd #cancer …,7.2867713,http://twitter.com/AnnHealthCare/status/427236367752769536,http://twitter.com/annhealthcare
01/26/14,http://twitter.com/dr_dana/status/427236793822371840,dr_dana,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,10.865761,http://twitter.com/Dr_Dana/status/427236793822371840,http://twitter.com/dr_dana
01/26/14,http://twitter.com/kaltersitz/status/427250227780026368,kaltersitz,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,7.633929,http://twitter.com/kaltersitz/status/427250227780026368,http://twitter.com/kaltersitz
01/26/14,http://twitter.com/wildune521/status/427260820125671424,wildune521,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,7.633929,http://twitter.com/Wildune521/status/427260820125671424,http://twitter.com/wildune521
01/26/14,http://twitter.com/womenofteal/status/427286014327922689,womenofteal,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,7.633929,http://twitter.com/womenofteal/status/427286014327922689,http://twitter.com/womenofteal
01/26/14,http://twitter.com/cancerfree2b/status/427306014220644352,cancerfree2b,RT @jodyms: This is excellent: How Long Have I Got Left? http://t.co/f8iZcaOtdU #cancer #mbcsm #bcsm,7.633929,http://twitter.com/cancerfree2b/status/427306014220644352,http://twitter.com/cancerfree2b
