firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
02/06/14,http://twitter.com/mdandersonnews/status/431426108840759296,mdandersonnews,"How a thymoma patient took control of her cancer, starting with the words she used to describe it: http://t.co/PnIv9vu4uC #thmcsm #endcancer",12.193054,http://twitter.com/MDAndersonNews/status/431426108840759296,http://twitter.com/mdandersonnews
02/06/14,http://twitter.com/ffightingcancer/status/431426700807643136,ffightingcancer,"RT @MDAndersonNews: How a thymoma patient took control of her cancer, starting with the words she used to describe it: http://t.co/PnIv9vu4…",7.592102,http://twitter.com/FFightingCancer/status/431426700807643136,http://twitter.com/ffightingcancer
02/06/14,http://twitter.com/dawnka/status/431455558252900352,dawnka,"RT @MDAndersonNews: How a thymoma patient took control of her cancer, starting with the words she used to describe it: http://t.co/PnIv9vu4…",10.812645,http://twitter.com/DawnKA/status/431455558252900352,http://twitter.com/dawnka
02/18/14,http://twitter.com/mdandersonnews/status/435774152499535872,mdandersonnews,"How a thymoma patient took control of her cancer, starting with the words she used to describe it: http://t.co/jzQZxEHzbN #thmcsm #endcancer",11.660492,http://twitter.com/MDAndersonNews/status/435774152499535872,http://twitter.com/mdandersonnews
02/18/14,http://twitter.com/fightbigfight/status/435915737916395520,fightbigfight,"RT @MDAndersonNews: How a thymoma patient took control of her cancer, starting with the words she used to describe it: http://t.co/jzQZxEHz…",7.5801806,http://twitter.com/Fightbigfight/status/435915737916395520,http://twitter.com/fightbigfight
04/01/14,http://twitter.com/mdandersonnews/status/451082907118239744,mdandersonnews,How a #thymoma patient coped with losing her hair during cancer treatment: http://t.co/E6GnyYbTgG #thmcsm #endcancer,12.310425,http://twitter.com/MDAndersonNews/status/451082907118239744,http://twitter.com/mdandersonnews
04/01/14,http://twitter.com/dailydosemd/status/451101549595738112,dailydosemd,RT @MDAndersonNews: How a #thymoma patient coped with losing her hair during cancer treatment: http://t.co/E6GnyYbTgG #thmcsm #endcancer,7.4646425,http://twitter.com/DailyDoseMD/status/451101549595738112,http://twitter.com/dailydosemd
04/01/14,http://twitter.com/pink_door/status/451103105250504704,pink_door,RT @MDAndersonNews: How a #thymoma patient coped with losing her hair during cancer treatment: http://t.co/E6GnyYbTgG #thmcsm #endcancer,7.4646425,http://twitter.com/pink_door/status/451103105250504704,http://twitter.com/pink_door
04/02/14,http://twitter.com/nikala/status/451149480826372097,nikala,RT @MDAndersonNews: How a #thymoma patient coped with losing her hair during cancer treatment: http://t.co/E6GnyYbTgG #thmcsm #endcancer,7.4646425,http://twitter.com/nikala/status/451149480826372097,http://twitter.com/nikala
04/17/14,http://twitter.com/mdandersonnews/status/456591692133453824,mdandersonnews,How a #thymoma patient coped with losing her hair during #cancer treatment: http://t.co/fJ0sJ3PJdW via @AnnasTweets #thmcsm #endcancer,10.777717,http://twitter.com/MDAndersonNews/status/456591692133453824,http://twitter.com/mdandersonnews
