firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/rapcdotnet/status/418386327025889280,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.2174826,http://twitter.com/rapcdotnet/status/418386327025889280,http://twitter.com/rapcdotnet
01/02/14,http://twitter.com/rapcdotnet/status/418748687095844865,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.2894087,http://twitter.com/rapcdotnet/status/418748687095844865,http://twitter.com/rapcdotnet
01/03/14,http://twitter.com/rapcdotnet/status/419111205446250496,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.2866144,http://twitter.com/rapcdotnet/status/419111205446250496,http://twitter.com/rapcdotnet
01/04/14,http://twitter.com/rapcdotnet/status/419473432808411137,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.35601,http://twitter.com/rapcdotnet/status/419473432808411137,http://twitter.com/rapcdotnet
01/05/14,http://twitter.com/rapcdotnet/status/419835799698280448,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.264397,http://twitter.com/rapcdotnet/status/419835799698280448,http://twitter.com/rapcdotnet
01/06/14,http://twitter.com/rapcdotnet/status/420198222384992256,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.264397,http://twitter.com/rapcdotnet/status/420198222384992256,http://twitter.com/rapcdotnet
01/07/14,http://twitter.com/rapcdotnet/status/420560780971364352,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.287449,http://twitter.com/rapcdotnet/status/420560780971364352,http://twitter.com/rapcdotnet
01/08/14,http://twitter.com/rapcdotnet/status/420922970685448192,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.264397,http://twitter.com/rapcdotnet/status/420922970685448192,http://twitter.com/rapcdotnet
01/09/14,http://twitter.com/rapcdotnet/status/421285350435090433,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.357119,http://twitter.com/rapcdotnet/status/421285350435090433,http://twitter.com/rapcdotnet
01/10/14,http://twitter.com/rapcdotnet/status/421647866566680576,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.35601,http://twitter.com/rapcdotnet/status/421647866566680576,http://twitter.com/rapcdotnet
01/11/14,http://twitter.com/rapcdotnet/status/422010240498814977,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.264397,http://twitter.com/rapcdotnet/status/422010240498814977,http://twitter.com/rapcdotnet
01/12/14,http://twitter.com/rapcdotnet/status/422372485120524288,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.423836,http://twitter.com/rapcdotnet/status/422372485120524288,http://twitter.com/rapcdotnet
01/13/14,http://twitter.com/rapcdotnet/status/422734881731256320,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.423859,http://twitter.com/rapcdotnet/status/422734881731256320,http://twitter.com/rapcdotnet
01/14/14,http://twitter.com/rapcdotnet/status/423097393056202752,rapcdotnet,http://t.co/oXR1pZX6S7 offering full range of #thyroid imaging &amp; #biopsy services call for a #consultation today #thycsm #radiology #rt,7.357119,http://twitter.com/rapcdotnet/status/423097393056202752,http://twitter.com/rapcdotnet
