firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/03/14,http://twitter.com/pharmacistmike/status/419154125457080321,pharmacistmike,If you have balls or like balls follow @TCSociety &amp; learn the basics about testicular cancer. #tscsm,10.137747,http://twitter.com/pharmacistmike/status/419154125457080321,http://twitter.com/pharmacistmike
01/03/14,http://twitter.com/tcsociety/status/419156766891323393,tcsociety,Dare you to do a dodecathlon for the #SelfieOlympics &amp; check your nuts monthly for a year. It takes testicular fortitude. #selfiegame #tscsm,7.8658004,http://twitter.com/TCSociety/status/419156766891323393,http://twitter.com/tcsociety
01/03/14,http://twitter.com/houseofcoq/status/419159069677854720,houseofcoq,RT @pharmacistmike: If you have balls or like balls follow @TCSociety &amp; learn the basics about testicular cancer. #tscsm,7.284527,http://twitter.com/houseofcoq/status/419159069677854720,http://twitter.com/houseofcoq
01/03/14,http://twitter.com/houseofcoq/status/419159777076604928,houseofcoq,RT @TCSociety: Dare you to do a dodecathlon for the #SelfieOlympics &amp; check your nuts monthly for a year. It takes testicular fortitude. #s…,6.917494,http://twitter.com/houseofcoq/status/419159777076604928,http://twitter.com/houseofcoq
01/03/14,http://twitter.com/thebman69/status/419160667556704256,thebman69,RT @pharmacistmike: If you have balls or like balls follow @TCSociety &amp; learn the basics about testicular cancer. #tscsm,7.284527,http://twitter.com/Thebman69/status/419160667556704256,http://twitter.com/thebman69
01/04/14,http://twitter.com/karenmcwhirt/status/419575720935821312,karenmcwhirt,RT @pharmacistmike: If you have balls or like balls follow @TCSociety &amp; learn the basics about testicular cancer. #tscsm,7.284527,http://twitter.com/KarenMcWhirt/status/419575720935821312,http://twitter.com/karenmcwhirt
01/06/14,http://twitter.com/houseofcoq/status/420252052598845440,houseofcoq,What's the best hashtag to use in tweets pertaining to testicular cancer? We're hearing #tscsm is good but is it the most effective?,7.3265862,http://twitter.com/houseofcoq/status/420252052598845440,http://twitter.com/houseofcoq
01/07/14,http://twitter.com/the_rct_charity/status/420495458814132224,rctcharity,#tscsm is the new unifying testicular cancer hashtag - please share to raise awareness this #CharityTuesday http://t.co/w5ezUkrfGX,7.480563,http://twitter.com/The_RCT_Charity/status/420495458814132224,http://twitter.com/rctcharity
01/08/14,http://twitter.com/mtmdphd/status/420933958273339392,mtmdphd,ECOG-ACRIN Active Clinical Trials - Genitourinary (GU) Cancer - #blcsm #kcsm #tscsm http://t.co/s6Snoa9AZM #EAOnc,9.998919,http://twitter.com/mtmdphd/status/420933958273339392,http://twitter.com/mtmdphd
01/08/14,http://twitter.com/eaonc/status/420933959372255232,eaonc,ECOG-ACRIN Active Clinical Trials - Genitourinary (GU) Cancer - #blcsm #kcsm #tscsm http://t.co/NhCITf7yQS #EAOnc,10.698537,http://twitter.com/eaonc/status/420933959372255232,http://twitter.com/eaonc
01/09/14,http://twitter.com/mtmdphd/status/421296472576258050,mtmdphd,ECOG-ACRIN Active Clinical Trials - Genitourinary (GU) Cancer - #blcsm #kcsm #tscsm http://t.co/aexvkfab6x #EAOnc,9.813595,http://twitter.com/mtmdphd/status/421296472576258050,http://twitter.com/mtmdphd
01/09/14,http://twitter.com/eaonc/status/421296473423491072,eaonc,ECOG-ACRIN Active Clinical Trials - Genitourinary (GU) Cancer - #blcsm #kcsm #tscsm http://t.co/RedPOZcjgd #EAOnc,6.6790833,http://twitter.com/eaonc/status/421296473423491072,http://twitter.com/eaonc
01/09/14,http://twitter.com/tcsociety/status/421380773959069696,tcsociety,Basic facts you should know http://t.co/lBAkABVr26 about the leading cause of cancer in guys 15-35. #tscsm #testicularcancer,7.6078124,http://twitter.com/TCSociety/status/421380773959069696,http://twitter.com/tcsociety
01/09/14,http://twitter.com/fcuroonc/status/421391520433188864,fcuroonc,"“@eaonc: ECOG-ACRIN Active Clinical Trials -  GU Cancer - #blcsm #kcsm #tscsm http://t.co/aCSw7i1Toa #EAOnc”

We rec rx on trial if poss.",6.494225,http://twitter.com/FCUroOnc/status/421391520433188864,http://twitter.com/fcuroonc
01/09/14,http://twitter.com/fcuroonc/status/421392578601582592,fcuroonc,"@FoxChaseCancer, for these &amp; more

@eaonc: ECOG-ACRIN Active Clin Trials - GU Cancer - #blcsm #kcsm #tscsm http://t.co/aCSw7i1Toa #EAOnc",6.405266,http://twitter.com/FCUroOnc/status/421392578601582592,http://twitter.com/fcuroonc
01/10/14,http://twitter.com/mtmdphd/status/421701899776061442,mtmdphd,RT @eaonc: ECOG-ACRIN Active Clinical Trials - Genitourinary (GU) Cancer - #blcsm #kcsm #tscsm http://t.co/NhCITf7yQS #EAOnc,9.871147,http://twitter.com/mtmdphd/status/421701899776061442,http://twitter.com/mtmdphd
01/10/14,http://twitter.com/tcsociety/status/421761386448834560,tcsociety,Have you tried the new unifying hashtag #tscsm for #testicularcancer? All the young kids are doing it. Just saying.,8.465015,http://twitter.com/TCSociety/status/421761386448834560,http://twitter.com/tcsociety
