firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/02/14,http://twitter.com/cprmemphistn/status/418761128135512065,cprmemphistn,Nice article on Eclampsia. #eclampsia... http://t.co/T3fg5OoFMT,8.473068,http://twitter.com/CPRMemphisTN/status/418761128135512065,http://twitter.com/cprmemphistn
01/05/14,http://twitter.com/usmle_ckhints/status/419966208331362304,usmle_ckhints,"The most definitive treatment for #preeclampsia and #eclampsia is delivery of the fetus,",8.899478,http://twitter.com/USMLE_CKHints/status/419966208331362304,http://twitter.com/usmle_ckhints
01/06/14,http://twitter.com/chrissykd13/status/420064491565350913,chrissykd13,"RT @USMLE_CKHints: The most definitive treatment for #preeclampsia and #eclampsia is delivery of the fetus,",7.8029385,http://twitter.com/ChrissyKD13/status/420064491565350913,http://twitter.com/chrissykd13
01/07/14,http://twitter.com/gnomeandfairy/status/420558424426827776,gnomeandfairy,Not to mention the stress dreams that it engenders...who needs to see #eclampsia or spouses dying when they're #pregnant? #SayNoToDownton,8.234298,http://twitter.com/GnomeAndFairy/status/420558424426827776,http://twitter.com/gnomeandfairy
01/08/14,http://twitter.com/usmle_ckhints/status/421054113791492096,usmle_ckhints,#Magnesiumsulfate for #eclampsia and severe #preeclampsia to prevent further  seizures while delivery of the fetus is accomplished.,9.001399,http://twitter.com/USMLE_CKHints/status/421054113791492096,http://twitter.com/usmle_ckhints
01/09/14,http://twitter.com/chrissykd13/status/421140514113859584,chrissykd13,RT @USMLE_CKHints: #Magnesiumsulfate for #eclampsia and severe #preeclampsia to prevent further  seizures while delivery of the fetus is ac…,7.2786283,http://twitter.com/ChrissyKD13/status/421140514113859584,http://twitter.com/chrissykd13
01/10/14,http://twitter.com/usmle_ckhints/status/421477377231712256,usmle_ckhints,#Eclampsia is diagnosed when unexplained convulsions occur in the setting of #preeclampsia,9.481833,http://twitter.com/USMLE_CKHints/status/421477377231712256,http://twitter.com/usmle_ckhints
01/10/14,http://twitter.com/usmle_ckhints/status/421481456158797824,usmle_ckhints,The most effective agent used for the treatment and prevention of seizures in #eclampsia is magnesium sulfate.,9.396819,http://twitter.com/USMLE_CKHints/status/421481456158797824,http://twitter.com/usmle_ckhints
01/10/14,http://twitter.com/chrissykd13/status/421500797571301376,chrissykd13,RT @USMLE_CKHints: The most effective agent used for the treatment and prevention of seizures in #eclampsia is magnesium sulfate.,7.611529,http://twitter.com/ChrissyKD13/status/421500797571301376,http://twitter.com/chrissykd13
01/10/14,http://twitter.com/chrissykd13/status/421500811500584960,chrissykd13,RT @USMLE_CKHints: #Eclampsia is diagnosed when unexplained convulsions occur in the setting of #preeclampsia,7.656497,http://twitter.com/ChrissyKD13/status/421500811500584960,http://twitter.com/chrissykd13
01/12/14,http://twitter.com/sookionthetwit/status/422391506172145665,sookionthetwit,Obstetric emergencies are no fun at all #pph #shoulderdystocia #eclampsia #cordprolapse #hangover,7.4794917,http://twitter.com/sookionthetwit/status/422391506172145665,http://twitter.com/sookionthetwit
01/21/14,http://twitter.com/melisshious/status/425769600966725632,melisshious,Remember #eclampsia? #DowntonAbbey,8.355499,http://twitter.com/melisshious/status/425769600966725632,http://twitter.com/melisshious
01/29/14,http://twitter.com/momsandthecity/status/428403862525861889,momsandthecity,Low #VitaminD Levels Linked to Severe Pre#eclampsia http://t.co/SINJcga0M1 via @growingyourbaby,11.296312,http://twitter.com/Momsandthecity/status/428403862525861889,http://twitter.com/momsandthecity
01/29/14,http://twitter.com/meminerals/status/428566426132443136,meminerals,"#Magnesium is important in the treatment of infertility &amp; alleviates premature contractions, #preeclampsia, &amp; #eclampsia in #pregnancy.",7.064089,http://twitter.com/MEMinerals/status/428566426132443136,http://twitter.com/meminerals
02/05/14,http://twitter.com/sumedicine/status/431195050601889792,sumedicine,Why recognizing and treating #preeclampsia and #eclampsia is paramount for pregnant women and health care providers: http://t.co/8Mw0xAMRx4,13.423798,http://twitter.com/SUMedicine/status/431195050601889792,http://twitter.com/sumedicine
02/05/14,http://twitter.com/doctorherofilo/status/431195812811386880,doctorherofilo,RT @SUMedicine: Why recognizing and treating #preeclampsia and #eclampsia is paramount for pregnant women and health care providers: http:/…,7.5360155,http://twitter.com/DoctorHerofilo/status/431195812811386880,http://twitter.com/doctorherofilo
02/05/14,http://twitter.com/pagingdrhomo/status/431197463404228608,pagingdrhomo,RT @SUMedicine: Why recognizing and treating #preeclampsia and #eclampsia is paramount for pregnant women and health care providers: http:/…,7.5360155,http://twitter.com/PagingDrHomo/status/431197463404228608,http://twitter.com/pagingdrhomo
02/05/14,http://twitter.com/dr_aldi18/status/431200513418203138,dr_aldi18,RT @SUMedicine: Why recognizing and treating #preeclampsia and #eclampsia is paramount for pregnant women and health care providers: http:/…,10.697483,http://twitter.com/dr_Aldi18/status/431200513418203138,http://twitter.com/dr_aldi18
02/05/14,http://twitter.com/harvard3athlete/status/431204171992535041,harvard3athlete,RT @SUMedicine: Why recognizing and treating #preeclampsia and #eclampsia is paramount for pregnant women and health care providers: http:/…,7.5360155,http://twitter.com/harvard3athlete/status/431204171992535041,http://twitter.com/harvard3athlete
02/05/14,http://twitter.com/rolanda/status/431205072853544961,rolanda,RT @SUMedicine: Why recognizing and treating #preeclampsia and #eclampsia is paramount for pregnant women and health care providers: http:/…,7.5360155,http://twitter.com/rolanda/status/431205072853544961,http://twitter.com/rolanda
02/06/14,http://twitter.com/dejesusmorrobel/status/431234929503256576,dejesusmorrobel,RT @SUMedicine: Why recognizing and treating #preeclampsia and #eclampsia is paramount for pregnant women and health care providers: http:/…,7.5360155,http://twitter.com/DeJesusMorrobel/status/431234929503256576,http://twitter.com/dejesusmorrobel
