firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/moemedawar/status/418197879283802112,moemedawar,"Happy #newyear! If you are making a resolution list, add eating less #salt. High Salt intake causes #hypertension, stroke &amp; heart attack",8.020687,http://twitter.com/MoeMedawar/status/418197879283802112,http://twitter.com/moemedawar
01/01/14,http://twitter.com/jimfishnick/status/418215270943977472,jimfishnick,Watch how big #business contributes to obesity in America http://t.co/JVT4Y9R4kc #calories #gym #sugar #hypertension #abs #organic,7.2898426,http://twitter.com/jimfishnick/status/418215270943977472,http://twitter.com/jimfishnick
01/01/14,http://twitter.com/hippocratesnews/status/418315477165682688,hippocratesnews,#Hemp_seeds and #hypertension    http://t.co/jQpBQxWfsR  Please RT  http://t.co/DD76RyDW9G,8.215663,http://twitter.com/HippocratesNews/status/418315477165682688,http://twitter.com/hippocratesnews
01/01/14,http://twitter.com/amdeeb90/status/418316287631433728,amdeeb90,"RT @MoeMedawar: Happy #newyear! If you are making a resolution list, add eating less #salt. High Salt intake causes #hypertension, stroke &amp;…",6.986703,http://twitter.com/AMDeeb90/status/418316287631433728,http://twitter.com/amdeeb90
01/01/14,http://twitter.com/nurse_com/status/418351143874732033,nurse_com,Learn about 4 complications of untreated #hypertension in our #free CE course: http://t.co/FxEXtODmEI #education,11.652589,http://twitter.com/Nurse_com/status/418351143874732033,http://twitter.com/nurse_com
01/01/14,http://twitter.com/inna_ireland/status/418358256122462208,inna_ireland,RT @Nurse_com: Learn about 4 complications of untreated #hypertension in our #free CE course: http://t.co/FxEXtODmEI #education,7.5288553,http://twitter.com/INNA_Ireland/status/418358256122462208,http://twitter.com/inna_ireland
01/01/14,http://twitter.com/donlaz4u/status/418358813146624001,donlaz4u,I started the new year with free #hypertension screening for 44 women in my hometown - #Okposi. http://t.co/26tjYjcmdt,9.437003,http://twitter.com/donlaz4u/status/418358813146624001,http://twitter.com/donlaz4u
01/01/14,http://twitter.com/jaynewhyte/status/418358997620887552,jaynewhyte,RT @donlaz4u: I started the new year with free #hypertension screening for 44 women in my hometown - #Okposi. http://t.co/26tjYjcmdt,7.210585,http://twitter.com/jaynewhyte/status/418358997620887552,http://twitter.com/jaynewhyte
01/01/14,http://twitter.com/dayoibitoye/status/418359648979546112,dayoibitoye,RT @donlaz4u: I started the new year with free #hypertension screening for 44 women in my hometown - #Okposi. http://t.co/26tjYjcmdt,7.210585,http://twitter.com/DayoIbitoye/status/418359648979546112,http://twitter.com/dayoibitoye
01/01/14,http://twitter.com/donlaz4u/status/418359879481323521,donlaz4u,"My #CGIU 2013 Commitment ~» #Hypertension Advocacy &amp; Support Project commenced today in #Okposi, #Nigeria. http://t.co/fVzrIje5au",6.974938,http://twitter.com/donlaz4u/status/418359879481323521,http://twitter.com/donlaz4u
01/01/14,http://twitter.com/donlaz4u/status/418362273300611074,donlaz4u,"At #CGIU @CGIU 2013 meeting, I committed 2 doing free #hypertension screening &amp; provision of treatmt support 2 #women http://t.co/KGM41Ovnvj",6.904881,http://twitter.com/donlaz4u/status/418362273300611074,http://twitter.com/donlaz4u
01/01/14,http://twitter.com/donlaz4u/status/418364136318173185,donlaz4u,"#Hypertension #Advocacy &amp; Support Project #Okposi only started today, much more activities for #women to come this yr http://t.co/6wwD0pHvIj",7.201723,http://twitter.com/donlaz4u/status/418364136318173185,http://twitter.com/donlaz4u
01/01/14,http://twitter.com/codhyla/status/418388431891202048,codhyla,"Abstract deadline for @CODHyLA is 30th January 2014!! http://t.co/09StsJKgqF 
#Diabetes #MedicalCongress #Panama #Obesity #Hypertension",7.1437516,http://twitter.com/CODHyLA/status/418388431891202048,http://twitter.com/codhyla
01/01/14,http://twitter.com/rxeconsult/status/418401280172625920,rxeconsult,Simplified NICE #Hypertension Guidelines http://t.co/EemaFZOwn5,8.399558,http://twitter.com/RxEconsult/status/418401280172625920,http://twitter.com/rxeconsult
01/01/14,http://twitter.com/srcarecorner/status/418405169794404353,srcarecorner,"Is this a #resolution you need? In 2010, &gt; 90% of U.S. teens and adults consumed more than recommended levels of salt. #health #hypertension",10.248287,http://twitter.com/SrCareCorner/status/418405169794404353,http://twitter.com/srcarecorner
01/01/14,http://twitter.com/provaeducation/status/418411831804588032,provaeducation,#Hypertension Guide May Affect 7.4 Million http://t.co/Nf0c6q6iMU,8.36999,http://twitter.com/ProvaEducation/status/418411831804588032,http://twitter.com/provaeducation
01/01/14,http://twitter.com/fleetinsurance8/status/418412046808383488,fleetinsurance8,Professional#Drivers and Their Susceptibility to #Hypertension #high #blood #pressure http://t.co/2agVxFH9UU,7.5161095,http://twitter.com/FleetInsurance8/status/418412046808383488,http://twitter.com/fleetinsurance8
01/01/14,http://twitter.com/srcarecorner/status/418412212471214080,srcarecorner,"Survey found many eat avg 3,400 mgs or 1.5 tsps of salt a day, recommendations limit daily #salt intake to 2,300 mg. #health #hypertension",10.361697,http://twitter.com/SrCareCorner/status/418412212471214080,http://twitter.com/srcarecorner
01/01/14,http://twitter.com/symplesurgical/status/418453022797492225,symplesurgical,Early study on preventive &amp; treatment effects of hemp seed on #hypertension  http://t.co/9I6FxxXm2r,7.547877,http://twitter.com/SympleSurgical/status/418453022797492225,http://twitter.com/symplesurgical
01/01/14,http://twitter.com/chrishabibnd/status/418494722500751361,chrishabibnd,Mind-body techniques to reduce #hypertension's chronic effects http://t.co/iLnVQbwEit,7.6174297,http://twitter.com/ChrisHabibND/status/418494722500751361,http://twitter.com/chrishabibnd
01/02/14,http://twitter.com/pinkdrinkhealth/status/418542425167368193,pinkdrinkhealth,11# Arginine lowers blood pressure in some hypertension patients http://t.co/EiMtNg8T9J #hypertension #loweringbloodpressure,7.188647,http://twitter.com/pinkdrinkhealth/status/418542425167368193,http://twitter.com/pinkdrinkhealth
01/02/14,http://twitter.com/jimfishnick/status/418577483399573506,jimfishnick,Watch how big #business contributes to obesity in America http://t.co/JVT4Y9R4kc #calories #gym #sugar #hypertension #abs #organic,7.3110313,http://twitter.com/jimfishnick/status/418577483399573506,http://twitter.com/jimfishnick
01/02/14,http://twitter.com/powellnessaust/status/418624488193138688,powellnessaust,No 7. #mindfulmovement effectively treats #hypertension #takecareofyourbodyitstheonlyplaceyouhavetolive,7.579647,http://twitter.com/POWellnessAust/status/418624488193138688,http://twitter.com/powellnessaust
01/02/14,http://twitter.com/harpreet_arora/status/418655537123688448,harpreet_arora,“Try these 10 tips to lower your blood pressure without medication. http://t.co/yb1dgJ2znL” RT @MayoClinic #hypertension #cbridge @GMCFHT,7.2898426,http://twitter.com/Harpreet_Arora/status/418655537123688448,http://twitter.com/harpreet_arora
01/02/14,http://twitter.com/tmcircle/status/418714440947625986,tmcircle,"Hypertension: Caused by 10 Most Commonly Used Medications http://t.co/uOwQHPxUNV
 #Highbloodpressure #hypertension",7.7037263,http://twitter.com/TMCircle/status/418714440947625986,http://twitter.com/tmcircle
01/02/14,http://twitter.com/symplesurgical/status/418732345764892672,symplesurgical,Children of 2-parent homes grow up to have lower rates of adult #hypertension  http://t.co/sGmpnzUz0z @mnt_healthnews,7.379053,http://twitter.com/SympleSurgical/status/418732345764892672,http://twitter.com/symplesurgical
01/02/14,http://twitter.com/gmcfht/status/418741913555312640,gmcfht,10 tips to lower your blood pressure without medication. http://t.co/dirxTayYHG via @MayoClinic @Harpreet_Arora #hypertension,7.5348015,http://twitter.com/GMCFHT/status/418741913555312640,http://twitter.com/gmcfht
01/02/14,http://twitter.com/drogbru/status/418745312837373952,drogbru,"Read about #Hypertension Guidelines, Avoiding #Weight gain, Finding #Healthcare Jobs, and More. http://t.co/KM7C1eKwoK",7.723484,http://twitter.com/DrOgbru/status/418745312837373952,http://twitter.com/drogbru
01/02/14,http://twitter.com/gosilverlink/status/418745361780711424,gosilverlink,#TIL that men with #hypertension are 2x more likely to get a #colorectalcancer screening. #knowyourhealth,8.1455965,http://twitter.com/GoSilverlink/status/418745361780711424,http://twitter.com/gosilverlink
01/02/14,http://twitter.com/jama_current/status/418759795299323904,jama_current,Viewpoint: Protocol-Based Treatment of #Hypertension http://t.co/KXzjJaYFGL #highbloodpressure,12.229343,http://twitter.com/JAMA_current/status/418759795299323904,http://twitter.com/jama_current
01/02/14,http://twitter.com/ewydh/status/418760086480498688,ewydh,“@JAMA_current: Viewpoint: Protocol-Based Treatment of #Hypertension http://t.co/XcffKtwnp7 #highbloodpressure”,7.300156,http://twitter.com/ewydh/status/418760086480498688,http://twitter.com/ewydh
01/02/14,http://twitter.com/paincontrol1/status/418760222510182400,paincontrol1,“@JAMA_current: Viewpoint: Protocol-Based Treatment of #Hypertension http://t.co/FD1jmVeo3B #highbloodpressure”,7.3110313,http://twitter.com/paincontrol1/status/418760222510182400,http://twitter.com/paincontrol1
01/02/14,http://twitter.com/naturerevendo/status/418762329397153793,naturerevendo,RT @JAMA_current: Viewpoint: Protocol-Based Treatment of #Hypertension http://t.co/CDWnmf50hy #highbloodpressure,7.300156,http://twitter.com/NatureRevEndo/status/418762329397153793,http://twitter.com/naturerevendo
