firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/weirdworld357/status/418322200232751104,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/PAOYTw7rvL,11.389598,http://twitter.com/weirdworld357/status/418322200232751104,http://twitter.com/weirdworld357
01/01/14,http://twitter.com/surreyvascular/status/418525911881752576,surreyvascular,#Varicose #Veins How this is managed in Australia @rcgp @rcgp_courses http://t.co/tSTxzjkEoG,7.659846,http://twitter.com/surreyvascular/status/418525911881752576,http://twitter.com/surreyvascular
01/02/14,http://twitter.com/livbreatheagain/status/418568109591912448,livbreatheagain,Enter to Win a Free Body Wrap. #tighten #tone #firm #detox #loseinches #stretchmarks #varicose #cellulite http://t.co/5FsvJNS2RZ,7.236903,http://twitter.com/livbreatheagain/status/418568109591912448,http://twitter.com/livbreatheagain
01/02/14,http://twitter.com/weirdworld357/status/418683402305298432,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.264208,http://twitter.com/weirdworld357/status/418683402305298432,http://twitter.com/weirdworld357
01/02/14,http://twitter.com/whiteplainsvv/status/418817872098762752,whiteplainsvv,Have you been screened for #varicose #veins? Start the new year right and request a consultation today! http://t.co/AeIck0FE70 #WhitePlains,7.6180634,http://twitter.com/WhitePlainsVV/status/418817872098762752,http://twitter.com/whiteplainsvv
01/03/14,http://twitter.com/weirdworld357/status/419045878066728960,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.304784,http://twitter.com/weirdworld357/status/419045878066728960,http://twitter.com/weirdworld357
01/03/14,http://twitter.com/khaled_aljubair/status/419173450347864064,khaled_aljubair,"#Medical
#patients with liver #cirrhosis  are susceptible to #varicose in the #aesophagus",11.889624,http://twitter.com/khaled_Aljubair/status/419173450347864064,http://twitter.com/khaled_aljubair
01/03/14,http://twitter.com/al3fffra/status/419173637535858688,al3fffra,"RT @khaled_Aljubair: #Medical
#patients with liver #cirrhosis  are susceptible to #varicose in the #aesophagus",7.3781047,http://twitter.com/Al3FFFRA/status/419173637535858688,http://twitter.com/al3fffra
01/03/14,http://twitter.com/reemii220/status/419173777768202241,reemii220,"RT @khaled_Aljubair: #Medical
#patients with liver #cirrhosis  are susceptible to #varicose in the #aesophagus",7.3781047,http://twitter.com/Reemii220/status/419173777768202241,http://twitter.com/reemii220
01/04/14,http://twitter.com/weirdworld357/status/419409123310964737,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.303384,http://twitter.com/weirdworld357/status/419409123310964737,http://twitter.com/weirdworld357
01/04/14,http://twitter.com/lalila_beauty/status/419510829315129344,lalila_beauty,Website under construction: we have #natural #solutions for #varicose #veins #cellulite #wrinkles #age #spots #acne etc. #SantaMonica co-op.,6.9540887,http://twitter.com/Lalila_Beauty/status/419510829315129344,http://twitter.com/lalila_beauty
01/04/14,http://twitter.com/redhot419/status/419595079314321408,redhot419,Do you or anyone you know have varicose veins? This is MY leg this past summer...#painful #varicose… http://t.co/yw6fmgWhum,7.716515,http://twitter.com/redhot419/status/419595079314321408,http://twitter.com/redhot419
01/05/14,http://twitter.com/weirdworld357/status/419771255227559936,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.304784,http://twitter.com/weirdworld357/status/419771255227559936,http://twitter.com/weirdworld357
01/06/14,http://twitter.com/weirdworld357/status/420133175319199744,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.304784,http://twitter.com/weirdworld357/status/420133175319199744,http://twitter.com/weirdworld357
01/06/14,http://twitter.com/imageaesthetic/status/420262287178752000,imageaesthetic,Did you know? Chronic pelvic pain may be due to #varicose #veins in the #pelvis. Learn more: http://t.co/9J8JwTc6Un #womenshealth #UnionNJ,7.1630974,http://twitter.com/ImageAesthetic/status/420262287178752000,http://twitter.com/imageaesthetic
01/06/14,http://twitter.com/whiteplainsvv/status/420267329793294336,whiteplainsvv,"#Vein Treatment Options to ""Show off Those Legs Again"" http://t.co/WFnXLaIwL1 #varicose #sclerotherapy #venefit #WhitePlains",7.3781047,http://twitter.com/WhitePlainsVV/status/420267329793294336,http://twitter.com/whiteplainsvv
01/06/14,http://twitter.com/augustavascular/status/420269043053248512,augustavascular,How are #varicose #veins treated? Read about some options here: http://t.co/ZuNHG8elrZ #legs #vascular #EasyAsAVC #AugustaGA,7.1362653,http://twitter.com/AugustaVascular/status/420269043053248512,http://twitter.com/augustavascular
01/06/14,http://twitter.com/veronaveins/status/420272352229076992,veronaveins,Did you know? #Varicose #veins affect 15 to 25% of all adults. Learn more: http://t.co/lOCz1RHU0n #WoodlandParkNJ #vascular,7.1339107,http://twitter.com/VeronaVeins/status/420272352229076992,http://twitter.com/veronaveins
01/07/14,http://twitter.com/weirdworld357/status/420496056540200960,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/PAOYTw7rvL,11.236991,http://twitter.com/weirdworld357/status/420496056540200960,http://twitter.com/weirdworld357
01/08/14,http://twitter.com/weirdworld357/status/420859240262008832,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.320876,http://twitter.com/weirdworld357/status/420859240262008832,http://twitter.com/weirdworld357
01/08/14,http://twitter.com/gohealio/status/420933673408417792,gohealio,"#Sapheon submits second part of #FDA application for #varicose #vein treatment. #cosmetic
http://t.co/Ro3ENpkkjy",7.435871,http://twitter.com/GoHealio/status/420933673408417792,http://twitter.com/gohealio
01/08/14,http://twitter.com/healioderm/status/420933673433591808,healioderm,"#Sapheon submits second part of #FDA application for #varicose #vein treatment. #cosmetic
http://t.co/SheEDSvyTG",7.4107304,http://twitter.com/HealioDerm/status/420933673433591808,http://twitter.com/healioderm
01/08/14,http://twitter.com/jrveincenter/status/420958641953722368,jrveincenter,What factors increase my risk of #varicose #veins and spider veins? http://t.co/DOwFlkfnrC,8.478136,http://twitter.com/JRVeinCenter/status/420958641953722368,http://twitter.com/jrveincenter
01/08/14,http://twitter.com/montgomeryvasc/status/420989721150779392,montgomeryvasc,Aching or tired legs? It might be #varicose #veins. Request an appointment today: http://t.co/kye500Iizr #SilverSpringMD #vascular,7.2096705,http://twitter.com/MontgomeryVasc/status/420989721150779392,http://twitter.com/montgomeryvasc
07/22/13,http://twitter.com/masokoinc/status/359452857377894400,gardentillergui,RT @MasokoInc: At Home Facials To Save Money At The Spa http://t.co/vl0tADkxP5 #varicose,8.856323,http://twitter.com/GardenTillerGui/status/421192383775006720,http://twitter.com/gardentillergui
01/09/14,http://twitter.com/weirdworld357/status/421222588258344960,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.320876,http://twitter.com/weirdworld357/status/421222588258344960,http://twitter.com/weirdworld357
01/09/14,http://twitter.com/bklaxminarayan/status/421332121920094208,bklaxminarayan,#Varicose veins in the legs occur when the #valves in a vein near the surface of the #skin malfunction.,7.648444,http://twitter.com/bklaxminarayan/status/421332121920094208,http://twitter.com/bklaxminarayan
01/09/14,http://twitter.com/makrismd/status/421350904483569664,makrismd,Does your body need treated #varicose #veins to function properly? Find out: http://t.co/i8aPUj2hCK #Chicago #vascular,7.4817986,http://twitter.com/MakrisMD/status/421350904483569664,http://twitter.com/makrismd
01/09/14,http://twitter.com/hillcountryvein/status/421356459008335872,hillcountryvein,#FDA OKs New Minimally Invasive Treatment for #VaricoseVeins #NewBraunfels #Texas #Doctors #Varicose #Veins http://t.co/RxX9GJt65l,7.2605104,http://twitter.com/HillCountryVein/status/421356459008335872,http://twitter.com/hillcountryvein
01/09/14,http://twitter.com/veronaveins/status/421359778007629825,veronaveins,Unsure if you have #varicose #veins? We can help. Schedule a consultation: http://t.co/73aXLEeWlz #WoodlandParkNJ,7.387366,http://twitter.com/VeronaVeins/status/421359778007629825,http://twitter.com/veronaveins
01/09/14,http://twitter.com/lbpsplasticsurg/status/421360307395895296,lbpsplasticsurg,Learn about treating your unsightly #varicose veins http://t.co/xWak5jfpgj,8.261703,http://twitter.com/LBPSPlasticsurg/status/421360307395895296,http://twitter.com/lbpsplasticsurg
01/10/14,http://twitter.com/weirdworld357/status/421583464224550912,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/PAOYTw7rvL,11.281218,http://twitter.com/weirdworld357/status/421583464224550912,http://twitter.com/weirdworld357
01/10/14,http://twitter.com/mindwaysct/status/421628674056941568,mindwaysct,RT @JRVeinCenter: What factors increase my risk of #varicose #veins and spider veins? http://t.co/DOwFlkfnrC,7.423,http://twitter.com/MindwaysCT/status/421628674056941568,http://twitter.com/mindwaysct
01/10/14,http://twitter.com/hsaesthetics/status/421647761201967104,hsaesthetics,My latest blog looks at the @TitchmarshShow where I discussed #Insomnia and #Varicose Veins. Read it here: http://t.co/XK0AnEMaIk,7.823891,http://twitter.com/HSAesthetics/status/421647761201967104,http://twitter.com/hsaesthetics
01/11/14,http://twitter.com/weirdworld357/status/421949488094511104,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/PAOYTw7rvL,11.186785,http://twitter.com/weirdworld357/status/421949488094511104,http://twitter.com/weirdworld357
01/12/14,http://twitter.com/_the_doctor____/status/422170345685389313,_the_doctor____,VariClear Varicose Spider Vein Cream by Robelyn Labs http://t.co/i0OTK2xOFn #Cream #Labs #Robelyn #Spider #VariClear #Varicose #Vein,6.8162575,http://twitter.com/_The_Doctor____/status/422170345685389313,http://twitter.com/_the_doctor____
01/12/14,http://twitter.com/weirdworld357/status/422309978657923072,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.303384,http://twitter.com/weirdworld357/status/422309978657923072,http://twitter.com/weirdworld357
01/12/14,http://twitter.com/surreyvascular/status/422416428508405760,surreyvascular,Book an appointment with us in the #Vein Clinic at Spire Clare Park Hospital for expert #varicose veins care in 2014. http://t.co/ApMD7QsG8u,7.4825153,http://twitter.com/surreyvascular/status/422416428508405760,http://twitter.com/surreyvascular
01/12/14,http://twitter.com/remedytip/status/422445181887983616,remedytip,7 Ways to Prevent Varicose Veins http://t.co/jvECvfA6Wu #Varicose #Veins,7.856518,http://twitter.com/RemedyTip/status/422445181887983616,http://twitter.com/remedytip
01/12/14,http://twitter.com/drgljames/status/422497006700208128,drgljames,"Does anyone know, is this just normal vascularity or am I getting varicose veins? #gym #help #varicose #vascular http://t.co/00DuUlly3F",7.3400474,http://twitter.com/DrGLJames/status/422497006700208128,http://twitter.com/drgljames
01/13/14,http://twitter.com/marymcameron/status/422566164334518274,marymcameron,Nothing like your kid being creeped out by your #varicose veins to boost your self esteem #grandmalegs 👎👵,7.703608,http://twitter.com/marymcameron/status/422566164334518274,http://twitter.com/marymcameron
01/13/14,http://twitter.com/weirdworld357/status/422671520045879296,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.332031,http://twitter.com/weirdworld357/status/422671520045879296,http://twitter.com/weirdworld357
01/13/14,http://twitter.com/rmvein/status/422787273886035968,rmvein,Does exercising affect #varicose #veins #vascular #health? http://t.co/h3aXtqz845,7.5769477,http://twitter.com/rmvein/status/422787273886035968,http://twitter.com/rmvein
01/13/14,http://twitter.com/rmviservices/status/422787317892259840,rmviservices,Does exercising affect #varicose #veins #vascular #health? http://t.co/RBYl2HegLx http://t.co/NeWjN2QP6y,7.5327215,http://twitter.com/rmviservices/status/422787317892259840,http://twitter.com/rmviservices
01/13/14,http://twitter.com/trinityvein/status/422787575980777472,trinityvein,Does exercising affect #varicose #veins #vascular #health? http://t.co/LlN9fDy65t,7.5991144,http://twitter.com/trinityvein/status/422787575980777472,http://twitter.com/trinityvein
01/13/14,http://twitter.com/erin_gibbs/status/422788390921068544,erin_gibbs,Does exercising affect #varicose #veins? http://t.co/S2R9HwaWAI,7.798608,http://twitter.com/erin_gibbs/status/422788390921068544,http://twitter.com/erin_gibbs
01/13/14,http://twitter.com/imageaesthetic/status/422799111944159234,imageaesthetic,What happens when your #veins have trouble sending blood back to your heart? http://t.co/No9PkrXoy1 #varicose #legs #UnionNJ #vascular,7.2178173,http://twitter.com/ImageAesthetic/status/422799111944159234,http://twitter.com/imageaesthetic
01/13/14,http://twitter.com/makrismd/status/422800295132147712,makrismd,"Leg aching, pain, or heaviness? It might be #varicose #veins. Learn more and schedule a consultation: http://t.co/nd1T97GF7i #Chicago",7.4288516,http://twitter.com/MakrisMD/status/422800295132147712,http://twitter.com/makrismd
01/13/14,http://twitter.com/verrazanovasc/status/422802908548452352,verrazanovasc,Did you know? Obvious #varicose #veins aren't their only symptoms. Learn more: http://t.co/axeAP6MU48 #vascular #StatenIsland #WeCare,8.770011,http://twitter.com/VerrazanoVasc/status/422802908548452352,http://twitter.com/verrazanovasc
01/13/14,http://twitter.com/whiteplainsvv/status/422804022886940672,whiteplainsvv,"Aching, cramping, or heavy legs? It might be #varicose #veins. Have you been screened yet? http://t.co/lfaGeOgN4g #vascular #WhitePlains",7.0769973,http://twitter.com/WhitePlainsVV/status/422804022886940672,http://twitter.com/whiteplainsvv
01/13/14,http://twitter.com/finessesurgical/status/422818091894964224,finessesurgical,"PREGNANCY &amp; #VARICOSE VEINS 

The good news is that in most cases, if you didn't have them before you got... http://t.co/vNF8Fh8hec",7.687593,http://twitter.com/FinesseSurgical/status/422818091894964224,http://twitter.com/finessesurgical
01/13/14,http://twitter.com/john_siracusa/status/422839693806673920,john_siracusa,RT @VerrazanoVasc: Did you know? Obvious #varicose #veins aren't their only symptoms. Learn more: http://t.co/axeAP6MU48 #vascular #StatenI…,7.0464983,http://twitter.com/john_siracusa/status/422839693806673920,http://twitter.com/john_siracusa
01/14/14,http://twitter.com/weirdworld357/status/423033459724918785,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.304784,http://twitter.com/weirdworld357/status/423033459724918785,http://twitter.com/weirdworld357
01/14/14,http://twitter.com/ivspecialists/status/423188431314120704,ivspecialists,Diabetes and Venous Leg Ulcers and Their Link to #Varicose Vein Disease: A Patient's Perspective... http://t.co/V7plyDpRFt,7.72767,http://twitter.com/IVSpecialists/status/423188431314120704,http://twitter.com/ivspecialists
01/14/14,http://twitter.com/riss223/status/423188431247007745,riss223,Diabetes and Venous Leg Ulcers and Their Link to #Varicose Vein Disease: A Patient's Perspective... http://t.co/VCXjmvEHUO,7.7004232,http://twitter.com/riss223/status/423188431247007745,http://twitter.com/riss223
01/15/14,http://twitter.com/weirdworld357/status/423395942180478976,weirdworld357,How to Improve and #Alleviate #Varicose #Veins http://t.co/MOJ62aged6,11.274198,http://twitter.com/weirdworld357/status/423395942180478976,http://twitter.com/weirdworld357
01/15/14,http://twitter.com/breastcentergso/status/423486054998745089,breastcentergso,Are your legs ready for the beach? Which vein treatment is best for you?  http://t.co/DWoIGNn3fa #womenshealth #varicose veins,7.34675,http://twitter.com/BreastCenterGSO/status/423486054998745089,http://twitter.com/breastcentergso
01/15/14,http://twitter.com/hillcountryvein/status/423504881190592512,hillcountryvein,This Is NOT a #Cosmetic Issue #Olympian #SummerSanders talks #Varicose #Veins #Awareness #Health #2014 #Resolutions http://t.co/3rD3ptu7eY,7.255024,http://twitter.com/HillCountryVein/status/423504881190592512,http://twitter.com/hillcountryvein
