firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/03/14,http://twitter.com/opsmileuk/status/419064578446995456,opsmileuk,What is a cleft? Answers to the most commonly asked questions about #cleftlip and #cleftpalate: http://t.co/ALOlcGK16u,11.862471,http://twitter.com/OpSmileUK/status/419064578446995456,http://twitter.com/opsmileuk
01/03/14,http://twitter.com/logopedersen/status/419072287636463616,logopedersen,RT @OpSmileUK: What is a cleft? Answers to the most commonly asked questions about #cleftlip and #cleftpalate: http://t.co/ALOlcGK16u,7.2680354,http://twitter.com/Logopedersen/status/419072287636463616,http://twitter.com/logopedersen
01/04/14,http://twitter.com/karlschonborn/status/419345863903703041,kschonbo,Photo collage of characters in early chapters of Cleft Heart: Chasing Normal. Spoiler alert on page. #cleftlip #Cleft Heart #cleftpalate,7.3928695,http://twitter.com/KarlSchonborn/status/419345863903703041,http://twitter.com/kschonbo
01/04/14,http://twitter.com/ttindia/status/419402933038374912,ttindia,"Manipur hospital plans unit in #Myanmar for cleft lip, palate. #CleftLip #PPP #healthcare http://t.co/BjF5d0D7nW",7.543812,http://twitter.com/ttindia/status/419402933038374912,http://twitter.com/ttindia
01/06/14,http://twitter.com/wanderwomanz/status/420016802903498752,wanderwomanz,@DatelineNBC Are you mad? If I had a dollar for every time I was asked that :( Life with a cleft lip #cleftlip #Dateline,7.249983,http://twitter.com/WanderWomanz/status/420016802903498752,http://twitter.com/wanderwomanz
01/07/14,http://twitter.com/bigmommaknows/status/420413520748892160,bigmommaknows,"My daughter today, 3 weeks after final #CleftLip revision surgery at #LSUShreveport Kudos drs #Ghali and #Woerner http://t.co/57oMBYydEV",7.3240566,http://twitter.com/BigMommaKnows/status/420413520748892160,http://twitter.com/bigmommaknows
01/07/14,http://twitter.com/bigmommaknows/status/420416030683320320,bigmommaknows,@MissyDuckWife Today is 3 wks after final #CleftLip revision #surgery @ #LSUShreveport. Prayers of health &amp; happiness http://t.co/C3sSKamuRg,7.3661637,http://twitter.com/BigMommaKnows/status/420416030683320320,http://twitter.com/bigmommaknows
01/07/14,http://twitter.com/bigmommaknows/status/420418713154641920,bigmommaknows,@JaseDuckman Today is 3 wks after final #CleftLip revision #surgery @ #LSUShreveport. Prayers of health &amp; happiness http://t.co/C3sSKamuRg,7.2920423,http://twitter.com/BigMommaKnows/status/420418713154641920,http://twitter.com/bigmommaknows
01/07/14,http://twitter.com/bigmommaknows/status/420421709598949376,bigmommaknows,@shrinershosp Today is 3 wks after final #CleftLip revision #surgery @ #LSUShreveport. Shriners Shreveport http://t.co/C3sSKamuRg,7.32331,http://twitter.com/BigMommaKnows/status/420421709598949376,http://twitter.com/bigmommaknows
01/07/14,http://twitter.com/bigmommaknows/status/420423176837812225,bigmommaknows,@shrinershosp Today is 3 wks after final #CleftLip revision #surgery @ #LSUShreveport. &amp; Shriners Shreveport http://t.co/C3sSKamuRg,8.267823,http://twitter.com/BigMommaKnows/status/420423176837812225,http://twitter.com/bigmommaknows
01/07/14,http://twitter.com/official_abbey_/status/420551864615444480,official_abbey_,"My beautiful nephews transformation #cleftlip

#flipagram made with @flipagram 
Music: Robbie Williams - Go Gentle 
http://t.co/7AjoPjfUYG",7.249983,http://twitter.com/Official_Abbey_/status/420551864615444480,http://twitter.com/official_abbey_
01/07/14,http://twitter.com/nurseleanne84/status/420624546858012672,nurseleanne84,RT @OpSmileUK: What is a cleft? Answers to the most commonly asked questions about #cleftlip and #cleftpalate: http://t.co/ALOlcGK16u,10.482813,http://twitter.com/NurseLeanne84/status/420624546858012672,http://twitter.com/nurseleanne84
01/07/14,http://twitter.com/shahsocialmedia/status/420641599211585536,shahsocialmedia,"Everyone, please help my brother on his #missiontrip to #Africa. Your #donation will help those in need. http://t.co/527O6JDXXF #Cleftlip",12.138179,http://twitter.com/ShahSocialMedia/status/420641599211585536,http://twitter.com/shahsocialmedia
01/07/14,http://twitter.com/shahsocialmedia/status/420641907518078976,shahsocialmedia,@BigMommaKnows @shrinershosp This is so wonderful! my brother is going on mission trip to #Africa! #cleftlip http://t.co/527O6JDXXF,9.22947,http://twitter.com/ShahSocialMedia/status/420641907518078976,http://twitter.com/shahsocialmedia
01/07/14,http://twitter.com/shahsocialmedia/status/420642273118801920,shahsocialmedia,".@operationsmile My brother is going on a #missiontrip to help those in need. Please, help donate! http://t.co/527O6JDXXF #cleftlip",8.039285,http://twitter.com/ShahSocialMedia/status/420642273118801920,http://twitter.com/shahsocialmedia
01/07/14,http://twitter.com/hkwong/status/420642774740766720,hkwong,"RT @ShahSocialMedia: Everyone, please help my brother on his #missiontrip to #Africa. Your #donation will help those in need. http://t.co/5…",10.81557,http://twitter.com/hkwong/status/420642774740766720,http://twitter.com/hkwong
01/07/14,http://twitter.com/shahsocialmedia/status/420643545846796288,shahsocialmedia,"@EmilyNCoffey Please, help donate to my brother's #missiontrip! He will be helping those suffering with #cleftlip http://t.co/527O6JDXXF",7.7656226,http://twitter.com/ShahSocialMedia/status/420643545846796288,http://twitter.com/shahsocialmedia
01/07/14,http://twitter.com/shahsocialmedia/status/420643657675337728,shahsocialmedia,"@FaceEquality Please, help donate to my brother's #missiontrip! He will be helping those suffering with #cleftlip http://t.co/527O6JDXXF",7.682848,http://twitter.com/ShahSocialMedia/status/420643657675337728,http://twitter.com/shahsocialmedia
01/07/14,http://twitter.com/shahsocialmedia/status/420643713967087617,shahsocialmedia,"@JoffMed Please, help donate to my brother's #missiontrip! He will be helping those suffering with #cleftlip http://t.co/527O6JDXXF",7.606965,http://twitter.com/ShahSocialMedia/status/420643713967087617,http://twitter.com/shahsocialmedia
01/07/14,http://twitter.com/shahsocialmedia/status/420644221637251072,shahsocialmedia,"@Smiletrain Please, help donate to my brother's #missiontrip! He will be helping those suffering with #cleftlip http://t.co/527O6JDXXF",7.6575437,http://twitter.com/ShahSocialMedia/status/420644221637251072,http://twitter.com/shahsocialmedia
01/07/14,http://twitter.com/pereylaw/status/420646470761865216,pereylaw,"New #gene responsible for #CleftLip, palate syndrome identified @ScienceDaily http://t.co/s5UGTUtZWP",7.709436,http://twitter.com/PereyLaw/status/420646470761865216,http://twitter.com/pereylaw
01/07/14,http://twitter.com/davecraige/status/420650879218221056,davecraige,"RT @ShahSocialMedia: Everyone, please help my brother on his #missiontrip to #Africa. Your #donation will help those in need. http://t.co/5…",7.582939,http://twitter.com/davecraige/status/420650879218221056,http://twitter.com/davecraige
01/07/14,http://twitter.com/shahsocialmedia/status/420651092280504321,shahsocialmedia,@davecraige Thank you for the RT!! We need all the help we can get! #missiontrip #cleftlip #cleftpalate,7.582939,http://twitter.com/ShahSocialMedia/status/420651092280504321,http://twitter.com/shahsocialmedia
01/08/14,http://twitter.com/pereylaw/status/420707832175267840,pereylaw,#Topamax has been associated with an 11x increased risk of both #CleftPalate and #CleftLip and a 14x increase risk for some other...,7.2847905,http://twitter.com/PereyLaw/status/420707832175267840,http://twitter.com/pereylaw
01/08/14,http://twitter.com/bigmommaknows/status/420977388860633088,bigmommaknows,RT @ShahSocialMedia: @BigMommaKnows @shrinershosp This is so wonderful! my brother is going on mission trip to #Africa! #cleftlip http://t.…,7.42381,http://twitter.com/BigMommaKnows/status/420977388860633088,http://twitter.com/bigmommaknows
01/08/14,http://twitter.com/bigmommaknows/status/420977994404876288,bigmommaknows,@ShahSocialMedia @MissyDuckWife @shrinershosp This is so wonderful! my brother is going on mission trip for #cleftlip http://t.co/UU0ElM2Y3J,8.463372,http://twitter.com/BigMommaKnows/status/420977994404876288,http://twitter.com/bigmommaknows
01/08/14,http://twitter.com/drsweetteeth/status/420995397507502080,drsweetteeth,#oralhisto #toothbud #cap #bell #cleftlip,7.667101,http://twitter.com/DrSweetTeeth/status/420995397507502080,http://twitter.com/drsweetteeth
01/08/14,http://twitter.com/shahsocialmedia/status/421021805927612416,shahsocialmedia,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/527O6JDXXF",10.998306,http://twitter.com/ShahSocialMedia/status/421021805927612416,http://twitter.com/shahsocialmedia
01/08/14,http://twitter.com/tidedental/status/421022538538688512,tidedental,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/TideDental/status/421022538538688512,http://twitter.com/tidedental
01/08/14,http://twitter.com/blisssmiles/status/421022538542874624,blisssmiles,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/BlissSmiles/status/421022538542874624,http://twitter.com/blisssmiles
01/08/14,http://twitter.com/irvingtowncente/status/421022540359020544,irvingtowncente,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/IrvingTownCente/status/421022540359020544,http://twitter.com/irvingtowncente
01/08/14,http://twitter.com/wchiropractictx/status/421022541655056385,wchiropractictx,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/WChiropracticTX/status/421022541655056385,http://twitter.com/wchiropractictx
01/08/14,http://twitter.com/chiropractic_tx/status/421022541743149056,chiropractic_tx,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/Chiropractic_TX/status/421022541743149056,http://twitter.com/chiropractic_tx
01/08/14,http://twitter.com/freshdental2/status/421022541965455360,freshdental2,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/FreshDental2/status/421022541965455360,http://twitter.com/freshdental2
01/08/14,http://twitter.com/imajinvitations/status/421022538496761856,imajinvitations,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/ImajInvitations/status/421022538496761856,http://twitter.com/imajinvitations
01/08/14,http://twitter.com/picassodental1/status/421022538505125888,picassodental1,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/PicassoDental1/status/421022538505125888,http://twitter.com/picassodental1
01/08/14,http://twitter.com/redpaisleys/status/421022803497078784,redpaisleys,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/redpaisleys/status/421022803497078784,http://twitter.com/redpaisleys
01/08/14,http://twitter.com/shahsocialmedia/status/421022991003037696,shahsocialmedia,"@PennySadler Please, help spread the word about my brothers #missiontrip in #Africa! #clefpalate #cleftlip http://t.co/527O6JDXXF",8.333912,http://twitter.com/ShahSocialMedia/status/421022991003037696,http://twitter.com/shahsocialmedia
01/08/14,http://twitter.com/pennysadler/status/421045013783396352,pennysadler,"RT @ShahSocialMedia: @PennySadler Please, help spread the word about my brothers #missiontrip in #Africa! #clefpalate #cleftlip http://t.co…",7.3928695,http://twitter.com/PennySadler/status/421045013783396352,http://twitter.com/pennysadler
01/10/14,http://twitter.com/karlschonborn/status/421489619809865730,kschonbo,Photo collage of characters in early chapters of Cleft Heart: Chasing Normal. Spoiler alert on page. #cleftlip #Cleft Heart #cleftpalate,7.2364373,http://twitter.com/KarlSchonborn/status/421489619809865730,http://twitter.com/kschonbo
01/10/14,http://twitter.com/shahsocialmedia/status/421725041756106752,shahsocialmedia,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/527O6JDXXF",7.534798,http://twitter.com/ShahSocialMedia/status/421725041756106752,http://twitter.com/shahsocialmedia
01/10/14,http://twitter.com/silkthreads1/status/421745221840302080,silkthreads1,"RT @ShahSocialMedia: Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork h…",7.3277545,http://twitter.com/SilkThreads1/status/421745221840302080,http://twitter.com/silkthreads1
01/11/14,http://twitter.com/massie444/status/422112245183954944,massie444,#barefaceselfie #michellephanbrushes #lol #isntshecute #nofilter #cleftlip http://t.co/vwh0jUonWZ,7.5908203,http://twitter.com/massie444/status/422112245183954944,http://twitter.com/massie444
01/12/14,http://twitter.com/kiley_freitas/status/422230642919632897,kiley_freitas,@kiley_freitas: Made @D_Russ23's bandaid way more adorable 💁 #cleftlip http://t.co/oI5F6xobGk,8.545008,http://twitter.com/kiley_freitas/status/422230642919632897,http://twitter.com/kiley_freitas
01/12/14,http://twitter.com/d_russ23/status/422230743691952129,d_russ23,RT @kiley_freitas: @kiley_freitas: Made @D_Russ23's bandaid way more adorable 💁 #cleftlip http://t.co/oI5F6xobGk,7.469738,http://twitter.com/D_Russ23/status/422230743691952129,http://twitter.com/d_russ23
01/12/14,http://twitter.com/delicatenmild/status/422491684992475136,delicatenmild,I need this tattoo!!! #cleftlip #keepcalm #tattoo http://t.co/csr9X6FMPP,9.058185,http://twitter.com/delicatenmild/status/422491684992475136,http://twitter.com/delicatenmild
01/12/14,http://twitter.com/beccytaylor02/status/422492040803680257,beccytaylor02,RT @delicatenmild: I need this tattoo!!! #cleftlip #keepcalm #tattoo http://t.co/csr9X6FMPP,7.873728,http://twitter.com/beccytaylor02/status/422492040803680257,http://twitter.com/beccytaylor02
01/16/14,http://twitter.com/keiayra/status/423705747994992640,keiayra,"@MichellePhan #barefaceselfie #michellephanbrushes #beautifulasymmetry #cleftlip Own who you are, for there is only 1 http://t.co/Aq4BLyJlGh",7.4530363,http://twitter.com/Keiayra/status/423705747994992640,http://twitter.com/keiayra
01/16/14,http://twitter.com/transformfaces/status/423938587072405504,transformfaces,"Meet Dr. Mekonen, our project co-ordinator in Ethiopia: http://t.co/F6th6jxxDp #CleftLip #CleftPalate",7.4091277,http://twitter.com/TransformFaces/status/423938587072405504,http://twitter.com/transformfaces
01/16/14,http://twitter.com/thisis_myface/status/423939642996842496,thisis_myface,#HappyMentoringMonth! #January Please visit http://t.co/Gj2zpdTx9w #cleftlip #cleftpalate #thisismyface http://t.co/yKYU58W0J5,7.4979315,http://twitter.com/thisis_myface/status/423939642996842496,http://twitter.com/thisis_myface
01/17/14,http://twitter.com/caitlingreenway/status/424285911657250816,caitlingreenway,#dentist #choa #beautifullydesigned #cleftlip #beautifullyimperfect http://t.co/O6LriWDhrd,7.469738,http://twitter.com/CaitlinGreenway/status/424285911657250816,http://twitter.com/caitlingreenway
01/18/14,http://twitter.com/karlschonborn/status/424599611030773760,kschonbo,Flashback Tweet:: Disney Demonizes Cleft Lips http://t.co/spk0Lqp4l5 #cleftlip #Theloneranger,7.7695723,http://twitter.com/KarlSchonborn/status/424599611030773760,http://twitter.com/kschonbo
01/18/14,http://twitter.com/karlschonborn/status/424632348533989376,kschonbo,Photo collage of characters in early chapters of Cleft Heart: Chasing Normal. Spoiler alert on page. #cleftlip #Cleft Heart #cleftpalate,7.310095,http://twitter.com/KarlSchonborn/status/424632348533989376,http://twitter.com/kschonbo
01/19/14,http://twitter.com/thisgalssoapbox/status/424906471244308480,thisgalssoapbox,Check out baby Maverick! Thank you Boston Children's Hospital!! @BostonCleft #CleftLip #CleftStrong http://t.co/Tf6eAIlwrS,7.469738,http://twitter.com/ThisGalsSoapBox/status/424906471244308480,http://twitter.com/thisgalssoapbox
01/20/14,http://twitter.com/dralex82uk/status/425235796916846592,dralex82uk,A very welcome day of rest after 10 days of operating on kids with @Northerncleft #cleftlip #cleftpalate #Nagpur India,7.4797425,http://twitter.com/dralex82uk/status/425235796916846592,http://twitter.com/dralex82uk
01/20/14,http://twitter.com/peepzy86/status/425348683958616066,peepzy86,"So Sam dingle ain't such a thick twat after all either that or he's had a sneaky peek at the script before hand, #cleftlip",7.7176795,http://twitter.com/Peepzy86/status/425348683958616066,http://twitter.com/peepzy86
01/21/14,http://twitter.com/caitlingreenway/status/425476395134099456,caitlingreenway,I may have a birth defect but I'm perfect the way I am(: #smilegodlovesyou #cleftlip… http://t.co/VDCOaMk19Y,7.9338636,http://twitter.com/CaitlinGreenway/status/425476395134099456,http://twitter.com/caitlingreenway
01/21/14,http://twitter.com/saulov/status/425716958580203520,saulov,What are you doing this snowy afternoon? #nyc #thisismyface #cleftlip #cleftpalate #facialdifference http://t.co/UQ14Tp8xdy,10.560581,http://twitter.com/SauloV/status/425716958580203520,http://twitter.com/saulov
01/22/14,http://twitter.com/transformfaces/status/426069399662239745,transformfaces,VIDEO: Roopa describes a mobile monitoring initiative: http://t.co/3opRcbQsSC #India #CleftLip #CleftPalate,7.564887,http://twitter.com/TransformFaces/status/426069399662239745,http://twitter.com/transformfaces
01/23/14,http://twitter.com/erinwilbanks/status/426185750715969536,erinwilbanks,I'm raising money for Smile Train. Click to Donate: http://t.co/T6XMkBXs29 #smiletrain #cleftlip #forthekids #makeadifference,7.606965,http://twitter.com/erinwilbanks/status/426185750715969536,http://twitter.com/erinwilbanks
01/23/14,http://twitter.com/melijug/status/426446229468618752,melijug,#cleftlip #puppy !!! http://t.co/67zgFc5rix,8.708842,http://twitter.com/MelijuG/status/426446229468618752,http://twitter.com/melijug
01/23/14,http://twitter.com/marie_emedi/status/426470895394123776,marie_emedi,@laj14 lame. who tags themselves in their own tweet. #cleftlip,9.513879,http://twitter.com/marie_emedi/status/426470895394123776,http://twitter.com/marie_emedi
01/24/14,http://twitter.com/drnann/status/426509905949126656,drnann,#Prenatal #smoking linked to greater likelihood of #cleft defects http://t.co/Yed7BTIs98 #cleftlip #cleftpalate #parenting #mom,10.660923,http://twitter.com/DrNanN/status/426509905949126656,http://twitter.com/drnann
01/24/14,http://twitter.com/laj14/status/426512300967600129,laj14,RT @marie_emedi: @laj14 lame. who tags themselves in their own tweet. #cleftlip,7.6702867,http://twitter.com/laj14/status/426512300967600129,http://twitter.com/laj14
01/24/14,http://twitter.com/frankeee_r/status/426530949007163392,frankeee_r,Rugrats out n about ✨💸 #phil #lil #angelica #westside #cleftlip #hi @talialongo @jordan_mathies http://t.co/KkfxNCmrRb,7.279344,http://twitter.com/Frankeee_R/status/426530949007163392,http://twitter.com/frankeee_r
01/26/14,http://twitter.com/khuffines10/status/427241117822640128,khuffines10,@AndrewRiordanx lmao 😂 ur nice! @JusLamie3 #CleftLip ☺️,7.6425724,http://twitter.com/khuffines10/status/427241117822640128,http://twitter.com/khuffines10
01/26/14,http://twitter.com/timetocreep/status/427261910258434048,timetocreep,#Cleftlip RT @Boothpoo: Frontal @timetocreep @Booty_Hunter420 @CreepShot @Thecandidman @andiquilla http://t.co/zzMmR8NbOT,9.565158,http://twitter.com/timetocreep/status/427261910258434048,http://twitter.com/timetocreep
01/26/14,http://twitter.com/sneeksnakecreep/status/427262690961027072,sneeksnakecreep,RT @timetocreep: #Cleftlip RT @Boothpoo: Frontal @timetocreep @Booty_Hunter420 @CreepShot @Thecandidman @andiquilla http://t.co/zzMmR8NbOT,7.0645437,http://twitter.com/sneeksnakecreep/status/427262690961027072,http://twitter.com/sneeksnakecreep
01/26/14,http://twitter.com/missterri43/status/427262997254254592,missterri43,RT @timetocreep: #Cleftlip RT @Boothpoo: Frontal @timetocreep @Booty_Hunter420 @CreepShot @Thecandidman @andiquilla http://t.co/zzMmR8NbOT,7.0645437,http://twitter.com/MissTerri43/status/427262997254254592,http://twitter.com/missterri43
01/26/14,http://twitter.com/blvdscene/status/427268391590559744,blvdscene,Vedgie! aka vag wedgie RT“@timetocreep: #Cleftlip @Boothpoo @timetocreep @Booty_Hunter420 @CreepShot @Thecandidman http://t.co/YgDjLBFgXz”,8.762947,http://twitter.com/BlvdScene/status/427268391590559744,http://twitter.com/blvdscene
01/26/14,http://twitter.com/fbifemalebodyin/status/427300365407485952,fbifemalebodyin,RT @timetocreep: #Cleftlip RT @Boothpoo: Frontal @timetocreep @Booty_Hunter420 @CreepShot @Thecandidman @andiquilla http://t.co/zzMmR8NbOT,7.0645437,http://twitter.com/FBIfemalebodyin/status/427300365407485952,http://twitter.com/fbifemalebodyin
01/27/14,http://twitter.com/irvingtowncente/status/427694816546144256,irvingtowncente,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/DSSL2Ht1ce",7.662555,http://twitter.com/IrvingTownCente/status/427694816546144256,http://twitter.com/irvingtowncente
01/27/14,http://twitter.com/blisssmiles/status/427694816453865472,blisssmiles,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/me56HHx9ZZ",7.6425724,http://twitter.com/BlissSmiles/status/427694816453865472,http://twitter.com/blisssmiles
01/27/14,http://twitter.com/tidedental/status/427694816533561344,tidedental,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/oDs7Akyz4M",7.6425724,http://twitter.com/TideDental/status/427694816533561344,http://twitter.com/tidedental
01/27/14,http://twitter.com/picassodental1/status/427694816537751552,picassodental1,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/14SAOjHZgM",7.6425724,http://twitter.com/PicassoDental1/status/427694816537751552,http://twitter.com/picassodental1
01/27/14,http://twitter.com/chiropractic_tx/status/427694816479031297,chiropractic_tx,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/OSR4pp7NKb",7.610025,http://twitter.com/Chiropractic_TX/status/427694816479031297,http://twitter.com/chiropractic_tx
01/27/14,http://twitter.com/wchiropractictx/status/427694816529362944,wchiropractictx,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/LPlkwMzFST",7.5672646,http://twitter.com/WChiropracticTX/status/427694816529362944,http://twitter.com/wchiropractictx
01/27/14,http://twitter.com/shahsocialmedia/status/427694816520986624,shahsocialmedia,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/527O6JDXXF",7.5354567,http://twitter.com/ShahSocialMedia/status/427694816520986624,http://twitter.com/shahsocialmedia
01/27/14,http://twitter.com/freshdental2/status/427694816483213312,freshdental2,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/YAiKBqhJS4",7.5008683,http://twitter.com/FreshDental2/status/427694816483213312,http://twitter.com/freshdental2
01/27/14,http://twitter.com/silkthreads1/status/427694816533561346,silkthreads1,"Everyone, please contribute what God has blessed you w/ in order to serve others. #clefpalate #cleftlip #missionwork http://t.co/fQaJRcTVUv",7.5008683,http://twitter.com/SilkThreads1/status/427694816533561346,http://twitter.com/silkthreads1
01/27/14,http://twitter.com/roseegge/status/427946456176017408,roseegge,@SeattleChildren scientist hopes to prevent cleft lips by adjusting moms' diet #cleftlip #cleftpalate #cleft http://t.co/U5CUu03NnK,7.2854238,http://twitter.com/RoseEgge/status/427946456176017408,http://twitter.com/roseegge
01/28/14,http://twitter.com/2wheels2work/status/428133179161976832,2wheels2work,Congrats to my brother @dralex82uk &amp; @Northerncleft.amazing effort.over 200 operations completed! #india #cleftlip https://t.co/K5mK3ikHbP,7.300502,http://twitter.com/2wheels2work/status/428133179161976832,http://twitter.com/2wheels2work
01/28/14,http://twitter.com/squishablebaby/status/428144063208890369,squishablebaby,Operation Smile: safe compassionate Care worldwide for kids w/ facial deformities #charity #cleftlip #cleftpalate http://t.co/XxL2GhTGES,7.5354567,http://twitter.com/Squishablebaby/status/428144063208890369,http://twitter.com/squishablebaby
01/28/14,http://twitter.com/mnapr1/status/428156347540971520,mnapr1,Five-year-old &amp; her family raise money for cleft lip &amp; palate sufferers #netcare #cleftlip #TannahBloomfield https://t.co/PW602W1GkP,7.7253375,http://twitter.com/MNAPR1/status/428156347540971520,http://twitter.com/mnapr1
01/28/14,http://twitter.com/martinamnapr/status/428245802268778496,martinamnapr,RT @MNAPR1: Five-year-old &amp; her family raise money for cleft lip &amp; palate sufferers #netcare #cleftlip #TannahBloomfield https://t.co/PW602…,6.679732,http://twitter.com/MartinaMNAPR/status/428245802268778496,http://twitter.com/martinamnapr
01/28/14,http://twitter.com/seattlechildren/status/428279029859233792,seattlechildren,Researcher Timothy Cox says gene manipulation via dietary intervention may decrease severity or prevent #cleftlip  http://t.co/7bPelhIP5I,10.929784,http://twitter.com/seattlechildren/status/428279029859233792,http://twitter.com/seattlechildren
01/29/14,http://twitter.com/brittanyreedy36/status/428555464692207616,brittanyreedy36,Woman Crush Wednesday y'all! 😂😂😂 #crosseyed #cleftlip #dayumgina #haha #wcw bran_reedy http://t.co/mL2mAuZJrH,7.4143558,http://twitter.com/brittanyreedy36/status/428555464692207616,http://twitter.com/brittanyreedy36
01/30/14,http://twitter.com/staceyj_86/status/428869300615929856,staceyj_86,Interesting lecture on #cleftlip &amp; #cleftpalate this morning on #examinationofthenewborn uni week,7.4079328,http://twitter.com/StaceyJ_86/status/428869300615929856,http://twitter.com/staceyj_86
01/30/14,http://twitter.com/transformfaces/status/428973004270632960,transformfaces,RT @seattlechildren: Researcher Timothy Cox says gene manipulation via dietary intervention may decrease severity or prevent #cleftlip...,7.4178686,http://twitter.com/TransformFaces/status/428973004270632960,http://twitter.com/transformfaces
