firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/nudge2health/status/418463664157753344,nudge2health,Friends family supported and changed eight children's lives via cleft palate surgery in 2013 http://t.co/R9M20CFKYA #cleftpalate @HoskinsAnn,7.5212684,http://twitter.com/Nudge2health/status/418463664157753344,http://twitter.com/nudge2health
01/02/14,http://twitter.com/nudge2health/status/418716843499880448,nudge2health,CLAPP hospital Lahore operated on this beautiful 3 month #child changing her #smile for life #cleftpalate #kindness http://t.co/JFEyOanVef,8.904315,http://twitter.com/Nudge2health/status/418716843499880448,http://twitter.com/nudge2health
01/02/14,http://twitter.com/thebelanda/status/418729423786237953,thebelanda,Danish Aidean lahir tanpa anak tekak #cleftpalate terpaksa menjalani 2 kali Operation untuk tekak dan… http://t.co/WFU0crsdkq,7.5349493,http://twitter.com/thebelanda/status/418729423786237953,http://twitter.com/thebelanda
01/02/14,http://twitter.com/saphnasharon/status/418796884095172608,saphnasharon,RT @Nudge2health: CLAPP hospital Lahore operated on this beautiful 3 month #child changing her #smile for life #cleftpalate #kindness http:…,7.3989024,http://twitter.com/Saphnasharon/status/418796884095172608,http://twitter.com/saphnasharon
01/02/14,http://twitter.com/lorrainexxchad/status/418862017198694400,lorrainexxchad,RT @Nudge2health: CLAPP hospital Lahore operated on this beautiful 3 month #child changing her #smile for life #cleftpalate #kindness http:…,7.3989024,http://twitter.com/lorrainexxchad/status/418862017198694400,http://twitter.com/lorrainexxchad
01/03/14,http://twitter.com/opsmileuk/status/419064578446995456,opsmileuk,What is a cleft? Answers to the most commonly asked questions about #cleftlip and #cleftpalate: http://t.co/ALOlcGK16u,11.944206,http://twitter.com/OpSmileUK/status/419064578446995456,http://twitter.com/opsmileuk
01/03/14,http://twitter.com/logopedersen/status/419072287636463616,logopedersen,RT @OpSmileUK: What is a cleft? Answers to the most commonly asked questions about #cleftlip and #cleftpalate: http://t.co/ALOlcGK16u,7.3497715,http://twitter.com/Logopedersen/status/419072287636463616,http://twitter.com/logopedersen
01/04/14,http://twitter.com/karlschonborn/status/419345863903703041,kschonbo,Photo collage of characters in early chapters of Cleft Heart: Chasing Normal. Spoiler alert on page. #cleftlip #Cleft Heart #cleftpalate,7.4278994,http://twitter.com/KarlSchonborn/status/419345863903703041,http://twitter.com/kschonbo
01/07/14,http://twitter.com/nurseleanne84/status/420624546858012672,nurseleanne84,RT @OpSmileUK: What is a cleft? Answers to the most commonly asked questions about #cleftlip and #cleftpalate: http://t.co/ALOlcGK16u,10.5645485,http://twitter.com/NurseLeanne84/status/420624546858012672,http://twitter.com/nurseleanne84
01/07/14,http://twitter.com/shahsocialmedia/status/420651092280504321,shahsocialmedia,@davecraige Thank you for the RT!! We need all the help we can get! #missiontrip #cleftlip #cleftpalate,7.664675,http://twitter.com/ShahSocialMedia/status/420651092280504321,http://twitter.com/shahsocialmedia
