firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/rhythmichearts/status/418435813697810433,rhythmichearts,"A New Year's Resolution - Every time a child faints in 2014 find out why. #ARVC #LongQT #HCM #Brugada #CPVT
http://t.co/ZIp4FlRqx6",7.311764,http://twitter.com/rhythmichearts/status/418435813697810433,http://twitter.com/rhythmichearts
01/02/14,http://twitter.com/911ready/status/418796386994626561,911ready,"Bystanders Smash Car Windows To Provide CPR To Mother 
http://t.co/dSOvVQcjDh
@911Ready #SCA #CPR #FirstAid #CPRTraining #LongQT",8.073625,http://twitter.com/911ready/status/418796386994626561,http://twitter.com/911ready
01/02/14,http://twitter.com/cgfirst1/status/418824309147467776,cgfirst1,"RT @911ready: Bystanders Smash Car Windows To Provide CPR To Mother 
http://t.co/dSOvVQcjDh
@911Ready #SCA #CPR #FirstAid #CPRTraining #Lon…",7.066401,http://twitter.com/CGfirst1/status/418824309147467776,http://twitter.com/cgfirst1
01/03/14,http://twitter.com/rhythmichearts/status/419138257620725760,rhythmichearts,"When kids faint it can be a warning sign of #CPVT #ARVC #WPW #LongQT  #HCM #Brugada Get it checked out
http://t.co/ZIp4FlRqx6",7.9340467,http://twitter.com/rhythmichearts/status/419138257620725760,http://twitter.com/rhythmichearts
01/03/14,http://twitter.com/lisacolon1974/status/419138985852932096,lisacolon1974,"RT @rhythmichearts: When kids faint it can be a warning sign of #CPVT #ARVC #WPW #LongQT  #HCM #Brugada Get it checked out
http://t.co/ZIp4…",6.954191,http://twitter.com/lisacolon1974/status/419138985852932096,http://twitter.com/lisacolon1974
01/05/14,http://twitter.com/911ready/status/419883494962376704,911ready,"Bystanders Smash Car Windows To Provide CPR To Mother 
http://t.co/RDQf9JMOIS
@911Ready #SCA #CPR #FirstAid #CPRTraining #LongQT",7.242552,http://twitter.com/911ready/status/419883494962376704,http://twitter.com/911ready
01/05/14,http://twitter.com/laurencevick/status/419958591471501312,laurencevick,RT @BJSM_BMJ: Introduction to #LongQT Syndrome: A Cause of Sudden Cardiac Death in Athletes http://t.co/Fgx9rbuKtH via @BJSM_BMJ,7.5770507,http://twitter.com/LaurenceVick/status/419958591471501312,http://twitter.com/laurencevick
01/08/14,http://twitter.com/911ready/status/420970703253684224,911ready,"Bystanders Smash Car Windows To Provide CPR To Mother 
http://t.co/oookLemC41
@911Ready #SCA #CPR #FirstAid #CPRTraining #LongQT",7.242552,http://twitter.com/911ready/status/420970703253684224,http://twitter.com/911ready
01/10/14,http://twitter.com/csheartresearch/status/421512866005397504,csheartresearch,Device may help doctors diagnose lethal heart rhythm in womb #longQT #genetics http://t.co/MVzApkTl6P,8.684785,http://twitter.com/CSHeartResearch/status/421512866005397504,http://twitter.com/csheartresearch
01/11/14,http://twitter.com/breelouise/status/421867088769081344,breelouise,RT @CSHeartResearch: Device may help doctors diagnose lethal heart rhythm in womb #longQT #genetics http://t.co/MVzApkTl6P,7.652426,http://twitter.com/breelouise/status/421867088769081344,http://twitter.com/breelouise
