firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/saraheer/status/418471713211682816,saraheer,"Yeah, that's about the only thing you can have here if you're a Celiac. #glutenfree #celiacdisease… http://t.co/h7O8XWJOGw",8.985112,http://twitter.com/SaraHeer/status/418471713211682816,http://twitter.com/saraheer
01/02/14,http://twitter.com/lifebysv/status/418547548115460096,sergiojvalentin,#be #the #cookie #glutenfree #gf #celiacdisease #celiac #chocolatechip http://t.co/v9fsdBi7u7,7.6528897,http://twitter.com/LifebySV/status/418547548115460096,http://twitter.com/sergiojvalentin
01/02/14,http://twitter.com/lifebysv/status/418547558353735680,sergiojvalentin,Photo: #be #the #cookie #glutenfree #gf #celiacdisease #celiac #chocolatechip http://t.co/7QEeOX1TkB,7.481687,http://twitter.com/LifebySV/status/418547558353735680,http://twitter.com/sergiojvalentin
01/02/14,http://twitter.com/craigamaxwell/status/418549805766684672,craigamaxwell,Go Gluten Free or Die: http://t.co/t0czHXXyg8 #glutenfree #celiacdisease #glutenintolerance Please RT,8.662159,http://twitter.com/CraigAMaxwell/status/418549805766684672,http://twitter.com/craigamaxwell
01/02/14,http://twitter.com/miriwr/status/418579313081200640,miriwr,@wilw If its grown near wheat or handled in a place that also grows wheat it isn't. So I'm glad they label it. #celiacdisease,7.7060504,http://twitter.com/miriwr/status/418579313081200640,http://twitter.com/miriwr
01/02/14,http://twitter.com/frugalcouponmum/status/418714890119831552,frugalcouponmum,"Anyone with or know someone with #Diabetes and/or #CeliacDisease, please feel free to join our awesome group!!! https://t.co/J6TiFj6hTA",8.099225,http://twitter.com/FrugalCouponMum/status/418714890119831552,http://twitter.com/frugalcouponmum
01/02/14,http://twitter.com/frugalcouponmum/status/418715472490541056,frugalcouponmum,RT @CraigAMaxwell: Go Gluten Free or Die: http://t.co/t0czHXXyg8 #glutenfree #celiacdisease #glutenintolerance Please RT,7.625143,http://twitter.com/FrugalCouponMum/status/418715472490541056,http://twitter.com/frugalcouponmum
01/02/14,http://twitter.com/jimminymagee/status/418818313792147456,jimminymagee,Do you know someone with #Diabetes &amp; #CeliacDisease? Join our NEW Facebook group for people w/ these conditions http://t.co/fUEAkWYLqb,8.217088,http://twitter.com/JimminyMagee/status/418818313792147456,http://twitter.com/jimminymagee
01/03/14,http://twitter.com/frugalcouponmum/status/418906087165657088,frugalcouponmum,RT @JimminyMagee: Do you know someone with #Diabetes &amp; #CeliacDisease? Join our NEW Facebook group for people w/ these conditions http://t.…,7.182768,http://twitter.com/FrugalCouponMum/status/418906087165657088,http://twitter.com/frugalcouponmum
01/03/14,http://twitter.com/organicandfit/status/419015144291577856,organicandfit,@steveharvey44 @BioLayne @itsMikeydudee @fatlossboss I have #CeliacDisease -WB always out! Complex #Carbs deliver my #glucose 4 brain/body!,6.945135,http://twitter.com/OrganicandFit/status/419015144291577856,http://twitter.com/organicandfit
01/03/14,http://twitter.com/glutenfreely/status/419175723057025024,glutenfreely,The FDA clarifies #glutenfree ruling for restaurants. Via @celiac_awareness. #celiac #celiacdisease,10.6026125,http://twitter.com/GlutenFreely/status/419175723057025024,http://twitter.com/glutenfreely
01/03/14,http://twitter.com/lewisesellersmd/status/419177397989429248,lewisesellersmd,Blueberry Baked Oatmeal. #glutenfree #gluten #free #celiacdisease #celiac #disease http://t.co/Gvrkk4gjuR,7.571746,http://twitter.com/lewisesellersmd/status/419177397989429248,http://twitter.com/lewisesellersmd
01/03/14,http://twitter.com/wwgluten/status/419222228207951872,wwgluten,Sign up on the blog for a Winning Without Gluten Newsletter! #glutenfree #CeliacDisease http://t.co/X5JAfzI7NG,8.74832,http://twitter.com/wwgluten/status/419222228207951872,http://twitter.com/wwgluten
01/04/14,http://twitter.com/lazyglutenfree/status/419288574958522368,lazyglutenfree,On my blog: Gluten-Free Meatball Stuffed Shells http://t.co/C1ClQGvyql #celiacdisease #easy #glutenfree #lazygirl,7.3247957,http://twitter.com/LazyGlutenFree/status/419288574958522368,http://twitter.com/lazyglutenfree
01/04/14,http://twitter.com/krista_s/status/419332479762182145,krista_s,Doing lots of research on #celiacdisease. Waiting for Tanner to get his biopsy to confirm diagnosis.,8.728719,http://twitter.com/Krista_S/status/419332479762182145,http://twitter.com/krista_s
01/04/14,http://twitter.com/glutenfree_me/status/419541071849619458,glutenfree_me,RT @wwgluten: Sign up on the blog for a Winning Without Gluten Newsletter! #glutenfree #CeliacDisease http://t.co/X5JAfzI7NG,7.617726,http://twitter.com/GlutenFree_Me/status/419541071849619458,http://twitter.com/glutenfree_me
01/04/14,http://twitter.com/elvansalih/status/419542639948464128,elvansalih,"As a #celiac, when I hear young people going on #glutenfree diets without a diagnosis of #celiacdisease, it makes no sense to me whatsoever.",8.339174,http://twitter.com/ElvanSalih/status/419542639948464128,http://twitter.com/elvansalih
01/05/14,http://twitter.com/rachelrae2012/status/419646175080239105,rachelrae2012,I wish being sick wasn't part of my lifestyle. #Celiacdisease,8.611629,http://twitter.com/Rachelrae2012/status/419646175080239105,http://twitter.com/rachelrae2012
01/05/14,http://twitter.com/kelseyscaife/status/419723589550477313,kelseyscaife,Most people don't know they have it until its too late #promoteawarness #celiacdisease #glutenfree #downtownvictoria http://t.co/vndA0uR0Av,7.5429106,http://twitter.com/KelseyScaife/status/419723589550477313,http://twitter.com/kelseyscaife
01/05/14,http://twitter.com/amsclafani/status/419904475546271744,amsclafani,"Thanks for the recommendations, @DaAllieG. I'll follow @Glutenfreeworks &amp; @CeliacScoop for #glutenfree goodness. #celiac #celiacdisease",11.007167,http://twitter.com/amsclafani/status/419904475546271744,http://twitter.com/amsclafani
01/05/14,http://twitter.com/celiacteenager/status/419958977540026368,celiacrachel,My first time trying @rudisglutenfree bread and it's awesomely delicious! #GlutenFree #CeliacDisease http://t.co/9PdYidygqU,8.921447,http://twitter.com/celiacteenager/status/419958977540026368,http://twitter.com/celiacrachel
01/06/14,http://twitter.com/health_tips/status/419992235653210112,health_tips,Is there a link between #autism &amp; #celiacdisease?; study says no http://t.co/kOaoezzZpI,10.71868,http://twitter.com/Health_Tips/status/419992235653210112,http://twitter.com/health_tips
01/06/14,http://twitter.com/blessedlifeever/status/420003528766410752,blessedlifeever,@Blessedlifeever: @BettyCrocker gluten free sugar cookies are amazing! #GlutenFree #celiacdisease #delicious,7.5404625,http://twitter.com/Blessedlifeever/status/420003528766410752,http://twitter.com/blessedlifeever
01/06/14,http://twitter.com/klooklreview/status/420021586398564352,klooklreview,Recognizing Celiac Disease Symptoms http://t.co/B42onFt8Qm #CeliacDisease #GlutenFree,7.968636,http://twitter.com/KlooklReview/status/420021586398564352,http://twitter.com/klooklreview
01/06/14,http://twitter.com/brettbmartin/status/420057738127753217,brettbmartin,Gluten Free Kitchen Makeover #GlutenFree http://t.co/IayTPXNbjO #celiacdisease #glutenintolerance,12.518407,http://twitter.com/brettbmartin/status/420057738127753217,http://twitter.com/brettbmartin
01/06/14,http://twitter.com/innovativenurse/status/420060250016739328,innovativenurse,RT @brettbmartin: Gluten Free Kitchen Makeover #GlutenFree http://t.co/IayTPXNbjO #celiacdisease #glutenintolerance,7.564449,http://twitter.com/innovativenurse/status/420060250016739328,http://twitter.com/innovativenurse
