firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/allimenard/status/418187610058547202,allimenard,HAPPY NEW YEAR! #crohns #IBD #colitis Lets hope for a year of healing and good health! Luv yas =D,8.408187,http://twitter.com/allimenard/status/418187610058547202,http://twitter.com/allimenard
01/01/14,http://twitter.com/mizlisa19/status/418188333089427456,mizlisa19,"it's gotta be my year. i'm due, bitches. #ibd #colitis #nocolonstillrollin",8.603706,http://twitter.com/mizlisa19/status/418188333089427456,http://twitter.com/mizlisa19
01/01/14,http://twitter.com/vitangelo_s/status/418191494391300096,vitangelo_s,"""@GuysPIctures: Badass toilets http://t.co/TiVhbTMOlo"" #ibd #crohns #colitis",7.596477,http://twitter.com/Vitangelo_S/status/418191494391300096,http://twitter.com/vitangelo_s
01/01/14,http://twitter.com/chronichumor1/status/418198892342034432,chronichumor1,This applies to the 25lbs of #prednisone weight I gained. #crohns #colitis #ibd #NewYearsResolution http://t.co/UjbcyloDQd,8.197154,http://twitter.com/ChronicHumor1/status/418198892342034432,http://twitter.com/chronichumor1
01/01/14,http://twitter.com/tgarden82/status/418211410674712576,tgarden82,RT @allimenard: HAPPY NEW YEAR! #crohns #IBD #colitis Lets hope for a year of healing and good health! Luv yas =D,7.3366623,http://twitter.com/TGarden82/status/418211410674712576,http://twitter.com/tgarden82
01/01/14,http://twitter.com/drd_esl_help/status/418222667804991488,drd_esl_help,"≫Suffering from #Colitis? #Free info here, Could be Due to short #Telomeres &amp; low #Telomerase ≫http://t.co/YH4vCnQ2tN",7.0287,http://twitter.com/DrD_esl_help/status/418222667804991488,http://twitter.com/drd_esl_help
01/01/14,http://twitter.com/pastordavidew/status/418222667343618048,pastordavidew,"≫Suffering from #Colitis? #Free info here, Could be Due to short #Telomeres &amp; low #Telomerase ≫http://t.co/E1ISuC2sNr",6.994845,http://twitter.com/PastorDavidEW/status/418222667343618048,http://twitter.com/pastordavidew
01/01/14,http://twitter.com/yeecep/status/418222667272306688,yeecep,"≫Suffering from #Colitis? #Free info here, Could be Due to short #Telomeres &amp; low #Telomerase ≫http://t.co/cry8bGPA0M",6.974125,http://twitter.com/YEECEP/status/418222667272306688,http://twitter.com/yeecep
01/01/14,http://twitter.com/revdrdavidebiz/status/418222667238744064,revdrdavidebiz,"≫Suffering from #Colitis? #Free info here, Could be Due to short #Telomeres &amp; low #Telomerase ≫http://t.co/7DhUb4DY8Q",6.9385242,http://twitter.com/revdrdavidebiz/status/418222667238744064,http://twitter.com/revdrdavidebiz
01/01/14,http://twitter.com/grouchycolitis/status/418232313617457153,grouchycolitis,Happy New Years #colitis #crohns peeps &amp; remember the best medicine is not laughter but brownies!!,7.488464,http://twitter.com/GrouchyColitis/status/418232313617457153,http://twitter.com/grouchycolitis
01/01/14,http://twitter.com/glutenfree_me/status/418246674348539905,glutenfree_me,"Happy new year, for a healthy 2014! #Crohns #celiac #cancer #allergies #IBD #colitis #CCFA #colon #glutenfree ... AND #DEFUNDOBAMACARE!",6.8981647,http://twitter.com/GlutenFree_Me/status/418246674348539905,http://twitter.com/glutenfree_me
01/01/14,http://twitter.com/glutenfree_me/status/418258753415163904,glutenfree_me,I had a scan this afternoon and haven't eliminated any barium yet. Bet I'll be up all night. Oh shit. #IBD #Crohns #colitis Happy New Year!,7.4588594,http://twitter.com/GlutenFree_Me/status/418258753415163904,http://twitter.com/glutenfree_me
01/01/14,http://twitter.com/crohnsquine/status/418259048186662912,crohns_quine,NEW Crohn's Quine blog post. http://t.co/g5ht7XvwcT #crohns #colitis #ibd #ostomy #chronicillness #invisibleillness #crohnsblog #ibdblog,6.6601286,http://twitter.com/CrohnsQuine/status/418259048186662912,http://twitter.com/crohns_quine
01/01/14,http://twitter.com/tracilynnribble/status/418260103595581441,tracilynnribble,#crohns #colitis #ibdteam #ibd #ulcerativecolitis #newyearseve #loveyouall #2014 http://t.co/Dchu0VK4vZ,7.2437196,http://twitter.com/tracilynnribble/status/418260103595581441,http://twitter.com/tracilynnribble
01/01/14,http://twitter.com/tracilynnribble/status/418260112382644224,tracilynnribble,Photo: #crohns #colitis #ibdteam #ibd #ulcerativecolitis #newyearseve #loveyouall #2014 http://t.co/7UeMbqgrgg,7.1506906,http://twitter.com/tracilynnribble/status/418260112382644224,http://twitter.com/tracilynnribble
01/01/14,http://twitter.com/amberrferguson/status/418357784196153344,amberrferguson,RT @ChronicHumor1: This applies to the 25lbs of #prednisone weight I gained. #crohns #colitis #ibd #NewYearsResolution http://t.co/UjbcyloD…,7.1549163,http://twitter.com/AmberrFerguson/status/418357784196153344,http://twitter.com/amberrferguson
01/01/14,http://twitter.com/drd_esl_help/status/418403857891618816,drd_esl_help,≫Suffering from #Colitis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/YH4vCnQ2tN,7.1549163,http://twitter.com/DrD_esl_help/status/418403857891618816,http://twitter.com/drd_esl_help
01/01/14,http://twitter.com/yeecep/status/418403857920962560,yeecep,≫Suffering from #Colitis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/cry8bGPA0M,7.121061,http://twitter.com/YEECEP/status/418403857920962560,http://twitter.com/yeecep
01/01/14,http://twitter.com/pastordavidew/status/418403857858068480,pastordavidew,≫Suffering from #Colitis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/E1ISuC2sNr,7.1003404,http://twitter.com/PastorDavidEW/status/418403857858068480,http://twitter.com/pastordavidew
01/01/14,http://twitter.com/revdrdavidebiz/status/418403857853841408,revdrdavidebiz,≫Suffering from #Colitis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/7DhUb4DY8Q,7.0884666,http://twitter.com/revdrdavidebiz/status/418403857853841408,http://twitter.com/revdrdavidebiz
01/01/14,http://twitter.com/crohnsquine/status/418438565819731969,crohns_quine,NEW video - My Crohn's Life in Picture's: December 2013 http://t.co/2J2CjPlTeu #crohns #colitis #ibd #ostomy #chronicillness #MyLife,7.7733526,http://twitter.com/CrohnsQuine/status/418438565819731969,http://twitter.com/crohns_quine
01/01/14,http://twitter.com/lifechallaccept/status/418443331178606593,lifechallaccept,RT @CrohnsQuine: NEW video - My Crohn's Life in Picture's: December 2013 http://t.co/2J2CjPlTeu #crohns #colitis #ibd #ostomy #chronicillne…,6.748061,http://twitter.com/LifeChallAccept/status/418443331178606593,http://twitter.com/lifechallaccept
01/01/14,http://twitter.com/hospitalpatient/status/418457795264929792,hospitalpatient,"Due 2 my life w/ #Crohns &amp; MANY #surgeries &amp; #hospitalizations, I make #Resolutions after making it thru a Crisis.  #IBD #Colitis",10.1508875,http://twitter.com/HospitalPatient/status/418457795264929792,http://twitter.com/hospitalpatient
01/01/14,http://twitter.com/crohnsibdpatrol/status/418457796107964416,crohnsibdpatrol,"Due 2 my life w/ #Crohns &amp; MANY #surgeries &amp; #hospitalizations, I make #Resolutions after making it thru a Crisis.  #IBD #Colitis",6.787801,http://twitter.com/CrohnsIBDPatrol/status/418457796107964416,http://twitter.com/crohnsibdpatrol
01/01/14,http://twitter.com/mylifewithuc/status/418479231517995009,mylifewithuc,Excellent book for ppl interested in naturopathic treatment in combo w/ western medicine for #IBD #chrons #colitis http://t.co/nnhaMLYO5j,7.2843018,http://twitter.com/mylifewithUC/status/418479231517995009,http://twitter.com/mylifewithuc
01/01/14,http://twitter.com/laura_carter/status/418481297149796352,laura_carter,Resolving to be more charitable this year? Consider supporting me in the @GutsyWalk for #crohns and #colitis. http://t.co/zhoH3JCyfe,7.951505,http://twitter.com/laura_carter/status/418481297149796352,http://twitter.com/laura_carter
01/01/14,http://twitter.com/chronichumor1/status/418514323997089792,chronichumor1,This is my face actually before I fart. But I couldn't stop laughing at this. #crohns #colitis #ibd http://t.co/oQOMUIypPI,7.8920603,http://twitter.com/ChronicHumor1/status/418514323997089792,http://twitter.com/chronichumor1
01/01/14,http://twitter.com/stephnicho/status/418526579812466688,stephnicho,@CrohnsColitisFR also what is the best way to collect? Personally or a just giving page? #dryjanuary #fundraising #chrons #colitis,7.636333,http://twitter.com/stephnicho/status/418526579812466688,http://twitter.com/stephnicho
