firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/02/14,http://twitter.com/paincare/status/418766656735682561,paincare,The #Diverticulitis Diet Defined: http://t.co/xh4nlOOdMe,8.623048,http://twitter.com/PainCare/status/418766656735682561,http://twitter.com/paincare
01/02/14,http://twitter.com/usmle_ckhints/status/418882011269300224,usmle_ckhints,"Computed tomography, guided percutaneous drainage is standard treatment approach for complicated #diverticulitis with #abscess formation.",8.8013115,http://twitter.com/USMLE_CKHints/status/418882011269300224,http://twitter.com/usmle_ckhints
01/02/14,http://twitter.com/usmle_ckhints/status/418882257630138368,usmle_ckhints,"Uncomplicated #diverticulitis colonic diverticular inflammation resulting in LLQ pain and tenderness, fever, and #leukocytosis.",8.718177,http://twitter.com/USMLE_CKHints/status/418882257630138368,http://twitter.com/usmle_ckhints
01/02/14,http://twitter.com/usmle_ckhints/status/418882377004244992,usmle_ckhints,"Uncomplicated #diverticulitis in stable patients can be managed in outpatient setting with bowel rest, oral #antibiotics, and observation .",8.922952,http://twitter.com/USMLE_CKHints/status/418882377004244992,http://twitter.com/usmle_ckhints
01/02/14,http://twitter.com/usmle_ckhints/status/418882523129585664,usmle_ckhints,"Complicated #diverticulitis is  associated with an abscess, perforation, obstruction, or fistula formation.",8.41886,http://twitter.com/USMLE_CKHints/status/418882523129585664,http://twitter.com/usmle_ckhints
01/03/14,http://twitter.com/chrissykd13/status/418935924928819200,chrissykd13,"RT @USMLE_CKHints: Complicated #diverticulitis is  associated with an abscess, perforation, obstruction, or fistula formation.",7.311301,http://twitter.com/ChrissyKD13/status/418935924928819200,http://twitter.com/chrissykd13
01/03/14,http://twitter.com/chrissykd13/status/418935937549467648,chrissykd13,"RT @USMLE_CKHints: Uncomplicated #diverticulitis in stable patients can be managed in outpatient setting with bowel rest, oral #antibiotics…",7.1717753,http://twitter.com/ChrissyKD13/status/418935937549467648,http://twitter.com/chrissykd13
01/03/14,http://twitter.com/chrissykd13/status/418935965097656320,chrissykd13,"RT @USMLE_CKHints: Uncomplicated #diverticulitis colonic diverticular inflammation resulting in LLQ pain and tenderness, fever, and #leukoc…",6.990976,http://twitter.com/ChrissyKD13/status/418935965097656320,http://twitter.com/chrissykd13
01/03/14,http://twitter.com/chrissykd13/status/418935979047919616,chrissykd13,"RT @USMLE_CKHints: Computed tomography, guided percutaneous drainage is standard treatment approach for complicated #diverticulitis with #a…",7.0030084,http://twitter.com/ChrissyKD13/status/418935979047919616,http://twitter.com/chrissykd13
01/03/14,http://twitter.com/wuefab/status/419091003145220097,wuefab,Long-term risk of acute #diverticulitis is only ~4% of pts with incidental #diverticulosis found during #colonoscopy: http://t.co/YYu4IMDtJv,7.114539,http://twitter.com/wuefab/status/419091003145220097,http://twitter.com/wuefab
