firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/felini2mew/status/418169778897838080,felini2mew,The #Garden #Giant #Mushroom &amp; #Mycototes #Mycofiltration of #Ecoli http://t.co/oasj26b3eX via @youtube,7.2658143,http://twitter.com/Felini2Mew/status/418169778897838080,http://twitter.com/felini2mew
01/01/14,http://twitter.com/kayli_shmayli/status/418420679818502144,kayli_shmayli,Always getting turnt on that CapriSun 4eva my shit #caprisun #ecoli @FRONZ1LLA http://t.co/ShaCXilaxL,7.899237,http://twitter.com/kayli_shmayli/status/418420679818502144,http://twitter.com/kayli_shmayli
01/01/14,http://twitter.com/fredpritzker/status/418438750524280833,fredpritzker,"Culprits in 2013's largest food poisoning outbreaks?#salmonella, #ecoli, #listeria, #cyclospora, #hepatitis, #vibrio. http://t.co/ckQImLauSM",6.870082,http://twitter.com/FredPritzker/status/418438750524280833,http://twitter.com/fredpritzker
01/01/14,http://twitter.com/fredpritzker/status/418479264766623744,fredpritzker,Three children in NC have #ecoli infections. http://t.co/wTsUiiLhPV,8.45408,http://twitter.com/FredPritzker/status/418479264766623744,http://twitter.com/fredpritzker
01/01/14,http://twitter.com/knowmoretv/status/418517635416850432,galtime,#Bacteria Scare: Is the chicken you're serving for dinner contaminated with #salmonella or #Ecoli? http://t.co/OTNAxn7zJW,7.490518,http://twitter.com/KnowMoreTV/status/418517635416850432,http://twitter.com/galtime
01/02/14,http://twitter.com/fredpritzker/status/418566325410467840,fredpritzker,Two Tyro Middle School students with hemolytic uremic syndrome (HUS) from #ecoli infections. http://t.co/W5NDF442Ho,7.44351,http://twitter.com/FredPritzker/status/418566325410467840,http://twitter.com/fredpritzker
01/02/14,http://twitter.com/pritzkerolsen/status/418580669741412352,pritzkerolsen,Three children in NC have #ecoli infections. http://t.co/sK8z0IAqUO,8.419662,http://twitter.com/PritzkerOlsen/status/418580669741412352,http://twitter.com/pritzkerolsen
01/02/14,http://twitter.com/foodqualitynews/status/418746217582325760,foodqualitynews,Electrostatic spray technology is one area of #ecoli research from K-State http://t.co/IKK5k2BHOy,9.332565,http://twitter.com/FoodQualityNews/status/418746217582325760,http://twitter.com/foodqualitynews
01/02/14,http://twitter.com/phandaw/status/418746898145894400,phandaw,RT @FoodQualityNews: Electrostatic spray technology is one area of #ecoli research from K-State http://t.co/IKK5k2BHOy,7.449002,http://twitter.com/pHandAw/status/418746898145894400,http://twitter.com/phandaw
01/02/14,http://twitter.com/thatpumishange/status/418747390213230592,thatpumishange,RT @FoodQualityNews: Electrostatic spray technology is one area of #ecoli research from K-State http://t.co/IKK5k2BHOy,7.449002,http://twitter.com/ThatPumishange/status/418747390213230592,http://twitter.com/thatpumishange
