firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/healthynd/status/418221689176997888,healthynd,"Gallbladder and Gallstones 101 - The most common problem associated with the... http://t.co/DxBmTEOYPI
 #DigestiveArticles #Gallbladder",7.4986477,http://twitter.com/HealthyND/status/418221689176997888,http://twitter.com/healthynd
01/01/14,http://twitter.com/healthynd/status/418527263647207425,healthynd,"Gallbladder and Gallstones 101 - The most common problem associated with the... http://t.co/DxBmTEOYPI
 #DigestiveArticles #Gallbladder",7.4554486,http://twitter.com/HealthyND/status/418527263647207425,http://twitter.com/healthynd
01/02/14,http://twitter.com/stella4health/status/418577400000413696,stella4health,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/y8wAxRlni3,11.264633,http://twitter.com/Stella4Health/status/418577400000413696,http://twitter.com/stella4health
01/02/14,http://twitter.com/siolamatt/status/418607600503390209,siolamatt,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/wLeahkHZgt,8.045713,http://twitter.com/SiolaMatt/status/418607600503390209,http://twitter.com/siolamatt
01/02/14,http://twitter.com/healthgaga/status/418637795251724288,healthgaga,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/TIqsrd07al,8.088588,http://twitter.com/HealthGaGa/status/418637795251724288,http://twitter.com/healthgaga
01/02/14,http://twitter.com/aarokku/status/418657422589575168,aarokku,Woken up this morning all spaced out. I suspect it is codeine withdrawal and I am blaming Gary! #gallbladder #garythegallbladder,7.643126,http://twitter.com/aarokku/status/418657422589575168,http://twitter.com/aarokku
01/02/14,http://twitter.com/viral_hq/status/418698201416597504,viral_hq,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/XsdPy6e4YC,7.936441,http://twitter.com/Viral_HQ/status/418698201416597504,http://twitter.com/viral_hq
01/02/14,http://twitter.com/healthynd/status/418832999237447681,healthynd,"Gallbladder and Gallstones 101 - The most common problem associated with the... http://t.co/DxBmTEOYPI
 #DigestiveArticles #Gallbladder",7.410433,http://twitter.com/HealthyND/status/418832999237447681,http://twitter.com/healthynd
01/02/14,http://twitter.com/mhshospitals/status/418834945411645442,mhshospitals,Minimally invasive da Vinci Single-Site #gallbladder surgery restored busy mom Jaretha Jordan to career &amp; family http://t.co/I0gRzN8k6W,7.1001625,http://twitter.com/mhshospitals/status/418834945411645442,http://twitter.com/mhshospitals
01/02/14,http://twitter.com/methodistmans/status/418834945004810240,methodistmans,Minimally invasive da Vinci Single-Site #gallbladder surgery restored busy mom Jaretha Jordan to career &amp; family http://t.co/t8ElJCeuxz,7.0695653,http://twitter.com/methodistmans/status/418834945004810240,http://twitter.com/methodistmans
01/02/14,http://twitter.com/healthinfo3/status/418849191679774720,healthinfo3,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/ojfoXI4lTj,8.041491,http://twitter.com/HealthInfo3/status/418849191679774720,http://twitter.com/healthinfo3
01/02/14,http://twitter.com/sammiamm5/status/418849583838797824,sammiamm5,Happy New Years to me! #BeforeAndAfter #Surgery #Gallbladder #Out #Pain #2k14 😔💉🏥 http://t.co/3UoZaux8jf,7.680309,http://twitter.com/SammIAmm5/status/418849583838797824,http://twitter.com/sammiamm5
01/03/14,http://twitter.com/healthynd/status/419015722212155393,healthynd,"Gallbladder and Gallstones 101 - The most common problem associated with the... http://t.co/DxBmTEOYPI
 #DigestiveArticles #Gallbladder",7.415215,http://twitter.com/HealthyND/status/419015722212155393,http://twitter.com/healthynd
01/03/14,http://twitter.com/ianneath/status/419055168513392641,ianneath,So turns out it's not my #gallbladder ffs!,8.790036,http://twitter.com/ianneath/status/419055168513392641,http://twitter.com/ianneath
01/03/14,http://twitter.com/clvrgrl24/status/419172770917126145,clvrgrl24,#milkthistle anti-inflammatory and antioxidant #detox #bodycleanse #2014goals #liver #kidney #gallbladder #health,7.8399334,http://twitter.com/clvrgrl24/status/419172770917126145,http://twitter.com/clvrgrl24
01/03/14,http://twitter.com/katiesnyde/status/419200372432191489,katiesnyde,The fastest and easiest way to lose a few pounds is to get unnecessary organs removed. #gallbladder #thatwaseasy,7.7959943,http://twitter.com/katiesnyde/status/419200372432191489,http://twitter.com/katiesnyde
01/03/14,http://twitter.com/mattm34/status/419249334631550977,mattm34,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/9Z1dxBzLJW,8.000698,http://twitter.com/MattM34/status/419249334631550977,http://twitter.com/mattm34
01/04/14,http://twitter.com/healthynd/status/419260105733832704,healthynd,"Gallbladder and Gallstones 101 - The most common problem associated with the... http://t.co/DxBmTEOYPI
 #DigestiveArticles #Gallbladder",7.4512253,http://twitter.com/HealthyND/status/419260105733832704,http://twitter.com/healthynd
01/04/14,http://twitter.com/healthynd/status/419444018158649345,healthynd,"Gallbladder and Gallstones 101 - The most common problem associated with the... http://t.co/DxBmTEOYPI
 #DigestiveArticles #Gallbladder",7.4512253,http://twitter.com/HealthyND/status/419444018158649345,http://twitter.com/healthynd
01/04/14,http://twitter.com/tweetstar11/status/419521123743985664,tweetstar11,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/A5hWMuI5w1,8.031296,http://twitter.com/Tweetstar11/status/419521123743985664,http://twitter.com/tweetstar11
01/05/14,http://twitter.com/healthynd/status/419687512072675328,healthynd,"Gallbladder and Gallstones 101 - The most common problem associated with the... http://t.co/DxBmTEOYPI
 #DigestiveArticles #Gallbladder",7.3994026,http://twitter.com/HealthyND/status/419687512072675328,http://twitter.com/healthynd
01/05/14,http://twitter.com/tweetifollow/status/419702317307666432,tweetifollow,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/1wn93bAg5G,8.036802,http://twitter.com/TweetIFollow/status/419702317307666432,http://twitter.com/tweetifollow
01/05/14,http://twitter.com/health_n_fit/status/419709858414624768,health_n_fit,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/tEgMLDkCPi,11.243304,http://twitter.com/health_n_fit/status/419709858414624768,http://twitter.com/health_n_fit
01/05/14,http://twitter.com/healthynd/status/419875320192200705,healthynd,"Gallbladder and Gallstones 101 - The most common problem associated with the... http://t.co/DxBmTEOYPI
 #DigestiveArticles #Gallbladder",7.415215,http://twitter.com/HealthyND/status/419875320192200705,http://twitter.com/healthynd
01/05/14,http://twitter.com/healthnews24_7/status/419891056394895362,healthnews24_7,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/SAAHVLHA2H,11.21218,http://twitter.com/healthnews24_7/status/419891056394895362,http://twitter.com/healthnews24_7
01/05/14,http://twitter.com/i_tweet_stuff/status/419898609187168256,i_tweet_stuff,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/19Eu9y19Ow,11.259695,http://twitter.com/I_Tweet_Stuff/status/419898609187168256,http://twitter.com/i_tweet_stuff
01/05/14,http://twitter.com/grandmaoldlady/status/419950257934696448,grandmaoldlady,I might have to have my #gallbladder out! Doesn't that sound like fun .... Oh and i'm loosing my job over this it seems. #sucks,8.188125,http://twitter.com/grandmaoldlady/status/419950257934696448,http://twitter.com/grandmaoldlady
01/06/14,http://twitter.com/essy_m/status/419996754369871872,essy_m,#health #disease #GallBladder pain. How a tiny organ can cause severe pain http://t.co/zeU8s8M5AD,8.000698,http://twitter.com/Essy_M/status/419996754369871872,http://twitter.com/essy_m
01/06/14,http://twitter.com/sandbtwnmitoez/status/420040261419294720,sandbtwnmitoez,RT @PawjectWH: This is how they take #bile from the #gallbladder of a #MoonBear - daily milking by catheter. Disgusting. Please #RT http://…,7.113908,http://twitter.com/sandbtwnmitoez/status/420040261419294720,http://twitter.com/sandbtwnmitoez
01/06/14,http://twitter.com/healthynd/status/420059796524396544,healthynd,"Gallbladder and Gallstones 101 - The most common problem associated with the... http://t.co/DxBmTEOYPI
 #DigestiveArticles #Gallbladder",7.3994026,http://twitter.com/HealthyND/status/420059796524396544,http://twitter.com/healthynd
