firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/02/14,http://twitter.com/w111teo/status/418840599459295233,w111teo,Kn@b  # #hccd nqaD.  #,8.4841795,http://twitter.com/w111teo/status/418840599459295233,http://twitter.com/w111teo
01/09/14,http://twitter.com/geneautry__/status/421271453821317121,geneautry__,Happy Birthday #HCCD #NoBlock #6Hunna http://t.co/1wrtezbbqN,9.8550005,http://twitter.com/geneautry__/status/421271453821317121,http://twitter.com/geneautry__
01/09/14,http://twitter.com/fridayfanstand/status/421271645597491201,fridayfanstand,RT @geneautry__: Happy Birthday #HCCD #NoBlock #6Hunna http://t.co/1wrtezbbqN,7.944504,http://twitter.com/FridayFanstand/status/421271645597491201,http://twitter.com/fridayfanstand
01/23/14,http://twitter.com/geneautry__/status/426206204159741952,geneautry__,321- We Will Find Him Soon 💥🔫✊👊💪☝#HCCD #,10.03756,http://twitter.com/geneautry__/status/426206204159741952,http://twitter.com/geneautry__
01/23/14,http://twitter.com/b_merkss/status/426480959366504448,b_merkss,RT @geneautry__: 321- We Will Find Him Soon 💥🔫✊👊💪☝#HCCD #,7.833389,http://twitter.com/B_Merkss/status/426480959366504448,http://twitter.com/b_merkss
01/24/14,http://twitter.com/rayleshonwalker/status/426565514689650688,rayleshonwalker,RT @geneautry__: 321- We Will Find Him Soon 💥🔫✊👊💪☝#HCCD #,7.833389,http://twitter.com/RayleshonWalker/status/426565514689650688,http://twitter.com/rayleshonwalker
01/24/14,http://twitter.com/jett_moore_13/status/426565687545323520,jett_moore_13,RT @geneautry__: 321- We Will Find Him Soon 💥🔫✊👊💪☝#HCCD #,7.833389,http://twitter.com/JETT_MOORE_13/status/426565687545323520,http://twitter.com/jett_moore_13
01/24/14,http://twitter.com/kenan_vincent7/status/426565900855046144,scootah_bitchs,RT @geneautry__: 321- We Will Find Him Soon 💥🔫✊👊💪☝#HCCD #,7.833389,http://twitter.com/kenan_vincent7/status/426565900855046144,http://twitter.com/scootah_bitchs
01/25/14,http://twitter.com/w3ightless/status/427187831631802368,w3ightless,Proud Papa!! #Dancecelebrity Denver Raindrops #HCCD @ Newman Center for the Performing Arts http://t.co/Id5exQmn69,11.113429,http://twitter.com/w3ightless/status/427187831631802368,http://twitter.com/w3ightless
02/12/14,http://twitter.com/corndog__/status/433428356260823041,corndog__,“@RayleshonWalker: HCCD CHOPO IN THE CUT http://t.co/B8aSDTfuLG” S/o to that boy CHAPO HIT EM UP ON SOUNDCLOUD ! #HCCD #BARS #PULLUPLIKEWOWW,8.695287,http://twitter.com/Corndog__/status/433428356260823041,http://twitter.com/corndog__
02/12/14,http://twitter.com/rayleshonwalker/status/433428760939859968,rayleshonwalker,RT @Corndog__: “@RayleshonWalker: HCCD CHOPO IN THE CUT http://t.co/B8aSDTfuLG” S/o to that boy CHAPO HIT EM UP ON SOUNDCLOUD ! #HCCD #BARS…,7.252143,http://twitter.com/RayleshonWalker/status/433428760939859968,http://twitter.com/rayleshonwalker
02/16/14,http://twitter.com/brianahlynn/status/434888677286637568,brianahlynn,RT @Corndog__: “@RayleshonWalker: HCCD CHOPO IN THE CUT http://t.co/B8aSDTfuLG” S/o to that boy CHAPO HIT EM UP ON SOUNDCLOUD ! #HCCD #BARS…,7.1722984,http://twitter.com/BrianahLynn/status/434888677286637568,http://twitter.com/brianahlynn
02/21/14,http://twitter.com/imaimeeanne/status/436673794158374912,imaimeeanne,Off to School #ExamDay #Smile #Vain #SchoolGirl #HCCD http://t.co/MyzS1FUNGn,8.050196,http://twitter.com/ImAimeeAnne/status/436673794158374912,http://twitter.com/imaimeeanne
03/25/14,http://twitter.com/wkfcentral/status/448545404142247936,wkfcentral,My #peeps at the #healthcare #career day #hccd #best #assistants and #friends #thankful http://t.co/oYTrSy9rEJ,7.793064,http://twitter.com/wkfcentral/status/448545404142247936,http://twitter.com/wkfcentral
03/29/14,http://twitter.com/4campbel/status/449903521333542912,4campbel,Don't measure greatness by society's standard! #guestspeaker #HCCD,8.055872,http://twitter.com/4Campbel/status/449903521333542912,http://twitter.com/4campbel
03/29/14,http://twitter.com/4campbel/status/449924343494348800,4campbel,It has been a fabulous year with this great bunch! #casaeboard #onelove #HCCD http://t.co/cq4zpcTO2X,8.052978,http://twitter.com/4Campbel/status/449924343494348800,http://twitter.com/4campbel
04/25/14,http://twitter.com/jakehamm14/status/459757205084839936,jakehamm14,#HCCD,10.51686,http://twitter.com/JakeHamm14/status/459757205084839936,http://twitter.com/jakehamm14
04/25/14,http://twitter.com/slapasss/status/459762213319106560,slapasss,RT @JakeHamm14: #HCCD,8.487019,http://twitter.com/SlapAsss/status/459762213319106560,http://twitter.com/slapasss
05/31/14,http://twitter.com/sarahymea/status/472705477902860288,sarahymea,"OMG! June 9 is fast approaching!!!
adviser pa jud ko... huhuhu :( pero Thanks God i'm hired. :)

kaya lagi ni! AJA!!!

#Math8and9
#HCCD",7.418353,http://twitter.com/sarahymea/status/472705477902860288,http://twitter.com/sarahymea
