firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/coypeterson/status/418179673772679168,coypeterson,And on the 31st of December El Diablo was re-born #red #green #orange #rum #heartburn http://t.co/izpCSvegah,7.30497,http://twitter.com/coypeterson/status/418179673772679168,http://twitter.com/coypeterson
01/01/14,http://twitter.com/odunphy/status/418180152812916736,odunphy,@VisionLily #heartburn,8.293251,http://twitter.com/odunphy/status/418180152812916736,http://twitter.com/odunphy
01/01/14,http://twitter.com/joannewalker2/status/418186963049803776,joannewalker2,I've decided to spend January sober.  So I have to drink the second bottle of champagne NOW! #heartburn,7.9972444,http://twitter.com/JoanneWalker2/status/418186963049803776,http://twitter.com/joannewalker2
01/01/14,http://twitter.com/laurenayesha/status/418230538546479105,laurenayesha,I need gaviscon #heartburn :((((,9.445147,http://twitter.com/laurenayesha/status/418230538546479105,http://twitter.com/laurenayesha
01/01/14,http://twitter.com/elanablackard/status/418233259898568704,elanablackard,ERIN JUST THREW A TURD AT ME #heartburn @ErinYoser,8.607542,http://twitter.com/elanablackard/status/418233259898568704,http://twitter.com/elanablackard
01/01/14,http://twitter.com/erinyoser/status/418233674555850752,erinyoser,RT @elanablackard: ERIN JUST THREW A TURD AT ME #heartburn @ErinYoser,7.4723725,http://twitter.com/ErinYoser/status/418233674555850752,http://twitter.com/erinyoser
01/01/14,http://twitter.com/lauriepazz/status/418236775438364672,lauriepazz,Never drinking champagne again #heartburn,8.754697,http://twitter.com/lauriepazz/status/418236775438364672,http://twitter.com/lauriepazz
01/01/14,http://twitter.com/papergirlte/status/418238653324734464,papergirlte,"@scrapchick omg, 8 minutes. #heartburn #getouttheantacids",8.694969,http://twitter.com/PaperGirlTE/status/418238653324734464,http://twitter.com/papergirlte
01/01/14,http://twitter.com/sunfish529/status/418269690822012928,sunfish529,@sarhuberr #heartburn... old people problems,8.293251,http://twitter.com/sunfish529/status/418269690822012928,http://twitter.com/sunfish529
01/01/14,http://twitter.com/mysteryxkitty/status/418280857216884738,mysteryxkitty,speaking of.. let the #heartburn begin. thank you coffee ice cream.,8.348947,http://twitter.com/mysteryxkitty/status/418280857216884738,http://twitter.com/mysteryxkitty
