firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/upasbook/status/418171479684313088,upasbook,"Finally an update on my latest adventures w/ #hospitalization &amp; #ER. #IBS #IBD #CrohnsUC #fibro #MECFS #spoonie
http://t.co/p2VQW8tplX",6.788024,http://twitter.com/upasbook/status/418171479684313088,http://twitter.com/upasbook
01/01/14,http://twitter.com/upasbook/status/418227167101992960,upasbook,"A few unusual items to bring with you for #hospitalization. #fibro #IBD #IBS #MEcfs #spoonie #beauty
http://t.co/sF8Dl0GZSi",7.149457,http://twitter.com/upasbook/status/418227167101992960,http://twitter.com/upasbook
01/01/14,http://twitter.com/natural_marion/status/418302843313868801,natural_marion,The IBS Miracle TM- How To Free Your Lifestyles... http://t.co/ZoU9zUHVLk #Natural #ibs #ibscure #ibstreatment #irritablebowelsyndrome,6.8460064,http://twitter.com/natural_marion/status/418302843313868801,http://twitter.com/natural_marion
01/01/14,http://twitter.com/janetmumcu/status/418306795892121601,janetmumcu,@sarah_dietitian good luck with the #IBS #foodmap clinic.,7.5641856,http://twitter.com/JanetMumcu/status/418306795892121601,http://twitter.com/janetmumcu
01/01/14,http://twitter.com/gastropractice/status/418308131299790848,gastropractice,How to treat #IBS with diet http://t.co/2Ot2u9MpDf #fodmap,8.854303,http://twitter.com/Gastropractice/status/418308131299790848,http://twitter.com/gastropractice
01/01/14,http://twitter.com/82ladyk/status/418314002411032576,82ladyk,RT @Gastropractice: How to treat #IBS with diet http://t.co/2Ot2u9MpDf #fodmap,7.664536,http://twitter.com/82ladyK/status/418314002411032576,http://twitter.com/82ladyk
01/01/14,http://twitter.com/tonirrapera/status/418384219321012225,tonirrapera,“@Varrylicious: Top earning BPO companies in the Philippines http://t.co/Q87IRuJ0ql” -- Not bad at number 15! ☺️ #IBS,10.11403,http://twitter.com/ToniRRapera/status/418384219321012225,http://twitter.com/tonirrapera
01/01/14,http://twitter.com/drbarbarabolen/status/418395708363137024,drbarbarabolen,Is it time to finally do something @ your #ibs ? My group program starts 1/15. Free gift if you sign up today! http://t.co/N1ihlVFEOM,7.5641856,http://twitter.com/drbarbarabolen/status/418395708363137024,http://twitter.com/drbarbarabolen
01/01/14,http://twitter.com/sunnyseverine/status/418400606261612545,sunnyseverine,IBS attack. Stomach ache. On jan 1st. #alloveragain #ibs #sucksbeingme #damn 😔,7.411228,http://twitter.com/SunnySeverine/status/418400606261612545,http://twitter.com/sunnyseverine
01/01/14,http://twitter.com/healthylifetobe/status/418404295751774208,healthylifetobe,"#Indigestion, #ulcer, #IBS? This free info may help. http://t.co/rziYrIcMbS  Pls ReTweet to anyone you know who also suffers",7.3023396,http://twitter.com/healthylifetobe/status/418404295751774208,http://twitter.com/healthylifetobe
01/01/14,http://twitter.com/drbarbarabolen/status/418405779595874304,drbarbarabolen,IBS New Year’s Resolutions http://t.co/d8Mq1aqgqq #ibs,9.704803,http://twitter.com/drbarbarabolen/status/418405779595874304,http://twitter.com/drbarbarabolen
01/01/14,http://twitter.com/pamelamahlase/status/418408729563123712,pamelamahlase,#IBS,8.945439,http://twitter.com/PamelaMahlase/status/418408729563123712,http://twitter.com/pamelamahlase
01/01/14,http://twitter.com/sandianutricion/status/418411222787055616,sandianutricion,RT @drbarbarabolen: IBS New Year’s Resolutions http://t.co/d8Mq1aqgqq #ibs,7.777139,http://twitter.com/SandiaNutricion/status/418411222787055616,http://twitter.com/sandianutricion
