firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/usmle_ckhints/status/418189445569839104,usmle_ckhints,#Ulcers form as a result of uninterrupted pressure on the tissue overlying bony prominences.,8.358733,http://twitter.com/USMLE_CKHints/status/418189445569839104,http://twitter.com/usmle_ckhints
01/01/14,http://twitter.com/chrissykd13/status/418190787852369920,chrissykd13,RT @USMLE_CKHints: #Ulcers form as a result of uninterrupted pressure on the tissue overlying bony prominences.,7.3098006,http://twitter.com/ChrissyKD13/status/418190787852369920,http://twitter.com/chrissykd13
01/01/14,http://twitter.com/xkcdwhybot/status/418290504766586880,xkcdwhybot,why do #ulcers make you tired #xkcd #why https://t.co/Os60HXwviE,8.373534,http://twitter.com/XkcdWhyBot/status/418290504766586880,http://twitter.com/xkcdwhybot
01/01/14,http://twitter.com/deano_hendo/status/418302876252127232,deano_hendo,My mouth looks like a prostitutes fanny. #Ulcers,9.385908,http://twitter.com/DeAnO_HeNdO/status/418302876252127232,http://twitter.com/deano_hendo
01/01/14,http://twitter.com/craigamaxwell/status/418457961825329152,craigamaxwell,The REAL Cause of Your Stomach Ulcers: http://t.co/mPlXyX0mue #helicobacterpylori #ulcers Please RT,8.049501,http://twitter.com/CraigAMaxwell/status/418457961825329152,http://twitter.com/craigamaxwell
01/01/14,http://twitter.com/healthysecrect/status/418492893083344896,healthysecrect,#ulcers How to treat ulcers naturally http://t.co/EhDlgWe2YX,11.736846,http://twitter.com/healthysecrect/status/418492893083344896,http://twitter.com/healthysecrect
01/02/14,http://twitter.com/kiolzemog/status/418595588188291072,kiolzemog,"No seriously, they're freaking everywhere!! How the crap did they make their way to the kitchen sink?!? #PineNeedles #ulcers #death",7.224777,http://twitter.com/KiolZemoG/status/418595588188291072,http://twitter.com/kiolzemog
01/02/14,http://twitter.com/dhargaherbals/status/418614468952604672,dhargaherbals,For mouth #ulcers &amp; other ulcer conditions- just apply the latex of the raw #papaw on affected area. #herbalife,8.013013,http://twitter.com/DhargaHerbals/status/418614468952604672,http://twitter.com/dhargaherbals
01/02/14,http://twitter.com/primary_immune/status/418653203115147264,primary_immune,"H. pylori (#Helicobacter #pylori) Gram-negative, #microaerophilic #bacterium responsible for 80% of stomach #ulcers https://t.co/fQHiKuLQ8X",7.8086267,http://twitter.com/Primary_Immune/status/418653203115147264,http://twitter.com/primary_immune
01/02/14,http://twitter.com/chenashhomecare/status/418668823961931776,chenashhomecare,"RT @Primary_Immune: H. pylori (#Helicobacter #pylori) Gram-negative, #microaerophilic #bacterium responsible for 80% of stomach #ulcers htt…",6.7668033,http://twitter.com/CHENASHHomecare/status/418668823961931776,http://twitter.com/chenashhomecare
01/02/14,http://twitter.com/noris_maingey/status/418745377932972032,noris_maingey,Having #Ulcers aint no joke but through being positive minded we make it,8.445136,http://twitter.com/Noris_Maingey/status/418745377932972032,http://twitter.com/noris_maingey
01/02/14,http://twitter.com/deepheat_uk/status/418789829242290176,deepheat_uk,"What causes #ulcers  #stress, alcohol or bacteria? http://t.co/WaZOf8LIZy",7.904664,http://twitter.com/DeepHeat_UK/status/418789829242290176,http://twitter.com/deepheat_uk
01/02/14,http://twitter.com/xklusivethaking/status/418813029334388736,xklusivethaking,My stomach and Chorizo dont get along.. no matter how many time i try eating it i need to accept the facts #pissed #upsetstomach #ulcers,7.7039027,http://twitter.com/XklusiveThaKing/status/418813029334388736,http://twitter.com/xklusivethaking
01/02/14,http://twitter.com/josiieejo/status/418818062121324545,josiieejo,Thank god for Bonjela #ulcers #painful,8.451459,http://twitter.com/JosiieeJo/status/418818062121324545,http://twitter.com/josiieejo
01/02/14,http://twitter.com/hylianola/status/418822818512400384,hylianola,"When this process fails, acid damages the stomach's lining, creating #ulcers. Other reactions can create gas, pressure, and abnormal #stool.",7.275045,http://twitter.com/Hylianola/status/418822818512400384,http://twitter.com/hylianola
01/02/14,http://twitter.com/healthysecrect/status/418855361198575616,healthysecrect,#ulcers How to treat ulcers naturally http://t.co/EhDlgWe2YX,11.755084,http://twitter.com/healthysecrect/status/418855361198575616,http://twitter.com/healthysecrect
01/02/14,http://twitter.com/bealangton/status/418876286954901505,bealangton,Just wonna eat but my mouth's in bits #ulcers,8.244393,http://twitter.com/bealangton/status/418876286954901505,http://twitter.com/bealangton
01/03/14,http://twitter.com/rifthiali/status/418937959358799872,rifthiali,RT @DhargaHerbals: For mouth #ulcers &amp; other ulcer conditions- just apply the latex of the raw #papaw on affected area. #herbalife,7.032734,http://twitter.com/RifthiAli/status/418937959358799872,http://twitter.com/rifthiali
01/03/14,http://twitter.com/sarerowles/status/418995327543169024,sarerowles,@KNicoleMaddux I hope this isn't a real question lol it eats holes in your stomach lining #ulcers,7.838187,http://twitter.com/SareRowles/status/418995327543169024,http://twitter.com/sarerowles
01/03/14,http://twitter.com/_mwheltz/status/419121550429016064,mgwheltz,My tongue is so sore! 😟 #ulcers,8.8946905,http://twitter.com/_mwheltz/status/419121550429016064,http://twitter.com/mgwheltz
01/03/14,http://twitter.com/hollymatthews/status/419216979074240512,hollymatthews,Photo: #ulcers!!! Ow! This is killing now. #stressed http://t.co/1Iz60KVel6,11.87872,http://twitter.com/hollymatthews/status/419216979074240512,http://twitter.com/hollymatthews
01/03/14,http://twitter.com/healthysecrect/status/419217826813968385,healthysecrect,#ulcers How to treat ulcers naturally http://t.co/EhDlgWe2YX,11.79364,http://twitter.com/healthysecrect/status/419217826813968385,http://twitter.com/healthysecrect
01/03/14,http://twitter.com/johnpfraser/status/419221714258915328,johnpfraser,“@hollymatthews: Photo: #ulcers!!! This is killing now http://t.co/AgMI2JOcra” OW!! Bless ya.. Quick apply for bonjela ad' #opportunistic xx,7.59086,http://twitter.com/JohnPFraser/status/419221714258915328,http://twitter.com/johnpfraser
01/04/14,http://twitter.com/j_wiebs/status/419332394739458048,j_wiebs,Gettin my moneys worth out of this #pip.  #mizzou #tOSU #ulcers,11.018793,http://twitter.com/J_Wiebs/status/419332394739458048,http://twitter.com/j_wiebs
01/04/14,http://twitter.com/bagustore/status/419425012420837376,bagustore,"Do you know ""Petai"" helps on #Depression, #Stress, #Overweight, #Ulcers &amp; #Eyes ? http://t.co/rxMTZcU4EU http://t.co/jl9Tu4DHh8",7.3499765,http://twitter.com/bagustore/status/419425012420837376,http://twitter.com/bagustore
01/04/14,http://twitter.com/craigamaxwell/status/419484833073864704,craigamaxwell,Could Hidden H. Pylori Infection be Making You Sick?: http://t.co/gA1iXKyBkv #hpylori #ulcers Please RT,7.48252,http://twitter.com/CraigAMaxwell/status/419484833073864704,http://twitter.com/craigamaxwell
01/04/14,http://twitter.com/primary_immune/status/419514650414166016,primary_immune,"H. pylori (#Helicobacter #pylori) Gram-negative, #microaerophilic #bacterium responsible for 80% of stomach #ulcers http://t.co/fQHiKuLQ8X",6.8433776,http://twitter.com/Primary_Immune/status/419514650414166016,http://twitter.com/primary_immune
01/04/14,http://twitter.com/johnny_weed/status/419519093780119552,johnny_weed,#Heal and #Soothe #Stomach #Ulcers without #Mainstream #Drugs http://t.co/gsugN36pKy via @HealthRanger,7.450684,http://twitter.com/johnny_weed/status/419519093780119552,http://twitter.com/johnny_weed
01/04/14,http://twitter.com/savvysurvivor/status/419547786296979456,savvysurvivor,13 Ailments Caused by Lack of Water http://t.co/49bvhP1SYu #fatigue #obesity #constipation #ulcers #Rheumatism,7.4128757,http://twitter.com/SavvySurvivor/status/419547786296979456,http://twitter.com/savvysurvivor
