firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/thinktechhi/status/418178004892672000,thinktechhi,@thinktechhi #healthcareinhi #onair @SenJoshGreen #childhoodobesity #keikihealth,7.253005,http://twitter.com/thinktechhi/status/418178004892672000,http://twitter.com/thinktechhi
01/01/14,http://twitter.com/drkatalenas/status/418189221707272192,drkatalenas,12 Monthly New Year's Resolutions - #childhoodobesity http://t.co/Qd8sDGYIb3,7.8870635,http://twitter.com/DrKatalenas/status/418189221707272192,http://twitter.com/drkatalenas
01/01/14,http://twitter.com/thugfruit/status/418217252400287744,thugfruit,"@ConwayShow  Class of '14 will be ""more lean"" #childhoodobesity #LAisjudgy #mmmmpie",7.534327,http://twitter.com/thugfruit/status/418217252400287744,http://twitter.com/thugfruit
01/01/14,http://twitter.com/mrmicahali/status/418228964738334720,mrmicahali,"Congrats @roadtorhode for biking 4,197 miles solo across US to raise $25K to end #childhoodobesity @CSHC1 @DonKnabe @coopmike48 @MICRAworks",6.8519444,http://twitter.com/mrmicahali/status/418228964738334720,http://twitter.com/mrmicahali
01/01/14,http://twitter.com/drkatalenas/status/418249655185465344,drkatalenas,Ask Dr: K: What Does a Healthy Diet for Children Look Like? - #childhoodobesity http://t.co/nAkRnmEx4C,7.5084925,http://twitter.com/DrKatalenas/status/418249655185465344,http://twitter.com/drkatalenas
01/01/14,http://twitter.com/drkatalenas/status/418372226744721408,drkatalenas,Change is Happening! US Obesity Rates Finally Starting to Drop - #childhoodobesity http://t.co/UAqd7gpOJw,7.784194,http://twitter.com/DrKatalenas/status/418372226744721408,http://twitter.com/drkatalenas
01/01/14,http://twitter.com/voices4hk/status/418412274890858496,voices4hk,We'll be sharing our six #resolutions for 2014 throughout the day. We'd love to hear your #childhoodobesity goals for the #newyear!,7.6683984,http://twitter.com/Voices4HK/status/418412274890858496,http://twitter.com/voices4hk
01/01/14,http://twitter.com/drkatalenas/status/418432758789050368,drkatalenas,Ask Dr. K: How Can Parents Take Action Against Childhood Obesity? - #childhoodobesity http://t.co/lQxTj0NsOR,7.436969,http://twitter.com/DrKatalenas/status/418432758789050368,http://twitter.com/drkatalenas
01/01/14,http://twitter.com/drkatalenas/status/418493988128030721,drkatalenas,12 Monthly New Year's Resolutions - #childhoodobesity http://t.co/Qd8sDGYIb3,7.9053073,http://twitter.com/DrKatalenas/status/418493988128030721,http://twitter.com/drkatalenas
01/02/14,http://twitter.com/voices4hk/status/418554897353961472,voices4hk,#HappyNewYear from @Voices4HK! Visit us at http://t.co/phtWwJyYkP to find out how you can help reduce #childhoodobesity in 2014!,7.710136,http://twitter.com/Voices4HK/status/418554897353961472,http://twitter.com/voices4hk
