firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/kayrey89/status/418474842380185600,kayrey89,Numbers are looking awesome for 2014! #gestationaldiabetes,8.563419,http://twitter.com/KayRey89/status/418474842380185600,http://twitter.com/kayrey89
01/02/14,http://twitter.com/notblessedmama/status/418849885224316928,notblessedmama,At the midwife. Taking bets on if I'll cry or not. Goddamn #pregnancyhormones and #gestationaldiabetes,11.011137,http://twitter.com/NotBlessedMama/status/418849885224316928,http://twitter.com/notblessedmama
01/03/14,http://twitter.com/elizabethskeens/status/418928529519435777,elizabethskeens,The fun begins tomorrow. #pregnancy #gestationaldiabetes #sucks http://t.co/sHLSf87Deg,8.271631,http://twitter.com/ElizabethSkeens/status/418928529519435777,http://twitter.com/elizabethskeens
01/03/14,http://twitter.com/lindsaykgill/status/418929468464697344,lindsaykgill,Did you miss my post on #gestationaldiabetes ? http://t.co/rmA1GQTvJK,8.122029,http://twitter.com/lindsaykgill/status/418929468464697344,http://twitter.com/lindsaykgill
01/03/14,http://twitter.com/pcosmommy/status/419113673354117120,pcosmommy,Finally meeting with new obgyn today. Finding out glucose results. Please no #gestationaldiabetes!!!!!! #pcos,7.7685657,http://twitter.com/PCOSMommy/status/419113673354117120,http://twitter.com/pcosmommy
01/03/14,http://twitter.com/sheliamaia/status/419197677931220993,sheliamaia,"after my nausea ends, my midwife wants me to eat as though I have #gestationaldiabetes. just to be safe. it'll be good but hard.",7.8959494,http://twitter.com/sheliamaia/status/419197677931220993,http://twitter.com/sheliamaia
01/03/14,http://twitter.com/sheliamaia/status/419198090134831104,sheliamaia,thankfully my #gestationaldiabetes was borderline w/ Elsie. so diet control worked well. I hope that is the case this time.,7.836411,http://twitter.com/sheliamaia/status/419198090134831104,http://twitter.com/sheliamaia
01/04/14,http://twitter.com/storybookerin/status/419555390913654785,storybookerin,My bumpdate! http://t.co/wktbuH5lDy #fitpregnancy #GD #girlsgonesporty #sweatpink #gestationaldiabetes,7.3897376,http://twitter.com/StorybookErin/status/419555390913654785,http://twitter.com/storybookerin
01/06/14,http://twitter.com/usmle_ckhints/status/419987408826793984,usmle_ckhints,Screening for #gestationaldiabetes should be performed in all pregnant women.,9.083132,http://twitter.com/USMLE_CKHints/status/419987408826793984,http://twitter.com/usmle_ckhints
01/06/14,http://twitter.com/usmle_ckhints/status/419987512086384641,usmle_ckhints,#gestationaldiabetes The one hour 50 gram oral glucose tolerance test (OGTT) is used as the initial screening test.,8.414399,http://twitter.com/USMLE_CKHints/status/419987512086384641,http://twitter.com/usmle_ckhints
01/06/14,http://twitter.com/elizabethskeens/status/420003973177675776,elizabethskeens,Spaghetti squash bake for dinner. One of the best low-carb meals I've had so far! #gestationaldiabetes #pregnancy,7.4688244,http://twitter.com/ElizabethSkeens/status/420003973177675776,http://twitter.com/elizabethskeens
01/06/14,http://twitter.com/chrissykd13/status/420063968174960642,chrissykd13,RT @USMLE_CKHints: #gestationaldiabetes The one hour 50 gram oral glucose tolerance test (OGTT) is used as the initial screening test.,7.3499765,http://twitter.com/ChrissyKD13/status/420063968174960642,http://twitter.com/chrissykd13
01/06/14,http://twitter.com/chrissykd13/status/420063978761371648,chrissykd13,RT @USMLE_CKHints: Screening for #gestationaldiabetes should be performed in all pregnant women.,7.8926897,http://twitter.com/ChrissyKD13/status/420063978761371648,http://twitter.com/chrissykd13
01/07/14,http://twitter.com/chandaracreates/status/420587936405815297,chandaracreates,"Sharing my story with #gestationaldiabetes and this warm roasted salad of #brusselsprouts, pine nuts,… http://t.co/gQg0OmvzRt",7.781675,http://twitter.com/chandaracreates/status/420587936405815297,http://twitter.com/chandaracreates
01/08/14,http://twitter.com/cctrials/status/420929091106131969,cctrials,Latest #ISRCTN: Management of Mild #GestationalDiabetes Mellitus http://t.co/yZXSfCaKRj @CMFTNHS,7.75017,http://twitter.com/CCTrials/status/420929091106131969,http://twitter.com/cctrials
