firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/drjeda/status/418236904748752896,drjeda,More about us: https://t.co/yw1oebe4TN #hypothyroidism,8.991708,http://twitter.com/DrJeda/status/418236904748752896,http://twitter.com/drjeda
01/01/14,http://twitter.com/drjeda/status/418268802950770688,drjeda,What is Autoimmune Thyroid Disease? http://t.co/iCPmqCgr35  #hypothyroidism,7.7351103,http://twitter.com/DrJeda/status/418268802950770688,http://twitter.com/drjeda
01/01/14,http://twitter.com/pcoscocoon/status/418330723763109888,pcoscocoon,"Benefits of #GreenTea 
# Pcos
#diabetes
#hypothyroidism http://t.co/W26zb1PCOJ",8.695185,http://twitter.com/pcoscocoon/status/418330723763109888,http://twitter.com/pcoscocoon
01/01/14,http://twitter.com/dailyrx/status/418343375306104832,dailyrx,Is #hypothyroidism connected to cognitive impairment? → http://t.co/2EvYsv8OFz http://t.co/96RA9Zp23F,8.6448555,http://twitter.com/dailyRx/status/418343375306104832,http://twitter.com/dailyrx
01/01/14,http://twitter.com/1800oncologist/status/418343618974584832,1800oncologist,Is #hypothyroidism connected to cognitive impairment? → http://t.co/lW4vZnS2f3 https://t.co/bYUmxjuPlu,7.8470783,http://twitter.com/1800Oncologist/status/418343618974584832,http://twitter.com/1800oncologist
01/01/14,http://twitter.com/remedylifestyle/status/418343909337481216,remedylifestyle,"8 Natural Cures For Hypothyroidism http://t.co/9eSzqTGQZq 
#hypothyroidism #hypothyroidismcures http://t.co/zNHlyC7feH",7.825676,http://twitter.com/remedylifestyle/status/418343909337481216,http://twitter.com/remedylifestyle
01/01/14,http://twitter.com/drjeda/status/418416425238151168,drjeda,Traditional Chinese Medicine for Natural Thyroid Health http://t.co/6GpTZIXAAk  #hypothyroidism,8.107396,http://twitter.com/DrJeda/status/418416425238151168,http://twitter.com/drjeda
01/01/14,http://twitter.com/drjeda/status/418485471585370112,drjeda,Do you have an underactive Thyroid? http://t.co/nV4P1J4csa #hypothyroidism #health,7.6788316,http://twitter.com/DrJeda/status/418485471585370112,http://twitter.com/drjeda
01/01/14,http://twitter.com/hypothyroidism_/status/418491793861136384,hypothyroidism_,Hypothyroidism Exercise: Learn Why 99% of People Are Unknowingly Damaging Their Thyroid and Me... http://t.co/UZksq2zwNf #Hypothyroidism,7.4516735,http://twitter.com/Hypothyroidism_/status/418491793861136384,http://twitter.com/hypothyroidism_
01/02/14,http://twitter.com/misty_2u/status/418535155150880768,misty_2u,@DrDawnHarper @streamlinesurg @pixiedoctor may never have the perfect body #lipoedema #lymphoedema #hypothyroidism but may be a perfect pear,6.9506993,http://twitter.com/misty_2u/status/418535155150880768,http://twitter.com/misty_2u
01/02/14,http://twitter.com/drjeda/status/418555712227115009,drjeda,10 signs you might have an underactive thyroid http://t.co/5Z2pqTdHo2 #hypothyroidism,7.9540963,http://twitter.com/DrJeda/status/418555712227115009,http://twitter.com/drjeda
01/02/14,http://twitter.com/drjeda/status/418613256001839104,drjeda,Using Chinese medicine to treat thyroid problems naturally. http://t.co/FphFc27Uqr #hypothyroidism,8.225057,http://twitter.com/DrJeda/status/418613256001839104,http://twitter.com/drjeda
01/02/14,http://twitter.com/shelby_ham/status/418657525852958720,shelby_ham,I need some #hashimotos #hypothyroidism advice! And also advice on how to tell my doctor this dose isn't enough! #GettingOnTrackFor2014,7.444885,http://twitter.com/shelby_ham/status/418657525852958720,http://twitter.com/shelby_ham
