firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/insightsbs/status/418177754043920385,insightsbs,Happy New Year! Please have a safe and relaxing holiday. We’ll be back on your screens soon http://t.co/doEmBfa1WN #insightsbs,11.592023,http://twitter.com/insightSBS/status/418177754043920385,http://twitter.com/insightsbs
01/05/14,http://twitter.com/danny_cent/status/419945043768532992,danny_cent,Benatia is a good defender. #insightsbs,8.677647,http://twitter.com/Danny_Cent/status/419945043768532992,http://twitter.com/danny_cent
01/09/14,http://twitter.com/seoexpert_amit/status/421253947383218176,molliebusta,"100 #SEO #tips and #Internet #marketing #insightsbs 
http://t.co/Qh7e594hKn

by @bruceclay @BruceClayIndia @BruceClayInc",8.194508,http://twitter.com/seoexpert_amit/status/421253947383218176,http://twitter.com/molliebusta
01/09/14,http://twitter.com/laurieshan/status/421305626481160192,laurieshan,"RT @seoexpert_amit: 100 #SEO #tips and #Internet #marketing #insightsbs 
http://t.co/Qh7e594hKn

by @bruceclay @BruceClayIndia @BruceClayInc",7.190626,http://twitter.com/laurieshan/status/421305626481160192,http://twitter.com/laurieshan
01/12/14,http://twitter.com/insightsbs/status/422499772000264192,insightsbs,How do feel about the death of former Israeli prime minister Ariel Sharon? http://t.co/YnS06mB2Ij #insightsbs,11.124079,http://twitter.com/insightSBS/status/422499772000264192,http://twitter.com/insightsbs
01/13/14,http://twitter.com/dricbeaver/status/422879462351306753,dricbeaver,@insightSBS well getting a tv set dropped on your nuts would be a bit of a passion killer #sbsinsight #insightsbs,7.86961,http://twitter.com/dricbeaver/status/422879462351306753,http://twitter.com/dricbeaver
01/14/14,http://twitter.com/franksting/status/422882889735614464,franksting,http://t.co/BFd7GTsUvO RT @DrDavidLey: #insightsbs We are Addicted to using term “addiction” - http://t.co/D0jEsC1ceU,12.188095,http://twitter.com/franksting/status/422882889735614464,http://twitter.com/franksting
01/14/14,http://twitter.com/drdavidley/status/422886001963315200,drdavidley,RT @franksting: http://t.co/BFd7GTsUvO RT @DrDavidLey: #insightsbs We are Addicted to using term “addiction” - http://t.co/D0jEsC1ceU,7.8432803,http://twitter.com/DrDavidLey/status/422886001963315200,http://twitter.com/drdavidley
01/14/14,http://twitter.com/lilz01/status/422921350966034432,lilz01,#insightsbs #theprojecttv Why hasn't anyone ever come out to condemn this?  #terrorism http://t.co/YlNKFiOUlS,7.759614,http://twitter.com/lilz01/status/422921350966034432,http://twitter.com/lilz01
01/14/14,http://twitter.com/insightsbs/status/423229389828931584,insightsbs,Scott Morrison scraps weekly briefings for press conferences on 'needs basis' http://t.co/viK7ADXDnP Thoughts on this decision? #insightsbs,11.941105,http://twitter.com/insightSBS/status/423229389828931584,http://twitter.com/insightsbs
