firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/02/14,http://twitter.com/sheysacs/status/418545690529128448,sheysacs,y la #alergia regresa a mi ahhhhhhhhhhh U_U,8.454712,http://twitter.com/SheySaCs/status/418545690529128448,http://twitter.com/sheysacs
01/02/14,http://twitter.com/harumi_ry/status/418599186498482176,harumi_ry,#Alergia :C,12.247842,http://twitter.com/Harumi_RY/status/418599186498482176,http://twitter.com/harumi_ry
01/03/14,http://twitter.com/paodiazp/status/418917088284393473,paodiazp,#alergia :-(,8.342056,http://twitter.com/PAODIAZP/status/418917088284393473,http://twitter.com/paodiazp
01/03/14,http://twitter.com/justme_yoyo/status/418956794242035712,justme_yoyo,D: #alergia!!!,8.940097,http://twitter.com/justme_yoyo/status/418956794242035712,http://twitter.com/justme_yoyo
01/03/14,http://twitter.com/kevbrightside/status/419016412007759872,kevbrightside,Digo #alergia,8.93541,http://twitter.com/KevBrightside/status/419016412007759872,http://twitter.com/kevbrightside
01/04/14,http://twitter.com/meiry_luz/status/419453449164431360,meiry_luz,#Alergia,8.988179,http://twitter.com/meiry_luz/status/419453449164431360,http://twitter.com/meiry_luz
01/04/14,http://twitter.com/fiore180698/status/419541429099450368,fiore180698,#Alergia sbhahahajabdbxhsnaaaddx :@,8.308462,http://twitter.com/Fiore180698/status/419541429099450368,http://twitter.com/fiore180698
01/05/14,http://twitter.com/fabi_morales66/status/419643963402768384,fabi_morales66,#alergia..! :&amp;,8.283826,http://twitter.com/Fabi_Morales66/status/419643963402768384,http://twitter.com/fabi_morales66
01/05/14,http://twitter.com/olhardediamant/status/419647645163220992,olhardediamant,Rihanna na night. #riri #rihanna #party #cat #cute #alergia http://t.co/2h6eE45ZGZ,7.7837844,http://twitter.com/olhardediamant/status/419647645163220992,http://twitter.com/olhardediamant
01/05/14,http://twitter.com/harumi85/status/419859794754039808,harumi85,#alergia 😔,8.93541,http://twitter.com/harumi85/status/419859794754039808,http://twitter.com/harumi85
01/05/14,http://twitter.com/yamilesofia/status/419892868149280768,yamilesofia,#Alergia,8.979046,http://twitter.com/YamileSofia/status/419892868149280768,http://twitter.com/yamilesofia
01/06/14,http://twitter.com/biannecarol1/status/420017651172515840,biannecarol1,#Alergia,8.933221,http://twitter.com/BianneCarol1/status/420017651172515840,http://twitter.com/biannecarol1
01/06/14,http://twitter.com/21julyferrero/status/420296865515839489,21julyferrero,#Alergia,8.933221,http://twitter.com/21JULYFERRERO/status/420296865515839489,http://twitter.com/21julyferrero
01/06/14,http://twitter.com/carolfajardin/status/420326635435728896,carolfajardin,#alergia  Vete !,8.940097,http://twitter.com/CarolFajardin/status/420326635435728896,http://twitter.com/carolfajardin
01/07/14,http://twitter.com/leoguede_s/status/420380890318258176,leoguede_s,#Dor #Alergia,8.754249,http://twitter.com/LeoGuede_s/status/420380890318258176,http://twitter.com/leoguede_s
01/07/14,http://twitter.com/leoguede_s/status/420380949004959744,leoguede_s,#Dor #Alergia =/,8.754249,http://twitter.com/LeoGuede_s/status/420380949004959744,http://twitter.com/leoguede_s
01/08/14,http://twitter.com/ariasomar/status/420720313018875904,ariasomar,#me #nofilter #sinfiltro #alergia #rinitis #narizroja #rodolfoelreno #cold #frio #dermatitis #instapic… http://t.co/YSlzYQHipF,10.065858,http://twitter.com/AriasOmar/status/420720313018875904,http://twitter.com/ariasomar
01/08/14,http://twitter.com/rodrim10/status/420775739135242240,rodrim10,#Alergia,9.016434,http://twitter.com/RodriM10/status/420775739135242240,http://twitter.com/rodrim10
01/08/14,http://twitter.com/juanvirgolini/status/420938074307448832,juanvirgolini,#Alergia -.-,8.268435,http://twitter.com/juanvirgolini/status/420938074307448832,http://twitter.com/juanvirgolini
01/08/14,http://twitter.com/tamiisol/status/421005816812929024,tamiisol,#Alergia mode on :/,9.016434,http://twitter.com/TamiiSol/status/421005816812929024,http://twitter.com/tamiisol
01/08/14,http://twitter.com/eveelinl/status/421052936509091840,eveelinl,Muriendome ... #Alergia,8.890314,http://twitter.com/EveelinL/status/421052936509091840,http://twitter.com/eveelinl
01/09/14,http://twitter.com/katyrachellrose/status/421106187044528129,katyrachellrose,#Alergia:(,8.360163,http://twitter.com/KatyRachellRose/status/421106187044528129,http://twitter.com/katyrachellrose
01/09/14,http://twitter.com/july_espino/status/421135924198899712,july_espino,:'( #Alergia :&amp;,8.360163,http://twitter.com/July_Espino/status/421135924198899712,http://twitter.com/july_espino
01/09/14,http://twitter.com/aylencallejo/status/421267045737828352,aylencallejo,#Alergia #Puta,8.754249,http://twitter.com/Aylencallejo/status/421267045737828352,http://twitter.com/aylencallejo
01/09/14,http://twitter.com/massiels_c/status/421304777104822272,massiels_c,#Alergia:(,8.330365,http://twitter.com/MassielS_C/status/421304777104822272,http://twitter.com/massiels_c
01/09/14,http://twitter.com/gravasq/status/421324883134791680,gravasq,#Malestar #Alergia :(,7.9585414,http://twitter.com/gravasq/status/421324883134791680,http://twitter.com/gravasq
01/09/14,http://twitter.com/edgardandueza7/status/421358700469563392,edgardandueza7,#feel sick #alergia #uhoh,8.360692,http://twitter.com/edgardandueza7/status/421358700469563392,http://twitter.com/edgardandueza7
01/09/14,http://twitter.com/giigegnzlz/status/421384061471313920,giigegnzlz,#alergia :'(,8.964733,http://twitter.com/GiigeGnzlz/status/421384061471313920,http://twitter.com/giigegnzlz
01/10/14,http://twitter.com/sindy_iglesias/status/421438616611872768,sindy_iglesias,#sick #alergia #grip :s,8.337598,http://twitter.com/sindy_iglesias/status/421438616611872768,http://twitter.com/sindy_iglesias
01/10/14,http://twitter.com/jedefer/status/421461977722912768,jedefer,#WEBCAM #LUIS #ALERGIA #AMOR,8.130076,http://twitter.com/jedefer/status/421461977722912768,http://twitter.com/jedefer
01/10/14,http://twitter.com/harumi85/status/421667347725037568,harumi85,#alergia 😔,9.016434,http://twitter.com/harumi85/status/421667347725037568,http://twitter.com/harumi85
01/10/14,http://twitter.com/caro_301/status/421708920735154177,caro_301,Que moleeeesssto! #alergia #on,8.188308,http://twitter.com/Caro_301/status/421708920735154177,http://twitter.com/caro_301
01/10/14,http://twitter.com/andrusarmiento/status/421750479396540416,andrusarmiento,#alergia,8.964733,http://twitter.com/AndruSarmiento/status/421750479396540416,http://twitter.com/andrusarmiento
01/10/14,http://twitter.com/jorgepernia29/status/421764987976441856,jorgepernia29,#alergia,8.924705,http://twitter.com/jorgepernia29/status/421764987976441856,http://twitter.com/jorgepernia29
01/11/14,http://twitter.com/peque_olvera/status/421907357392990208,peque_olvera,#Alergia #ModeON 😷😷😷😷,8.805949,http://twitter.com/peque_olvera/status/421907357392990208,http://twitter.com/peque_olvera
01/11/14,http://twitter.com/ariasdidi/status/422071982243737600,ariasdidi,#Alergia :s,8.940097,http://twitter.com/ariasdidi/status/422071982243737600,http://twitter.com/ariasdidi
01/12/14,http://twitter.com/jejomagu/status/422231675511529472,jejomagu,#Alergia #ModeOn :(,8.105506,http://twitter.com/Jejomagu/status/422231675511529472,http://twitter.com/jejomagu
01/12/14,http://twitter.com/ariisberenguel/status/422395600873594880,ariisberenguel,#alergia ¬¬,8.979046,http://twitter.com/AriisBerenguel/status/422395600873594880,http://twitter.com/ariisberenguel
01/12/14,http://twitter.com/milyaltahonam/status/422417160221491200,milyaltahonam,#Alergia :s,8.979046,http://twitter.com/milyaltahonam/status/422417160221491200,http://twitter.com/milyaltahonam
01/12/14,http://twitter.com/valeri_kmate/status/422477011752210433,valeri_kmate,#Alergia ☹,8.988179,http://twitter.com/valeri_kmate/status/422477011752210433,http://twitter.com/valeri_kmate
01/13/14,http://twitter.com/sofi_agostina/status/422784908835442688,sofi_agostina,#resfrio #alergia #fiebre #aspirinaC #queasco  #culpadelaire http://t.co/2ufiANtzgT,7.290858,http://twitter.com/Sofi_agostina/status/422784908835442688,http://twitter.com/sofi_agostina
01/14/14,http://twitter.com/juliaaklitzke/status/423061559192350720,juliaaklitzke,#alergia #atacando http://t.co/Z6MwbDGJfU,8.445715,http://twitter.com/Juliaaklitzke/status/423061559192350720,http://twitter.com/juliaaklitzke
01/14/14,http://twitter.com/karlicortes/status/423114512183463936,karlicortes,@__claudi_ @yosoyexshi jajajajajajaja #salmuera #alergia jajajaja,7.556262,http://twitter.com/karlicortes/status/423114512183463936,http://twitter.com/karlicortes
01/15/14,http://twitter.com/jennimade/status/423270514673459200,jennimade,Bendita #Alergia -_-,8.178159,http://twitter.com/jenniMade/status/423270514673459200,http://twitter.com/jennimade
01/15/14,http://twitter.com/natchelemartins/status/423514829664448513,natchelemartins,#Alergia' :(,8.360163,http://twitter.com/NatcheleMartins/status/423514829664448513,http://twitter.com/natchelemartins
