firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/myelomabeacon/status/418173561866448896,myelomabeacon,"In our final #myeloma patient column of 2013, Karen Crowley discusses the joy of forgetting about myeloma: http://t.co/FNRIHr19xy",11.950302,http://twitter.com/myelomabeacon/status/418173561866448896,http://twitter.com/myelomabeacon
01/01/14,http://twitter.com/suhayes/status/418236478817579008,suhayes,"RT @myelomabeacon: In our final #myeloma patient column of 2013, Karen Crowley discusses the joy of forgetting about myeloma: http://t.co/F…",7.218849,http://twitter.com/SuHayes/status/418236478817579008,http://twitter.com/suhayes
01/01/14,http://twitter.com/myelomacure/status/418255986538070016,myelomacure,#MultipleMyeloma #Myeloma #News is out! http://t.co/f9Q5gJhALC Stories via @CTPharmacists @ChavaSans,7.286864,http://twitter.com/MyelomaCure/status/418255986538070016,http://twitter.com/myelomacure
01/01/14,http://twitter.com/suhayes/status/418259874838228992,suhayes,RT @HelpWithMyeloma: #Myeloma - #Panobinostat helps 50% of relapsed patients in new #Dana-Farber study #MultipleMyeloma Blog http://t.co/WO…,6.5838685,http://twitter.com/SuHayes/status/418259874838228992,http://twitter.com/suhayes
01/01/14,http://twitter.com/suhayes/status/418260697114763264,suhayes,RT @myelomabeacon: Today's article reviews a Phase 2 study of #panobinostat-Velcade-dexamethasone for heavily pretreated #myeloma. http://t…,6.675488,http://twitter.com/SuHayes/status/418260697114763264,http://twitter.com/suhayes
01/01/14,http://twitter.com/myelomafighter/status/418288290555367425,myelomafighter,"Hey..#Myeloma, It's 2014....Made it!....Booooyaaaaa!",12.772473,http://twitter.com/MyelomaFighter/status/418288290555367425,http://twitter.com/myelomafighter
01/01/14,http://twitter.com/helpwithmyeloma/status/418364189829120000,helpwithmyeloma,#Myeloma - Hope for a cure: Tom’s allo transplant journey (Part Two) #MultipleMyeloma Blog http://t.co/tYW9qZaElM,7.216224,http://twitter.com/HelpWithMyeloma/status/418364189829120000,http://twitter.com/helpwithmyeloma
01/01/14,http://twitter.com/bradcoustan/status/418378128550285312,bradcoustan,"RT @MyelomaFighter: Hey..#Myeloma, It's 2014....Made it!....Booooyaaaaa!",7.5696225,http://twitter.com/bradcoustan/status/418378128550285312,http://twitter.com/bradcoustan
01/01/14,http://twitter.com/eazeetrade/status/418382020247449601,eazeetrade,"RT @MyelomaFighter: Hey..#Myeloma, It's 2014....Made it!....Booooyaaaaa!",7.5696225,http://twitter.com/Eazeetrade/status/418382020247449601,http://twitter.com/eazeetrade
01/01/14,http://twitter.com/mtmdphd/status/418405887448207360,mtmdphd,ID of Signif Barriers to Accrual to @theNCI Sponsored Multiple #Myeloma Clinical Trials - @mcccshine #ASH12 http://t.co/H61fqrfRby #mmsm,9.793167,http://twitter.com/mtmdphd/status/418405887448207360,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mtmdphd/status/418405922902654976,mtmdphd,Strategies to overcome barriers to accrual 2 @theNCI #myeloma clinical trials (NCI-MYSC AWG) - @mcccshine et al http://t.co/TgdERu3TmT #mmsm,10.903858,http://twitter.com/mtmdphd/status/418405922902654976,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mtmdphd/status/418405957161734144,mtmdphd,Educate Pts &amp; providers about new #myeloma clinical trials using social media - @mcccshine et al. #ASCO13 http://t.co/N97NA1PUBf #hcsm #mmsm,9.793167,http://twitter.com/mtmdphd/status/418405957161734144,http://twitter.com/mtmdphd
01/01/14,http://twitter.com/mrskurantowicz/status/418418777051922433,mrskurantowicz,@IMFmyeloma @SusieNovis @theMMRF @KathyGiusti here's to getting closer to a cure for #myeloma in #2014 #forjeffo #thankyou,8.848139,http://twitter.com/mrskurantowicz/status/418418777051922433,http://twitter.com/mrskurantowicz
01/01/14,http://twitter.com/myeloma_doc/status/418420314473631744,myeloma_doc,Polymorphism in proteasome subunit gene LMP2 associated with lower risk of developing #myeloma (but higher of AML)(http://t.co/LWvu8tcC3f).,10.868863,http://twitter.com/Myeloma_Doc/status/418420314473631744,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/sihonglobal/status/418420705295077378,sihonglobal,RT @Myeloma_Doc: Polymorphism in proteasome subunit gene LMP2 associated with lower risk of developing #myeloma (but higher of AML)(http://…,6.8634124,http://twitter.com/sihonglobal/status/418420705295077378,http://twitter.com/sihonglobal
01/01/14,http://twitter.com/myeloma_doc/status/418420801977602048,myeloma_doc,Melphalan resistance profile of 19 genes from cell line studies may help predict transplant outcomes in #myeloma  (http://t.co/zF9ywzfhG3).,11.2823515,http://twitter.com/Myeloma_Doc/status/418420801977602048,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/myeloma_doc/status/418420960195137536,myeloma_doc,#Myeloma clinical #trials at MD Anderson for patients with newly diagnosed disease: http://t.co/SBFVoZrG3S. Call 1-855-MYELOMA (toll-free).,9.807452,http://twitter.com/Myeloma_Doc/status/418420960195137536,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/myeloma_doc/status/418420984152997888,myeloma_doc,#Myeloma clinical #trials at MD Anderson for patients with relapsed and/or refractory disease: http://t.co/7JBwhEpWCG. Call 1-855-MYELOMA.,9.917449,http://twitter.com/Myeloma_Doc/status/418420984152997888,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/myeloma_doc/status/418421034597883905,myeloma_doc,Open trials for patients with newly diagnosed or relapsed and/or refractory #myeloma available through #SWOGOnc: http://t.co/UztPjev4Y1.,10.359675,http://twitter.com/Myeloma_Doc/status/418421034597883905,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/myeloma_doc/status/418421073256783872,myeloma_doc,Convenient way to screen patients for eligibility for #myeloma #trials at MD Anderson: e-mail questions to Myelomatrial@mdanderson.org,9.982322,http://twitter.com/Myeloma_Doc/status/418421073256783872,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/sihonglobal/status/418421300466819072,sihonglobal,RT @Myeloma_Doc: Melphalan resistance profile of 19 genes from cell line studies may help predict transplant outcomes in #myeloma  (http://…,7.1280265,http://twitter.com/sihonglobal/status/418421300466819072,http://twitter.com/sihonglobal
01/01/14,http://twitter.com/myeloma_doc/status/418422092007096320,myeloma_doc,Korean study: hyperdiploidy with 47-50 chromosomes may be adverse prognostic sign in #myeloma (vs. &gt;50 chromosomes)(http://t.co/HoFH8a7Hyg).,10.125863,http://twitter.com/Myeloma_Doc/status/418422092007096320,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/myeloma_doc/status/418422494047907841,myeloma_doc,"Houston VA study: 2nd cancers in #myeloma pts from immunologic, genetic, or environmental factors, not treatment (http://t.co/vMI8pT0Rno).",11.146353,http://twitter.com/Myeloma_Doc/status/418422494047907841,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/myeloma_doc/status/418423100112261121,myeloma_doc,"CNS #myeloma is an aggressive disease associated with high beta-2-m, LDH, and secondary plasma cell leukemia (http://t.co/sXqQpviRfp).",11.6534195,http://twitter.com/Myeloma_Doc/status/418423100112261121,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/myeloma_doc/status/418423216898441216,myeloma_doc,RT @mtmdphd: Strategies to overcome barriers to accrual 2 @theNCI #myeloma clinical trials (NCI-MYSC AWG) - @mcccshine et al http://t.co/Tg…,9.546575,http://twitter.com/Myeloma_Doc/status/418423216898441216,http://twitter.com/myeloma_doc
01/01/14,http://twitter.com/myeloma_doc/status/418423264411533312,myeloma_doc,"RT @MyelomaFighter: Hey..#Myeloma, It's 2014....Made it!....Booooyaaaaa!",10.737583,http://twitter.com/Myeloma_Doc/status/418423264411533312,http://twitter.com/myeloma_doc
