firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/brandilynne_12/status/418191696338227201,brandilynne_12,@Angeladurazo Thank you for following me. #RA #rheum #rheumatoidarthritis,7.953434,http://twitter.com/BrandiLynne_12/status/418191696338227201,http://twitter.com/brandilynne_12
01/01/14,http://twitter.com/pja_sha/status/418218143241105408,pja_sha,#RheumatoidArthritis #SelfEsteem #BodyImage #HumanBehavioralScience #Oxfordjournals #HashtagBerabisssssss #Weeeeeeeeeeeeeee,6.992919,http://twitter.com/pja_sha/status/418218143241105408,http://twitter.com/pja_sha
01/01/14,http://twitter.com/creakyjoints/status/418384332818882562,creakyjoints,Meet Policy Wonk Steve: http://t.co/sSf44NLeMN #rheum #arthritis #osteoarthritis #fibromyalgia #rheumatoidarthritis #chronicpain #gout,7.2210326,http://twitter.com/CreakyJoints/status/418384332818882562,http://twitter.com/creakyjoints
01/01/14,http://twitter.com/drd_esl_help/status/418384903966035968,drd_esl_help,≫Suffering from #RheumatoidArthritis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/YH4vCnQ2tN,7.15218,http://twitter.com/DrD_esl_help/status/418384903966035968,http://twitter.com/drd_esl_help
01/01/14,http://twitter.com/revdrdavidebiz/status/418384904217710593,revdrdavidebiz,≫Suffering from #RheumatoidArthritis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/7DhUb4DY8Q,7.2186127,http://twitter.com/revdrdavidebiz/status/418384904217710593,http://twitter.com/revdrdavidebiz
01/01/14,http://twitter.com/yeecep/status/418384905739845633,yeecep,≫Suffering from #RheumatoidArthritis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/9MK9rtH6ps,7.2186127,http://twitter.com/YEECEP/status/418384905739845633,http://twitter.com/yeecep
01/01/14,http://twitter.com/pastordavidew/status/418384904318357505,pastordavidew,≫Suffering from #RheumatoidArthritis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/E1ISuC2sNr,7.139102,http://twitter.com/PastorDavidEW/status/418384904318357505,http://twitter.com/pastordavidew
01/01/14,http://twitter.com/thewomenseye/status/418460829290610688,thewomenseye,".@schwabchristine sez, living with #rheumatoidarthritis has given her a new #purpose http://t.co/pHISIQa5YJ",7.849745,http://twitter.com/thewomenseye/status/418460829290610688,http://twitter.com/thewomenseye
01/01/14,http://twitter.com/d_docisinpain/status/418464361334599681,d_docisinpain,"I just found out that vertical ridges on nails are signs of certain diseases, including #rheumatoidarthritis. And I have them. #rheum",7.618678,http://twitter.com/d_docisINpain/status/418464361334599681,http://twitter.com/d_docisinpain
01/01/14,http://twitter.com/sandyran4/status/418466208447340544,sandyran4,People w/ #RheumatoidArthritis face double the risk of heart disease &amp; death - ways to reduce that risk: http://t.co/E33H5nrxJW  #video,7.4492784,http://twitter.com/SandyraN4/status/418466208447340544,http://twitter.com/sandyran4
01/01/14,http://twitter.com/artritis_tratam/status/418501929019244544,artritis_tratam,Finding the perfect arthritis relief product http://t.co/55H1iEETk7 #RheumatoidArthritis #arthritisreliefproduct,7.723018,http://twitter.com/artritis_tratam/status/418501929019244544,http://twitter.com/artritis_tratam
01/02/14,http://twitter.com/creakyjoints/status/418543685739900929,creakyjoints,Songstress Sylvia Walters on her #rheumatoidarthritis in Poet's Corner &amp; Artists Too:  http://t.co/TNfXZLaEg6 #rheum http://t.co/y2fnaKcLvq,9.322288,http://twitter.com/CreakyJoints/status/418543685739900929,http://twitter.com/creakyjoints
01/02/14,http://twitter.com/antiarthritis/status/418544663545798656,antiarthritis,RT @CreakyJoints: Songstress Sylvia Walters on her #rheumatoidarthritis in Poet's Corner &amp; Artists Too:  http://t.co/TNfXZLaEg6 #rheum http…,7.010307,http://twitter.com/antiarthritis/status/418544663545798656,http://twitter.com/antiarthritis
01/02/14,http://twitter.com/primary_immune/status/418546607852769280,primary_immune,#CanFite #BioPharma Oral #RheumatoidArthritis Drug CF101 Shows Promise in Early #ClinicalTrial http://t.co/JyhaYxBaKl …,7.1191354,http://twitter.com/Primary_Immune/status/418546607852769280,http://twitter.com/primary_immune
01/02/14,http://twitter.com/frodossweetie/status/418618924419141632,frodossweetie,RT @CreakyJoints: Songstress Sylvia Walters on her #rheumatoidarthritis in Poet's Corner &amp; Artists Too:  http://t.co/TNfXZLaEg6 #rheum http…,7.010307,http://twitter.com/frodossweetie/status/418618924419141632,http://twitter.com/frodossweetie
12/30/13,http://twitter.com/drsanjaygupta/status/417720848171401217,aor_health,RT @drsanjaygupta: People w/ #RheumatoidArthritis face double the risk of heart disease &amp; death - ways to reduce that risk: http://t.co/uJX…,12.837469,http://twitter.com/AOR_Health/status/418804099367591936,http://twitter.com/aor_health
01/02/14,http://twitter.com/drug_topics/status/418819019173408769,drug_topics,Study links intestinal bacteria to #RheumatoidArthritis. Details @thealmagest. http://t.co/nQnk7wy2H0,7.944086,http://twitter.com/Drug_Topics/status/418819019173408769,http://twitter.com/drug_topics
01/02/14,http://twitter.com/gatesconsult/status/418819858176823296,gatesconsult,RT @Drug_Topics: Study links intestinal bacteria to #RheumatoidArthritis. Details @thealmagest. http://t.co/EEdEOROgVP,7.488156,http://twitter.com/GatesConsult/status/418819858176823296,http://twitter.com/gatesconsult
01/02/14,http://twitter.com/in4mnation/status/418826565477076992,in4mnatn_health,"Besides #migraines, #FeverFew can help improve #RheumatoidArthritis, prevent #cancer and #HeartDisease http://t.co/ulOPnmvaAH",10.852719,http://twitter.com/In4mNation/status/418826565477076992,http://twitter.com/in4mnatn_health
01/02/14,http://twitter.com/artritis_tratam/status/418834131896635392,artritis_tratam,A Guide To Rheumatoid Arthritis http://t.co/r1Y4EV3ACS #RheumatoidArthritis #RheumatoidArthritisguide,7.835363,http://twitter.com/artritis_tratam/status/418834131896635392,http://twitter.com/artritis_tratam
01/02/14,http://twitter.com/sandyran4/status/418858857901727744,sandyran4,Finding the perfect arthritis relief product http://t.co/tgtU5jWkCm  #RheumatoidArthritis #arthritisreliefproduct,8.618867,http://twitter.com/SandyraN4/status/418858857901727744,http://twitter.com/sandyran4
01/02/14,http://twitter.com/jennberry84/status/418859299516190720,jennberry84,RT @SandyraN4: Finding the perfect arthritis relief product http://t.co/tgtU5jWkCm  #RheumatoidArthritis #arthritisreliefproduct,7.4859,http://twitter.com/jennberry84/status/418859299516190720,http://twitter.com/jennberry84
01/03/14,http://twitter.com/artritis_tratam/status/418894523276599296,artritis_tratam,Finding a Rheumatoid Arthritis Treatment http://t.co/wLieJ9Tfqe  #RheumatoidArthritis #RheumatoidArthritisTreatment,7.746382,http://twitter.com/artritis_tratam/status/418894523276599296,http://twitter.com/artritis_tratam
01/03/14,http://twitter.com/brandilynne_12/status/418899163250573313,brandilynne_12,Meds taken ✔️ Heated throw ✔️ Heating pad ✔️ Praying the pain goes away ✔️ #rheumatoidarthritis freakin #SUCKS #Rhuem #spoonielife #Spoonie,6.572129,http://twitter.com/BrandiLynne_12/status/418899163250573313,http://twitter.com/brandilynne_12
01/03/14,http://twitter.com/robin_shirley/status/418907044515966976,robin_shirley,Making healthier chicken fried rice and enjoying the snow #EastCoastNoreasterHercules #rheumatoidarthritis #autoimmune,7.530198,http://twitter.com/robin_shirley/status/418907044515966976,http://twitter.com/robin_shirley
01/03/14,http://twitter.com/creakykat/status/418911540344287232,creakykat,It's good to be back on the treadmill.  I CAN DO THIS!! #motionislotion #rheum #rheumatoidarthritis… http://t.co/mpOmGPOGFu,7.746382,http://twitter.com/CreakyKat/status/418911540344287232,http://twitter.com/creakykat
01/03/14,http://twitter.com/lkafle/status/418953785499594752,lkafle,RT @drsanjaygupta: People w/ #RheumatoidArthritis face double the risk of heart disease &amp; death - ways to reduce that risk: http://t.co/uJX…,7.0827293,http://twitter.com/lkafle/status/418953785499594752,http://twitter.com/lkafle
01/03/14,http://twitter.com/connorb211/status/418981482682925056,connorb211,@katrivera_ #RheumatoidArthritis,8.316752,http://twitter.com/connorb211/status/418981482682925056,http://twitter.com/connorb211
01/03/14,http://twitter.com/kai_medical/status/418989531241533440,kai_medical,"New genetic clues for rheumatoid arthritis 'cure'
http://t.co/bsRJUKRZty
#rheumatoidarthritis #DNA #geneticmapping",7.4218726,http://twitter.com/Kai_Medical/status/418989531241533440,http://twitter.com/kai_medical
01/03/14,http://twitter.com/pastordavidew/status/418996516012179456,pastordavidew,≫Suffering from #RheumatoidArthritis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/E1ISuC2sNr,7.1446037,http://twitter.com/PastorDavidEW/status/418996516012179456,http://twitter.com/pastordavidew
01/03/14,http://twitter.com/yeecep/status/418996518075772928,yeecep,≫Suffering from #RheumatoidArthritis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/cry8bGPA0M,7.1950264,http://twitter.com/YEECEP/status/418996518075772928,http://twitter.com/yeecep
01/03/14,http://twitter.com/drd_esl_help/status/418996520227471360,drd_esl_help,≫Suffering from #RheumatoidArthritis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/YH4vCnQ2tN,7.1659813,http://twitter.com/DrD_esl_help/status/418996520227471360,http://twitter.com/drd_esl_help
01/03/14,http://twitter.com/revdrdavidebiz/status/418996520902742016,revdrdavidebiz,≫Suffering from #RheumatoidArthritis? Get your #Telomere support from a #Telomerase #Activator ≫ http://t.co/7DhUb4DY8Q,7.1446037,http://twitter.com/revdrdavidebiz/status/418996520902742016,http://twitter.com/revdrdavidebiz
01/03/14,http://twitter.com/hilaryflint/status/419069750753251330,hilaryflint,If only weight loss surgery could be a miracle cure for #RheumatoidArthritis,11.39456,http://twitter.com/hilaryflint/status/419069750753251330,http://twitter.com/hilaryflint
01/03/14,http://twitter.com/lostinshannara/status/419113082623754240,lostinshannara,#Rheummy put me on #antibiotics again. #RheumatoidArthritis really makes life a #pain!,7.738107,http://twitter.com/lostinshannara/status/419113082623754240,http://twitter.com/lostinshannara
01/03/14,http://twitter.com/creakyjoints/status/419121000484057088,creakyjoints,'Poppy' pill could help to beat pain of #arthritis http://t.co/SRgRanod8Y #rheum #rheumatoidarthritis #chronicpain #osteoarthritis,9.432055,http://twitter.com/CreakyJoints/status/419121000484057088,http://twitter.com/creakyjoints
01/03/14,http://twitter.com/antiarthritis/status/419121461572681728,antiarthritis,RT @CreakyJoints: 'Poppy' pill could help to beat pain of #arthritis http://t.co/SRgRanod8Y #rheum #rheumatoidarthritis #chronicpain #osteo…,7.191992,http://twitter.com/antiarthritis/status/419121461572681728,http://twitter.com/antiarthritis
01/03/14,http://twitter.com/fridawrites/status/419125046079012864,fridawrites,RT @CreakyJoints: 'Poppy' pill could help to beat pain of #arthritis http://t.co/SRgRanod8Y #rheum #rheumatoidarthritis #chronicpain #osteo…,7.191992,http://twitter.com/fridawrites/status/419125046079012864,http://twitter.com/fridawrites
