firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/skintolivein/status/418329571046727681,skintolivein,"When #Chronic  Spontaneous #Urticaria  has negative effects on quality of life, it may include sleep deprivation http://t.co/j9bL2DzcVv",7.881088,http://twitter.com/skintolivein/status/418329571046727681,http://twitter.com/skintolivein
01/01/14,http://twitter.com/redfiddler/status/418482800094740480,redfiddler,I thought 50mg of cortisone would stop the itching. I was scratching half the night. It's horrible. I want it to stop. #urticaria,7.9011455,http://twitter.com/RedFiddler/status/418482800094740480,http://twitter.com/redfiddler
01/02/14,http://twitter.com/skintolivein/status/418758866986606592,skintolivein,Visit our YouTube page and hear what it’s like to live with chronic spontaneous #urticaria #skintolivein http://t.co/1g7KO0qRSj,7.8674226,http://twitter.com/skintolivein/status/418758866986606592,http://twitter.com/skintolivein
01/02/14,http://twitter.com/urticariahives/status/418873999884439553,urticariahives,Urticaria And Angioedema Treatment: The inside story on dr. gary m. levin's remarkable Hives... http://t.co/A3sKJnAqGG #Urticaria #Hives,7.3978343,http://twitter.com/UrticariaHives/status/418873999884439553,http://twitter.com/urticariahives
01/03/14,http://twitter.com/meetalishaikh/status/419128091009503232,meetalishaikh,RT @sneha11233: Find An Effective #Urticaria Treatment That Suits You http://t.co/YBE6PVhwMF,8.041929,http://twitter.com/meetalishaikh/status/419128091009503232,http://twitter.com/meetalishaikh
01/03/14,http://twitter.com/urticariahives/status/419239681910243328,urticariahives,Urticaria No More Official: What if there is an easy solution to your chronic hives and angioedema? http://t.co/QILgt7WtIK #Urticaria #Hives,7.4073224,http://twitter.com/UrticariaHives/status/419239681910243328,http://twitter.com/urticariahives
01/04/14,http://twitter.com/skintolivein/status/419514276228104192,skintolivein,Hear Jackie's story on living with #Chronic Spontaneous #Urticaria here #SkinToLiveIn http://t.co/U7MJHpfKNL,7.7076955,http://twitter.com/skintolivein/status/419514276228104192,http://twitter.com/skintolivein
01/04/14,http://twitter.com/urticariahives/status/419605893127233536,urticariahives,"Natural Urticaria Relief: A simple, effective and permanent Urticaria (Hives) remedy. http://t.co/EUUzcwU9yf #Urticaria #Hives",7.6372027,http://twitter.com/UrticariaHives/status/419605893127233536,http://twitter.com/urticariahives
01/06/14,http://twitter.com/allergenupdate/status/419983673749164032,allergenupdate,"Real-life experiences with omalizumab for the treatment of chronic #urticaria
 http://t.co/wnf9pIn8KN",7.728691,http://twitter.com/AllergenUpdate/status/419983673749164032,http://twitter.com/allergenupdate
01/07/14,http://twitter.com/skintolivein/status/420540672262041600,skintolivein,Want to know more about chronic spontaneous #urticaria? Visit the #SkinToLiveIn website to find out more http://t.co/uHR94CcALq,7.616606,http://twitter.com/skintolivein/status/420540672262041600,http://twitter.com/skintolivein
01/08/14,http://twitter.com/skintolivein/status/420870006017363968,skintolivein,Visit our YouTube page and hear what it’s like to live with chronic spontaneous #urticaria #skintolivein http://t.co/VdDDrIeCNh,7.8130198,http://twitter.com/skintolivein/status/420870006017363968,http://twitter.com/skintolivein
01/09/14,http://twitter.com/urticariahives/status/421071873649045504,urticariahives,Urticaria And Angioedema Treatment: The inside story on dr. gary m. levin's remarkable Hives... http://t.co/R7VnZKKB8E #Urticaria #Hives,7.3989024,http://twitter.com/UrticariaHives/status/421071873649045504,http://twitter.com/urticariahives
01/09/14,http://twitter.com/skintolivein/status/421234924705046528,skintolivein,"Did you know that unlike other conditions with hives, chronic spontaneous #urticaria has no known trigger.Find out morehttp://ow.ly/spyE4",7.3784075,http://twitter.com/skintolivein/status/421234924705046528,http://twitter.com/skintolivein
01/10/14,http://twitter.com/urticariahives/status/421436920816623617,urticariahives,Urticaria No More Official: What if there is an easy solution to your chronic hives and angioedema? http://t.co/y9LxXwcrne #Urticaria #Hives,7.3782697,http://twitter.com/UrticariaHives/status/421436920816623617,http://twitter.com/urticariahives
01/10/14,http://twitter.com/echoinsanity/status/421591009265721344,echoinsanity,"Yikes! #Urticaria returns out of nowhere after 10 months. Possible causes: stress, metal or shellfish allergy :( http://t.co/CngRQivTeD",7.560009,http://twitter.com/EchoInsanity/status/421591009265721344,http://twitter.com/echoinsanity
01/11/14,http://twitter.com/urticariahives/status/421803876719681536,urticariahives,Urticaria And Angioedema Treatment: The inside story on dr. gary m. levin's remarkable Hives... http://t.co/jowwKmgmOM #Urticaria #Hives,7.377191,http://twitter.com/UrticariaHives/status/421803876719681536,http://twitter.com/urticariahives
01/11/14,http://twitter.com/fgcastasus_19/status/421958088627740672,fgcastasus_19,"TF, Left right left. 👣 #urticaria",8.909473,http://twitter.com/fgcastasus_19/status/421958088627740672,http://twitter.com/fgcastasus_19
01/11/14,http://twitter.com/skintolivein/status/422035777569423360,skintolivein,#Chronic Spontaneous #Urticaria can affect people's quality of life. Find out more here: http://t.co/Ht871YElWc,8.041429,http://twitter.com/skintolivein/status/422035777569423360,http://twitter.com/skintolivein
01/12/14,http://twitter.com/urticariahives/status/422170098816663552,urticariahives,Get Rid of Hives: There is  a way of reversing the condition which causes Chronic Idiopathic... http://t.co/9VK2rcAZ7C #Urticaria #Hives,7.5601463,http://twitter.com/UrticariaHives/status/422170098816663552,http://twitter.com/urticariahives
01/12/14,http://twitter.com/skintolivein/status/422314648365719552,skintolivein,Visit our YouTube page and hear what it’s like to live with chronic spontaneous #urticaria #skintolivein http://t.co/qiQTph7Z2k,7.8130198,http://twitter.com/skintolivein/status/422314648365719552,http://twitter.com/skintolivein
01/12/14,http://twitter.com/skintolivein/status/422375054190845952,skintolivein,Not knowing when #Chronic Spontaneous #Urticaria will strike can have a huge impact on sufferers. Find out more here http://t.co/Ip5esuw8PW,7.8872423,http://twitter.com/skintolivein/status/422375054190845952,http://twitter.com/skintolivein
01/12/14,http://twitter.com/skintolivein/status/422412982279499776,skintolivein,We aim to raise awareness about #severe skin conditions like #Chronic Spontaneous #Urticaria . We all deserve #skintolivein,7.513001,http://twitter.com/skintolivein/status/422412982279499776,http://twitter.com/skintolivein
01/13/14,http://twitter.com/urticariahives/status/422535139525029888,urticariahives,Urticaria And Angioedema Treatment: The inside story on dr. gary m. levin's remarkable Hives... http://t.co/3kNdsOIsdZ #Urticaria #Hives,7.377191,http://twitter.com/UrticariaHives/status/422535139525029888,http://twitter.com/urticariahives
01/13/14,http://twitter.com/skintolivein/status/422745229855567872,skintolivein,Want to know more about the #itchy #hives which can be symptoms of #Chronic Spontaneous #Urticaria ? Find out more http://t.co/HIDPIkCFHa,7.5336337,http://twitter.com/skintolivein/status/422745229855567872,http://twitter.com/skintolivein
01/13/14,http://twitter.com/skintolivein/status/422782841345544192,skintolivein,Did you know that #Chronic Spontaneous #Urticaria can last anywhere from more than 6 weeks to years? http://t.co/WghDU57ASr,9.347686,http://twitter.com/skintolivein/status/422782841345544192,http://twitter.com/skintolivein
01/13/14,http://twitter.com/isfcharity/status/422833186788614144,isfcharity,RT @skintolivein: Did you know that #Chronic Spontaneous #Urticaria can last anywhere from more than 6 weeks to years? http://t.co/WghDU57A…,7.512793,http://twitter.com/ISFcharity/status/422833186788614144,http://twitter.com/isfcharity
01/14/14,http://twitter.com/urticariahives/status/422899779081732096,urticariahives,"Natural Urticaria Relief: A simple, effective and permanent Urticaria (Hives) remedy. http://t.co/Cpd4D6Vf3b #Urticaria #Hives",7.608288,http://twitter.com/UrticariaHives/status/422899779081732096,http://twitter.com/urticariahives
01/14/14,http://twitter.com/skintolivein/status/423039711566123009,skintolivein,We want people with #chronic #spontaneous #urticaria to be truly comfortable in the skin they live in #SkinToLiveIn http://t.co/5l4wDTs1w3,7.716515,http://twitter.com/skintolivein/status/423039711566123009,http://twitter.com/skintolivein
01/15/14,http://twitter.com/urticariahives/status/423265836468424704,urticariahives,"Natural Urticaria Relief: A simple, effective and permanent Urticaria (Hives) remedy. http://t.co/W9j09N4PwL #Urticaria #Hives",7.6070714,http://twitter.com/UrticariaHives/status/423265836468424704,http://twitter.com/urticariahives
01/15/14,http://twitter.com/skintolivein/status/423424496117493760,skintolivein,Our aim is to raise awareness about severe skin conditions like #ChronicSpontaneous #Urticaria &amp; #psoriasis.We should all have #skintolivein,7.22015,http://twitter.com/skintolivein/status/423424496117493760,http://twitter.com/skintolivein
01/15/14,http://twitter.com/leafcure/status/423464224078053376,leafcure,Soak in a bath of lukewarm water with corn starch and baking powder mixed in it which is best hives relief #urticaria http://t.co/wuto4SR5EP,7.6287827,http://twitter.com/Leafcure/status/423464224078053376,http://twitter.com/leafcure
01/16/14,http://twitter.com/urticariahives/status/423631230433652736,urticariahives,"Natural Urticaria Relief: A simple, effective and permanent Urticaria (Hives) remedy. http://t.co/hhbe9lB4Ao #Urticaria #Hives",7.6287827,http://twitter.com/UrticariaHives/status/423631230433652736,http://twitter.com/urticariahives
01/16/14,http://twitter.com/skintolivein/status/423823264595836928,skintolivein,Around 0.5-1% of people will experience #chronic spontaneous #urticaria at some point in their lives.Find out more at http://t.co/y0nmh5ObIH,7.250975,http://twitter.com/skintolivein/status/423823264595836928,http://twitter.com/skintolivein
01/17/14,http://twitter.com/josephneigh/status/424169123049136128,josephneigh,http://t.co/Vl9gygRxyt my #allergy to #gluten - acute #urticaria,7.8130198,http://twitter.com/josephneigh/status/424169123049136128,http://twitter.com/josephneigh
01/17/14,http://twitter.com/messie_t/status/424179040451170304,messie_t,"#Urticaria Please leave me alone today, pleaseee!",8.82067,http://twitter.com/Messie_T/status/424179040451170304,http://twitter.com/messie_t
01/18/14,http://twitter.com/urticariahives/status/424367719094288385,urticariahives,Urticaria And Angioedema Treatment: The inside story on dr. gary m. levin's remarkable Hives... http://t.co/54d9zOmVAK #Urticaria #Hives,7.377191,http://twitter.com/UrticariaHives/status/424367719094288385,http://twitter.com/urticariahives
01/18/14,http://twitter.com/jolesaru/status/424610299266998272,jolesaru,I Hate You! #Urticaria,9.14469,http://twitter.com/jolesaru/status/424610299266998272,http://twitter.com/jolesaru
01/19/14,http://twitter.com/grainfreeme/status/425009622454255616,grainfreeme,Mystery Rash and Latex Allergies http://t.co/5LuHeBS0Cs My attempt to solve the riddle. #urticaria #paleo #migraine #keto,7.5684657,http://twitter.com/GrainFreeMe/status/425009622454255616,http://twitter.com/grainfreeme
01/20/14,http://twitter.com/remedylifestyle/status/425128735134580736,remedylifestyle,"Combat Urticaria Yourself With Effective 14 Home Remedies http://t.co/OTu6WIuh9o 
#urticaria http://t.co/52iiorbTVm",8.122543,http://twitter.com/remedylifestyle/status/425128735134580736,http://twitter.com/remedylifestyle
01/20/14,http://twitter.com/skintolivein/status/425237063328604160,skintolivein,Hear Jackie's story on living with #Chronic Spontaneous #Urticaria here #SkinToLiveIn http://t.co/0mw5zEvV0w,7.7076955,http://twitter.com/skintolivein/status/425237063328604160,http://twitter.com/skintolivein
01/21/14,http://twitter.com/urticariahives/status/425468629224677376,urticariahives,Get Rid of Hives: There is  a way of reversing the condition which causes Chronic Idiopathic... http://t.co/mHQCfTJoBD #Urticaria #Hives,7.5589304,http://twitter.com/UrticariaHives/status/425468629224677376,http://twitter.com/urticariahives
01/22/14,http://twitter.com/disisd/status/425813659546157056,disisd,Ultimate ques: how long does it take for my #mastcells to calm down their response once the offending agent is avoided? #derm #urticaria,7.2113304,http://twitter.com/disisd/status/425813659546157056,http://twitter.com/disisd
01/22/14,http://twitter.com/urticariahives/status/425837421888942080,urticariahives,Urticaria No More Official: What if there is an easy solution to your chronic hives and angioedema? http://t.co/nK0IkJErNz #Urticaria #Hives,7.3784075,http://twitter.com/UrticariaHives/status/425837421888942080,http://twitter.com/urticariahives
01/23/14,http://twitter.com/90ten/status/426410866536644608,90ten,Kicking off our #WhealsOfDespair campaign to raise awareness of #CSU #Urticaria,7.876421,http://twitter.com/90TEN/status/426410866536644608,http://twitter.com/90ten
01/23/14,http://twitter.com/boniitha15/status/426442650275696640,boniitha15,#alergia on! ☹ casual me parezco a #lamole :'( #urticaria? .,7.765721,http://twitter.com/bOniitha15/status/426442650275696640,http://twitter.com/boniitha15
01/24/14,http://twitter.com/urticariahives/status/426580146330427392,urticariahives,Urticaria And Angioedema Treatment: The inside story on dr. gary m. levin's remarkable Hives... http://t.co/YsxFA3raLj #Urticaria #Hives,7.3506966,http://twitter.com/UrticariaHives/status/426580146330427392,http://twitter.com/urticariahives
01/24/14,http://twitter.com/novartis/status/426601728327581696,novartis,#CHMP grants positive opinion for #Novartis chronic spontaneous #urticaria treatment. #dermatology http://t.co/uMScVvUSyU,13.173172,http://twitter.com/Novartis/status/426601728327581696,http://twitter.com/novartis
01/24/14,http://twitter.com/vdascalo/status/426602144805187584,vdascalo,RT @Novartis: #CHMP grants positive opinion for #Novartis chronic spontaneous #urticaria treatment. #dermatology http://t.co/uMScVvUSyU,7.3506966,http://twitter.com/vdascalo/status/426602144805187584,http://twitter.com/vdascalo
01/24/14,http://twitter.com/jaffacakes898/status/426602634636984323,jaffacakes898,RT @Novartis: #CHMP grants positive opinion for #Novartis chronic spontaneous #urticaria treatment. #dermatology http://t.co/uMScVvUSyU,7.3506966,http://twitter.com/jaffacakes898/status/426602634636984323,http://twitter.com/jaffacakes898
01/24/14,http://twitter.com/pharmapot/status/426605890469236737,pharmapot,RT @Novartis: #CHMP grants positive opinion for #Novartis chronic spontaneous #urticaria treatment. #dermatology http://t.co/uMScVvUSyU,7.3506966,http://twitter.com/Pharmapot/status/426605890469236737,http://twitter.com/pharmapot
01/24/14,http://twitter.com/stamford_jw/status/426621014408429568,stamford_jw,RT @Novartis: #CHMP grants positive opinion for #Novartis chronic spontaneous #urticaria treatment. #dermatology http://t.co/uMScVvUSyU,7.3506966,http://twitter.com/Stamford_JW/status/426621014408429568,http://twitter.com/stamford_jw
01/24/14,http://twitter.com/rosstaylor_15/status/426628414934884352,rosstaylor_15,RT @Novartis: #CHMP grants positive opinion for #Novartis chronic spontaneous #urticaria treatment. #dermatology http://t.co/uMScVvUSyU,7.3506966,http://twitter.com/RossTaylor_15/status/426628414934884352,http://twitter.com/rosstaylor_15
01/24/14,http://twitter.com/debbybruck/status/426634310268231680,debbybruck,"""Chronic Spontaneous #Urticaria (CSU) and #Homoeopathy"" on Homeopathy World Community: http://t.co/IGs0wroszj * #CSU",11.540339,http://twitter.com/DebbyBruck/status/426634310268231680,http://twitter.com/debbybruck
01/24/14,http://twitter.com/venice0917/status/426635683520720896,venice0917,#allergy I am really hoping this is not cholestasis #ICP. I have history of #urticaria man so maybe it's a #puppp http://t.co/zqHeBaEnxR,7.4743614,http://twitter.com/Venice0917/status/426635683520720896,http://twitter.com/venice0917
01/24/14,http://twitter.com/fwpharma/status/426642113879896064,fwpharma,RT @Novartis: #CHMP grants positive opinion for #Novartis chronic spontaneous #urticaria treatment. #dermatology http://t.co/uMScVvUSyU,10.517692,http://twitter.com/fwpharma/status/426642113879896064,http://twitter.com/fwpharma
01/25/14,http://twitter.com/urticariahives/status/426944981517860864,urticariahives,Get Rid of Hives: There is  a way of reversing the condition which causes Chronic Idiopathic... http://t.co/ic9hlQThkj #Urticaria #Hives,7.7132025,http://twitter.com/UrticariaHives/status/426944981517860864,http://twitter.com/urticariahives
01/25/14,http://twitter.com/skintolivein/status/427093767494336514,skintolivein,Hear Jackie's story on living with #Chronic Spontaneous #Urticaria here #SkinToLiveIn http://t.co/OaXv64yQIW,9.703126,http://twitter.com/skintolivein/status/427093767494336514,http://twitter.com/skintolivein
01/25/14,http://twitter.com/cperez1983/status/427099265106595840,cperez1983,RT @skintolivein: Hear Jackie's story on living with #Chronic Spontaneous #Urticaria here #SkinToLiveIn http://t.co/OaXv64yQIW,7.4580746,http://twitter.com/cperez1983/status/427099265106595840,http://twitter.com/cperez1983
