firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/genyhernand/status/418246567926046720,genyhernand,FELIZ AÑOOOOOOOOOOOOOOOOO. Ahora si en un rato a chupar. #dengue #firsttweet,10.835702,http://twitter.com/genyhernand/status/418246567926046720,http://twitter.com/genyhernand
01/01/14,http://twitter.com/crof/status/418254684529233920,crof,Australia: #Dengue fever makes early showing in far north Queensland http://t.co/7uSoo1NsSY,12.647848,http://twitter.com/Crof/status/418254684529233920,http://twitter.com/crof
01/01/14,http://twitter.com/welapmsimanga/status/418257885878288384,welapmsimanga,RT @Crof: Australia: #Dengue fever makes early showing in far north Queensland http://t.co/7uSoo1NsSY,7.575574,http://twitter.com/WelaPMsimanga/status/418257885878288384,http://twitter.com/welapmsimanga
01/01/14,http://twitter.com/gmggranger/status/418262492150644736,gmggranger,RT @Crof: Australia: #Dengue fever makes early showing in far north Queensland http://t.co/7uSoo1NsSY,7.575574,http://twitter.com/gmggranger/status/418262492150644736,http://twitter.com/gmggranger
01/01/14,http://twitter.com/emma_hannay/status/418271288952909824,emma_hannay,RT @Crof: Australia: #Dengue fever makes early showing in far north Queensland http://t.co/7uSoo1NsSY,7.575574,http://twitter.com/Emma_Hannay/status/418271288952909824,http://twitter.com/emma_hannay
01/01/14,http://twitter.com/mich3ll3cruz/status/418273357012811776,mich3ll3cruz,DOH: Dengue Strikes Anytime http://t.co/qNlvDH5RiA #dengue #news,8.1140995,http://twitter.com/Mich3ll3Cruz/status/418273357012811776,http://twitter.com/mich3ll3cruz
01/01/14,http://twitter.com/breakdengue/status/418289324854349824,breakdengue,Tell us...Who's breaking #Dengue in 2014? http://t.co/gAVpAVdn4i,7.8302546,http://twitter.com/BreakDengue/status/418289324854349824,http://twitter.com/breakdengue
01/01/14,http://twitter.com/ha_nn_an/status/418294839563022337,ha_nn_an,"Abgla penghibur adik...
#admitted #dengue #fever http://t.co/fFfGWXRScw",7.4862733,http://twitter.com/ha_nn_an/status/418294839563022337,http://twitter.com/ha_nn_an
01/01/14,http://twitter.com/niramaya_care/status/418313149734199296,niramaya_care,"For #Dengue #Antibody Detection (IgG) &amp; (IgM) 
Rapid Test Detailed clinical history required.
Sample –... http://t.co/mkmbGpqGie",6.9715123,http://twitter.com/Niramaya_Care/status/418313149734199296,http://twitter.com/niramaya_care
01/01/14,http://twitter.com/attorneysuller/status/418315354129969152,attorneysuller,Top 10 #Dengue Prevention Tips   http://t.co/lRwhnnhtKz,8.434837,http://twitter.com/Attorneysuller/status/418315354129969152,http://twitter.com/attorneysuller
01/01/14,http://twitter.com/breakdengue/status/418338442125533184,breakdengue,RT @SciDevNet: - Cure or hoax? 'Alleged cure for #dengue in #Indonesia stirs debate' http://t.co/i398VKhAGr,6.9447317,http://twitter.com/BreakDengue/status/418338442125533184,http://twitter.com/breakdengue
