firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/freyarowland/status/418238476887552000,freyarowland,@jamesyow8 of course can't wait #walestastic #yellowfever #rabies #hepB #hepA #malaria #japaneseencephalitis,7.031231,http://twitter.com/freyarowland/status/418238476887552000,http://twitter.com/freyarowland
01/01/14,http://twitter.com/hepbfoundation/status/418270587505897472,hepbfoundation,"RT @HepBUnitedPhila: To help ur Drs and their friends updated on #HepB info, share this link w/ them: http://t.co/sTWpRS6hMn #KnowHepB",10.607973,http://twitter.com/HepBFoundation/status/418270587505897472,http://twitter.com/hepbfoundation
01/01/14,http://twitter.com/hepatitis_india/status/418418275953815552,hepatitis_india,#Hepatitis B #vaccination is now routinely recommended for unvaccinated adults with #diabetes through age 59 years. #vaccine #HepB,7.1615477,http://twitter.com/Hepatitis_India/status/418418275953815552,http://twitter.com/hepatitis_india
01/01/14,http://twitter.com/hepbunitedphila/status/418441843983257600,hepbunitedphila,Let's all work together and make 2014 a year of great progress in reducing #HepB as well as improving health in #Philadelphia. #BAHero,10.764566,http://twitter.com/HepBUnitedPhila/status/418441843983257600,http://twitter.com/hepbunitedphila
01/01/14,http://twitter.com/medicalabacus/status/418520231921741824,medicalabacus,"@cdchep:2 in 3 #AAPIs w/ #hepB don’t know it. #KnowHepatitisB #hepatitis #hepatitisB 
#medical http://t.co/geKkaetpbI http://t.co/Hwd9nnB2ZJ",7.1872344,http://twitter.com/MedicalAbacus/status/418520231921741824,http://twitter.com/medicalabacus
01/01/14,http://twitter.com/hcvresearchnews/status/418524475034841088,hcvresearchnews,Prevention of hepatocellular carcinoma in chronic viral hepatitis B and C infection - http://t.co/YUGW0MqLtl #HepB #HepC #HBV #HCV #HCC,8.808526,http://twitter.com/hcvresearchnews/status/418524475034841088,http://twitter.com/hcvresearchnews
01/02/14,http://twitter.com/viraled_hep/status/418551928797151232,viraled_hep,RT @hcvresearchnews: Prevention of hepatocellular carcinoma in chronic viral hepatitis B and C infection - http://t.co/YUGW0MqLtl #HepB #He…,6.7499743,http://twitter.com/ViralEd_Hep/status/418551928797151232,http://twitter.com/viraled_hep
01/02/14,http://twitter.com/enrique_adames/status/418560465275727872,enrique_adames,RT @hcvresearchnews: Prevention of hepatocellular carcinoma in chronic viral hepatitis B and C infection - http://t.co/YUGW0MqLtl #HepB #He…,6.7499743,http://twitter.com/Enrique_Adames/status/418560465275727872,http://twitter.com/enrique_adames
01/02/14,http://twitter.com/johnstrthr/status/418563830482866176,johnstrthr,RT @hcvresearchnews: Prevention of hepatocellular carcinoma in chronic viral hepatitis B and C infection - http://t.co/YUGW0MqLtl #HepB #He…,6.7499743,http://twitter.com/johnstrthr/status/418563830482866176,http://twitter.com/johnstrthr
01/02/14,http://twitter.com/vacepil/status/418716066928271360,vacepil,"#HepB/A vaccine- 139 VAERs reports in pregnant women; 15 spontaneous abortions, 10 elective terminations, 7 premature http://t.co/PL8ozyDAqN",7.137842,http://twitter.com/VACePIL/status/418716066928271360,http://twitter.com/vacepil
01/02/14,http://twitter.com/fochik/status/418737465520693249,fochik,"@SayNoToGOP in SanFrancisco there is 25,000 #Asians infected with #HEPB I suspect there is more bc of shippingcontainers full of Asians !",10.547218,http://twitter.com/Fochik/status/418737465520693249,http://twitter.com/fochik
01/02/14,http://twitter.com/hcvresearchnews/status/418739251392413696,hcvresearchnews,Latent hepatitis B is a risk factor for HCC in patients with chronic hepatitis C - http://t.co/XKY4opigd6 #HBV #HCV #HepC #HepB,6.9638066,http://twitter.com/hcvresearchnews/status/418739251392413696,http://twitter.com/hcvresearchnews
01/02/14,http://twitter.com/cdchep/status/418779386268381184,cdchep,"Reporting on #hepatitis? Visit http://t.co/PtSmZOUk3v for info on #HepA, #HepB, &amp; #HepC!",9.614143,http://twitter.com/cdchep/status/418779386268381184,http://twitter.com/cdchep
01/02/14,http://twitter.com/moraviahealth/status/418779855942320128,moraviahealth,"RT @cdchep: Reporting on #hepatitis? Visit http://t.co/PtSmZOUk3v for info on #HepA, #HepB, &amp; #HepC!",7.0147443,http://twitter.com/MoraviaHealth/status/418779855942320128,http://twitter.com/moraviahealth
01/02/14,http://twitter.com/avellarx/status/418782926126342144,avellarx,"RT @cdchep: Reporting on #hepatitis? Visit http://t.co/R48I2juWz8 for info on #HepA, #HepB, &amp; #HepC!",6.979566,http://twitter.com/AvellaRx/status/418782926126342144,http://twitter.com/avellarx
01/02/14,http://twitter.com/hepatos_aion/status/418783585072476160,hepatos_aion,"RT @cdchep: Reporting on #hepatitis? Visit http://t.co/PtSmZOUk3v for info on #HepA, #HepB, &amp; #HepC!",7.0147443,http://twitter.com/Hepatos_Aion/status/418783585072476160,http://twitter.com/hepatos_aion
01/02/14,http://twitter.com/nynjaetc/status/418788491796172800,nynjaetc,"RT @cdchep: Reporting on #hepatitis? Visit http://t.co/PtSmZOUk3v for info on #HepA, #HepB, &amp; #HepC!",7.0147443,http://twitter.com/NYNJAETC/status/418788491796172800,http://twitter.com/nynjaetc
12/31/13,http://twitter.com/hepbunitedphila/status/418145865329823745,cdchep,"RT @HepBUnitedPhila: To help ur Drs and their friends updated on #HepB info, share this link w/ them: http://t.co/GEIIiXxjNU #KnowHepB",8.335117,http://twitter.com/cdchep/status/418795006473035776,http://twitter.com/cdchep
01/02/14,http://twitter.com/bristol_scalemd/status/418796859352559616,bristol_scalemd,"Interpretation of #HepB serologies:
http://t.co/16EzVkOrDU #cheatsheet",7.8679233,http://twitter.com/Bristol_scaleMD/status/418796859352559616,http://twitter.com/bristol_scalemd
01/02/14,http://twitter.com/hcvresearchnews/status/418807753528713216,hcvresearchnews,Prevention of hepatocellular carcinoma in chronic viral hepatitis B and C infection - http://t.co/YUGW0MqLtl #HepB #HepC #HBV #HCV #HCC,6.847193,http://twitter.com/hcvresearchnews/status/418807753528713216,http://twitter.com/hcvresearchnews
01/02/14,http://twitter.com/drexelpubhealth/status/418808965758074880,drexelpubhealth,Doctoral student publishes national community action plan to address #disparities in #HepB. @HepBFoundation http://t.co/SCURUBWFyd,12.492081,http://twitter.com/drexelpubhealth/status/418808965758074880,http://twitter.com/drexelpubhealth
01/02/14,http://twitter.com/isahmw/status/418810215136776192,isahmw,"RT @HepBUnitedPhila: To help ur Drs and their friends updated on #HepB info, share this link w/ them: http://t.co/GEIIiXxjNU #KnowHepB",7.46213,http://twitter.com/IsahMW/status/418810215136776192,http://twitter.com/isahmw
01/02/14,http://twitter.com/etrassociates/status/418810350834708480,etrassociates,RT @drexelpubhealth: Doctoral student publishes national community action plan to address #disparities in #HepB. @HepBFoundation http://t.c…,7.23213,http://twitter.com/ETRASSOCIATES/status/418810350834708480,http://twitter.com/etrassociates
01/02/14,http://twitter.com/hepbfoundation/status/418828943345856512,hepbfoundation,RT @drexelpubhealth: Doctoral student publishes national community action plan to address #disparities in #HepB. @HepBFoundation...,11.61582,http://twitter.com/HepBFoundation/status/418828943345856512,http://twitter.com/hepbfoundation
01/02/14,http://twitter.com/hcvresearchnews/status/418837448584871936,hcvresearchnews,RT @HepBFoundation: RT @drexelpubhealth: Doctoral student publishes national community action plan to address #disparities in #HepB. @HepBF…,7.1668196,http://twitter.com/hcvresearchnews/status/418837448584871936,http://twitter.com/hcvresearchnews
01/02/14,http://twitter.com/cdchep/status/418840487165186048,cdchep,1 in 12 Asian Americans has #hepB. Talk to your doctor about testing &amp; #KnowHepB http://t.co/lPEYB6SFEX #AAPI http://t.co/lF1vua0qKF,8.975922,http://twitter.com/cdchep/status/418840487165186048,http://twitter.com/cdchep
01/02/14,http://twitter.com/moraviahealth/status/418840734100619264,moraviahealth,RT @cdchep: 1 in 12 Asian Americans has #hepB. Talk to your doctor about testing &amp; #KnowHepB http://t.co/lPEYB6SFEX #AAPI http://t.co/lF1vu…,7.18132,http://twitter.com/MoraviaHealth/status/418840734100619264,http://twitter.com/moraviahealth
01/02/14,http://twitter.com/kebs_07/status/418841246158045184,kebs_07,RT @cdchep: 1 in 12 Asian Americans has #hepB. Talk to your doctor about testing &amp; #KnowHepB http://t.co/lPEYB6SFEX #AAPI http://t.co/lF1vu…,7.18132,http://twitter.com/Kebs_07/status/418841246158045184,http://twitter.com/kebs_07
01/02/14,http://twitter.com/cdchep/status/418857247683645441,cdchep,"#KnowHepB &amp; visit http://t.co/xfpr3SsCAi to order multilingual #hepB posters, including Chinese, Vietnamese, Korean",12.022775,http://twitter.com/cdchep/status/418857247683645441,http://twitter.com/cdchep
01/02/14,http://twitter.com/moraviahealth/status/418857615314419712,moraviahealth,"RT @cdchep: #KnowHepB &amp; visit http://t.co/xfpr3SsCAi to order multilingual #hepB posters, including Chinese, Vietnamese, Korean",7.1354756,http://twitter.com/MoraviaHealth/status/418857615314419712,http://twitter.com/moraviahealth
01/02/14,http://twitter.com/drsalliepnp/status/418869625808769024,drsalliepnp,"RT @cdchep: #KnowHepB &amp; visit http://t.co/xfpr3SsCAi to order multilingual #hepB posters, including Chinese, Vietnamese, Korean",10.414673,http://twitter.com/DrSalliePNP/status/418869625808769024,http://twitter.com/drsalliepnp
11/21/13,http://twitter.com/hepb_edbc/status/403577340363411456,citizenshipexam,RT @HepB_EdBC: #BC has high #HBV infection rate. Are you a carrier? Talk to your doctor about testing. Learn #HepB at #HBVevent http://t.co…,10.956713,http://twitter.com/citizenshipexam/status/418876653989658624,http://twitter.com/citizenshipexam
01/03/14,http://twitter.com/marcozaccaria4/status/418969211302866945,marcozaccaria4,RT @hcvresearchnews: Prevention of hepatocellular carcinoma in chronic viral hepatitis B and C infection - http://t.co/YUGW0MqLtl #HepB #He…,6.7595654,http://twitter.com/MarcoZaccaria4/status/418969211302866945,http://twitter.com/marcozaccaria4
01/03/14,http://twitter.com/marcozaccaria4/status/418969281712627712,marcozaccaria4,"RT @cdchep: #KnowHepB &amp; visit http://t.co/xfpr3SsCAi to order multilingual #hepB posters, including Chinese, Vietnamese, Korean",7.1354756,http://twitter.com/MarcoZaccaria4/status/418969281712627712,http://twitter.com/marcozaccaria4
01/03/14,http://twitter.com/marcozaccaria4/status/418969293448286208,marcozaccaria4,RT @cdchep: 1 in 12 Asian Americans has #hepB. Talk to your doctor about testing &amp; #KnowHepB http://t.co/lPEYB6SFEX #AAPI http://t.co/lF1vu…,7.18132,http://twitter.com/MarcoZaccaria4/status/418969293448286208,http://twitter.com/marcozaccaria4
01/03/14,http://twitter.com/johnstrthr/status/418981058378334210,johnstrthr,RT @HepBFoundation: RT @drexelpubhealth: Doctoral student publishes national community action plan to address #disparities in #HepB. @HepBF…,7.1668196,http://twitter.com/johnstrthr/status/418981058378334210,http://twitter.com/johnstrthr
01/03/14,http://twitter.com/fiercepharma/status/419122206577143809,fiercepharma,China clears hep B vaccine makers in child deaths http://t.co/R5y1H0XAml #hepB by @EricPFierce,12.218377,http://twitter.com/FiercePharma/status/419122206577143809,http://twitter.com/fiercepharma
01/03/14,http://twitter.com/markaodonnell/status/419122833466589184,markaodonnell,RT @FiercePharma: China clears hep B vaccine makers in child deaths http://t.co/R5y1H0XAml #hepB by @EricPFierce,7.327882,http://twitter.com/markaodonnell/status/419122833466589184,http://twitter.com/markaodonnell
01/03/14,http://twitter.com/checkorphan/status/419124341486669824,checkorphan,RT @FiercePharma: China clears hep B vaccine makers in child deaths http://t.co/R5y1H0XAml #hepB by @EricPFierce,10.517333,http://twitter.com/CheckOrphan/status/419124341486669824,http://twitter.com/checkorphan
01/03/14,http://twitter.com/msdocimmune/status/419125446840578048,msdocimmune,RT @FiercePharma: China clears hep B vaccine makers in child deaths http://t.co/R5y1H0XAml #hepB by @EricPFierce,7.327882,http://twitter.com/MSDocImmune/status/419125446840578048,http://twitter.com/msdocimmune
01/03/14,http://twitter.com/cdchep/status/419141409955123200,cdchep,RT @drexelpubhealth: Doctoral student publishes national community action plan to address #disparities in #HepB. @HepBFoundation http://t.c…,7.23213,http://twitter.com/cdchep/status/419141409955123200,http://twitter.com/cdchep
01/03/14,http://twitter.com/cdchep/status/419142451069087744,cdchep,"J of Community Health: Nat'l community coalition approach to improving #HepB vaccination, screening &amp; linking care http://t.co/0mp4GIH0bH",8.925748,http://twitter.com/cdchep/status/419142451069087744,http://twitter.com/cdchep
01/03/14,http://twitter.com/moraviahealth/status/419143101442449408,moraviahealth,"RT @cdchep: J of Community Health: Nat'l community coalition approach to improving #HepB vaccination, screening &amp; linking care http://t.co/…",7.1354756,http://twitter.com/MoraviaHealth/status/419143101442449408,http://twitter.com/moraviahealth
01/03/14,http://twitter.com/springerpbh/status/419144268662726656,springerpbh,"RT @cdchep: J of Community Health: Nat'l community coalition approach to improving #HepB vaccination, screening &amp; linking care http://t.co/…",7.1354756,http://twitter.com/SpringerPBH/status/419144268662726656,http://twitter.com/springerpbh
01/03/14,http://twitter.com/hepbunitedphila/status/419152042691928064,hepbunitedphila,It's INFOGRAPHIC time!!! http://t.co/rnO4i7Mov2 #KnowHepB #HBV #HepB #infographic,10.941643,http://twitter.com/HepBUnitedPhila/status/419152042691928064,http://twitter.com/hepbunitedphila
01/03/14,http://twitter.com/hepbfoundation/status/419181698455441408,hepbfoundation,RT @HepBUnitedPhila: It's INFOGRAPHIC time!!! http://t.co/oBeqfVUDHl #KnowHepB #HBV #HepB #infographic,10.582126,http://twitter.com/HepBFoundation/status/419181698455441408,http://twitter.com/hepbfoundation
01/03/14,http://twitter.com/hepbfoundation/status/419181971093590017,hepbfoundation,RT @drexelpubhealth: Doctoral student publishes national community action plan to address #disparities in #HepB. @HepBFoundation http://t.c…,10.428341,http://twitter.com/HepBFoundation/status/419181971093590017,http://twitter.com/hepbfoundation
