firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/theflutrap/status/418173211369828352,theflutrap,Flu numbers starting to climb in Massachusetts http://t.co/qQg2jHKejj #flu #influenza,7.873354,http://twitter.com/TheFluTrap/status/418173211369828352,http://twitter.com/theflutrap
01/01/14,http://twitter.com/flu_virus/status/418174704663281664,flu_virus,#Influenza news: 35 cases of influenza reported in Missoula County http://t.co/PjWtEn4JyW #pathogenposse,7.4413934,http://twitter.com/flu_virus/status/418174704663281664,http://twitter.com/flu_virus
01/01/14,http://twitter.com/smilinsuepubs/status/418175940259115009,smilinsuepubs,Seasonal #influenza is raising its ugly head. What can you do to prevent it? http://t.co/LcA54uYONb,7.5317116,http://twitter.com/SmilinSuePubs/status/418175940259115009,http://twitter.com/smilinsuepubs
01/01/14,http://twitter.com/elysedotcom/status/418179200512585728,elysedotcom,"Maybe if I'm lucky, I'll get sent home early....but that's not likely... #influenza #happynewyearseve",7.678613,http://twitter.com/Elysedotcom/status/418179200512585728,http://twitter.com/elysedotcom
01/01/14,http://twitter.com/melodyathome/status/418179356595220480,melodyathome,RT #share H1N1 Deadly Texas Swine Flu Mutates: Soon To Be Nation Wide Pandemic? http://t.co/JtFTV5ro6b #pandemic #influenza #prepper #SHTF,6.6757026,http://twitter.com/MelodyAtHome/status/418179356595220480,http://twitter.com/melodyathome
01/01/14,http://twitter.com/shots4health/status/418185052405526528,shots4health,"This week, compared to last week, #influenza activity has more than doubled in Alberta with 245 new confirmed cases of which most are #H1N1.",7.2302866,http://twitter.com/shots4health/status/418185052405526528,http://twitter.com/shots4health
01/01/14,http://twitter.com/usmle_ckhints/status/418188533178695680,usmle_ckhints,"Patients w/ chronic #liver disease should be vaccinated against #hepatitis A and B, #influenza, and invasive #pneumococcal disease.",8.605373,http://twitter.com/USMLE_CKHints/status/418188533178695680,http://twitter.com/usmle_ckhints
01/01/14,http://twitter.com/usmle_ckhints/status/418189610229850112,usmle_ckhints,The CDC's Advisory Committee on #lmmunization Practices states seasonal intramuscular #influenza vaccine should be given to all adults.,7.674433,http://twitter.com/USMLE_CKHints/status/418189610229850112,http://twitter.com/usmle_ckhints
01/01/14,http://twitter.com/usmle_ckhints/status/418189805336268800,usmle_ckhints,The Centers for Disease Control recommends that all #pregnant women without contraindications receive the #influenza vaccination.,8.088322,http://twitter.com/USMLE_CKHints/status/418189805336268800,http://twitter.com/usmle_ckhints
01/01/14,http://twitter.com/chrissykd13/status/418190765375094784,chrissykd13,RT @USMLE_CKHints: The Centers for Disease Control recommends that all #pregnant women without contraindications receive the #influenza vac…,7.0398803,http://twitter.com/ChrissyKD13/status/418190765375094784,http://twitter.com/chrissykd13
01/01/14,http://twitter.com/chrissykd13/status/418190775567273984,chrissykd13,RT @USMLE_CKHints: The CDC's Advisory Committee on #lmmunization Practices states seasonal intramuscular #influenza vaccine should be given…,6.695367,http://twitter.com/ChrissyKD13/status/418190775567273984,http://twitter.com/chrissykd13
01/01/14,http://twitter.com/chrissykd13/status/418190846975311872,chrissykd13,"RT @USMLE_CKHints: Patients w/ chronic #liver disease should be vaccinated against #hepatitis A and B, #influenza, and invasive #pneumococc…",6.7612524,http://twitter.com/ChrissyKD13/status/418190846975311872,http://twitter.com/chrissykd13
