firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/sufcofficial/status/418170731315613697,sufcofficial,Excited for what 2014 may have in store. #bringiton #UTI,13.590984,http://twitter.com/SUFCOfficial/status/418170731315613697,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/lindsay1305/status/418170877948473344,lindsay1305,RT @SUFCOfficial: Excited for what 2014 may have in store. #bringiton #UTI,7.820376,http://twitter.com/lindsay1305/status/418170877948473344,http://twitter.com/lindsay1305
01/01/14,http://twitter.com/rprushton14/status/418170890216828928,rprushton14,RT @SUFCOfficial: Excited for what 2014 may have in store. #bringiton #UTI,7.820376,http://twitter.com/rpRushton14/status/418170890216828928,http://twitter.com/rprushton14
01/01/14,http://twitter.com/baaakess/status/418171043195674625,adam_baker3,RT @SUFCOfficial: Excited for what 2014 may have in store. #bringiton #UTI,7.820376,http://twitter.com/Baaakess/status/418171043195674625,http://twitter.com/adam_baker3
01/01/14,http://twitter.com/keviclifton/status/418171196946280448,keviclifton,RT @SUFCOfficial: Excited for what 2014 may have in store. #bringiton #UTI,7.820376,http://twitter.com/keviclifton/status/418171196946280448,http://twitter.com/keviclifton
01/01/14,http://twitter.com/footyfans92tour/status/418171531517521920,footyfans92tour,RT @SUFCOfficial: Excited for what 2014 may have in store. #bringiton #UTI,7.820376,http://twitter.com/FootyFans92Tour/status/418171531517521920,http://twitter.com/footyfans92tour
01/01/14,http://twitter.com/symbuhh714/status/418172227373129729,symbuhh714,Does Universal Technical Institute realize their acronym is the same as a painful infection? #shouldathoughtthatthrough #UTI,7.1216974,http://twitter.com/symbuhh714/status/418172227373129729,http://twitter.com/symbuhh714
01/01/14,http://twitter.com/joshboult/status/418172784263852032,joshboult,Let's kick it off with three points tomorrow lads! #uti #coyi,8.677587,http://twitter.com/joshboult/status/418172784263852032,http://twitter.com/joshboult
01/01/14,http://twitter.com/tomwalkeden/status/418174720711098368,tomwalkeden,RT @SUFCOfficial: Excited for what 2014 may have in store. #bringiton #UTI,11.005644,http://twitter.com/TomWalkeden/status/418174720711098368,http://twitter.com/tomwalkeden
01/01/14,http://twitter.com/aidanmccartney/status/418175020423467008,aidanmccartney,@Winnall19 All the best for the new year Sam. League Two top goal-scorer and promotion would make for a brilliant year. #UTI,7.171052,http://twitter.com/aidanmccartney/status/418175020423467008,http://twitter.com/aidanmccartney
01/01/14,http://twitter.com/connomccormick/status/418176438979031041,connomccormick,RT @joshboult: Let's kick it off with three points tomorrow lads! #uti #coyi,7.4871445,http://twitter.com/ConnoMccormick/status/418176438979031041,http://twitter.com/connomccormick
01/01/14,http://twitter.com/jtb150295/status/418178809352192000,jtb150295,RT @SUFCOfficial: Excited for what 2014 may have in store. #bringiton #UTI,7.820376,http://twitter.com/jtb150295/status/418178809352192000,http://twitter.com/jtb150295
01/01/14,http://twitter.com/workthechannels/status/418181529555439616,workthechannels,@BeanyTony Lol highs and lows for us all! #letbattlecommence #UTI #CTID,10.515196,http://twitter.com/workthechannels/status/418181529555439616,http://twitter.com/workthechannels
01/01/14,http://twitter.com/emmamjacks/status/418181795293954048,emmamjacks,RT @SUFCOfficial: Excited for what 2014 may have in store. #bringiton #UTI,7.820376,http://twitter.com/emmaMjacks/status/418181795293954048,http://twitter.com/emmamjacks
01/01/14,http://twitter.com/alex_haywood/status/418191479082086401,alex_haywood,Grimsby away edging ever closer #UTI,8.047964,http://twitter.com/Alex_Haywood/status/418191479082086401,http://twitter.com/alex_haywood
01/01/14,http://twitter.com/yiddomarkk/status/418195132966764544,yiddomarkk,@ali68g @scunnygazza Happy New Year. Lets hope it's a promotion year! #UTI,7.42381,http://twitter.com/Yiddomarkk/status/418195132966764544,http://twitter.com/yiddomarkk
01/01/14,http://twitter.com/ollie_rich44/status/418196721517481984,ollie_rich44,@SUFCOfficial Perfect start to 2014 would be another 3points against Rochdale! #believe #UTI,11.347606,http://twitter.com/Ollie_rich44/status/418196721517481984,http://twitter.com/ollie_rich44
01/01/14,http://twitter.com/baaakess/status/418204367695917056,adam_baker3,"Happy New Year to my one true love, @SUFCOfficial  Bring on 2014 and a beautiful future for The Mighty Iron! #UTI   #BringOn2014 #Promotion",11.089349,http://twitter.com/Baaakess/status/418204367695917056,http://twitter.com/adam_baker3
01/01/14,http://twitter.com/scunnyfantom/status/418206901630164992,scunnyfantom,@BeefyBotham league 2 champions 2014. Indeed a happy new year. Much better than the last! #uti,7.7772737,http://twitter.com/scunnyfantom/status/418206901630164992,http://twitter.com/scunnyfantom
01/01/14,http://twitter.com/9jadotcom/status/418208506433400832,9jadotcom,First morning of January and I wake up grumpy because my water bottle got lost and I am in pain. #UTI,7.908622,http://twitter.com/9jaDOTcom/status/418208506433400832,http://twitter.com/9jadotcom
01/01/14,http://twitter.com/cbraithwaite5/status/418215247640813568,cbraithwaite5,Can't wait for the game tomorrow😬 #uti,8.857984,http://twitter.com/cbraithwaite5/status/418215247640813568,http://twitter.com/cbraithwaite5
01/01/14,http://twitter.com/baaakess/status/418219601433206784,adam_baker3,Just under 12 hours 'til kick off #UTI,8.4676075,http://twitter.com/Baaakess/status/418219601433206784,http://twitter.com/adam_baker3
01/01/14,http://twitter.com/midge226/status/418236414229094400,midge226,Too sick to care about staying up to watch the ball drop #UTI #sick #miserable #campnofun #bedtime,8.285347,http://twitter.com/Midge226/status/418236414229094400,http://twitter.com/midge226
01/01/14,http://twitter.com/stella4health/status/418267861527048192,stella4health,Common causes of #UrinaryTractInfections in men and women #UTI http://t.co/Fmah62UtAE,11.212603,http://twitter.com/Stella4Health/status/418267861527048192,http://twitter.com/stella4health
01/01/14,http://twitter.com/babyfuckingcub/status/418280079550980097,babyfuckingcub,"2014 better be ready for wild time  #GradNight  #Tatted  #Graduation 
#SacBound  #UTI  #Apartment #Slutiessssss      Can't wait😃😄😍😘",7.0234504,http://twitter.com/BabyFuckingCub/status/418280079550980097,http://twitter.com/babyfuckingcub
01/01/14,http://twitter.com/sufcofficial/status/418281117108953088,sufcofficial,RT @Ollie_rich44: @SUFCOfficial Perfect start to 2014 would be another 3points against Rochdale! #believe #UTI,10.452771,http://twitter.com/SUFCOfficial/status/418281117108953088,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/sufcofficial/status/418281153590992896,sufcofficial,"RT @Baaakess: Happy New Year to my one true love, @SUFCOfficial  Bring on 2014 and a beautiful future for The Mighty Iron! #UTI   #BringOn2…",10.212211,http://twitter.com/SUFCOfficial/status/418281153590992896,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/scunnyoz13/status/418286131671601152,scunnyoz13,@SUFCOfficial cheering the lads from Aus #uti #bringiton,11.962229,http://twitter.com/Scunnyoz13/status/418286131671601152,http://twitter.com/scunnyoz13
01/01/14,http://twitter.com/sufcofficial/status/418286478234755073,sufcofficial,RT @Scunnyoz13: @SUFCOfficial cheering the lads from Aus #uti #bringiton,10.63272,http://twitter.com/SUFCOfficial/status/418286478234755073,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/footyfans92tour/status/418287674609659904,footyfans92tour,RT @Scunnyoz13: @SUFCOfficial cheering the lads from Aus #uti #bringiton,7.430866,http://twitter.com/FootyFans92Tour/status/418287674609659904,http://twitter.com/footyfans92tour
01/01/14,http://twitter.com/ashster2509/status/418291435092598784,ashster2509,@SUFCOfficial Scunthorpe 2-1 Rochdale #UTI,8.212473,http://twitter.com/ashster2509/status/418291435092598784,http://twitter.com/ashster2509
01/01/14,http://twitter.com/supastarrat/status/418294388155244544,supastarrat,"@BeefyBotham big game today, 2nd v 4th. #UTI",8.132455,http://twitter.com/supastarrat/status/418294388155244544,http://twitter.com/supastarrat
01/01/14,http://twitter.com/footyfans92tour/status/418301940909768705,footyfans92tour,RT @ashster2509: @SUFCOfficial Scunthorpe 2-1 Rochdale #UTI,7.171052,http://twitter.com/FootyFans92Tour/status/418301940909768705,http://twitter.com/footyfans92tour
01/01/14,http://twitter.com/scunnyoz13/status/418305151137374208,scunnyoz13,@SUFCOfficial 2 zip to the Iron. #uti,8.099106,http://twitter.com/Scunnyoz13/status/418305151137374208,http://twitter.com/scunnyoz13
01/01/14,http://twitter.com/sufcofficial/status/418305154761236481,sufcofficial,Anyone wanting to pay on the gate can do so. We have cash turnstiles open for the Britcon Stand (standing area). #UTI,11.257156,http://twitter.com/SUFCOfficial/status/418305154761236481,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/footyfans92tour/status/418305479505637376,footyfans92tour,RT @SUFCOfficial: Anyone wanting to pay on the gate can do so. We have cash turnstiles open for the Britcon Stand (standing area). #UTI,7.2239456,http://twitter.com/FootyFans92Tour/status/418305479505637376,http://twitter.com/footyfans92tour
01/01/14,http://twitter.com/sufcofficial/status/418307048791478272,sufcofficial,One guess per person. We'll draw a correct entrant out at random. Competition closes at 2.55pm today. Good luck. #UTI,11.341937,http://twitter.com/SUFCOfficial/status/418307048791478272,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/footyfans92tour/status/418307727111516160,footyfans92tour,RT @SUFCOfficial: One guess per person. We'll draw a correct entrant out at random. Competition closes at 2.55pm today. Good luck. #UTI,7.301495,http://twitter.com/FootyFans92Tour/status/418307727111516160,http://twitter.com/footyfans92tour
01/01/14,http://twitter.com/sufcofficial/status/418308216808693760,sufcofficial,"Over 11,000 followers now. Thanks for your top support. Have a good year and #UTI!",12.44238,http://twitter.com/SUFCOfficial/status/418308216808693760,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/footyfans92tour/status/418308929744302080,footyfans92tour,"RT @SUFCOfficial: Over 11,000 followers now. Thanks for your top support. Have a good year and #UTI!",7.905206,http://twitter.com/FootyFans92Tour/status/418308929744302080,http://twitter.com/footyfans92tour
01/01/14,http://twitter.com/darii_brooke/status/418309151224127488,darii_brooke,Stomach literally feels like I'm being punched constantly!! Just ready for this crap to end!! #UTI literally crying myself to sleep.,7.7295933,http://twitter.com/darii_brooke/status/418309151224127488,http://twitter.com/darii_brooke
01/01/14,http://twitter.com/joe_tootell12/status/418310971556646912,joe_tootell12,"RT @SUFCOfficial: Over 11,000 followers now. Thanks for your top support. Have a good year and #UTI!",7.905206,http://twitter.com/joe_tootell12/status/418310971556646912,http://twitter.com/joe_tootell12
01/01/14,http://twitter.com/lukeshpylka96/status/418315039524003841,lukeshpylka96,Last game today before I go off training. COME ON @SUFCOfficial and hopefully a picture with @hayesy9 #sufc #3points #topoftheleague #uti,11.08215,http://twitter.com/LukeShpylka96/status/418315039524003841,http://twitter.com/lukeshpylka96
01/01/14,http://twitter.com/sufcofficial/status/418315196537786369,sufcofficial,RT @LukeShpylka96: Last game today before I go off training. COME ON @SUFCOfficial and hopefully a picture with @hayesy9 #sufc #3points #to…,10.199808,http://twitter.com/SUFCOfficial/status/418315196537786369,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/benmo_44/status/418316874225442816,benmo_44,@cricketandcrops @SUFCOfficial Pain? What pain? #uti,7.2571344,http://twitter.com/benmo_44/status/418316874225442816,http://twitter.com/benmo_44
01/01/14,http://twitter.com/joe_tootell12/status/418319386882359296,joe_tootell12,"@SUFCOfficial got a good feeling about today! A 1-0 would do happy, however having Sam winnall back in the side it could be a lot more! #uti",11.653326,http://twitter.com/joe_tootell12/status/418319386882359296,http://twitter.com/joe_tootell12
01/01/14,http://twitter.com/sufcofficial/status/418320472783486976,sufcofficial,"RT @joe_tootell12: @SUFCOfficial got a good feeling about today! A 1-0 would do happy, however having Sam winnall back in the side it could…",9.982684,http://twitter.com/SUFCOfficial/status/418320472783486976,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/nicdakinmp/status/418320918491189248,nicdakinmp,"RT @joe_tootell12: @SUFCOfficial got a good feeling about today! A 1-0 would do happy, however having Sam winnall back in the side it could…",9.986109,http://twitter.com/NicDakinMP/status/418320918491189248,http://twitter.com/nicdakinmp
01/01/14,http://twitter.com/footyfans92tour/status/418321611293720576,footyfans92tour,"RT @joe_tootell12: @SUFCOfficial got a good feeling about today! A 1-0 would do happy, however having Sam winnall back in the side it could…",6.78083,http://twitter.com/FootyFans92Tour/status/418321611293720576,http://twitter.com/footyfans92tour
01/01/14,http://twitter.com/scunnyoz13/status/418323316978356225,scunnyoz13,Bring it @SUFCOfficial #uti #keepitrollin,11.7121315,http://twitter.com/Scunnyoz13/status/418323316978356225,http://twitter.com/scunnyoz13
01/01/14,http://twitter.com/sufcofficial/status/418323462038781952,sufcofficial,RT @Scunnyoz13: Bring it @SUFCOfficial #uti #keepitrollin,10.746908,http://twitter.com/SUFCOfficial/status/418323462038781952,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/sufcofficial/status/418329678835773440,sufcofficial,@AKJangra89 Can pay on the gate to stand behind the goal. #UTI,11.035324,http://twitter.com/SUFCOfficial/status/418329678835773440,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/jonnysav75/status/418330820878024704,jonnysav75,Happy New Year to everyone. Hoping mine starts with @SUFCOfficial gaining 3 points and going top of the league #uti,11.424255,http://twitter.com/jonnysav75/status/418330820878024704,http://twitter.com/jonnysav75
01/01/14,http://twitter.com/sufcofficial/status/418331233383628800,sufcofficial,RT @jonnysav75: Happy New Year to everyone. Hoping mine starts with @SUFCOfficial gaining 3 points and going top of the league #uti,10.49094,http://twitter.com/SUFCOfficial/status/418331233383628800,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/sufcofficial/status/418332742418694144,sufcofficial,One guess per person. We'll draw a correct entrant out at random. Competition closes at 2.55pm today. Good luck. #UTI,10.6841955,http://twitter.com/SUFCOfficial/status/418332742418694144,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/sufcofficial/status/418333217922363392,sufcofficial,@rafcruss No reason why not #UTI,11.237973,http://twitter.com/SUFCOfficial/status/418333217922363392,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/kane_mfc_linky/status/418333876919234560,kane_linklater,"@SUFCOfficial the Iron, not going to say against my own team haha;) #UTI",7.9634657,http://twitter.com/Kane_MFC_Linky/status/418333876919234560,http://twitter.com/kane_linklater
01/01/14,http://twitter.com/jtb150295/status/418336554055385088,jtb150295,Absolutely sick night last night with the boys! May have had a few too many but what's new years eve for? Roll on 2014 +3 points today #UTI,7.3093314,http://twitter.com/jtb150295/status/418336554055385088,http://twitter.com/jtb150295
01/01/14,http://twitter.com/petepumpkin43/status/418336704656052224,petepumpkin43,@SammyImp give me the address and I will come round and give then an egging for you :)#uti,7.322853,http://twitter.com/petepumpkin43/status/418336704656052224,http://twitter.com/petepumpkin43
01/01/14,http://twitter.com/nsoulby/status/418339152384782336,nsoulby,Happy new football day! #UTI,8.861399,http://twitter.com/NSoulby/status/418339152384782336,http://twitter.com/nsoulby
01/01/14,http://twitter.com/theadamvickery/status/418341937717190656,theadamvickery,@C_Robinson39 Good luck today. Watch out for them dirty cod heads tryna bust ya ankles. #UTI,7.430866,http://twitter.com/THEAdamVickery/status/418341937717190656,http://twitter.com/theadamvickery
01/01/14,http://twitter.com/sufcofficial/status/418343413634039808,sufcofficial,@georgedeighton5 it is. #UTI,11.42076,http://twitter.com/SUFCOfficial/status/418343413634039808,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/senior_wtf/status/418345000016281600,senior_wtf,Happy new year lol #teamlightweight #stage3 #uti #happynewyears #staysafe #vomit http://t.co/5erSwSJ8fw,7.301495,http://twitter.com/Senior_wtf/status/418345000016281600,http://twitter.com/senior_wtf
01/01/14,http://twitter.com/alfiesaysmeow/status/418346470434430976,alfiesaysmeow,@SUFCOfficial Hopefully 3 points and top of the league by tonight! Let's make 2014 the year of the Iron!!!! #believe #UTI,11.3808155,http://twitter.com/AlfieSaysMEOW/status/418346470434430976,http://twitter.com/alfiesaysmeow
01/01/14,http://twitter.com/sufcofficial/status/418346790422056961,sufcofficial,@mt1206 All fine. #UTI,11.31337,http://twitter.com/SUFCOfficial/status/418346790422056961,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/sufcofficial/status/418346865986662400,sufcofficial,RT @AlfieSaysMEOW: @SUFCOfficial Hopefully 3 points and top of the league by tonight! Let's make 2014 the year of the Iron!!!! #believe #UTI,10.452771,http://twitter.com/SUFCOfficial/status/418346865986662400,http://twitter.com/sufcofficial
01/01/14,http://twitter.com/antonpearson91/status/418347064205246464,antonpearson91,@Beckiwilliams94 I've managed to get no hangover by some miracle so today's going to a  good day #uti,7.6018367,http://twitter.com/AntonPearson91/status/418347064205246464,http://twitter.com/antonpearson91
