firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/03/14,http://twitter.com/illingpig/status/419030580467339264,illingpig,@double_whammied yay - thrilled for you. I started a new job last April: best thing I did. Tired &amp; brainfoggy but def the best move #bcmets,8.136334,http://twitter.com/illingpig/status/419030580467339264,http://twitter.com/illingpig
01/06/14,http://twitter.com/illingpig/status/420302061994266624,illingpig,@iswhiz eek - and I've not even sent playdates thro' yet :( #badme is it medication or a cranial nerve? #fucancer #bcmets,7.8091903,http://twitter.com/illingpig/status/420302061994266624,http://twitter.com/illingpig
01/07/14,http://twitter.com/illingpig/status/420388589101649920,illingpig,@laralalalara did my first half marathon in Sept 13. No breasts no recon - running so much easier ;) #bcmets,7.4111133,http://twitter.com/illingpig/status/420388589101649920,http://twitter.com/illingpig
01/14/14,http://twitter.com/illingpig/status/423077826443890688,illingpig,Waiting for CT scan at Guy's. first time using PowerPort for contrast dye. #alwayssomethingnew #bcmets #bcsm,9.315023,http://twitter.com/illingpig/status/423077826443890688,http://twitter.com/illingpig
01/14/14,http://twitter.com/annhealthcare/status/423077971004784640,annhealthcare,RT @illingpig: Waiting for CT scan at Guy's. first time using PowerPort for contrast dye. #alwayssomethingnew #bcmets #bcsm,7.477799,http://twitter.com/AnnHealthCare/status/423077971004784640,http://twitter.com/annhealthcare
01/14/14,http://twitter.com/illingpig/status/423083865394401280,illingpig,@AdamsLisa on open chemo ward at the moment. Mine and at least ten others beeping away #auditoryhell #bcmets,7.531544,http://twitter.com/illingpig/status/423083865394401280,http://twitter.com/illingpig
01/14/14,http://twitter.com/illingpig/status/423208365201035264,illingpig,@stage4blog had a CT scan today to check progression. Bottle of champagne and half a pound of white chocolate later... #cancerstress #bcmets,7.4528193,http://twitter.com/illingpig/status/423208365201035264,http://twitter.com/illingpig
01/14/14,http://twitter.com/illingpig/status/423230060880224256,illingpig,"@Bumpyboobs good luck with yours, had mine today. Now the wait for results begins :( #bcmets",8.730915,http://twitter.com/illingpig/status/423230060880224256,http://twitter.com/illingpig
01/15/14,http://twitter.com/illingpig/status/423359348845576192,illingpig,MT pithy and empassioned blog update in the reality of life with metastic breast cancer from @iswhiz http://t.co/Qm2fayrXRh #bcmets #bcsm,9.771766,http://twitter.com/illingpig/status/423359348845576192,http://twitter.com/illingpig
01/15/14,http://twitter.com/annhealthcare/status/423360133851516928,annhealthcare,RT @illingpig: MT pithy and empassioned blog update in the reality of life with metastic breast cancer from @iswhiz http://t.co/Qm2fayrXRh …,7.225604,http://twitter.com/AnnHealthCare/status/423360133851516928,http://twitter.com/annhealthcare
01/15/14,http://twitter.com/martinetune/status/423379675336159232,martinetune,RT @illingpig: MT pithy and empassioned blog update in the reality of life with metastic breast cancer from @iswhiz http://t.co/Qm2fayrXRh …,7.225604,http://twitter.com/MartineTune/status/423379675336159232,http://twitter.com/martinetune
01/15/14,http://twitter.com/iswhiz/status/423401790835785728,iswhiz,RT @illingpig: MT pithy and empassioned blog update in the reality of life with metastic breast cancer from @iswhiz http://t.co/Qm2fayrXRh …,7.225604,http://twitter.com/iswhiz/status/423401790835785728,http://twitter.com/iswhiz
01/15/14,http://twitter.com/illingpig/status/423558286357852160,illingpig,@PapaPathos yup - shit for those of us with it and shit for those of you with(out) us :( #bcmets,7.4407215,http://twitter.com/illingpig/status/423558286357852160,http://twitter.com/illingpig
01/15/14,http://twitter.com/illingpig/status/423576544687443968,illingpig,"@kesleeman sure, the snag with mets is you know the game's up, just not quite when, or how for that matter #funfunfun #bcmets",7.6266937,http://twitter.com/illingpig/status/423576544687443968,http://twitter.com/illingpig
01/16/14,http://twitter.com/illingpig/status/423848351009112064,illingpig,company awayday on a boat - now have real sea (river) sickness to add to #bcmets anaemia vertigo and nausea from meds #triplewhammy :(,7.9484015,http://twitter.com/illingpig/status/423848351009112064,http://twitter.com/illingpig
01/16/14,http://twitter.com/illingpig/status/423933625835728896,illingpig,@gideonburrows just had scan to check on progression. Results Jan 27th. Appreciate where you're at ;-P #bcmets,8.834916,http://twitter.com/illingpig/status/423933625835728896,http://twitter.com/illingpig
01/21/14,http://twitter.com/breastcancersux/status/425453013311180801,breastcancersux,#bcmets My third round of implants..and I look like  National Geographic picture,8.355247,http://twitter.com/BreastCancerSux/status/425453013311180801,http://twitter.com/breastcancersux
01/24/14,http://twitter.com/ibcresearch/status/426815839149375488,ibcresearch,Dx in the last 6 mo with #Her2 #bcmets? Check out #SystHERs http://t.co/s8v1qn5Ous,7.2994914,http://twitter.com/IBCResearch/status/426815839149375488,http://twitter.com/ibcresearch
01/26/14,http://twitter.com/illingpig/status/427351870265647104,illingpig,In case you missed the excellent NYT oped How long have I got left?  http://t.co/USVBO13QeJ just as relevant for #bcmets #mbcsm,8.179277,http://twitter.com/illingpig/status/427351870265647104,http://twitter.com/illingpig
01/26/14,http://twitter.com/antoniabunnin/status/427357961804349441,antoniabunnin,RT @illingpig: In case you missed the excellent NYT oped How long have I got left?  http://t.co/USVBO13QeJ just as relevant for #bcmets #mb…,7.2397447,http://twitter.com/AntoniaBunnin/status/427357961804349441,http://twitter.com/antoniabunnin
01/26/14,http://twitter.com/illingpig/status/427552410786353152,illingpig,@JudeCallirgos you hit the nail on the head; condemned before I even get there .... let's see... #bcmets,7.7597265,http://twitter.com/illingpig/status/427552410786353152,http://twitter.com/illingpig
01/26/14,http://twitter.com/illingpig/status/427557594363068416,illingpig,"@iswhiz always a mystery #bcmets
this one's a grey one #hugeandfluffy",7.7585998,http://twitter.com/illingpig/status/427557594363068416,http://twitter.com/illingpig
01/27/14,http://twitter.com/illingpig/status/427779139735916544,illingpig,On the plus side; no #bcmets to brain/liver/lungs. On the minus side; tumour marker rising and growth in pancreas. Waiting for more bloods..,8.337812,http://twitter.com/illingpig/status/427779139735916544,http://twitter.com/illingpig
01/27/14,http://twitter.com/illingpig/status/427857061012336641,illingpig,"@iswhiz too true :( #plan is to investigate pancreas but stay on AI/Zometa, keep eye on CA153 &amp; review 2 months #bcmets",7.668151,http://twitter.com/illingpig/status/427857061012336641,http://twitter.com/illingpig
01/27/14,http://twitter.com/illingpig/status/427866010830770176,illingpig,@JCampisano too damn right! Thanks for the support #bcmets,8.118135,http://twitter.com/illingpig/status/427866010830770176,http://twitter.com/illingpig
01/30/14,http://twitter.com/ihatebreastcanc/status/428944995056230400,ihatebreastcanc,@AdamsLisa http://t.co/yG7fSZinDn  #dumbthingspeoplesayaboutMBC #bcmets,8.049765,http://twitter.com/ihatebreastcanc/status/428944995056230400,http://twitter.com/ihatebreastcanc
02/01/14,http://twitter.com/ihatebreastcanc/status/429608628744491010,ihatebreastcanc,"""Friends We Lost to Metastatic Breast Cancer in 2013"" http://t.co/Maoi7ZzZTq #bcmets",8.967459,http://twitter.com/ihatebreastcanc/status/429608628744491010,http://twitter.com/ihatebreastcanc
02/01/14,http://twitter.com/ihatebreastcanc/status/429608953249423361,ihatebreastcanc,Gone Too Soon: Remembering Some Friends We Lost to Metastatic Breast Cancer  in 2013 http://t.co/kCsBJR1gjc via @ihatebreastcanc #bcmets,7.440568,http://twitter.com/ihatebreastcanc/status/429608953249423361,http://twitter.com/ihatebreastcanc
02/01/14,http://twitter.com/gobrooklyn/status/429610836571590657,gobrooklyn,"RT @ihatebreastcanc: ""Friends We Lost to Metastatic Breast Cancer in 2013"" http://t.co/Maoi7ZzZTq #bcmets",7.8118763,http://twitter.com/GoBrooklyn/status/429610836571590657,http://twitter.com/gobrooklyn
02/01/14,http://twitter.com/ihatebreastcanc/status/429706969541128192,ihatebreastcanc,@itsthebunk Remembering my metastatic breast cancer friends. Pls. share: http://t.co/M893NP04A9 #bcmets,9.021722,http://twitter.com/ihatebreastcanc/status/429706969541128192,http://twitter.com/ihatebreastcanc
02/01/14,http://twitter.com/amyblacktattoos/status/429709684707459072,amyblacktattoos,RT @ihatebreastcanc: @itsthebunk Remembering my metastatic breast cancer friends. Pls. share: http://t.co/M893NP04A9 #bcmets,7.486138,http://twitter.com/AmyBlackTattoos/status/429709684707459072,http://twitter.com/amyblacktattoos
02/01/14,http://twitter.com/ihatebreastcanc/status/429722380932378624,ihatebreastcanc,"@komenchicago Unfortunately things aren't looking so good in this developed nation, either: http://t.co/5b5VgxJJPH #bcmets #bcfact",7.489458,http://twitter.com/ihatebreastcanc/status/429722380932378624,http://twitter.com/ihatebreastcanc
02/01/14,http://twitter.com/greekpatients/status/429736506052583424,greekpatients,RT @ihatebreastcanc: @itsthebunk Remembering my metastatic breast cancer friends. Pls. share: http://t.co/M893NP04A9 #bcmets,7.486138,http://twitter.com/greekpatients/status/429736506052583424,http://twitter.com/greekpatients
02/02/14,http://twitter.com/mbcnbuzz/status/430011386861592576,mbcnbuzz,recommend @HopkinsMedicine retreats for women with #bcmets and caregiver in April; couples in Sept http://t.co/9uBTCTob2B,9.157181,http://twitter.com/MBCNbuzz/status/430011386861592576,http://twitter.com/mbcnbuzz
02/02/14,http://twitter.com/ihatebreastcanc/status/430014044506816512,ihatebreastcanc,RT @MBCNbuzz: recommend @HopkinsMedicine retreats for women with #bcmets and caregiver in April; couples in Sept http://t.co/9uBTCTob2B,7.3932023,http://twitter.com/ihatebreastcanc/status/430014044506816512,http://twitter.com/ihatebreastcanc
