firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/lindseyhein/status/418436730102890496,lindseyhein,Out for a Run: How 2013 went down for the Heins. http://t.co/MgD8mrstsz #run #brca2 #coaching #PR Lot's happened &amp; we're ready for 2014!,8.950646,http://twitter.com/LindseyHein/status/418436730102890496,http://twitter.com/lindseyhein
01/01/14,http://twitter.com/ghein83/status/418508744436117504,ghein83,RT @LindseyHein: Out for a Run: How 2013 went down for the Heins. http://t.co/MgD8mrstsz #run #brca2 #coaching #PR Lot's happened &amp; we're r…,7.204013,http://twitter.com/ghein83/status/418508744436117504,http://twitter.com/ghein83
01/02/14,http://twitter.com/lindseyhein/status/418799981227548675,lindseyhein,"Hmmmm, looking for a new swimsuit w/ a top that has no padding. Something I never saw myself doing. #newboobprobs #brca2",8.60827,http://twitter.com/LindseyHein/status/418799981227548675,http://twitter.com/lindseyhein
01/03/14,http://twitter.com/graceforgayle/status/418993675733975041,graceforgayle,RT @bloggingBRCA: shocking discoveries five days before #hysterectomy #BRCA2 #FORCE #facingourrisk http://t.co/CHB8LJSzT8,7.435498,http://twitter.com/graceforgayle/status/418993675733975041,http://twitter.com/graceforgayle
01/03/14,http://twitter.com/graceforgayle/status/418994000008192000,graceforgayle,"@LindseyHein LOL and *I* never saw myself fitting into ""store bought"" normal suits! go us?!?!! #previvor #brca2",8.2981205,http://twitter.com/graceforgayle/status/418994000008192000,http://twitter.com/graceforgayle
12/31/13,http://twitter.com/kelseyleduc/status/418104442878062592,graceforgayle,RT @KelseyLeduc: Third day back at the gym. Making progress &amp; feeling good! #recovery #brca2 #gymlife It's almost a new year,7.4820614,http://twitter.com/graceforgayle/status/418994070422163456,http://twitter.com/graceforgayle
01/03/14,http://twitter.com/graceforgayle/status/418994402078363648,graceforgayle,@KelseyLeduc you go girl! I'm ready to get back too! surgery was 10/30/13 :) #brca2 #previvor #fit #oopsnotfit,7.314433,http://twitter.com/graceforgayle/status/418994402078363648,http://twitter.com/graceforgayle
01/03/14,http://twitter.com/graceforgayle/status/418994590796881920,graceforgayle,RT @LindseyHein: .@TodayShow covering if healthy people should get genetic testing...I say yes &amp; here's my story: http://t.co/kkRQz6vINy #B…,7.2429442,http://twitter.com/graceforgayle/status/418994590796881920,http://twitter.com/graceforgayle
12/26/13,http://twitter.com/az_charlene/status/416253870520557569,graceforgayle,RT @AZ_Charlene: Here are some startling and sobering #BRCA1 #BRCA2 stats and facts. http://t.co/dmWATYXQYd,8.579542,http://twitter.com/graceforgayle/status/418994783122497536,http://twitter.com/graceforgayle
01/03/14,http://twitter.com/tracilynnfew/status/419090949336100865,tracilynnfew,RT @AZ_Charlene: Here are some startling and sobering #BRCA1 #BRCA2 stats and facts. http://t.co/dmWATYXQYd,7.7065544,http://twitter.com/tracilynnfew/status/419090949336100865,http://twitter.com/tracilynnfew
01/03/14,http://twitter.com/kelseyleduc/status/419178866067132416,kelseyleduc,@graceforgayle Keep strong girl and good luck! Longer recovery process than I anticipated. All for the best though :) #brca2,7.4766946,http://twitter.com/KelseyLeduc/status/419178866067132416,http://twitter.com/kelseyleduc
01/04/14,http://twitter.com/myriadgenetics/status/419550046422462464,myriadgenetics,Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td #hereditarycancer #hboc,8.52997,http://twitter.com/myriadgenetics/status/419550046422462464,http://twitter.com/myriadgenetics
01/05/14,http://twitter.com/brcaumbrella/status/419824266151215104,brcaumbrella,RT @myriadgenetics: Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td #here…,7.0275908,http://twitter.com/BRCAUmbrella/status/419824266151215104,http://twitter.com/brcaumbrella
01/05/14,http://twitter.com/braggsonline/status/419828209400954881,braggsonline,RT @myriadgenetics: Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td #here…,7.0275908,http://twitter.com/braGGsonline/status/419828209400954881,http://twitter.com/braggsonline
01/06/14,http://twitter.com/brcaumbrella/status/420283838590226432,brcaumbrella,3-D tech can help ID breast cancer | The Herald-Dispatch http://t.co/HNPFx8hEjc #BRCA2 #genetics #breastcancer #BRCA,7.2458215,http://twitter.com/BRCAUmbrella/status/420283838590226432,http://twitter.com/brcaumbrella
01/06/14,http://twitter.com/myriadgenetics/status/420296967458000897,myriadgenetics,Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td #hereditarycancer #hboc,7.1429615,http://twitter.com/myriadgenetics/status/420296967458000897,http://twitter.com/myriadgenetics
01/08/14,http://twitter.com/myriadgenetics/status/420932924196659200,myriadgenetics,Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td #hereditarycancer #hboc,8.057442,http://twitter.com/myriadgenetics/status/420932924196659200,http://twitter.com/myriadgenetics
01/08/14,http://twitter.com/23_pares/status/420935127389442048,23_pares,RT @myriadgenetics: Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td #here…,7.0423684,http://twitter.com/23_Pares/status/420935127389442048,http://twitter.com/23_pares
01/09/14,http://twitter.com/caitybrodnick/status/421358156476739584,caitybrodnick,Thank you SO much for all of the comments and love! Happy to answer more about #BRCA1 #BRCA2 &amp; breast cancer! https://t.co/PwYOlaQDlW,9.762772,http://twitter.com/caitybrodnick/status/421358156476739584,http://twitter.com/caitybrodnick
01/10/14,http://twitter.com/az_charlene/status/421514904328105984,az_charlene,"It sure feels good to be talking about #BRCA2 from the other side now... Man, that sucked....",11.549965,http://twitter.com/AZ_Charlene/status/421514904328105984,http://twitter.com/az_charlene
01/10/14,http://twitter.com/az_charlene/status/421516287836033024,az_charlene,"And of course I HATE the way I look on camera. UGH. But whatever. It's about getting the word out about #BRCA2, not about my fat butt :)",11.703125,http://twitter.com/AZ_Charlene/status/421516287836033024,http://twitter.com/az_charlene
01/10/14,http://twitter.com/lilbuga16/status/421526713277747200,adam_delgadillo,"RT @AZ_Charlene: And of course I HATE the way I look on camera. UGH. But whatever. It's about getting the word out about #BRCA2, not about …",7.582389,http://twitter.com/lilbuga16/status/421526713277747200,http://twitter.com/adam_delgadillo
01/11/14,http://twitter.com/myriadgenetics/status/422027631874154496,myriadgenetics,Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td  #hereditarycancer #hboc,7.248656,http://twitter.com/myriadgenetics/status/422027631874154496,http://twitter.com/myriadgenetics
01/12/14,http://twitter.com/facesbytrish/status/422353740574646272,facesbytrish,Support my mission w @pinkandbluedoc here http://t.co/fckLyn24Pm and http://t.co/6oXpriCoHT #BRCA1 #BRCA2 #Male #Female **RT**PLEASE** #B1,8.328211,http://twitter.com/facesbytrish/status/422353740574646272,http://twitter.com/facesbytrish
01/12/14,http://twitter.com/mamamchackett/status/422397797912944640,mamamchackett,"@PanCAN, can you refer me to genetic testing in Chicago? #brca2",8.643089,http://twitter.com/mamamchackett/status/422397797912944640,http://twitter.com/mamamchackett
01/12/14,http://twitter.com/pinkandbluedoc/status/422407882965913603,pinkandbluedoc,RT @facesbytrish: Support my mission w @pinkandbluedoc here http://t.co/fckLyn24Pm and http://t.co/6oXpriCoHT #BRCA1 #BRCA2 #Male #Female *…,7.254138,http://twitter.com/pinkandbluedoc/status/422407882965913603,http://twitter.com/pinkandbluedoc
01/12/14,http://twitter.com/myriadgenetics/status/422430275587432448,myriadgenetics,Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td #hereditarycancer #hboc,7.248656,http://twitter.com/myriadgenetics/status/422430275587432448,http://twitter.com/myriadgenetics
01/13/14,http://twitter.com/floridaforce/status/422534027300835328,brcaresponder,RT @caitybrodnick: Thank you SO much for all of the comments and love! Happy to answer more about #BRCA1 #BRCA2 &amp; breast cancer! https://t.…,7.4717164,http://twitter.com/FloridaForce/status/422534027300835328,http://twitter.com/brcaresponder
01/13/14,http://twitter.com/brcaumbrella/status/422857843385962496,brcaumbrella,Ten new members joined @BRCAUmbrella  this week - pop by and welcome them! #BRCA1 #BRCA2 #Genetics #breastcancer #ovariancancer,7.9847417,http://twitter.com/BRCAUmbrella/status/422857843385962496,http://twitter.com/brcaumbrella
01/13/14,http://twitter.com/abcdiagnosis/status/422867411403304960,abcdiagnosis,RT @BRCAUmbrella: Ten new members joined @BRCAUmbrella  this week - pop by and welcome them! #BRCA1 #BRCA2 #Genetics #breastcancer #ovarian…,6.934989,http://twitter.com/abcdiagnosis/status/422867411403304960,http://twitter.com/abcdiagnosis
01/14/14,http://twitter.com/myriadgenetics/status/423108494661660675,myriadgenetics,Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td   #hereditarycancer #hboc,8.863005,http://twitter.com/myriadgenetics/status/423108494661660675,http://twitter.com/myriadgenetics
01/14/14,http://twitter.com/womenscawatch/status/423122387165782017,womenscawatch,RT @myriadgenetics: Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td   #he…,7.0589795,http://twitter.com/WomensCaWatch/status/423122387165782017,http://twitter.com/womenscawatch
01/14/14,http://twitter.com/kintalkucsf/status/423122446724526083,kintalkucsf,Primary care screening advised to select women for #BRCA1 and #BRCA2 genetic counseling http://t.co/H5AE9wYZ4p,7.6653786,http://twitter.com/KintalkUCSF/status/423122446724526083,http://twitter.com/kintalkucsf
01/16/14,http://twitter.com/myriadgenetics/status/423839590995079168,myriadgenetics,Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td    #hereditarycancer #hboc,7.190569,http://twitter.com/myriadgenetics/status/423839590995079168,http://twitter.com/myriadgenetics
01/17/14,http://twitter.com/wchospital/status/424185846880043009,wchospital,"#WCHToday @WCRInstitute #Rounds: A Cancer Risk Assessment Tool for #BRCA1 &amp; #BRCA2 Carriers, Vasily Giannakeas, MPH candidate @UofT 9:30am",6.7298546,http://twitter.com/WCHospital/status/424185846880043009,http://twitter.com/wchospital
01/18/14,http://twitter.com/myriadgenetics/status/424618946021437440,myriadgenetics,Do you want to find out more about #BRCA1 and #BRCA2 #genetictesting? This video can help: http://t.co/lrbThnk5td    #hereditarycancer #hboc,7.1904182,http://twitter.com/myriadgenetics/status/424618946021437440,http://twitter.com/myriadgenetics
01/20/14,http://twitter.com/empiregenomics/status/425294881636892672,empiregenomics,#BROCA Sequencing Approach Evaluates All 24 Genes Implicated in #BreastCancer  #BRCA1 #BRCA2 http://t.co/3UHboHDJh5,7.33569,http://twitter.com/EmpireGenomics/status/425294881636892672,http://twitter.com/empiregenomics
