firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/jodi_sykes/status/418360470278377473,jodi_sykes,"☼ HAPPY NEW YEAR SALE on my #Lymphoma memoir! Download to your Kindle or PC today for 99 cents!
http://t.co/QEcs5YsIgu
Please RT! ☼",7.8235483,http://twitter.com/Jodi_Sykes/status/418360470278377473,http://twitter.com/jodi_sykes
01/01/14,http://twitter.com/healthytips357/status/418382665356566528,healthytips357,"How #Lymphoma, the most common #cancer affect between 20 and 35 #years of #age http://t.co/Ebt1mf9nho",7.7524376,http://twitter.com/healthytips357/status/418382665356566528,http://twitter.com/healthytips357
01/01/14,http://twitter.com/evanwelcher/status/418413041252700160,evanwelcher,Update On My Resplendent Bride 1.1.14 #Cancer #Leukemia #Lymphoma #ChristianMarriage  http://t.co/7Ue0fU5WhU,7.5257215,http://twitter.com/EvanWelcher/status/418413041252700160,http://twitter.com/evanwelcher
01/02/14,http://twitter.com/sheliakroll/status/418581895492800512,sheliakroll,Many #Survivors Of #Lymphoma Did Not #Receive A Recommendation To Take Further Tests For Other Types Of Cancer http://t.co/BrEMGgbRDY,7.5883994,http://twitter.com/sheliakroll/status/418581895492800512,http://twitter.com/sheliakroll
01/02/14,http://twitter.com/bikerace/status/418630757176070145,bikerace,Team Liam. #lymphoma #cancer #cancersucks #cuckfancer #stupidcancer #love #family #ricoh #grd #ricohgrd http://t.co/6rFJIAQF4j,7.015186,http://twitter.com/bikerace/status/418630757176070145,http://twitter.com/bikerace
01/02/14,http://twitter.com/bikerace/status/418635859160989696,bikerace,Team Liam. #lymphoma #cancer #cancersucks #cuckfancer #stupidcancer #love #family #ricoh #grd #ricohgrd http://t.co/ZkW1cc1syc,7.017824,http://twitter.com/bikerace/status/418635859160989696,http://twitter.com/bikerace
01/02/14,http://twitter.com/mnt_leukemia/status/418654172636930049,mnt_leukemia,Many chronic diseases associated with aging are due to parasitic DNA http://t.co/fYfDL3lTis #lymphoma #leukemia,7.4464984,http://twitter.com/mnt_leukemia/status/418654172636930049,http://twitter.com/mnt_leukemia
01/02/14,http://twitter.com/kimberlyanngeo/status/418657111325687808,kimberlyanngeo,"Love Is ... Holy Shit - I Have #Cancer @HuffingtonPost Touching story by  #physician diagnosed with #lymphoma
http://t.co/lQnFKSxdxO",7.404342,http://twitter.com/kimberlyanngeo/status/418657111325687808,http://twitter.com/kimberlyanngeo
01/02/14,http://twitter.com/jodi_sykes/status/418696919892770816,jodi_sykes,☼ HAPPY NEW YEAR SALE on my #Lymphoma memoir! Download to your Kindle or PC today for 99 cents! http://t.co/QEcs5YsIgu  Please RT! ☼,7.789813,http://twitter.com/Jodi_Sykes/status/418696919892770816,http://twitter.com/jodi_sykes
01/02/14,http://twitter.com/jodi_sykes/status/418704091951280128,jodi_sykes,"♥ GOT #LYMPHOMA? Check out my daily blog for a daily dose of #inspiration! Here is a new mantra for you- http://t.co/fgmlWjkJlg
Please RT! ♥",7.244458,http://twitter.com/Jodi_Sykes/status/418704091951280128,http://twitter.com/jodi_sykes
01/02/14,http://twitter.com/jodi_sykes/status/418705455829893120,jodi_sykes,"♦ #SPTCL is a rare form of #Lymphoma, but, you are NOT alone. If you have been DX w/ it, contact me via my blog, http://t.co/XD3aPSGMdv! ♦",7.638249,http://twitter.com/Jodi_Sykes/status/418705455829893120,http://twitter.com/jodi_sykes
