firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/30/14,http://twitter.com/rowdgowd/status/429005251400962049,rowdgowd,#radpath #angiosarcoma #breastca risk with #postradiation,7.8213444,http://twitter.com/rowdgowd/status/429005251400962049,http://twitter.com/rowdgowd
02/03/14,http://twitter.com/cherylo78/status/430316894860500992,cherylo78,Starting to collect prizes for annual golf tourney in memory of my dad-anyone?? #angiosarcoma,7.510078,http://twitter.com/cherylo78/status/430316894860500992,http://twitter.com/cherylo78
02/03/14,http://twitter.com/rowdgowd/status/430482019597156352,rowdgowd,#radpath #angiosarcoma - MC primary non-lymphomatous splenic malignancy #aggressive #vascular #hemmorhage and #necrosis,6.947817,http://twitter.com/rowdgowd/status/430482019597156352,http://twitter.com/rowdgowd
02/11/14,http://twitter.com/cherylo78/status/433324392177618944,cherylo78,Collecting prizes for my golf tournament - all proceeds to #angiosarcoma,8.071649,http://twitter.com/cherylo78/status/433324392177618944,http://twitter.com/cherylo78
02/24/14,http://twitter.com/wcdesigns/status/438019714896257024,wcdesigns,AngioSarcoma Awareness Crochet Footies/Socks http://t.co/kpANLcf7Hh #crochet #craft #handmade @wcdesigns #angiosarcoma,8.176597,http://twitter.com/WcDesigns/status/438019714896257024,http://twitter.com/wcdesigns
02/24/14,http://twitter.com/wcdesigns/status/438020048209186816,wcdesigns,Washington Redskins Team Colors Crochet Set http://t.co/Bru133ng3Y #crochet #craft #handmade @wcdesigns #angiosarcoma #washingtonredskins,8.205257,http://twitter.com/WcDesigns/status/438020048209186816,http://twitter.com/wcdesigns
02/24/14,http://twitter.com/purplekissco/status/438022060863160320,purplekissco,RT @WcDesigns: AngioSarcoma Awareness Crochet Footies/Socks http://t.co/kpANLcf7Hh #crochet #craft #handmade @wcdesigns #angiosarcoma,7.202851,http://twitter.com/PurpleKissCo/status/438022060863160320,http://twitter.com/purplekissco
02/24/14,http://twitter.com/purplekissco/status/438022114906742785,purplekissco,RT @WcDesigns: Washington Redskins Team Colors Crochet Set http://t.co/Bru133ng3Y #crochet #craft #handmade @wcdesigns #angiosarcoma #washi…,7.2473555,http://twitter.com/PurpleKissCo/status/438022114906742785,http://twitter.com/purplekissco
02/24/14,http://twitter.com/wcdesigns/status/438027448978915328,wcdesigns,Crochet baby Pom Pom Hat/Red  http://t.co/IBGTbbVMw7 #crochet #craft #handmade @wcdesigns #angiosarcoma,7.583777,http://twitter.com/WcDesigns/status/438027448978915328,http://twitter.com/wcdesigns
02/24/14,http://twitter.com/wcdesigns/status/438027523650117632,wcdesigns,Crochet Baby Pom Pom Hat/Yellow http://t.co/O3qGKIqR28  #crochet #craft #handmade @wcdesigns #angiosarcoma,7.6530647,http://twitter.com/WcDesigns/status/438027523650117632,http://twitter.com/wcdesigns
02/24/14,http://twitter.com/wcdesigns/status/438034490087051264,wcdesigns,Crochet Brown Mix Clutch Purse http://t.co/viahrdJfwF  #crochet #craft #handmade @wcdesigns #angiosarcoma,8.467479,http://twitter.com/WcDesigns/status/438034490087051264,http://twitter.com/wcdesigns
02/24/14,http://twitter.com/purplekissco/status/438038312805470209,purplekissco,RT @WcDesigns: Crochet Brown Mix Clutch Purse http://t.co/viahrdJfwF  #crochet #craft #handmade @wcdesigns #angiosarcoma,7.4472914,http://twitter.com/PurpleKissCo/status/438038312805470209,http://twitter.com/purplekissco
03/11/14,http://twitter.com/albinovet/status/443396614468927488,albinovet,dog new lymphatic endothelial immunohistochemical markers differentiate cutaneous #angiosarcoma from hemangiosarcoma http://t.co/tY4AFsRvfJ,7.3966084,http://twitter.com/Albinovet/status/443396614468927488,http://twitter.com/albinovet
03/15/14,http://twitter.com/dianeradfordmd/status/444871688602140672,dianeradfordmd,Radiation-induced #angiosarcoma first described in 1987. Latency period since RT 7-8 yrs. Rate 0.04 to 0.14% #SSO2014 #bcsm @SocSurgOnc,7.648942,http://twitter.com/dianeradfordmd/status/444871688602140672,http://twitter.com/dianeradfordmd
03/15/14,http://twitter.com/ancasa2000/status/444926825181884416,ancasa2000,RT @dianeradfordmd: Radiation-induced #angiosarcoma first described in 1987. Latency period since RT 7-8 yrs. Rate 0.04 to 0.14% #SSO2014 #…,6.627761,http://twitter.com/ancasa2000/status/444926825181884416,http://twitter.com/ancasa2000
03/18/14,http://twitter.com/mybiotechniques/status/445984399172337664,mybiotechniques,Recurrent PTPRB and PLCG1 mutations in #angiosarcoma http://t.co/HjANUHMrnT,7.726171,http://twitter.com/MyBioTechniques/status/445984399172337664,http://twitter.com/mybiotechniques
04/02/14,http://twitter.com/melissa2ca/status/451385612818329600,melissa2ca,#cancerawareness Help us in raising money for #angiosarcoma research http://t.co/n6j0f0iRzf May 3 2014 10K and 5K Run http://t.co/I9CeIbVxUv,7.998942,http://twitter.com/melissa2ca/status/451385612818329600,http://twitter.com/melissa2ca
05/02/14,http://twitter.com/jmgardnermd/status/462021326447063040,jmgardnermd,@EDDFoundation didn't realize u are in Dallas. I'll be there tomorrow and sat to speak on #angiosarcoma &amp; #hcsm at TX derm society,7.5200834,http://twitter.com/JMGardnerMD/status/462021326447063040,http://twitter.com/jmgardnermd
