firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/look_to_god/status/418175763825696768,look_to_god,Not doing very good on my sodium. Deciding my #resolution will be aiming for adding a mug of bullion broth to every meal. #dysautonomia #ncs,9.25482,http://twitter.com/look_to_god/status/418175763825696768,http://twitter.com/look_to_god
01/01/14,http://twitter.com/vandamir/status/418196116413227008,vandamir,Boom. Crash. Eating fatigue. Damn #Dysautonomia.,11.705121,http://twitter.com/Vandamir/status/418196116413227008,http://twitter.com/vandamir
01/01/14,http://twitter.com/withasideofsalt/status/418207408716910592,withasideofsalt,RT @look_to_god: Not doing very good on my sodium. Deciding my #resolution will be aiming for adding a mug of bullion broth to every meal. …,7.032384,http://twitter.com/WithaSideofSalt/status/418207408716910592,http://twitter.com/withasideofsalt
01/01/14,http://twitter.com/asouthernceliac/status/418236201116921856,asouthernceliac,RT @look_to_god: Not doing very good on my sodium. Deciding my #resolution will be aiming for adding a mug of bullion broth to every meal. …,7.032384,http://twitter.com/asouthernceliac/status/418236201116921856,http://twitter.com/asouthernceliac
01/01/14,http://twitter.com/asouthernceliac/status/418236673223561216,asouthernceliac,Happy New Year! Wishing everyone a year with few flares and lots of fun! #ehlersdanlos #dysautonomia #spoonie,7.515193,http://twitter.com/asouthernceliac/status/418236673223561216,http://twitter.com/asouthernceliac
01/01/14,http://twitter.com/farouttothemax/status/418254079127609344,farouttothemax,My nervous system better sort itself out bc I have lots of drinking left to do before I leave this earth. #POTS #Dysautonomia #IHateMyBody,7.6214604,http://twitter.com/farouttothemax/status/418254079127609344,http://twitter.com/farouttothemax
01/30/13,http://twitter.com/ohitskaylaaa/status/296485286790176770,mckayla_leeann,RT @potsykayla: New picture I just made! Hahah. #dysautonomia #dysautonomiaprobs #pots #potsie #potsprobs #sponnie http://t.co/NtB4fmu3,7.7664824,http://twitter.com/mckayla_leeann/status/418303806900695040,http://twitter.com/mckayla_leeann
01/01/14,http://twitter.com/withasideofsalt/status/418492230429458432,withasideofsalt,"Hoping everyone is having a wonderful, healthy New Year's Day! :) #POTS #POTSprobs #POTSproblems #dysautonomia #spoonie #chronicillness",7.721941,http://twitter.com/WithaSideofSalt/status/418492230429458432,http://twitter.com/withasideofsalt
01/01/14,http://twitter.com/emziejaneb/status/418519440985432064,emziejaneb,I made it through another year and I'll keep fighting! #Lupus #SLE #dysautonomia #POTS #EDS #HMS Happy 2014 to all my fellow #spoonies,7.0905476,http://twitter.com/emziejaneb/status/418519440985432064,http://twitter.com/emziejaneb
01/02/14,http://twitter.com/hieutnguy3n/status/418595347296825344,hieu_nguyen7,Don't pick a fight you can't win @Princess_Maggs #ManUp #sorrynotsorry #POTS #spoonie #dysautonomia #asian #imfine #epitomeofhealth #meme,6.9669356,http://twitter.com/HieuTnguy3n/status/418595347296825344,http://twitter.com/hieu_nguyen7
01/02/14,http://twitter.com/hecticheart/status/418755245532258304,glitterkhaos,Photo: worlds smallest tan #iv #er #hospital #emergencyroom #gastroparesis #dysautonomia #pots... http://t.co/iJy5v3wXu3,7.268243,http://twitter.com/hecticheart/status/418755245532258304,http://twitter.com/glitterkhaos
01/02/14,http://twitter.com/pam531/status/418762424880087042,pam531,My son is discouraged &amp; ready to give up on school - any suggestions? #POTSprobs  #POTS #Spoonie #POTSproblems #dysautonomia #chronicillness,6.6815934,http://twitter.com/Pam531/status/418762424880087042,http://twitter.com/pam531
01/02/14,http://twitter.com/davidjernigan/status/418776844360368128,davidjernigan,Is Coherence testing our best hope for optimum health? #Lyme #Dysautonomia http://t.co/ChTvaYUa9K,12.053015,http://twitter.com/DavidJernigan/status/418776844360368128,http://twitter.com/davidjernigan
01/02/14,http://twitter.com/frontierneuro/status/418777569077362688,profitfromgood,RT @DavidJernigan: Is Coherence testing our best hope for optimum health? #Lyme #Dysautonomia http://t.co/ChTvaYUa9K,7.2082686,http://twitter.com/FrontierNeuro/status/418777569077362688,http://twitter.com/profitfromgood
01/02/14,http://twitter.com/mildlymedicated/status/418800364222021632,mildlymedicated,"New Blog Post!! Kat and Beau, a #Dysautonomia #ServiceDog Alert Team #alertdog #wheelchairlife | http://t.co/U8I2846Ckv",7.348765,http://twitter.com/MildlyMedicated/status/418800364222021632,http://twitter.com/mildlymedicated
01/02/14,http://twitter.com/meganlcowan/status/418762538021847040,mailgale,RT @MeganLCowan: OMG shoot me. It'll be less painful than surviving these snowstorms. #EDS #fibro #dysautonomia,7.2880483,http://twitter.com/mailgale/status/418824383063662592,http://twitter.com/mailgale
01/02/14,http://twitter.com/dinetorg/status/418840267995623424,dinetorg,"Kat and Beau, a Dysautonomia Service Dog Alert Team http://t.co/G7CrhjLueV #dysautonomia #syncope #servicedog",9.538377,http://twitter.com/DINETorg/status/418840267995623424,http://twitter.com/dinetorg
01/02/14,http://twitter.com/dr_mz13/status/418840762831208448,dr_mz13,"Pray for the sick #Spoonies
#ChronicPain #ChronicIllness 
#Dysautonomia #pots #EDS 
#hypermobility #PHN #shingles 
#VZV #encephalitis #tgn",6.6222315,http://twitter.com/Dr_mz13/status/418840762831208448,http://twitter.com/dr_mz13
01/02/14,http://twitter.com/dinetorg/status/418841634034307072,dinetorg,"Postural Orthostatic Tachycardia Syndrome (POTS) and Vitamin B12Deficiency in Adolescents
http://t.co/YeYAVLRWnC  #dysautonomia #POTS",8.381497,http://twitter.com/DINETorg/status/418841634034307072,http://twitter.com/dinetorg
01/02/14,http://twitter.com/faith1o1/status/418860401141747712,faith1o1,"RT @DINETorg: Postural Orthostatic Tachycardia Syndrome (POTS) and Vitamin B12Deficiency in Adolescents
http://t.co/YeYAVLRWnC  #dysautonom…",6.940442,http://twitter.com/Faith1o1/status/418860401141747712,http://twitter.com/faith1o1
01/02/14,http://twitter.com/withasideofsalt/status/418880831633907712,withasideofsalt,Thanks for sharing @babykaitlinxoxo! #POTS #POTSprobs #POTSproblems #dysautonomia #spoonie #chronicillness #support http://t.co/ShyIxIOs2N,9.627338,http://twitter.com/WithaSideofSalt/status/418880831633907712,http://twitter.com/withasideofsalt
01/02/14,http://twitter.com/sara_loftus/status/418881081702883328,sara_loftus,RT @WithaSideofSalt: Thanks for sharing @babykaitlinxoxo! #POTS #POTSprobs #POTSproblems #dysautonomia #spoonie #chronicillness #support ht…,6.799139,http://twitter.com/sara_loftus/status/418881081702883328,http://twitter.com/sara_loftus
01/02/14,http://twitter.com/edscanada2013/status/418882048062152704,_edscanada,RT @WithaSideofSalt: Thanks for sharing @babykaitlinxoxo! #POTS #POTSprobs #POTSproblems #dysautonomia #spoonie #chronicillness #support ht…,6.799139,http://twitter.com/EDSCanada2013/status/418882048062152704,http://twitter.com/_edscanada
01/02/14,http://twitter.com/edscanada2013/status/418882566872399872,_edscanada,"RT @DINETorg: Postural Orthostatic Tachycardia Syndrome (POTS) and Vitamin B12Deficiency in Adolescents
http://t.co/YeYAVLRWnC  #dysautonom…",6.940442,http://twitter.com/EDSCanada2013/status/418882566872399872,http://twitter.com/_edscanada
01/02/14,http://twitter.com/edscanada2013/status/418882640557899776,_edscanada,"RT @DINETorg: Kat and Beau, a Dysautonomia Service Dog Alert Team http://t.co/G7CrhjLueV #dysautonomia #syncope #servicedog",7.195441,http://twitter.com/EDSCanada2013/status/418882640557899776,http://twitter.com/_edscanada
01/02/14,http://twitter.com/withasideofsalt/status/418883478852079618,withasideofsalt,"Thanks for sharing @HopeChronic!  ""The most important thing in illness is never to lose heart."" -Nikolai Lenin #dysautonomia #spoonie",8.66465,http://twitter.com/WithaSideofSalt/status/418883478852079618,http://twitter.com/withasideofsalt
01/02/14,http://twitter.com/olivia_so_much/status/418885124743520258,olivia_so_much,RT @WithaSideofSalt: Thanks for sharing @babykaitlinxoxo! #POTS #POTSprobs #POTSproblems #dysautonomia #spoonie #chronicillness #support ht…,6.799139,http://twitter.com/Olivia_So_Much/status/418885124743520258,http://twitter.com/olivia_so_much
01/02/14,http://twitter.com/bilden05/status/418885138735308800,bilden05,“@WithaSideofSalt: #POTS #POTSprobs #dysautonomia  #chronicillness http://t.co/6DmrDfoJEy” 🙌,7.498272,http://twitter.com/bilden05/status/418885138735308800,http://twitter.com/bilden05
01/02/14,http://twitter.com/igmurray/status/418891426756579328,igmurray,Anyone with #dysautonomia take the pill to help with symptoms? I've been on it for years (taken continuously -&gt; no period) &amp;it helps!,7.5322523,http://twitter.com/igmurray/status/418891426756579328,http://twitter.com/igmurray
01/02/14,http://twitter.com/kayteesblessing/status/418892726889750528,kayteesblessing,RT @WithaSideofSalt: Thanks for sharing @babykaitlinxoxo! #POTS #POTSprobs #POTSproblems #dysautonomia #spoonie #chronicillness #support ht…,6.799139,http://twitter.com/kayteesblessing/status/418892726889750528,http://twitter.com/kayteesblessing
01/03/14,http://twitter.com/sherlockashley/status/418899512586166273,sherlockashley,RT @WithaSideofSalt: Thanks for sharing @babykaitlinxoxo! #POTS #POTSprobs #POTSproblems #dysautonomia #spoonie #chronicillness #support ht…,6.799139,http://twitter.com/SherlockAshley/status/418899512586166273,http://twitter.com/sherlockashley
01/03/14,http://twitter.com/potsydizzy/status/418905449254387712,potsydizzy,#Repost from safout1 with repostapp #chronicillness #dysautonomia #gastroparesisawareness… http://t.co/w5SSC81xu2,7.2471333,http://twitter.com/potsydizzy/status/418905449254387712,http://twitter.com/potsydizzy
01/03/14,http://twitter.com/mandymorbid/status/418906126055251968,mandymorbid,Taking down my xmas tree is too much work today. #dysautonomia #ehlersdanlos,11.346342,http://twitter.com/MandyMorbid/status/418906126055251968,http://twitter.com/mandymorbid
01/03/14,http://twitter.com/kp10bji/status/418919089537425408,kp10bji,"RT @WithaSideofSalt: Thanks for sharing @HopeChronic!  ""The most important thing in illness is never to lose heart."" -Nikolai Lenin #dysaut…",7.202591,http://twitter.com/kp10bji/status/418919089537425408,http://twitter.com/kp10bji
01/03/14,http://twitter.com/look_to_god/status/418919608968421376,look_to_god,I'm beginning to wonder if I'm building a resistance to my higher midodrine dose. #NotAgain #DontWantToGoBackToTheDrs #dysautonomia #ncs,8.128042,http://twitter.com/look_to_god/status/418919608968421376,http://twitter.com/look_to_god
