firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/zebra_ballerina/status/418219160552742912,zebra_ballerina,"Not slept. Ability to read abandoned me (serious eyeblur lovely) some time ago: oh, #ehlersdanlos, just had to get in there, didn't you...",7.5001125,http://twitter.com/zebra_ballerina/status/418219160552742912,http://twitter.com/zebra_ballerina
01/01/14,http://twitter.com/asouthernceliac/status/418236673223561216,asouthernceliac,Happy New Year! Wishing everyone a year with few flares and lots of fun! #ehlersdanlos #dysautonomia #spoonie,7.5473466,http://twitter.com/asouthernceliac/status/418236673223561216,http://twitter.com/asouthernceliac
01/01/14,http://twitter.com/ehlersdanlosuk/status/418320877579960320,ehlersdanlosuk,Happy 2014! This year our resolution is to fight for awareness &amp; education in the medical community http://t.co/vktxoE6eE8 #ehlersdanlos,10.044976,http://twitter.com/ehlersdanlosuk/status/418320877579960320,http://twitter.com/ehlersdanlosuk
01/01/14,http://twitter.com/ehlersdanlosuk/status/418320939580137472,ehlersdanlosuk,PAIN STUDY: How to look and move forward whilst living with chronic pain: http://t.co/pEmUQn6teB #ehlersdanlos #chronicpain #hypermobility,9.109093,http://twitter.com/ehlersdanlosuk/status/418320939580137472,http://twitter.com/ehlersdanlosuk
01/01/14,http://twitter.com/tmrf20_09/status/418321025399787520,tmrf20_09,RT @ehlersdanlosuk: PAIN STUDY: How to look and move forward whilst living with chronic pain: http://t.co/pEmUQn6teB #ehlersdanlos #chronic…,7.2229295,http://twitter.com/TMRF20_09/status/418321025399787520,http://twitter.com/tmrf20_09
01/01/14,http://twitter.com/om_yogibunni/status/418329517682614272,om_yogibunni,RT @ehlersdanlosuk: PAIN STUDY: How to look and move forward whilst living with chronic pain: http://t.co/pEmUQn6teB #ehlersdanlos #chronic…,7.2229295,http://twitter.com/om_yogibunni/status/418329517682614272,http://twitter.com/om_yogibunni
01/01/14,http://twitter.com/ajschallenge/status/418362888471207936,ajschallenge,RT @ehlersdanlosuk: Happy 2014! This year our resolution is to fight for awareness &amp; education in the medical community http://t.co/vktxoE6…,7.251591,http://twitter.com/AJsChallenge/status/418362888471207936,http://twitter.com/ajschallenge
01/01/14,http://twitter.com/tanialt/status/418362946268700672,tanialt,@Prettyill happy new year and thanks for being such an inspiration to the #EhlersDanlos and #POTS community.,11.49416,http://twitter.com/TaniaLT/status/418362946268700672,http://twitter.com/tanialt
01/01/14,http://twitter.com/luvenice_h/status/418383356653731840,luvenice_h,RT @TaniaLT: @Prettyill happy new year and thanks for being such an inspiration to the #EhlersDanlos and #POTS community.,7.347404,http://twitter.com/luvenice_h/status/418383356653731840,http://twitter.com/luvenice_h
01/01/14,http://twitter.com/edscanada2013/status/418388268833452032,_edscanada,RT @ehlersdanlosuk: PAIN STUDY: How to look and move forward whilst living with chronic pain: http://t.co/pEmUQn6teB #ehlersdanlos #chronic…,7.2229295,http://twitter.com/EDSCanada2013/status/418388268833452032,http://twitter.com/_edscanada
01/01/14,http://twitter.com/edscanada2013/status/418388284159434752,_edscanada,RT @ehlersdanlosuk: Happy 2014! This year our resolution is to fight for awareness &amp; education in the medical community http://t.co/vktxoE6…,7.251591,http://twitter.com/EDSCanada2013/status/418388284159434752,http://twitter.com/_edscanada
01/01/14,http://twitter.com/edscanada2013/status/418403650625490944,_edscanada,Please visit our new website! http://t.co/ogOZWRWva2 #EDS #ehlersdanlos,8.878626,http://twitter.com/EDSCanada2013/status/418403650625490944,http://twitter.com/_edscanada
01/01/14,http://twitter.com/ajschallenge/status/418403967979520001,ajschallenge,RT @EDSCanada2013: Please visit our new website! http://t.co/ogOZWRWva2 #EDS #ehlersdanlos,7.668715,http://twitter.com/AJsChallenge/status/418403967979520001,http://twitter.com/ajschallenge
01/01/14,http://twitter.com/ehlersdanlosuk/status/418413073566040064,ehlersdanlosuk,GET INVOLVED: Letter Templates from the Dermatology Council for England http://t.co/oDWLJsPLXM #ehlersdanlos #EDS #CEDS ,9.3359585,http://twitter.com/ehlersdanlosuk/status/418413073566040064,http://twitter.com/ehlersdanlosuk
01/01/14,http://twitter.com/poobum28/status/418427839713914881,poobum28,RT @ehlersdanlosuk: Happy 2014! This year our resolution is to fight for awareness &amp; education in the medical community http://t.co/vktxoE6…,7.251591,http://twitter.com/poobum28/status/418427839713914881,http://twitter.com/poobum28
01/01/14,http://twitter.com/poobum28/status/418433279566807040,poobum28,RT @ehlersdanlosuk: GET INVOLVED: Letter Templates from the Dermatology Council for England http://t.co/oDWLJsPLXM #ehlersdanlos #EDS #CEDS ,7.1085153,http://twitter.com/poobum28/status/418433279566807040,http://twitter.com/poobum28
01/01/14,http://twitter.com/edscanada2013/status/418476300240568321,_edscanada,RT @ehlersdanlosuk: GET INVOLVED: Letter Templates from the Dermatology Council for England http://t.co/oDWLJsPLXM #ehlersdanlos #EDS #CEDS ,7.1085153,http://twitter.com/EDSCanada2013/status/418476300240568321,http://twitter.com/_edscanada
01/01/14,http://twitter.com/aisling1216/status/418482098593615872,aisling1216,Hate how simply spending ten minutes walking at a store leads to me needing to lie down the rest of the night. #ehlersdanlos can suck it.,7.661929,http://twitter.com/Aisling1216/status/418482098593615872,http://twitter.com/aisling1216
01/01/14,http://twitter.com/lilaczebra/status/418482385618210816,lilaczebra,Wishing all the #bendies &amp; #spoonies a happy &amp; healthy new year!  #spoonie #EDS #ehlersdanlos #fibro #HMS #chronicpain #disability #VEDS,6.5373845,http://twitter.com/LilacZebra/status/418482385618210816,http://twitter.com/lilaczebra
01/01/14,http://twitter.com/ehlersdanlosuk/status/418490347552260096,ehlersdanlosuk,Stop! Don't throw away old stamps from Christmas cards &amp; letters - send them in to @ehlersdanlosuk http://t.co/SNXi605oaM #ehlersdanlos,7.9166665,http://twitter.com/ehlersdanlosuk/status/418490347552260096,http://twitter.com/ehlersdanlosuk
