firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/k_wohlers/status/418221983352885248,k_wohlers,#heatstroke,9.081599,http://twitter.com/k_wohlers/status/418221983352885248,http://twitter.com/k_wohlers
01/01/14,http://twitter.com/tosantowske/status/418229955076452352,tosantowske,First mistake today: skinny pants and cardigan/long sleeve shirt combo. #heatstroke #legsuffocation,7.791986,http://twitter.com/TOsantowske/status/418229955076452352,http://twitter.com/tosantowske
01/01/14,http://twitter.com/ashlovelei/status/418300930254446592,ashlovelei,Let it be one cold day in Tally.... Gina got this heat BLASTING like we in Chicago 😐😟😑😩😭🔥 #dying #death #heatstroke,7.906037,http://twitter.com/ASHloveLEI/status/418300930254446592,http://twitter.com/ashlovelei
01/01/14,http://twitter.com/lihle_loo/status/418346726299553792,lihle_loo,She's just chin-chilling 😄 #cute #baby #family #chilling #sohot #kimberley #heatstroke http://t.co/51XW2YzCW0,7.2279487,http://twitter.com/Lihle_Loo/status/418346726299553792,http://twitter.com/lihle_loo
01/01/14,http://twitter.com/ashleyerwine/status/418456824061644800,ashleyerwine,Please somebody bring me an icee #heatstroke #dying,8.55816,http://twitter.com/AshleyErwine/status/418456824061644800,http://twitter.com/ashleyerwine
01/02/14,http://twitter.com/ngetuny_iw01/status/418568565139464192,ngetuny_iw01,I am sweating bullets I don't think my parents realized we're not in Africa anymore #HeatStroke,8.237772,http://twitter.com/Ngetuny_IW01/status/418568565139464192,http://twitter.com/ngetuny_iw01
01/02/14,http://twitter.com/kaykoros/status/418615734697086977,kaykoros,"Gee zoo! I'm burning up in this house and we don't have any heat, currently. #heatstroke #partyofone",8.006214,http://twitter.com/kaykoros/status/418615734697086977,http://twitter.com/kaykoros
01/02/14,http://twitter.com/xthecrosbyshow/status/418616426883063808,xthecrosbyshow,"Winter classic today was pretty ""chill."" #TropicalIsland #HeatStroke #GlobalWarming #SwimsuitWeather ☀️🌋 http://t.co/DIeFKwQByX",7.405644,http://twitter.com/xTheCrosbyShow/status/418616426883063808,http://twitter.com/xthecrosbyshow
01/02/14,http://twitter.com/sueblue35/status/418663182362611712,sueblue35,@JamesBPeters #dimihas #heatstroke #yesssss,8.042379,http://twitter.com/sueblue35/status/418663182362611712,http://twitter.com/sueblue35
01/02/14,http://twitter.com/ashley_wehrkamp/status/418709066769522688,ashley_wehrkamp,Asheville airport turn on the air conditioning please #heatstroke,8.346975,http://twitter.com/ashley_wehrkamp/status/418709066769522688,http://twitter.com/ashley_wehrkamp
