firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/rakim_x/status/418459036921503744,rakim_x,Ice cream for lunch. #hyperglycemia #theitis 🍦,8.446783,http://twitter.com/Rakim_X/status/418459036921503744,http://twitter.com/rakim_x
01/02/14,http://twitter.com/jimcosenzalcsw/status/418544406061277184,jimcosenzalcsw,"#Diabetes and #Employment, http://t.co/iWtah0sc2n #health #mentalhealth #hypoglycemia #hyperglycemia #insulin #glucose",7.676851,http://twitter.com/JimCosenzaLCSW/status/418544406061277184,http://twitter.com/jimcosenzalcsw
01/02/14,http://twitter.com/diabetesbros/status/418676932583362560,diabetesbros,Went to bed at 4 p.m....woke up at 4:30 a.m....#diabetesproblems #hyperglycemia,9.515754,http://twitter.com/DiabetesBros/status/418676932583362560,http://twitter.com/diabetesbros
01/02/14,http://twitter.com/r3d_rock3t/status/418679053453754368,r3d_rock3t,RT @DiabetesBros: Went to bed at 4 p.m....woke up at 4:30 a.m....#diabetesproblems #hyperglycemia,7.9022064,http://twitter.com/R3d_Rock3t/status/418679053453754368,http://twitter.com/r3d_rock3t
01/02/14,http://twitter.com/gechoashlee/status/418715974364561408,gechoashlee,RT @DiabetesBros: Went to bed at 4 p.m....woke up at 4:30 a.m....#diabetesproblems #hyperglycemia,7.9022064,http://twitter.com/gechoashlee/status/418715974364561408,http://twitter.com/gechoashlee
01/03/14,http://twitter.com/jasonatravox/status/419161217404788737,jasonatravox,That sh*tloads of choclates and treats! #hyperglycemia http://t.co/GVpouwcTK9,7.997449,http://twitter.com/jasonatravox/status/419161217404788737,http://twitter.com/jasonatravox
01/05/14,http://twitter.com/pat_kitterick/status/419903772169478144,pat_kitterick,"Just in case their brown syrupy liquid hasn't given you diabetes, please watch the new awful coke advert #ReasonsToBelieve, #Hyperglycemia",8.512555,http://twitter.com/Pat_Kitterick/status/419903772169478144,http://twitter.com/pat_kitterick
01/06/14,http://twitter.com/t1dme/status/420327289218670592,t1dme,Time to begin working on my #hyperglycemia playlist. #diabetes #diabetic #t1diabetes #t1d,7.7528715,http://twitter.com/T1DME/status/420327289218670592,http://twitter.com/t1dme
01/07/14,http://twitter.com/oem_hunter/status/420444125112979457,oem_hunter,RT @sell_car_online: Value of Defending V http://t.co/oqKpgIfzwk #hyperglycemia #prediabetes,7.8562536,http://twitter.com/oem_hunter/status/420444125112979457,http://twitter.com/oem_hunter
01/08/14,http://twitter.com/scibite/status/420718693363232768,scibite,We've found new articles on #Hyperglycemia at http://t.co/a5Gt6DaUBu #pharma #health #news http://t.co/wGqjZ2hqT6,8.175924,http://twitter.com/SciBite/status/420718693363232768,http://twitter.com/scibite
01/10/14,http://twitter.com/tinnyjaay/status/421581838600388608,tinnyjaay,Thanks Cousin mildsoap for ze chocs! Love yew! :* #ThreeMusketeers #chocolates #hyperglycemia… http://t.co/2DIuXQeCiC,7.676343,http://twitter.com/TinnyJaay/status/421581838600388608,http://twitter.com/tinnyjaay
01/10/14,http://twitter.com/diabetv/status/421660057869488128,diabetv,Most of all chronic complications of #diabetes share a common foundation: #hyperglycemia. #DiabeTV,7.751084,http://twitter.com/diabetv/status/421660057869488128,http://twitter.com/diabetv
01/10/14,http://twitter.com/acpinternists/status/421705518655479808,acpinternists,The Consult Guys talk about #hyperglycemia http://t.co/Y5d73SnNHx story in American College of Physicians #Diabetes Monthly @AnnalsofIM,10.869511,http://twitter.com/ACPinternists/status/421705518655479808,http://twitter.com/acpinternists
01/11/14,http://twitter.com/twiti100189/status/421973872452587520,twiti100189,Came home to this! Thanks langga 🍩🐷🐽 #hyperglycemia#jco janricivan http://t.co/C8rDSuF5my,7.9842978,http://twitter.com/twiti100189/status/421973872452587520,http://twitter.com/twiti100189
01/13/14,http://twitter.com/imkrizalei/status/422530015155474433,imkrizalei,Glucose overload! #diabetes #hyperglycemia thanks maam chery for the snickers! Kaw naman talaga… http://t.co/n3rmWffdVP,7.781265,http://twitter.com/imkrizaLEI/status/422530015155474433,http://twitter.com/imkrizalei
01/13/14,http://twitter.com/laylac12/status/422641707117580288,laylac12,RT @4id10ts: How Untreated Hyperglycemia Can Guide to Kidney Failure and Ailment  http://t.co/6Zgb0jth47 #kidneyfailure #hyperglycemia,7.522991,http://twitter.com/laylac12/status/422641707117580288,http://twitter.com/laylac12
01/14/14,http://twitter.com/drnbereolos/status/422914246507520000,drnbereolos,Malfunctions with #insulin pump results in #hyperglycemia,8.2196,http://twitter.com/DrNBereolos/status/422914246507520000,http://twitter.com/drnbereolos
01/16/14,http://twitter.com/richthediabetic/status/423855086230458368,richthediabetic,BLOG: Unexpected Highs With Diabetes http://t.co/W7seo03pQ9 #doc #dsma #dblog #diabetes #hyperglycemia,10.988572,http://twitter.com/richthediabetic/status/423855086230458368,http://twitter.com/richthediabetic
01/16/14,http://twitter.com/jama_current/status/423862786914258944,jama_current,What do patients with GCK mutations and life-long #hyperglycemia tell us about the best targets for HBA1c? http://t.co/P8sLV6khV3,11.804181,http://twitter.com/JAMA_current/status/423862786914258944,http://twitter.com/jama_current
01/16/14,http://twitter.com/fattypumpkins/status/423862921727188993,fattypumpkins,RT @JAMA_current: What do patients with GCK mutations and life-long #hyperglycemia tell us about the best targets for HBA1c? http://t.co/P8…,7.2577014,http://twitter.com/Fattypumpkins/status/423862921727188993,http://twitter.com/fattypumpkins
01/18/14,http://twitter.com/doccosmopolitan/status/424339615537844225,doccosmopolitan,RT @JAMA_current: What do patients with GCK mutations and life-long #hyperglycemia tell us about the best targets for HBA1c? http://t.co/P8…,7.2577014,http://twitter.com/DocCosmopolitan/status/424339615537844225,http://twitter.com/doccosmopolitan
01/19/14,http://twitter.com/jpakmedstud/status/424745278462124032,jpakmedstud,#Dementia – Another Reason to Dread Diabetes http://t.co/3XgBgnTNF2 #Alzheimer's #diabetes #Hyperglycemia #Metformin,7.494837,http://twitter.com/JPakMedStud/status/424745278462124032,http://twitter.com/jpakmedstud
01/22/14,http://twitter.com/milliesays/status/426050099655892992,milliesays,The #Food for #Mood #Diet; #hyperglycemia http://t.co/HVUqirIbZw  http://t.co/3c03ItJRVb #diabetes #depression #anxiety #foodie #vitamins,7.6818385,http://twitter.com/milliesays/status/426050099655892992,http://twitter.com/milliesays
01/23/14,http://twitter.com/brandilynne_12/status/426193059135909888,brandilynne_12,Not a happy camper right now. #diabetes #diabetic #highbloodsuger #hyperglycemia… http://t.co/FvJ6nTGaqq,7.832609,http://twitter.com/BrandiLynne_12/status/426193059135909888,http://twitter.com/brandilynne_12
01/23/14,http://twitter.com/kenjretuya/status/426261492921802752,kenjretuya,Its been a while baby. And I missed you badly. ❤️ #GongCha #Ovaltine #SobrangTamisMo #Hyperglycemia @… http://t.co/cVXuXjZH77,7.451476,http://twitter.com/kenjretuya/status/426261492921802752,http://twitter.com/kenjretuya
01/24/14,http://twitter.com/sagecardiology/status/426739343676702720,sagecardiology,#Hyperglycemia at admission &amp; during hospital stay are independent risk factors for high risk #cardiac patients http://t.co/kTZaZBEwhh,7.5471897,http://twitter.com/SAGECardiology/status/426739343676702720,http://twitter.com/sagecardiology
01/25/14,http://twitter.com/sagecardiology/status/426874724430663681,sagecardiology,#Hyperglycemia - independent risk factor for mortality in high risk #cardiac patients in intensive cardiac care units http://t.co/RadtfZmNhv,7.399766,http://twitter.com/SAGECardiology/status/426874724430663681,http://twitter.com/sagecardiology
01/27/14,http://twitter.com/scaisrlett/status/427713672145014784,scaisrlett,RT @binaryoptsgn: How Untreate http://t.co/ixsG9zRIaB #hyperglycemia #kidneydisease,7.7729416,http://twitter.com/Scaisrlett/status/427713672145014784,http://twitter.com/scaisrlett
01/27/14,http://twitter.com/champomd/status/427725028189167616,champomd,"#DKA is a complex disordered metabolic state characterized by #hyperglycemia, #ketoacidosis and #ketonuria.",10.653217,http://twitter.com/ChampoMD/status/427725028189167616,http://twitter.com/champomd
01/27/14,http://twitter.com/thisisvermont/status/427780652143243265,thisisvermont,#desserts #twelvecupcakes #yumyum #hyperglycemia http://t.co/4gvrlxTLRJ,7.9531074,http://twitter.com/ThisIsVermont/status/427780652143243265,http://twitter.com/thisisvermont
01/27/14,http://twitter.com/vickigeeee/status/427940787960414208,vickigeeee,#nursingstudent 15 you say? :/ #munching #studying #dinner #hyperglycemia @ Zuhl Library http://t.co/NwCooMpRUT,7.400189,http://twitter.com/Vickigeeee/status/427940787960414208,http://twitter.com/vickigeeee
01/29/14,http://twitter.com/hypervibe_us/status/428520540408938497,hypervibe_us,Eating foods with lower #glycemic index prevents #hyperglycemia http://t.co/QKz4mzbtLF,7.9324245,http://twitter.com/Hypervibe_US/status/428520540408938497,http://twitter.com/hypervibe_us
01/30/14,http://twitter.com/sirensbabygirl/status/428721049811693568,sirensbabygirl,"drink, pee, repeat. #hyperglycemia",8.869853,http://twitter.com/SirensBabyGirl/status/428721049811693568,http://twitter.com/sirensbabygirl
