firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/dimarcobrian/status/418179224365584384,dimarcobrian,#Mesothelioma Treatment - http://t.co/F9VMbGefPC,8.143176,http://twitter.com/DiMarcoBrian/status/418179224365584384,http://twitter.com/dimarcobrian
01/01/14,http://twitter.com/banasbestos/status/418189979266064384,banasbestos,"Our #blog has the latest #mesothelioma news, make sure to visit often. http://t.co/mHNRpJ7cSL #asbestos",11.171735,http://twitter.com/BanAsbestos/status/418189979266064384,http://twitter.com/banasbestos
01/01/14,http://twitter.com/healthinfo3/status/418222559180910592,healthinfo3,"Causes, signs and treatment of #Mesothelioma #cancer in #dogs http://t.co/yfYi0cG2tS",8.123072,http://twitter.com/HealthInfo3/status/418222559180910592,http://twitter.com/healthinfo3
01/01/14,http://twitter.com/chrisplacitella/status/418231018102214656,chrisplacitella,#mesothelioma treatment,12.223824,http://twitter.com/chrisplacitella/status/418231018102214656,http://twitter.com/chrisplacitella
01/01/14,http://twitter.com/cchidester/status/418307577928110080,cchidester,#mesothelioma,8.933092,http://twitter.com/CChidester/status/418307577928110080,http://twitter.com/cchidester
01/01/14,http://twitter.com/linda_adao/status/418338421300793344,linda_adao,Thanks for a wonderful year! Check out the 2013 #Asbestos Disease Awareness Org Year-In-Review http://t.co/a0KrHxkeLi #mesothelioma,10.417994,http://twitter.com/Linda_ADAO/status/418338421300793344,http://twitter.com/linda_adao
01/01/14,http://twitter.com/ibasecretariat/status/418341674704580609,ibasecretariat,"#Ibasecretariat BLOG: Great Britain's Deadly #Asbestos Legacy.
http://t.co/GJPDRxKM1T
#mesothelioma #chrysotile http://t.co/SCvIxtJvPv",8.019528,http://twitter.com/ibasecretariat/status/418341674704580609,http://twitter.com/ibasecretariat
01/01/14,http://twitter.com/andrewmorganuk/status/418341962409078784,andrewmorganuk,"RT @ibasecretariat: #Ibasecretariat BLOG: Great Britain's Deadly #Asbestos Legacy.
http://t.co/GJPDRxKM1T
#mesothelioma #chrysotile http://…",7.0515437,http://twitter.com/andrewmorganuk/status/418341962409078784,http://twitter.com/andrewmorganuk
01/01/14,http://twitter.com/ibasecretariat/status/418342246199459841,ibasecretariat,"#Ibasecretariat FACT: In 2013 and in 2014 the #Mesothelioma Bill remains a gift to insurers. http://t.co/dIjBaa6q9W
#asbestos #Cancer",7.3502173,http://twitter.com/ibasecretariat/status/418342246199459841,http://twitter.com/ibasecretariat
01/01/14,http://twitter.com/dimarcobrian/status/418350838814224384,dimarcobrian,#Mesothelioma Treatments - Some Basic Facts - http://t.co/iTMbdhcBJa,7.5198283,http://twitter.com/DiMarcoBrian/status/418350838814224384,http://twitter.com/dimarcobrian
01/01/14,http://twitter.com/mesocounsel/status/418357406989836288,mesocounsel,#Mesothelioma Update Mesothelioma Warriors Offer New Year’s Resolutions http://t.co/D5vGLiBIyt,7.9387984,http://twitter.com/MesoCounsel/status/418357406989836288,http://twitter.com/mesocounsel
01/01/14,http://twitter.com/ibasecretariat/status/418359541839835136,ibasecretariat,#Ibasecretariat SAD NEWS: #Mesothelioma death of British writer announced in today's Guardian. http://t.co/sCVAH3Fza5 #asbestos,7.4206376,http://twitter.com/ibasecretariat/status/418359541839835136,http://twitter.com/ibasecretariat
01/01/14,http://twitter.com/jurisu/status/418361494556774400,jurisu,Australia’s #Cancer Council uses #elearning to educate home renovators and protect homeowners from #mesothelioma http://t.co/5zBydAliHt …,11.26952,http://twitter.com/Jurisu/status/418361494556774400,http://twitter.com/jurisu
01/01/14,http://twitter.com/mesotheliomablo/status/418373211370160129,mesotheliomablo,@Mesothelioma_Ed A Family's Guide to Dealing with #Mesothelioma  http://t.co/pOOjM74Ewp,7.8671856,http://twitter.com/MesotheliomaBlo/status/418373211370160129,http://twitter.com/mesotheliomablo
