firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/drunkitty2000/status/418445410169274368,drunkitty2000,"#painsomnia #spoonie #Fibromyalgia http://t.co/igp0ut17Mr""",10.549845,http://twitter.com/drunkitty2000/status/418445410169274368,http://twitter.com/drunkitty2000
01/01/14,http://twitter.com/hellodiannalove/status/418448672292999168,hellodiannalove,"""@drunkitty2000: #painsomnia #spoonie #Fibromyalgia http://t.co/roxOEqqUG8"""" #lupus #chronicpain ♡",8.390324,http://twitter.com/hellodiannalove/status/418448672292999168,http://twitter.com/hellodiannalove
01/01/14,http://twitter.com/50shadesofpains/status/418449307025805312,50shadesofpains,"RT @hellodiannalove: ""@drunkitty2000: #painsomnia #spoonie #Fibromyalgia http://t.co/roxOEqqUG8"""" #lupus #chronicpain ♡",7.338366,http://twitter.com/50shadesofpains/status/418449307025805312,http://twitter.com/50shadesofpains
01/01/14,http://twitter.com/branchingmama/status/418459298503864320,branchingmama,"RT @drunkitty2000: #painsomnia #spoonie #Fibromyalgia http://t.co/igp0ut17Mr""",7.984182,http://twitter.com/BranchingMama/status/418459298503864320,http://twitter.com/branchingmama
01/01/14,http://twitter.com/forbiddenlady/status/418480539880800256,forbiddenlady,"RT @drunkitty2000: #painsomnia #spoonie #Fibromyalgia http://t.co/igp0ut17Mr""",7.984182,http://twitter.com/Forbiddenlady/status/418480539880800256,http://twitter.com/forbiddenlady
01/01/14,http://twitter.com/rsr1424/status/418492561976983552,rsr1424,"RT @drunkitty2000: #painsomnia #spoonie #Fibromyalgia http://t.co/igp0ut17Mr""",7.984182,http://twitter.com/rsr1424/status/418492561976983552,http://twitter.com/rsr1424
01/01/14,http://twitter.com/pomdays/status/418492908606865408,pomdays,"RT @drunkitty2000: #painsomnia #spoonie #Fibromyalgia http://t.co/igp0ut17Mr""",7.984182,http://twitter.com/pomdays/status/418492908606865408,http://twitter.com/pomdays
01/01/14,http://twitter.com/sennazus/status/418498501392101377,suzer46,"RT @drunkitty2000: #painsomnia #spoonie #Fibromyalgia http://t.co/igp0ut17Mr""",7.984182,http://twitter.com/Sennazus/status/418498501392101377,http://twitter.com/suzer46
01/01/14,http://twitter.com/hellodiannalove/status/418525038178861056,hellodiannalove,"""@ChrPainFatigue: Yes, it does. Makes for resting difficult. ~Rachel http://t.co/NJYKnwarfI"" #insomnia #painsomnia #chronicillness ♡",7.720443,http://twitter.com/hellodiannalove/status/418525038178861056,http://twitter.com/hellodiannalove
01/02/14,http://twitter.com/fibro4life/status/418639639511986177,fibro4life,Can't sleep. High pain level. Annoyed. Crying. #mylife #fibroprobs #painsomnia,9.477759,http://twitter.com/Fibro4life/status/418639639511986177,http://twitter.com/fibro4life
01/02/14,http://twitter.com/jennythelymie/status/418644082429149184,jennythelymie,Anyone else up because of #Painsomnia?,8.405361,http://twitter.com/JennyTheLymie/status/418644082429149184,http://twitter.com/jennythelymie
01/02/14,http://twitter.com/kaylaaaxoann/status/418649582495870976,kaylaaaxoann,RT @Fibro4life: Can't sleep. High pain level. Annoyed. Crying. #mylife #fibroprobs #painsomnia,7.6525826,http://twitter.com/kaylaaaxoann/status/418649582495870976,http://twitter.com/kaylaaaxoann
01/02/14,http://twitter.com/hheever/status/418674231518322688,hheever,I am beginning to think I will never get a good night's sleep again #rheum #painsomnia,8.225897,http://twitter.com/Hheever/status/418674231518322688,http://twitter.com/hheever
01/03/14,http://twitter.com/maudymumfuzz/status/418895498536570880,maudymumfuzz,Another painful night of no sleep 😔 #painsomnia #behcets #findacure,8.057845,http://twitter.com/maudymumfuzz/status/418895498536570880,http://twitter.com/maudymumfuzz
01/03/14,http://twitter.com/chellech/status/418993068990136321,chellech,Lidoderm might be the key to me getting some rest tonight #painsomnia,8.06475,http://twitter.com/chellech/status/418993068990136321,http://twitter.com/chellech
01/03/14,http://twitter.com/christeladina/status/419047966234513408,christeladina,"@vvesperr Hey, sorry I haven't gotten back to you yet. Difficulties over here, you see. Right now? #Painsomnia I'll get it together soon ;)",10.527379,http://twitter.com/ChristelAdina/status/419047966234513408,http://twitter.com/christeladina
01/03/14,http://twitter.com/justagoodlife/status/419078866385510400,justagoodlife,"Julie,

Tonight's 2 hours of sleep have been brought to you by #painsomnia 

Ughhhhhhhhhhhhhh",8.085517,http://twitter.com/justagoodlife/status/419078866385510400,http://twitter.com/justagoodlife
01/03/14,http://twitter.com/justagoodlife/status/419079131587182592,justagoodlife,"RT @drunkitty2000: #painsomnia #spoonie #Fibromyalgia http://t.co/igp0ut17Mr""",7.8802104,http://twitter.com/justagoodlife/status/419079131587182592,http://twitter.com/justagoodlife
01/04/14,http://twitter.com/jgazmom/status/419260223224680449,jgazmom,@LCIB71 I’m sure it would help if #painsomnia would let up so I could get a decent amount of sleep.,7.832685,http://twitter.com/jGazMom/status/419260223224680449,http://twitter.com/jgazmom
01/04/14,http://twitter.com/carolinemichael/status/419294221376290816,carolinemichael,"v tired but no sleep thanks to #painsomnia #CRPS Body buzzing with pain. Going to have jab, hope it knocks me out",8.597158,http://twitter.com/CarolineMichael/status/419294221376290816,http://twitter.com/carolinemichael
01/04/14,http://twitter.com/lucpasq/status/419297409651720192,lucpasq,Sick of not being able to sleep. #painsomnia,8.67145,http://twitter.com/LucPasq/status/419297409651720192,http://twitter.com/lucpasq
01/04/14,http://twitter.com/techiebabe/status/419308478088622080,techiebabe,"@CarolineMichael I havent heard from you in ages, Id say it was great - but Im sorry youre struggling. #painsomnia is a useful word. *hug*",10.666689,http://twitter.com/techiebabe/status/419308478088622080,http://twitter.com/techiebabe
01/04/14,http://twitter.com/chr0nicbookworm/status/419354312112750593,chr0nicbookworm,Took a long lavender &amp; Epsom salt bath. Fell blissfully asleep. Woke up few hours later in #painsomnia hell. #Lupus #Fibro #spoonie,8.006665,http://twitter.com/chr0nicbookworm/status/419354312112750593,http://twitter.com/chr0nicbookworm
01/04/14,http://twitter.com/purpleviolin91/status/419390765929074688,purpleviolin91,cant sleep- in too much pain!! #painsomnia #crps #fibro #flareup #spoonie #chronicpain http://t.co/iiZV9GfiYF,7.28028,http://twitter.com/Purpleviolin91/status/419390765929074688,http://twitter.com/purpleviolin91
01/04/14,http://twitter.com/hellodiannalove/status/419395095897452544,hellodiannalove,"""@funniest_lifes: That moment when.. http://t.co/eV4f56mAFq"" #painsomnia #insomnia ♡",9.603506,http://twitter.com/hellodiannalove/status/419395095897452544,http://twitter.com/hellodiannalove
01/04/14,http://twitter.com/francieml/status/419406659882999808,francieml,Awake with #painsomnia Pain in hip &amp; thigh is horrendous again.If I'm ever going to sleep it will probably sitting up.,10.961868,http://twitter.com/FrancieML/status/419406659882999808,http://twitter.com/francieml
01/04/14,http://twitter.com/airhoonthego/status/419410443313356800,mydollparts,"#painsomnia is the worst thing ever. 
I'm about to lose my fucking mind!
Somebody kill me now.",8.397994,http://twitter.com/AirHoOnTheGo/status/419410443313356800,http://twitter.com/mydollparts
01/04/14,http://twitter.com/santanamarie718/status/419424112390717440,santanamarie718,"RT @hellodiannalove: ""@funniest_lifes: That moment when.. http://t.co/eV4f56mAFq"" #painsomnia #insomnia ♡",7.7752175,http://twitter.com/SantanaMarie718/status/419424112390717440,http://twitter.com/santanamarie718
01/04/14,http://twitter.com/hurtblogger/status/419444765801730048,hurtblogger,"That #painsomnia moment when you lay on the couch and think ""I could get used to this!"" #rheum",9.705189,http://twitter.com/HurtBlogger/status/419444765801730048,http://twitter.com/hurtblogger
01/04/14,http://twitter.com/mr_nme/status/419445804659933184,mr_nme,"RT @HurtBlogger: That #painsomnia moment when you lay on the couch and think ""I could get used to this!"" #rheum",7.890595,http://twitter.com/Mr_NME/status/419445804659933184,http://twitter.com/mr_nme
01/04/14,http://twitter.com/hurtblogger/status/419447022408577025,hurtblogger,Let's just get this over with... yes I'm tweeting at 4:34am from the couch. Distracting myself from #painsomnia - @nickdawson,7.5580664,http://twitter.com/HurtBlogger/status/419447022408577025,http://twitter.com/hurtblogger
01/04/14,http://twitter.com/hurtblogger/status/419447504027918337,hurtblogger,@Mr_NME @gregoriouslife Hugs to you both - hope you can find some rest! #painsomnia,8.388368,http://twitter.com/HurtBlogger/status/419447504027918337,http://twitter.com/hurtblogger
01/04/14,http://twitter.com/luanasmusings/status/419499489146052608,tserrahsmusings,"RT @HurtBlogger: That #painsomnia moment when you lay on the couch and think ""I could get used to this!"" #rheum",7.890595,http://twitter.com/LuanasMusings/status/419499489146052608,http://twitter.com/tserrahsmusings
01/04/14,http://twitter.com/rsr1424/status/419529401488113664,rsr1424,"RT @HurtBlogger: That #painsomnia moment when you lay on the couch and think ""I could get used to this!"" #rheum",7.890595,http://twitter.com/rsr1424/status/419529401488113664,http://twitter.com/rsr1424
01/04/14,http://twitter.com/drunkitty2000/status/419531142497579008,drunkitty2000,@HurtBlogger only #painsomnia can make the couch suddenly more comfortable than the bed.,9.264295,http://twitter.com/drunkitty2000/status/419531142497579008,http://twitter.com/drunkitty2000
01/04/14,http://twitter.com/jscissorhands00/status/419559634853060608,jscissorhands00,"@HurtBlogger @nickdawson lord don't we know it. Last night was night 3 of about 4 hrs of so called ""sleep."" Stupid #painsomnia",7.711285,http://twitter.com/Jscissorhands00/status/419559634853060608,http://twitter.com/jscissorhands00
