firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/01/14,http://twitter.com/sgpasian/status/418169779300466688,sgpasian,- http://t.co/c19kBYMZKq #asian #asiapussy #sexy #porn #hardcore #yellowfever #youngasian #asianporn http://t.co/nwwxkJg2IB,7.054555,http://twitter.com/SGPAsian/status/418169779300466688,http://twitter.com/sgpasian
01/01/14,http://twitter.com/scibite/status/418189442399371264,scibite,We've found new articles on #YellowFever at http://t.co/a5Gt6DaUBu #pharma #health #news http://t.co/O1DNx54l1a,7.9504757,http://twitter.com/SciBite/status/418189442399371264,http://twitter.com/scibite
01/01/14,http://twitter.com/reneebshor/status/418228423710896128,reneebshor,#YellowFever #Supernatural &lt;3 lol http://t.co/dr8fEyRIdV,9.975936,http://twitter.com/reneebshor/status/418228423710896128,http://twitter.com/reneebshor
01/01/14,http://twitter.com/sgpasian/status/418230156314955776,sgpasian,- http://t.co/f8I7Z15e0j #asian #asiapussy #sexy #porn #hardcore #yellowfever #youngasian #asianporn http://t.co/eE5AeYema6,7.034596,http://twitter.com/SGPAsian/status/418230156314955776,http://twitter.com/sgpasian
01/01/14,http://twitter.com/sgpasian/status/418230269510823936,sgpasian,- http://t.co/bY3c2KrCnA #asian #asiapussy #sexy #porn #hardcore #yellowfever #youngasian #asianporn http://t.co/YcEqxCQ7ph,7.0489006,http://twitter.com/SGPAsian/status/418230269510823936,http://twitter.com/sgpasian
01/01/14,http://twitter.com/jamesyow8/status/418226112389713920,harriet67,RT @jamesyow8: @TravelClinicHarriet buzzing for Chad need the jabs sister @freyarowland #yellowfever? #ChadsOnTour,7.670185,http://twitter.com/harriet67/status/418231428837826560,http://twitter.com/harriet67
01/01/14,http://twitter.com/thiabaybee/status/418237497194610689,thiabaybee,RT @reneebshor: #YellowFever #Supernatural &lt;3 lol http://t.co/dr8fEyRIdV,8.399151,http://twitter.com/ThiaBaybee/status/418237497194610689,http://twitter.com/thiabaybee
01/01/14,http://twitter.com/freyarowland/status/418238476887552000,freyarowland,@jamesyow8 of course can't wait #walestastic #yellowfever #rabies #hepB #hepA #malaria #japaneseencephalitis,6.9399247,http://twitter.com/freyarowland/status/418238476887552000,http://twitter.com/freyarowland
01/01/14,http://twitter.com/dadangrucita1/status/418242118608375808,dadangrucita1,RT @SGPAsian: - http://t.co/bl2hcn4FnK #asian #asiapussy #sexy #porn #hardcore #yellowfever #youngasian #asianporn http://t.co/qjiWnF411V,6.871423,http://twitter.com/dadangrucita1/status/418242118608375808,http://twitter.com/dadangrucita1
01/01/14,http://twitter.com/ilikepartyhoes/status/418249598994358272,ilikepartyhoes,RT @reneebshor: #YellowFever #Supernatural &lt;3 lol http://t.co/dr8fEyRIdV,8.399151,http://twitter.com/iLikePartyHoes/status/418249598994358272,http://twitter.com/ilikepartyhoes
01/01/14,http://twitter.com/sgpasian/status/418260383313321985,sgpasian,- http://t.co/VgjuYyQJmJ #asian #asiapussy #sexy #porn #hardcore #yellowfever #youngasian #asianporn http://t.co/PQSlEhV1nz,7.054555,http://twitter.com/SGPAsian/status/418260383313321985,http://twitter.com/sgpasian
01/01/14,http://twitter.com/sarahllarson/status/418268803093381120,sarahllarson,A little #edm  A little #yellowfever,8.565407,http://twitter.com/sarahllarson/status/418268803093381120,http://twitter.com/sarahllarson
01/01/14,http://twitter.com/coundes_back/status/418272820544962561,coundes_back,Fortunate son by CCR gives you #yellowfever @brendanhas,7.7442617,http://twitter.com/coundes_back/status/418272820544962561,http://twitter.com/coundes_back
01/01/14,http://twitter.com/spnmakesmesmile/status/418275437953830912,spnmakesmesmile,Ten bucks says they added that thing about Sam being gassy simply because Jared is really gassy. #YellowFever #SPN,7.434511,http://twitter.com/SPNmakesmesmile/status/418275437953830912,http://twitter.com/spnmakesmesmile
