firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/02/14,http://twitter.com/oncolognews/status/418869841286529024,oncolognews,Managing Dental Complications in Patients with Head and Neck Cancer http://t.co/st5c1ClpFj  #endcancer #cancersupport #hncsm,12.032733,http://twitter.com/OncoLogNews/status/418869841286529024,http://twitter.com/oncolognews
01/02/14,http://twitter.com/hyhutriangle/status/418870868115460096,hyhutriangle,RT @OncoLogNews: Managing Dental Complications in Patients with Head and Neck Cancer http://t.co/st5c1ClpFj  #endcancer #cancersupport #hnc…,10.757284,http://twitter.com/HYHUTriangle/status/418870868115460096,http://twitter.com/hyhutriangle
01/03/14,http://twitter.com/almitaastorga/status/418937850579537920,almitaastorga,RT @OncoLogNews: Managing Dental Complications in Patients with Head and Neck Cancer http://t.co/st5c1ClpFj  #endcancer #cancersupport #hnc…,7.521903,http://twitter.com/AlmitaAstorga/status/418937850579537920,http://twitter.com/almitaastorga
01/08/14,http://twitter.com/mtmdphd/status/420936147536449536,mtmdphd,ECOG-ACRIN Active Clinical Trials - Head and Neck Cancer - #hncsm http://t.co/wYEFhybwQF #EAOnc,10.281574,http://twitter.com/mtmdphd/status/420936147536449536,http://twitter.com/mtmdphd
01/08/14,http://twitter.com/eaonc/status/420936148224344064,eaonc,ECOG-ACRIN Active Clinical Trials - Head and Neck Cancer - #hncsm http://t.co/7rBUqPxf4p #EAOnc,11.333993,http://twitter.com/eaonc/status/420936148224344064,http://twitter.com/eaonc
01/09/14,http://twitter.com/mtmdphd/status/421296562657312768,mtmdphd,ECOG-ACRIN Active Clinical Trials - Head and Neck Cancer - #hncsm http://t.co/VBk9LEgoAD #EAOnc,11.063533,http://twitter.com/mtmdphd/status/421296562657312768,http://twitter.com/mtmdphd
01/09/14,http://twitter.com/eaonc/status/421296713723576321,eaonc,ECOG-ACRIN Active Clinical Trials - Head and Neck Cancer - #hncsm http://t.co/cIuPnjJHRP #EAOnc,7.1344843,http://twitter.com/eaonc/status/421296713723576321,http://twitter.com/eaonc
01/09/14,http://twitter.com/smerv/status/421298448780906496,smerv,RT @mtmdphd: ECOG-ACRIN Active Clinical Trials - Head and Neck Cancer - #hncsm http://t.co/VBk9LEgoAD #EAOnc,10.108407,http://twitter.com/smerv/status/421298448780906496,http://twitter.com/smerv
01/10/14,http://twitter.com/mtmdphd/status/421701929983438848,mtmdphd,RT @eaonc: ECOG-ACRIN Active Clinical Trials - Head and Neck Cancer - #hncsm http://t.co/7rBUqPxf4p #EAOnc,10.093953,http://twitter.com/mtmdphd/status/421701929983438848,http://twitter.com/mtmdphd
01/10/14,http://twitter.com/oncolognews/status/421749148732227584,oncolognews,Managing Dental Complications in Patients with Head and Neck Cancer http://t.co/st5c1ClpFj  #endcancer #cancersupport #hncsm,12.182448,http://twitter.com/OncoLogNews/status/421749148732227584,http://twitter.com/oncolognews
