firstpost_date,url,trackback_author_nick,content,score,trackback_permalink,trackback_author_url
01/07/14,http://twitter.com/clinghealth/status/420608136719138817,clinghealth,“@Apothekers: Doorbraak in behandeling van #reumatoide #artritis  (Radboudumc) http://t.co/xLn1UXUYMz”m,7.2172832,http://twitter.com/Clinghealth/status/420608136719138817,http://twitter.com/clinghealth
01/10/14,http://twitter.com/suginostudio/status/421731013358653440,suginostudio,This PSA is near and dear to our hearts http://t.co/HDol1ZmaG9 #artritis #psa shot by @ShinSugino,7.5273304,http://twitter.com/SuginoStudio/status/421731013358653440,http://twitter.com/suginostudio
01/11/14,http://twitter.com/defysiopraktijk/status/422110066892759040,defysiopraktijk,#Doorbraak in #behandeling van #reumatoïde #artritis . #lezen http://t.co/pFfbRp8iQ9,7.395047,http://twitter.com/deFysioPraktijk/status/422110066892759040,http://twitter.com/defysiopraktijk
01/12/14,http://twitter.com/healthcuriositi/status/422515356683345920,healthcuriositi,"""@111_healthy: Symptoms of arthritis http://t.co/iipACecKT5"" #artritis #salud",7.91744,http://twitter.com/healthcuriositi/status/422515356683345920,http://twitter.com/healthcuriositi
01/15/14,http://twitter.com/amsterdambiomed/status/423368607892918272,amsterdambiomed,Int. research team incl. @AMC_NL found 42 new #genes involved in #reumatoid #artritis; handles for drug #repurposing. http://t.co/yeEoygmgxR,7.8327518,http://twitter.com/AmsterdamBioMed/status/423368607892918272,http://twitter.com/amsterdambiomed
01/15/14,http://twitter.com/juulanja/status/423470863359700992,juulanja,RT @AmsterdamBioMed: Int. research team incl. @AMC_NL found 42 new #genes involved in #reumatoid #artritis; handles for drug #repurposing. …,6.8482056,http://twitter.com/Juulanja/status/423470863359700992,http://twitter.com/juulanja
01/20/14,http://twitter.com/richardhcooper8/status/425275820727205888,richardhcooper8,"Yaxpac: #Artritis, Bursitis, Osteoporosis http://t.co/cD3BnzOlC8",7.7329006,http://twitter.com/Richardhcooper8/status/425275820727205888,http://twitter.com/richardhcooper8
01/20/14,http://twitter.com/richardhcooper8/status/425276005234651136,richardhcooper8,"Yaxpac: #Artritis, Bursitis, Osteoporosis http://t.co/8VaUCMcLjx",7.7323627,http://twitter.com/Richardhcooper8/status/425276005234651136,http://twitter.com/richardhcooper8
01/22/14,http://twitter.com/natural_marion/status/425895401888038912,natural_marion,#Natural #arthritis #artritis #cartilage #cartilagerepair Arthritis Is Curable: Rebuild your cartilage and... http://t.co/NTQWtQWUAh,7.172388,http://twitter.com/natural_marion/status/425895401888038912,http://twitter.com/natural_marion
01/30/14,http://twitter.com/magfirrah/status/428918961431150593,magfirrah,#pain #artritis #hidrotherapy #warmcompress #research #experiment #reference #books #knowledge http://t.co/jHZzt5xdyD,7.095752,http://twitter.com/Magfirrah/status/428918961431150593,http://twitter.com/magfirrah
02/03/14,http://twitter.com/marqkogope/status/430277185958854656,marqkogope,Puro barrio #FapFap #TapTap #LikeForLike #Silla #Mesa #Jeff #ElGerry #CrewCrewCrew #Artritis #Red… http://t.co/o9OjdsHIAe,6.7434335,http://twitter.com/MarqkoGope/status/430277185958854656,http://twitter.com/marqkogope
02/04/14,http://twitter.com/ceciliarod/status/430820397882171392,ceciliarod,“@midiabetes: Accelerating Medicines Partnership http://t.co/P6YSegQARh #diabetes @NIH” / #artritis,7.417926,http://twitter.com/ceciliarod/status/430820397882171392,http://twitter.com/ceciliarod
02/28/14,http://twitter.com/jcarlosesposito/status/439471223940988928,jcarlosesposito,Calidad de vida #yoga #artritis #arthritis Via @nprnews: Dr. Yogi: Physicians Integrate Yoga Into Medical Practice http://t.co/DZtFeY2W3W,7.3512225,http://twitter.com/jcarlosesposito/status/439471223940988928,http://twitter.com/jcarlosesposito
03/04/14,http://twitter.com/amapar/status/440816432642019328,amapar,@HMHOSPITALES @Olgarr88 @susanalp89 @xuankamogar @BodyHealthMx @ana_anfis @Area_Mujer @FabianMartinBcn @AnfisFisio gracias!! #artritis,6.483986,http://twitter.com/amapar/status/440816432642019328,http://twitter.com/amapar
03/05/14,http://twitter.com/jcarlosesposito/status/441230951335485441,jcarlosesposito,Yoga For Adults: 5 Health Benefits Of The Practice For Post50s http://t.co/XZ2fB7zbQD via @HuffPost50 #yoga #Artritis,7.464637,http://twitter.com/jcarlosesposito/status/441230951335485441,http://twitter.com/jcarlosesposito
03/14/14,http://twitter.com/lesnyrosales/status/444331545386426369,lesnyrosales,"#artritis
#Boyfriend #Love #Love #OneLove #Babybaby #teadoro #&lt;3  #16 http://t.co/qQxooOiPDe",9.15674,http://twitter.com/LesnyRosales/status/444331545386426369,http://twitter.com/lesnyrosales
03/14/14,http://twitter.com/alexischaires/status/444355944470704129,alexischaires,"RT @LesnyRosales: #artritis
#Boyfriend #Love #Love #OneLove #Babybaby #teadoro #&lt;3  #16 http://t.co/qQxooOiPDe",7.306364,http://twitter.com/AlexisChaires/status/444355944470704129,http://twitter.com/alexischaires
03/15/14,http://twitter.com/velascozamora/status/444628226032558080,velascozamora,#Artritis y sexo (Sex and the arthritis) http://t.co/0Ykryy6m75,9.016102,http://twitter.com/velascozamora/status/444628226032558080,http://twitter.com/velascozamora
